Date,BJK_Open,BJK_High,BJK_Low,BJK_Close,BJK_Volume,BJK_ATRPercentOfClose20,BJK_SQN25,BJK_SQN50,BJK_SQN100,BJK_SQN200,BJK_MACD,BJK_MACD_Avg,BJK_MACD_Diff,BJK_LinReg10,BJK_LinReg30,BJK_LinReg90,BJK_LinReg270
1/3/2017, 34.03, 34.04, 33.82, 34.04, 2818, 0, 0, 0, 0, 0, 0, 0, 0, 34.04, 34.04, 34.04, 34.04
1/4/2017, 34.47, 34.47, 34.3, 34.45, 4626, 0, 0, 0, 0, 0, 0.0327065527065571, 0.00654131054131142, 0.0261652421652457, 34.45, 34.45, 34.45, 34.45
1/5/2017, 34.86, 34.86, 34.83, 34.86, 2116, 0, 0, 0, 0, 0, 0.0906651731723045, 0.02336608306751, 0.0672990901047945, 34.86, 34.86, 34.86, 34.86
1/6/2017, 34.86, 34.86, 34.66, 34.71, 2026, 0, 0, 0, 0, 0, 0.123075315438378, 0.0433079295416836, 0.0797673858966941, 34.878, 34.878, 34.878, 34.878
1/9/2017, 34.84, 34.88, 34.72, 34.73, 939, 0, 0, 0, 0, 0, 0.148660750940984, 0.0643784938215436, 0.08428225711944, 34.886, 34.886, 34.886, 34.886
1/10/2017, 34.99, 35.13, 34.99, 35.08, 6801, 0, 0, 0, 0, 0, 0.194932408375323, 0.0904892767322994, 0.104443131643023, 35.0657142857143, 35.0657142857143, 35.0657142857143, 35.0657142857143
1/11/2017, 34.79, 34.9, 34.64, 34.88, 4355, 0, 0, 0, 0, 0, 0.213009263534708, 0.114993274092781, 0.0980159894419271, 35.0696428571429, 35.0696428571429, 35.0696428571429, 35.0696428571429
1/12/2017, 34.76, 34.85, 34.68, 34.85, 9866, 0, 0, 0, 0, 0, 0.22235142340562, 0.136464903955349, 0.0858865194502708, 35.0541666666667, 35.0541666666667, 35.0541666666667, 35.0541666666667
1/13/2017, 34.7, 35.01, 34.7, 34.75, 1332, 0, 0, 0, 0, 0, 0.219159652097581, 0.153003853583795, 0.0661557985137854, 35.0022222222222, 35.0022222222222, 35.0022222222222, 35.0022222222222
1/17/2017, 34.6, 34.6, 34.6, 34.6, 632, 0, 0, 0, 0, 0, 0.202195618712679, 0.162842206609572, 0.039353412103107, 34.9118181818182, 34.9118181818182, 34.9118181818182, 34.9118181818182
1/18/2017, 34.7, 35.01, 34.7, 35.01, 1053, 0, 0, 0, 0, 0, 0.219307038497014, 0.17413517298706, 0.0451718655099537, 34.8896363636364, 34.9759090909091, 34.9759090909091, 34.9759090909091
1/19/2017, 34.77, 34.77, 34.64, 34.64, 624, 0, 0, 0, 0, 0, 0.200698526493319, 0.179447843688312, 0.021250682805007, 34.7687272727273, 34.9124358974359, 34.9124358974359, 34.9124358974359
1/20/2017, 34.94, 34.94, 34.71, 34.79, 956, 0, 0, 0, 0, 0, 0.195797857242638, 0.182717846399177, 0.013080010843461, 34.7712727272727, 34.9046153846154, 34.9046153846154, 34.9046153846154
1/23/2017, 34.66, 34.93, 34.66, 34.81, 2486, 0, 0, 0, 0, 0, 0.191322428544893, 0.184438762828321, 0.0068836657165727, 34.7545454545454, 34.9028571428571, 34.9028571428571, 34.9028571428571
1/24/2017, 34.78, 35.06, 34.7, 35.06, 1567, 0, 0, 0, 0, 0, 0.20557874590655, 0.188666759443966, 0.0169119864625834, 34.8227272727273, 34.9611666666667, 34.9611666666667, 34.9611666666667
1/25/2017, 34.83, 35.25, 34.83, 35.22, 12640, 0, 0, 0, 0, 0, 0.227168980353355, 0.196367203625844, 0.0308017767275106, 34.9981818181818, 35.0433823529412, 35.0433823529412, 35.0433823529412
1/26/2017, 35.15, 35.15, 34.78, 34.85, 29084, 0, 0, 0, 0, 0, 0.211979916397397, 0.199489746180155, 0.0124901702172419, 34.9981818181818, 35.0292156862745, 35.0292156862745, 35.0292156862745
