Date,BSV_Open,BSV_High,BSV_Low,BSV_Close,BSV_Volume,BSV_ATRPercentOfClose20,BSV_SQN25,BSV_SQN50,BSV_SQN100,BSV_SQN200,BSV_MACD,BSV_MACD_Avg,BSV_MACD_Diff,BSV_LinReg10,BSV_LinReg30,BSV_LinReg90,BSV_LinReg270
1/3/2017, 79.35, 79.46, 79.3, 79.46, 1152215, 0, 0, 0, 0, 0, 0, 0, 0, 79.46, 79.46, 79.46, 79.46
1/4/2017, 79.46, 79.49, 79.42, 79.46, 3078376, 0, 0, 0, 0, 0, 0, 0, 0, 79.46, 79.46, 79.46, 79.46
1/5/2017, 79.53, 79.62, 79.5, 79.58, 2397112, 0, 0, 0, 0, 0, 0.00957264957266091, 0.00191452991453218, 0.00765811965812873, 79.56, 79.56, 79.56, 79.56
1/6/2017, 79.53, 79.56, 79.47, 79.49, 1202993, 0, 0, 0, 0, 0, 0.0097840114934229, 0.00348842623031032, 0.00629558526311257, 79.529, 79.529, 79.529, 79.529
1/9/2017, 79.57, 79.58, 79.53, 79.58, 1545160, 0, 0, 0, 0, 0, 0.0170175969129076, 0.00619426036682978, 0.0108233365460778, 79.568, 79.568, 79.568, 79.568
1/10/2017, 79.57, 79.59, 79.55, 79.55, 1746153, 0, 0, 0, 0, 0, 0.020097840795259, 0.00897497645251562, 0.0111228643427434, 79.5714285714286, 79.5714285714286, 79.5714285714286, 79.5714285714286
1/11/2017, 79.56, 79.68, 79.54, 79.59, 1030483, 0, 0, 0, 0, 0, 0.0254729852524207, 0.0122745782124966, 0.0131984070399241, 79.5910714285714, 79.5910714285714, 79.5910714285714, 79.5910714285714
1/12/2017, 79.64, 79.68, 79.61, 79.63, 1213112, 0, 0, 0, 0, 0, 0.0325848735279664, 0.0163366372755906, 0.0162482362523758, 79.6191666666666, 79.6191666666666, 79.6191666666666, 79.6191666666666
1/13/2017, 79.6, 79.62, 79.51, 79.6, 1070254, 0, 0, 0, 0, 0, 0.0353923657833946, 0.0201477829771514, 0.0152445828062432, 79.6255555555555, 79.6255555555555, 79.6255555555555, 79.6255555555555
1/17/2017, 79.72, 79.73, 79.67, 79.73, 1649021, 0, 0, 0, 0, 0, 0.0475590065443896, 0.025630027690599, 0.0219289788537906, 79.6741818181818, 79.6741818181818, 79.6741818181818, 79.6741818181818
1/18/2017, 79.67, 79.69, 79.54, 79.56, 1108058, 0, 0, 0, 0, 0, 0.0429880384050563, 0.0291016298334905, 0.0138864085715658, 79.6503636363637, 79.6540909090909, 79.6540909090909, 79.6540909090909
1/19/2017, 79.5, 79.53, 79.45, 79.49, 1374318, 0, 0, 0, 0, 0, 0.0333328578012555, 0.0299478754270435, 0.00338498237421202, 79.5969090909091, 79.6180769230769, 79.6180769230769, 79.6180769230769
1/20/2017, 79.51, 79.6, 79.46, 79.58, 1429217, 0, 0, 0, 0, 0, 0.0325678831652283, 0.0304718769746804, 0.00209600619054785, 79.5969090909091, 79.6152747252747, 79.6152747252747, 79.6152747252747
1/23/2017, 79.68, 79.74, 79.6, 79.71, 18235424, 0, 0, 0, 0, 0, 0.0419677704656038, 0.0327710556728651, 0.00919671479273872, 79.6238181818182, 79.6462857142857, 79.6462857142857, 79.6462857142857
1/24/2017, 79.69, 79.69, 79.61, 79.65, 1501870, 0, 0, 0, 0, 0, 0.0440677645560186, 0.0350303974494958, 0.00903736710652275, 79.636, 79.6558333333333, 79.6558333333333, 79.6558333333333
1/25/2017, 79.58, 79.59, 79.53, 79.55, 1778884, 0, 0, 0, 0, 0, 0.0372336543470198, 0.0354710488290006, 0.00176260551801914, 79.6038181818182, 79.6403676470588, 79.6403676470588, 79.6403676470588
1/26/2017, 79.56, 79.61, 79.51, 79.59, 1439523, 0, 0, 0, 0, 0, 0.0346458625382979, 0.0353060115708601, -0.000660149032562139, 79.5934545454545, 79.6362745098039, 79.6362745098039, 79.6362745098039
1/27/2017, 79.63, 79.66, 79.61, 79.62, 1374140, 0, 0, 0, 0, 0, 0.0346167280723364, 0.0351681548711553, -0.000551426798818935, 79.6014545454545, 79.6388888888889, 79.6388888888889, 79.6388888888889
1/30/2017, 79.68, 79.69, 79.62, 79.63, 2017942, 0, 0, 0, 0, 0, 0.0349971300939131, 0.0351339499157069, -0.000136819821793754, 79.6074545454545, 79.6428421052631, 79.6428421052631, 79.6428421052631
1/31/2017, 79.7, 79.73, 79.67, 79.68, 2630247, 0, 0, 0, 0, 0, 0.0388849421610331, 0.0358841483647721, 0.00300079379626097, 79.6550909090909, 79.6552857142857, 79.6552857142857, 79.6552857142857
2/1/2017, 79.51, 79.6, 79.46, 79.55, 1165132, 0, 0, 0, 0, 0, 0.0311174451519491, 0.0349308077222075, -0.0038133625702584, 79.6265454545455, 79.6425541125541, 79.6425541125541, 79.6425541125541
2/2/2017, 79.64, 79.64, 79.57, 79.59, 1279841, 0.147485550948612, 0, 0, 0, 0, 0.027868067778428, 0.0335182597334516, -0.00565019195502364, 79.5983636363637, 79.638418972332, 79.638418972332, 79.638418972332
2/3/2017, 79.66, 79.68, 79.55, 79.56, 1859402, 0.148334040346909, 0, 0, 0, 0, 0.022611512083742, 0.0313369102035097, -0.00872539811976769, 79.5723636363636, 79.6298913043478, 79.6298913043478, 79.6298913043478
2/6/2017, 79.7, 79.74, 79.64, 79.7, 1538821, 0.151962151035133, 0, 0, 0, 0, 0.0294035381111826, 0.0309502357850443, -0.00154669767386171, 79.6218181818182, 79.6444, 79.6444, 79.6444
2/7/2017, 79.73, 79.79, 79.7, 79.72, 1315959, 0.149972582358568, 0, 0, 0, 0, 0.0359852845644468, 0.0319572455409248, 0.00402803902352204, 79.6667272727273, 79.6599076923077, 79.6599076923077, 79.6599076923077
2/8/2017, 79.81, 79.82, 79.75, 79.81, 1089619, 0.148578167552234, 0.844930614197562, 0, 0, 0, 0.0479113219900711, 0.0351480608307541, 0.012763261159317, 79.7189090909091, 79.6864102564102, 79.6864102564102, 79.6864102564102
2/9/2017, 79.79, 79.79, 79.7, 79.72, 1830056, 0.148207756832998, 0.610933235820093, 0, 0, 0, 0.0495295983549795, 0.0380243683355991, 0.0115052300193804, 79.7338181818182, 79.6969047619048, 79.6969047619048, 79.6969047619048
2/10/2017, 79.69, 79.71, 79.65, 79.67, 1096032, 0.145278853470444, 0.218789620604403, 0, 0, 0, 0.0462444348419524, 0.0396683816368698, 0.0065760532050826, 79.7303636363636, 79.6992610837438, 79.6992610837438, 79.6992610837438
2/13/2017, 79.66, 79.68, 79.62, 79.64, 1110617, 0.141833851622184, 0.371512495772403, 0, 0, 0, 0.040750424285136, 0.039884790166523, 0.000865634118612943, 79.7158181818181, 79.6973103448276, 79.6973103448276, 79.6973103448276
2/14/2017, 79.67, 79.67, 79.52, 79.57, 2686581, 0.14428635850234, -0.0222300414656321, 0, 0, 0, 0.0303975621761197, 0.0379873445684424, -0.0075897823923227, 79.6865454545454, 79.6866021505376, 79.6866021505376, 79.6866021505376
2/15/2017, 79.51, 79.54, 79.49, 79.51, 1118373, 0.14220629189699, -0.0957723848589919, 0, 0, 0, 0.0171536096727465, 0.0338205975893032, -0.0166669879165567, 79.6165454545455, 79.6641720430107, 79.6695967741935, 79.6695967741935
2/16/2017, 79.56, 79.65, 79.54, 79.61, 1884764, 0.143719145274377, 0.0505365046766275, 0, 0, 0, 0.014559018854726, 0.0299682818423877, -0.0154092629876618, 79.5912727272728, 79.6541075268817, 79.6662499999999, 79.6662499999999
2/17/2017, 79.71, 79.71, 79.66, 79.69, 1290621, 0.142670436661168, 0.14440785102815, 0, 0, 0, 0.0187420714177904, 0.0277230397574683, -0.00898096833967789, 79.5865454545455, 79.6612258064516, 79.672459893048, 79.672459893048
2/21/2017, 79.67, 79.7, 79.62, 79.69, 1270769, 0.140556365198294, 0.215962944206744, 0, 0, 0, 0.0218058069424814, 0.0265395931944709, -0.00473378625198954, 79.6027272727273, 79.661634408602, 79.6779999999999, 79.6779999999999
2/22/2017, 79.75, 79.75, 79.64, 79.74, 2062786, 0.140342236086274, 0.0272131394520454, 0, 0, 0, 0.0279462742972356, 0.0268209294150238, 0.00112534488221178, 79.6407272727272, 79.6730967741934, 79.6884285714285, 79.6884285714285
2/23/2017, 79.78, 79.81, 79.76, 79.79, 1378967, 0.137628091367885, 0.627041833076601, 0, 0, 0, 0.0364273096971459, 0.0287422054714483, 0.00768510422569766, 79.7129090909091, 79.6878709677418, 79.7031531531531, 79.7031531531531
