Date,BWX_Open,BWX_High,BWX_Low,BWX_Close,BWX_Volume,BWX_ATRPercentOfClose20,BWX_SQN25,BWX_SQN50,BWX_SQN100,BWX_SQN200,BWX_MACD,BWX_MACD_Avg,BWX_MACD_Diff,BWX_LinReg10,BWX_LinReg30,BWX_LinReg90,BWX_LinReg270
1/3/2017, 25.66, 25.8, 25.57, 25.66, 1444462, 0, 0, 0, 0, 0, 0, 0, 0, 25.66, 25.66, 25.66, 25.66
1/4/2017, 25.72, 25.91, 25.67, 25.74, 1143101, 0, 0, 0, 0, 0, 0.00638176638176802, 0.0012763532763536, 0.00510541310541441, 25.74, 25.74, 25.74, 25.74
1/5/2017, 25.87, 26.09, 25.84, 26.03, 474264, 0, 0, 0, 0, 0, 0.0344429022491752, 0.00790966307091793, 0.0265332391782573, 25.995, 25.995, 25.995, 25.995
1/6/2017, 25.9, 25.97, 25.77, 25.85, 444068, 0, 0, 0, 0, 0, 0.0416766365925945, 0.0146630577752532, 0.0270135788173412, 25.949, 25.949, 25.949, 25.949
1/9/2017, 25.87, 25.99, 25.86, 25.89, 476565, 0, 0, 0, 0, 0, 0.0500600280400825, 0.0217424518282191, 0.0283175762118634, 25.948, 25.948, 25.948, 25.948
1/10/2017, 25.87, 26, 25.86, 25.91, 1938683, 0, 0, 0, 0, 0, 0.0576531691679989, 0.028924595296175, 0.0287285738718239, 25.9552380952381, 25.9552380952381, 25.9552380952381, 25.9552380952381
1/11/2017, 25.82, 26.13, 25.71, 25.95, 1558505, 0, 0, 0, 0, 0, 0.0661360783802643, 0.0363668919129929, 0.0297691864672714, 25.9760714285714, 25.9760714285714, 25.9760714285714, 25.9760714285714
1/12/2017, 26.32, 26.32, 26.07, 26.09, 293861, 0, 0, 0, 0, 0, 0.0831966359866811, 0.0457328407277305, 0.0374637952589506, 26.0458333333333, 26.0458333333333, 26.0458333333333, 26.0458333333333
1/13/2017, 26.12, 26.21, 26, 26.18, 368829, 0, 0, 0, 0, 0, 0.102794547091577, 0.0571451820004998, 0.045649365091077, 26.1242222222222, 26.1242222222222, 26.1242222222222, 26.1242222222222
1/17/2017, 26.33, 26.44, 26.33, 26.38, 644568, 0, 0, 0, 0, 0, 0.132932003973284, 0.0723025463950567, 0.0606294575782275, 26.2456363636364, 26.2456363636364, 26.2456363636364, 26.2456363636364
1/18/2017, 26.23, 26.42, 26.04, 26.07, 3886654, 0, 0, 0, 0, 0, 0.130299732254127, 0.0839019835668707, 0.0463977486872559, 26.2192727272727, 26.2318181818182, 26.2318181818182, 26.2318181818182
1/19/2017, 25.99, 26.09, 25.92, 26.03, 624771, 0, 0, 0, 0, 0, 0.12356163068209, 0.0918339129899146, 0.0317277176921756, 26.1727272727273, 26.2082051282051, 26.2082051282051, 26.2082051282051
