Date,COW_Open,COW_High,COW_Low,COW_Close,COW_Volume,COW_ATRPercentOfClose20,COW_SQN25,COW_SQN50,COW_SQN100,COW_SQN200,COW_MACD,COW_MACD_Avg,COW_MACD_Diff,COW_LinReg10,COW_LinReg30,COW_LinReg90,COW_LinReg270
1/3/2017, 22.56, 22.56, 21.69, 21.71, 72279, 0, 0, 0, 0, 0, 0, 0, 0, 21.71, 21.71, 21.71, 21.71
1/4/2017, 21.76, 22.1, 21.76, 22.05, 24331, 0, 0, 0, 0, 0, 0.0271225071225096, 0.00542450142450193, 0.0216980056980077, 22.05, 22.05, 22.05, 22.05
1/5/2017, 22.25, 22.35, 22.05, 22.1, 34957, 0, 0, 0, 0, 0, 0.0520518502284943, 0.0147499711853004, 0.0373018790431939, 22.1483333333333, 22.1483333333333, 22.1483333333333, 22.1483333333333
1/6/2017, 22.32, 22.32, 21.77, 21.94, 27642, 0, 0, 0, 0, 0, 0.0582266706080716, 0.0234453110698547, 0.034781359538217, 22.061, 22.061, 22.061, 22.061
1/9/2017, 22.09, 22.13, 21.57, 22.09, 30670, 0, 0, 0, 0, 0, 0.0743667530067889, 0.0336295994572415, 0.0407371535495474, 22.108, 22.108, 22.108, 22.108
1/10/2017, 22.35, 22.63, 22.16, 22.6, 98700, 0, 0, 0, 0, 0, 0.126848393028503, 0.0522733581714938, 0.0745750348570091, 22.3966666666667, 22.3966666666667, 22.3966666666667, 22.3966666666667
1/11/2017, 23, 23, 22.53, 22.55, 116146, 0, 0, 0, 0, 0, 0.162532317341483, 0.0743251500054917, 0.0882071673359917, 22.5353571428571, 22.5353571428571, 22.5353571428571, 22.5353571428571
1/12/2017, 22.66, 22.7, 22.25, 22.43, 54365, 0, 0, 0, 0, 0, 0.179064938186798, 0.095273107641753, 0.083791830545045, 22.5666666666667, 22.5666666666667, 22.5666666666667, 22.5666666666667
1/13/2017, 22.36, 22.65, 22.31, 22.55, 18784, 0, 0, 0, 0, 0, 0.199549869752932, 0.116128460063989, 0.0834214096889433, 22.6284444444444, 22.6284444444444, 22.6284444444444, 22.6284444444444
1/17/2017, 22.69, 22.86, 22.55, 22.69, 31692, 0, 0, 0, 0, 0, 0.224493336139471, 0.137801435279085, 0.0866919008603856, 22.7158181818182, 22.7158181818182, 22.7158181818182, 22.7158181818182
1/18/2017, 22.84, 22.97, 22.57, 22.71, 18997, 0, 0, 0, 0, 0, 0.243073050987732, 0.158855758420815, 0.0842172925669175, 22.7552727272727, 22.7813636363636, 22.7813636363636, 22.7813636363636
1/19/2017, 22.59, 22.84, 22.58, 22.82, 14262, 0, 0, 0, 0, 0, 0.263634673151042, 0.17981154136686, 0.083823131784182, 22.8461818181818, 22.8591025641026, 22.8591025641026, 22.8591025641026
1/20/2017, 22.83, 22.83, 22.48, 22.6, 22216, 0, 0, 0, 0, 0, 0.259189964895505, 0.195687226072589, 0.0635027388229159, 22.8290909090909, 22.8546153846154, 22.8546153846154, 22.8546153846154
1/23/2017, 22.72, 22.72, 22.35, 22.53, 40633, 0, 0, 0, 0, 0, 0.247169866234948, 0.205983754105061, 0.0411861121298873, 22.7285454545455, 22.8308571428571, 22.8308571428571, 22.8308571428571
1/24/2017, 22.51, 22.65, 22.36, 22.38, 17576, 0, 0, 0, 0, 0, 0.222969847441234, 0.209380972772296, 0.0135888746689389, 22.574, 22.7740833333333, 22.7740833333333, 22.7740833333333
1/25/2017, 22.35, 22.76, 22.35, 22.73, 25088, 0, 0, 0, 0, 0, 0.229388979754525, 0.213382574168741, 0.0160064055857833, 22.6265454545455, 22.8071323529412, 22.8071323529412, 22.8071323529412
1/26/2017, 22.73, 22.74, 22.15, 22.17, 30308, 0, 0, 0, 0, 0, 0.187131730373149, 0.208132405409623, -0.0210006750364736, 22.4685454545455, 22.7117647058823, 22.7117647058823, 22.7117647058823
1/27/2017, 22.17, 22.39, 22.17, 22.24, 24265, 0, 0, 0, 0, 0, 0.1574756890587, 0.198001062139438, -0.0405253730807387, 22.3314545454545, 22.6470760233918, 22.6470760233918, 22.6470760233918
1/30/2017, 22.03, 22.17, 21.93, 21.94, 50536, 0, 0, 0, 0, 0, 0.108514680176338, 0.180103785746818, -0.0715891055704804, 22.1250909090909, 22.5344210526316, 22.5344210526316, 22.5344210526316
1/31/2017, 21.92, 22.26, 21.92, 22.02, 30613, 0, 0, 0, 0, 0, 0.0753000472323109, 0.159143038043917, -0.083842990811606, 22.0076363636364, 22.4547142857143, 22.4547142857143, 22.4547142857143
2/1/2017, 22.16, 22.16, 21.83, 21.96, 15381, 0, 0, 0, 0, 0, 0.0436327416809235, 0.136040978771318, -0.0924082370903947, 21.91, 22.3766233766234, 22.3766233766234, 22.3766233766234
2/2/2017, 21.77, 22.31, 21.77, 22.21, 60375, 1.88255290409725, 0, 0, 0, 0, 0.0382679553750656, 0.116486374092068, -0.0782184187170021, 21.9616363636364, 22.3526482213439, 22.3526482213439, 22.3526482213439
2/3/2017, 22.24, 22.39, 22.22, 22.34, 14677, 1.81830461056401, 0, 0, 0, 0, 0.0439990435357167, 0.101988907980797, -0.0579898644450808, 22.0474545454546, 22.3532608695652, 22.3532608695652, 22.3532608695652
2/6/2017, 22.4, 22.55, 22.37, 22.47, 25846, 1.76412455496217, 0, 0, 0, 0, 0.0583581690913739, 0.0932627602029128, -0.0349045911115388, 22.1783636363637, 22.3741, 22.3741, 22.3741
2/7/2017, 22.43, 22.7, 22.43, 22.68, 17154, 1.71992437444885, 0, 0, 0, 0, 0.0856952826282438, 0.091749264687979, -0.0060539820597352, 22.3550909090909, 22.4237538461538, 22.4237538461538, 22.4237538461538
2/8/2017, 22.65, 22.73, 22.35, 22.35, 15599, 1.74306445511745, 0.58764478991398, 0, 0, 0, 0.0798118783323076, 0.0893617874168447, -0.00954990908453708, 22.4714545454546, 22.4189743589743, 22.4189743589743, 22.4189743589743
2/9/2017, 22.46, 22.46, 22.27, 22.28, 36914, 1.70375296424063, 0.233561630646832, 0, 0, 0, 0.0687087908829866, 0.0852311881100731, -0.0165223972270865, 22.4723636363636, 22.4048677248677, 22.4048677248677, 22.4048677248677
2/10/2017, 22.35, 22.49, 22.11, 22.16, 29627, 1.71307018236088, 0.0792371509262421, 0, 0, 0, 0.0496541350080726, 0.078115777489673, -0.0284616424816004, 22.4398181818182, 22.3761083743842, 22.3761083743842, 22.3761083743842
2/13/2017, 22.14, 22.14, 21.76, 21.81, 88039, 1.74523399720593, -0.0883456501783737, 0, 0, 0, 0.00623918655897171, 0.0637404593035328, -0.057501272744561, 22.2307272727273, 22.3047586206897, 22.3047586206897, 22.3047586206897
2/14/2017, 21.76, 22.26, 21.76, 22.16, 32413, 1.7446017962594, 0.0856475588217337, 0, 0, 0, 7.37518873563658E-05, 0.0510071178202975, -0.0509333659329411, 22.1656363636364, 22.2858064516129, 22.2858064516129, 22.2858064516129
2/15/2017, 22.26, 22.44, 22.09, 22.1, 12470, 1.74105687850013, -0.435161323119534, 0, 0, 0, -0.00954388213613555, 0.0388969178290109, -0.0484407999651464, 22.0601818181818, 22.2193548387097, 22.2615524193548, 22.2615524193548
2/16/2017, 22.06, 22.27, 21.96, 21.99, 19090, 1.73276440036881, -0.490445631033978, 0, 0, 0, -0.0257452320732128, 0.0259684878485661, -0.0517137199217789, 21.9590909090909, 22.1590967741935, 22.2267613636364, 22.2267613636364
2/17/2017, 21.83, 22.35, 21.83, 22.24, 33455, 1.74452853893456, -0.144856368153608, 0, 0, 0, -0.0182021845074125, 0.0171343533773704, -0.0353365378847829, 21.9823636363636, 22.1342795698925, 22.2245454545454, 22.2245454545454
2/21/2017, 22.16, 22.58, 22.16, 22.3, 25510, 1.74701340675379, -0.198774794470649, 0, 0, 0, -0.00729863231759964, 0.0122477562383764, -0.019546388555976, 22.0578181818182, 22.1055053763441, 22.2293613445378, 22.2293613445378
2/22/2017, 22.2, 22.38, 22.03, 22.05, 20218, 1.75784485360902, -0.541837465775338, 0, 0, 0, -0.0186158078689687, 0.00607504341690739, -0.024690851285876, 22.0981818181818, 22.052688172043, 22.206380952381, 22.206380952381
2/23/2017, 22.05, 22.07, 21.94, 21.94, 24973, 1.7079514617582, -0.65697952709351, 0, 0, 0, -0.0360453236671212, -0.00234902999989833, -0.0336962936672229, 22.0689090909091, 22.0201720430108, 22.1738888888889, 22.1738888888889
2/24/2017, 21.98, 22.02, 21.77, 21.96, 26887, 1.6779978286624, -0.739710669199596, 0, 0, 0, -0.0476947126979539, -0.0114181665395094, -0.0362765461584444, 22.0549090909091, 21.9911182795699, 22.1465149359886, 22.1465149359886
2/27/2017, 21.76, 22.2, 21.76, 22.06, 17320, 1.68659975981663, -0.460367236892825, 0, 0, 0, -0.0483009894292579, -0.0187947311174591, -0.0295062583117987, 22.0689090909091, 21.9705591397849, 22.1317813765182, 22.1317813765182
2/28/2017, 22.04, 22.29, 22.02, 22.28, 12522, 1.64704089616145, -0.193800338521652, 0, 0, 0, -0.0306756963904853, -0.0211709241720644, -0.00950477221842093, 22.0943636363636, 21.9883010752688, 22.1401282051282, 22.1401282051282
