Date,CWI_Open,CWI_High,CWI_Low,CWI_Close,CWI_Volume,CWI_ATRPercentOfClose20,CWI_SQN25,CWI_SQN50,CWI_SQN100,CWI_SQN200,CWI_MACD,CWI_MACD_Avg,CWI_MACD_Diff,CWI_LinReg10,CWI_LinReg30,CWI_LinReg90,CWI_LinReg270
1/3/2017, 31.67, 31.72, 31.62, 31.72, 508299, 0, 0, 0, 0, 0, 0, 0, 0, 31.72, 31.72, 31.72, 31.72
1/4/2017, 31.9, 32.08, 31.83, 32.08, 168541, 0, 0, 0, 0, 0, 0.0287179487179507, 0.00574358974359015, 0.0229743589743606, 32.08, 32.08, 32.08, 32.08
1/5/2017, 32.16, 32.36, 32.15, 32.26, 1315945, 0, 0, 0, 0, 0, 0.0652494703776796, 0.017644765870408, 0.0476047045072715, 32.29, 32.29, 32.29, 32.29
1/6/2017, 32.21, 32.21, 32.13, 32.17, 233591, 0, 0, 0, 0, 0, 0.0859479620441022, 0.0313054051051469, 0.0546425569389553, 32.287, 32.287, 32.287, 32.287
1/9/2017, 32.09, 32.15, 32.03, 32.1, 532814, 0, 0, 0, 0, 0, 0.0956012194802547, 0.0441645679801684, 0.0514366515000863, 32.236, 32.236, 32.236, 32.236
1/10/2017, 32.15, 32.27, 32.15, 32.19, 785615, 0, 0, 0, 0, 0, 0.109254327505955, 0.0571825198853257, 0.0520718076206291, 32.252380952381, 32.252380952381, 32.252380952381, 32.252380952381
1/11/2017, 32.17, 32.45, 32.12, 32.45, 691827, 0, 0, 0, 0, 0, 0.13944688419269, 0.0736353927467986, 0.0658114914458915, 32.3796428571429, 32.3796428571429, 32.3796428571429, 32.3796428571429
1/12/2017, 32.5, 32.5, 32.35, 32.47, 175275, 0, 0, 0, 0, 0, 0.16310832451201, 0.0915299790998408, 0.0715783454121687, 32.4641666666667, 32.4641666666667, 32.4641666666667, 32.4641666666667
1/13/2017, 32.51, 32.6, 32.46, 32.59, 147245, 0, 0, 0, 0, 0, 0.189360355252084, 0.11109605433029, 0.0782643009217949, 32.5622222222222, 32.5622222222222, 32.5622222222222, 32.5622222222222
1/17/2017, 32.53, 32.55, 32.44, 32.51, 242041, 0, 0, 0, 0, 0, 0.201388466455818, 0.129154536755395, 0.0722339297004225, 32.5992727272727, 32.5992727272727, 32.5992727272727, 32.5992727272727
1/18/2017, 32.42, 32.49, 32.3, 32.36, 246959, 0, 0, 0, 0, 0, 0.196551363080332, 0.142633902020382, 0.0539174610599491, 32.5290909090909, 32.5754545454545, 32.5754545454545, 32.5754545454545
1/19/2017, 32.32, 32.37, 32.18, 32.31, 464729, 0, 0, 0, 0, 0, 0.186533104161299, 0.151413742448566, 0.0351193617127332, 32.4787272727273, 32.5411538461539, 32.5411538461539, 32.5411538461539
1/20/2017, 32.35, 32.46, 32.33, 32.46, 188465, 0, 0, 0, 0, 0, 0.188524119490701, 0.158835817856993, 0.0296883016337082, 32.5036363636364, 32.5549450549451, 32.5549450549451, 32.5549450549451
1/23/2017, 32.41, 32.58, 32.4, 32.58, 388132, 0, 0, 0, 0, 0, 0.197508258344328, 0.16657030595446, 0.0309379523898683, 32.5410909090909, 32.5951428571429, 32.5951428571429, 32.5951428571429
