Date,DBB_Open,DBB_High,DBB_Low,DBB_Close,DBB_Volume,DBB_ATRPercentOfClose20,DBB_SQN25,DBB_SQN50,DBB_SQN100,DBB_SQN200,DBB_MACD,DBB_MACD_Avg,DBB_MACD_Diff,DBB_LinReg10,DBB_LinReg30,DBB_LinReg90,DBB_LinReg270
1/3/2017, 14.86, 14.86, 14.75, 14.79, 429033, 0, 0, 0, 0, 0, 0, 0, 0, 14.79, 14.79, 14.79, 14.79
1/4/2017, 15.06, 15.14, 15.01, 15.12, 800806, 0, 0, 0, 0, 0, 0.0263247863247873, 0.00526495726495746, 0.0210598290598298, 15.12, 15.12, 15.12, 15.12
1/5/2017, 15.11, 15.22, 15.07, 15.08, 473297, 0, 0, 0, 0, 0, 0.043458738159595, 0.012903713443885, 0.03055502471571, 15.1416666666667, 15.1416666666667, 15.1416666666667, 15.1416666666667
1/6/2017, 15, 15.18, 14.99, 15.17, 265720, 0, 0, 0, 0, 0, 0.063567005401568, 0.0230363718354216, 0.0405306335661464, 15.205, 15.205, 15.205, 15.205
1/9/2017, 15.13, 15.3, 15.13, 15.27, 173490, 0, 0, 0, 0, 0, 0.0865741434925589, 0.035743926166849, 0.0508302173257098, 15.288, 15.288, 15.288, 15.288
1/10/2017, 15.6, 15.67, 15.54, 15.54, 593548, 0, 0, 0, 0, 0, 0.125151540646552, 0.0536254490627897, 0.0715260915837625, 15.4680952380952, 15.4680952380952, 15.4680952380952, 15.4680952380952
1/11/2017, 15.61, 15.65, 15.5, 15.52, 570922, 0, 0, 0, 0, 0, 0.152354327127355, 0.0733712246757028, 0.0789831024516525, 15.5578571428571, 15.5578571428571, 15.5578571428571, 15.5578571428571
1/12/2017, 15.9, 15.91, 15.8, 15.89, 1281086, 0, 0, 0, 0, 0, 0.201446489445622, 0.0989862776296868, 0.102460211815936, 15.7633333333333, 15.7633333333333, 15.7633333333333, 15.7633333333333
1/13/2017, 15.89, 16.1, 15.85, 16.09, 539586, 0, 0, 0, 0, 0, 0.253567739245453, 0.12990256995284, 0.123665169292613, 15.9695555555555, 15.9695555555555, 15.9695555555555, 15.9695555555555
1/17/2017, 15.81, 15.9, 15.68, 15.73, 286910, 0, 0, 0, 0, 0, 0.262795866704062, 0.156481229303084, 0.106314637400978, 15.9823636363636, 15.9823636363636, 15.9823636363636, 15.9823636363636
1/18/2017, 15.81, 15.96, 15.78, 15.9, 193886, 0, 0, 0, 0, 0, 0.280592309964179, 0.181303445435303, 0.0992888645288759, 16.0221818181818, 16.0413636363636, 16.0413636363636, 16.0413636363636
1/19/2017, 15.97, 15.97, 15.83, 15.86, 233245, 0, 0, 0, 0, 0, 0.288146875937613, 0.202672131535765, 0.085474744401848, 16.0536363636364, 16.069358974359, 16.069358974359, 16.069358974359
1/20/2017, 15.91, 16.06, 15.91, 15.93, 538196, 0, 0, 0, 0, 0, 0.296366015934606, 0.221410908415533, 0.0749551075190722, 16.0609090909091, 16.1065934065934, 16.1065934065934, 16.1065934065934
1/23/2017, 16.06, 16.14, 16.01, 16.09, 133019, 0, 0, 0, 0, 0, 0.312191655351798, 0.239567057802786, 0.0726245975490117, 16.0950909090909, 16.1737142857143, 16.1737142857143, 16.1737142857143
1/24/2017, 16.26, 16.33, 16.23, 16.32, 231051, 0, 0, 0, 0, 0, 0.339380499278636, 0.259529746097956, 0.0798507531806801, 16.1785454545454, 16.2795, 16.2795, 16.2795
1/25/2017, 16.1, 16.2, 16.08, 16.2, 228143, 0, 0, 0, 0, 0, 0.347242066466006, 0.277072210171566, 0.0701698562944394, 16.2172727272727, 16.3341176470588, 16.3341176470588, 16.3341176470588
1/26/2017, 16.13, 16.19, 15.9, 15.96, 968175, 0, 0, 0, 0, 0, 0.330298940285557, 0.287717556194364, 0.0425813840911926, 16.1330909090909, 16.3243137254902, 16.3243137254902, 16.3243137254902
1/27/2017, 15.94, 16.05, 15.9, 16.01, 343827, 0, 0, 0, 0, 0, 0.317248924727819, 0.293623829901055, 0.0236250948267636, 16.1161818181818, 16.3246198830409, 16.3246198830409, 16.3246198830409
1/30/2017, 15.96, 16.01, 15.87, 16.01, 307915, 0, 0, 0, 0, 0, 0.303409181202779, 0.2955809001614, 0.00782828104137911, 16.1327272727273, 16.3232105263158, 16.3232105263158, 16.3232105263158
1/31/2017, 16.26, 16.33, 16.21, 16.32, 386761, 0, 0, 0, 0, 0, 0.313837767544097, 0.29923227363794, 0.0146054939061576, 16.1887272727273, 16.3781428571429, 16.3781428571429, 16.3781428571429
2/1/2017, 16.26, 16.3, 16.22, 16.26, 661558, 0, 0, 0, 0, 0, 0.313645488836649, 0.302114916677681, 0.0115305721589673, 16.2258181818182, 16.4124242424242, 16.4124242424242, 16.4124242424242
2/2/2017, 16.15, 16.25, 16.15, 16.23, 369611, 1.3810382008626, 0, 0, 0, 0, 0.307527373167437, 0.303197407975632, 0.00432996519180434, 16.2249090909091, 16.4351778656126, 16.4351778656126, 16.4351778656126
2/3/2017, 16.03, 16.08, 15.97, 16, 130049, 1.41209609375, 0, 0, 0, 0, 0.280881813903322, 0.298734289161171, -0.0178524752578481, 16.1383636363636, 16.4159782608696, 16.4159782608696, 16.4159782608696
2/6/2017, 16.02, 16.1, 16.02, 16.06, 417161, 1.36761274128269, 0, 0, 0, 0, 0.26159105591687, 0.291305642512311, -0.0297145865954401, 16.1007272727273, 16.4078, 16.4078, 16.4078
2/7/2017, 16.1, 16.11, 16.04, 16.08, 99152, 1.31938231304416, 0, 0, 0, 0, 0.24509156113071, 0.28206282623599, -0.0369712651052801, 16.1176363636364, 16.4028, 16.4028, 16.4028
2/8/2017, 16.3, 16.32, 16.23, 16.27, 155118, 1.31253129772972, 1.7104332600739, 0, 0, 0, 0.244528235459152, 0.274555908080623, -0.0300276726214711, 16.1892727272727, 16.4252136752137, 16.4252136752137, 16.4252136752137
2/9/2017, 16.3, 16.34, 16.18, 16.21, 241672, 1.30087230125598, 1.31744076351523, 0, 0, 0, 0.236513912093013, 0.266947508883101, -0.0304335967900877, 16.1883636363637, 16.4356613756614, 16.4356613756614, 16.4356613756614
2/10/2017, 16.5, 16.66, 16.5, 16.65, 585236, 1.33830528547696, 1.72060857660332, 0, 0, 0, 0.262639283676886, 0.266085863841858, -0.00344658016497146, 16.3358181818182, 16.5037438423645, 16.5037438423645, 16.5037438423645
2/13/2017, 16.65, 16.71, 16.57, 16.6, 541085, 1.31738818391758, 1.55808974576932, 0, 0, 0, 0.276126235388732, 0.268093938151233, 0.00803229723749932, 16.4310909090909, 16.5566896551724, 16.5566896551724, 16.5566896551724
2/14/2017, 16.7, 16.7, 16.47, 16.58, 241734, 1.32238912306274, 1.42338044254642, 0, 0, 0, 0.281950756127202, 0.270865301746427, 0.0110854543807752, 16.5492727272727, 16.6004731182796, 16.6004731182796, 16.6004731182796
2/15/2017, 16.56, 16.68, 16.54, 16.64, 165333, 1.29380715609142, 1.22339541316878, 0, 0, 0, 0.288087337832529, 0.274309708963647, 0.0137776288688819, 16.662, 16.6155913978495, 16.6462096774194, 16.6462096774194
