Date,EEB_Open,EEB_High,EEB_Low,EEB_Close,EEB_Volume,EEB_ATRPercentOfClose20,EEB_SQN25,EEB_SQN50,EEB_SQN100,EEB_SQN200,EEB_MACD,EEB_MACD_Avg,EEB_MACD_Diff,EEB_LinReg10,EEB_LinReg30,EEB_LinReg90,EEB_LinReg270
1/3/2017, 29.34, 29.58, 29.25, 29.41, 9947, 0, 0, 0, 0, 0, 0, 0, 0, 29.41, 29.41, 29.41, 29.41
1/4/2017, 29.51, 29.66, 29.44, 29.57, 7179, 0, 0, 0, 0, 0, 0.0127635327635325, 0.0025527065527065, 0.010210826210826, 29.57, 29.57, 29.57, 29.57
1/5/2017, 29.76, 30.14, 29.76, 30.08, 8696, 0, 0, 0, 0, 0, 0.0633017589142959, 0.0147025170250244, 0.0485992418892715, 30.0216666666667, 30.0216666666667, 30.0216666666667, 30.0216666666667
1/6/2017, 29.87, 29.91, 29.79, 29.89, 7874, 0, 0, 0, 0, 0, 0.0870191525205719, 0.0291658441241339, 0.057853308396438, 30.03, 30.03, 30.03, 30.03
1/9/2017, 29.95, 30.03, 29.88, 29.99, 7794, 0, 0, 0, 0, 0, 0.112586692781665, 0.0458500138556402, 0.0667366789260251, 30.084, 30.084, 30.084, 30.084
1/10/2017, 30.33, 30.38, 30.24, 30.25, 11339, 0, 0, 0, 0, 0, 0.152075942926032, 0.0670951996697186, 0.0849807432563137, 30.2414285714286, 30.2414285714286, 30.2414285714286, 30.2414285714286
1/11/2017, 30.14, 30.65, 30.11, 30.63, 11055, 0, 0, 0, 0, 0, 0.21159514525651, 0.0959951887870769, 0.115599956469433, 30.5025, 30.5025, 30.5025, 30.5025
1/12/2017, 30.47, 30.59, 30.39, 30.5, 13748, 0, 0, 0, 0, 0, 0.245445287877182, 0.125885208605098, 0.119560079272084, 30.6041666666667, 30.6041666666667, 30.6041666666667, 30.6041666666667
1/13/2017, 30.39, 30.5, 30.39, 30.4, 3239, 0, 0, 0, 0, 0, 0.261191749612728, 0.152946516806624, 0.108245232806104, 30.6273333333333, 30.6273333333333, 30.6273333333333, 30.6273333333333
1/17/2017, 30.39, 30.53, 30.33, 30.48, 5417, 0, 0, 0, 0, 0, 0.27693394328459, 0.177744002102217, 0.0991899411823727, 30.666, 30.666, 30.666, 30.666
1/18/2017, 30.6, 30.6, 30.37, 30.48, 7814, 0, 0, 0, 0, 0, 0.286111628431662, 0.199417527368106, 0.0866941010635562, 30.6483636363636, 30.6895454545455, 30.6895454545455, 30.6895454545455
1/19/2017, 30.51, 30.51, 30.2, 30.32, 7395, 0, 0, 0, 0, 0, 0.277278058351094, 0.214989633564704, 0.0622884247863901, 30.5490909090909, 30.6562820512821, 30.6562820512821, 30.6562820512821
1/20/2017, 30.35, 30.45, 30.28, 30.37, 4962, 0, 0, 0, 0, 0, 0.2711859101871, 0.226228888889183, 0.0449570212979171, 30.5281818181818, 30.6421978021978, 30.6421978021978, 30.6421978021978
1/23/2017, 30.54, 30.71, 30.51, 30.69, 10999, 0, 0, 0, 0, 0, 0.2888494874354, 0.238753008598426, 0.0500964788369733, 30.564, 30.7114285714286, 30.7114285714286, 30.7114285714286
1/24/2017, 31.03, 31.16, 30.99, 31.13, 14401, 0, 0, 0, 0, 0, 0.334496455508162, 0.257901697980373, 0.076594757527789, 30.7281818181818, 30.8700833333333, 30.8700833333333, 30.8700833333333
1/25/2017, 31.2, 31.37, 31.17, 31.28, 9786, 0, 0, 0, 0, 0, 0.378413636129185, 0.282004085610136, 0.0964095505190492, 30.934, 31.0286764705882, 31.0286764705882, 31.0286764705882
1/26/2017, 31.41, 31.41, 31.21, 31.27, 11029, 0, 0, 0, 0, 0, 0.40771155671683, 0.307145579831475, 0.100565976885355, 31.1561818181818, 31.1525490196078, 31.1525490196078, 31.1525490196078
1/27/2017, 31.35, 31.38, 31.29, 31.33, 9980, 0, 0, 0, 0, 0, 0.430805807243139, 0.331877625313808, 0.0989281819293317, 31.3381818181818, 31.2640350877193, 31.2640350877193, 31.2640350877193
1/30/2017, 31.08, 31.08, 30.82, 30.95, 7557, 0, 0, 0, 0, 0, 0.413676735065824, 0.348237447264211, 0.065439287801613, 31.3236363636364, 31.2801578947368, 31.2801578947368, 31.2801578947368
1/31/2017, 30.9, 30.96, 30.78, 30.96, 20905, 0, 0, 0, 0, 0, 0.396339977832135, 0.357857953377796, 0.0384820244543389, 31.2985454545455, 31.2935714285714, 31.2935714285714, 31.2935714285714
2/1/2017, 31, 31.2, 30.92, 31.11, 9523, 0, 0, 0, 0, 0, 0.390206165437284, 0.364327595789693, 0.0258785696475909, 31.2990909090909, 31.3297835497835, 31.3297835497835, 31.3297835497835
2/2/2017, 31.16, 31.16, 31.02, 31.11, 10156, 0.910892799742847, 0, 0, 0, 0, 0.380953678057416, 0.367652812243238, 0.0133008658141783, 31.2332727272727, 31.3589723320158, 31.3589723320158, 31.3589723320158
2/3/2017, 31.21, 31.33, 31.13, 31.18, 67204, 0.898684453175111, 0, 0, 0, 0, 0.374947271385924, 0.369111704071775, 0.0058355673141488, 31.1585454545455, 31.3939130434782, 31.3939130434782, 31.3939130434782
2/6/2017, 31.12, 31.3, 31.1, 31.14, 14876, 0.886959928949903, 0, 0, 0, 0, 0.362777610644606, 0.367844885386342, -0.00506727474173518, 31.0898181818182, 31.4164, 31.4164, 31.4164
2/7/2017, 31.14, 31.25, 31.12, 31.15, 6581, 0.863208204755216, 0, 0, 0, 0, 0.349906479173264, 0.364257204143726, -0.0143507249704624, 31.088, 31.4361538461538, 31.4361538461538, 31.4361538461538
2/8/2017, 31.11, 31.45, 31.11, 31.36, 4749, 0.868765586709781, 1.97638505604887, 0, 0, 0, 0.352586857887477, 0.361923134892476, -0.00933627700499912, 31.1876363636364, 31.482735042735, 31.482735042735, 31.482735042735
2/9/2017, 31.36, 31.59, 31.36, 31.43, 5883, 0.860078407866936, 1.8859324893321, 0, 0, 0, 0.35625283143408, 0.360789074200797, -0.00453624276671682, 31.3050909090909, 31.5322751322751, 31.5322751322751, 31.5322751322751
2/10/2017, 31.54, 31.82, 31.54, 31.76, 17047, 0.869982718554625, 1.81725219610835, 0, 0, 0, 0.381389957928608, 0.364909250946359, 0.0164807069822487, 31.5398181818182, 31.6195566502463, 31.6195566502463, 31.6195566502463
2/13/2017, 31.88, 32, 31.83, 31.95, 8486, 0.859127342229426, 2.30731770437693, 0, 0, 0, 0.411894658653058, 0.374306332487699, 0.0375883261653587, 31.7407272727273, 31.7206206896552, 31.7206206896552, 31.7206206896552
2/14/2017, 31.84, 31.96, 31.7, 31.9, 4694, 0.858202591066415, 2.117873050317, 0, 0, 0, 0.427111792740266, 0.384867424538212, 0.0422443682020539, 31.8718181818182, 31.8030107526882, 31.8030107526882, 31.8030107526882
2/15/2017, 31.98, 32.17, 31.89, 32.11, 13695, 0.853560558152218, 2.07297428178162, 0, 0, 0, 0.450918814686197, 0.398077702567809, 0.0528411121183879, 32.0541818181818, 31.8761075268817, 31.9012903225806, 31.9012903225806
2/16/2017, 32.15, 32.19, 31.97, 32.03, 14892, 0.847250641465948, 1.64268338883321, 0, 0, 0, 0.458050597524906, 0.410072281559229, 0.0479783159656773, 32.1543636363637, 31.9323010752688, 31.9786931818182, 31.9786931818182
2/17/2017, 31.65, 31.83, 31.65, 31.72, 5722, 0.872653409326817, 1.36230350796733, 0, 0, 0, 0.433688882113351, 0.414795601670053, 0.018893280443298, 32.1112727272727, 31.9672903225806, 32.0113012477718, 32.0113012477718
2/21/2017, 32.2, 32.3, 32.08, 32.3, 22469, 0.903917580082176, 1.85937036575385, 0, 0, 0, 0.45592755086939, 0.423021991509921, 0.0329055593594694, 32.2310909090909, 32.052623655914, 32.1050588235294, 32.1050588235294
2/22/2017, 32.08, 32.3, 32.08, 32.2, 6204, 0.895550029342284, 1.66307432980566, 0, 0, 0, 0.460178045753814, 0.430453202358699, 0.0297248433951147, 32.2550909090909, 32.1163870967742, 32.1779047619048, 32.1779047619048
2/23/2017, 32.48, 32.48, 32, 32.06, 9711, 0.929347329930769, 1.50768332301535, 0, 0, 0, 0.447095920141852, 0.43378174591533, 0.0133141742265218, 32.2154545454545, 32.1654623655914, 32.2280930930931, 32.2280930930931
2/24/2017, 31.59, 31.74, 31.55, 31.66, 35124, 0.974577751980463, 1.21521174614462, 0, 0, 0, 0.399842449418607, 0.426993886615985, -0.0271514371973784, 32.0134545454545, 32.177440860215, 32.2312944523471, 32.2312944523471
2/27/2017, 31.54, 31.66, 31.47, 31.57, 48722, 0.958580140839923, 1.08258451907375, 0, 0, 0, 0.351084403132099, 0.411811989919208, -0.0607275867871094, 31.8338181818182, 32.162688172043, 32.2242914979757, 32.2242914979757
2/28/2017, 31.52, 31.52, 31.23, 31.28, 13937, 0.973441697378534, 0.537241221839855, 0, 0, 0, 0.285748789624066, 0.38659934986018, -0.100850560236114, 31.6023636363636, 32.0975698924731, 32.1885128205128, 32.1885128205128
3/1/2017, 31.53, 31.79, 31.53, 31.75, 19521, 0.99139507021419, 0.552099024805535, 0, 0, 0, 0.268796399671917, 0.363038759822527, -0.0942423601506101, 31.5598181818182, 32.0917419354839, 32.2003536585366, 32.2003536585366
3/2/2017, 31.51, 31.51, 31.1, 31.11, 7236, 1.0656687176257, -0.10865370354148, 0, 0, 0, 0.20139727478437, 0.330710462814896, -0.129313188030526, 31.3463636363636, 31.9965161290322, 32.1503484320558, 32.1503484320558
3/3/2017, 31.26, 31.46, 31.26, 31.46, 3886, 1.05674844612424, 0.161078461143352, 0, 0, 0, 0.174216794889176, 0.299411729229752, -0.125194934340575, 31.2923636363636, 31.9309677419355, 32.1359579180509, 32.1359579180509
3/6/2017, 31.51, 31.51, 31.15, 31.29, 19806, 1.06689168454188, -0.00725850250764969, 0, 0, 0, 0.137374916966852, 0.267004366777172, -0.12962944981032, 31.1487272727272, 31.8398279569892, 32.1068710359408, 32.1068710359408
3/7/2017, 31.11, 31.26, 31.11, 31.15, 1283, 1.04699482404011, 0.173449997988442, 0, 0, 0, 0.0957765805095683, 0.232758809523651, -0.136982229014083, 31.0961818181818, 31.7463225806452, 32.0672121212121, 32.0672121212121
3/8/2017, 30.98, 31.14, 30.77, 30.77, 59261, 1.06867709881076, -0.11775869806144, 0, 0, 0, 0.031780429946064, 0.192563133608134, -0.16078270366207, 30.9550909090908, 31.6309677419355, 31.9974009661836, 31.9974009661836
3/9/2017, 30.6, 30.68, 30.39, 30.53, 42411, 1.08545806137854, -0.402258619416153, 0, 0, 0, -0.0378664735432501, 0.146477212177857, -0.184343685721107, 30.7810909090908, 31.4974838709677, 31.9121276595745, 31.9121276595745
3/10/2017, 30.8, 30.82, 30.62, 30.77, 17170, 1.07026593705533, -0.220975328093174, 0, 0, 0, -0.0728563099118773, 0.10261050775991, -0.175466817671787, 30.6934545454545, 31.398623655914, 31.8524468085106, 31.8524468085106
3/13/2017, 30.93, 31.19, 30.93, 31.15, 21255, 1.07176496754519, 0.00279245140467356, 0, 0, 0, -0.0691263377230591, 0.0682631386633163, -0.137389476386375, 30.7676363636363, 31.3552043010753, 31.8273639455782, 31.8273639455782
3/14/2017, 30.96, 30.97, 30.81, 30.81, 4258, 1.08458957488092, -0.198095375609793, 0, 0, 0, -0.0925387374301323, 0.0361027634446265, -0.128641500874759, 30.6892727272726, 31.2444731182796, 31.7767918367347, 31.7767918367347
3/15/2017, 30.8, 31.36, 30.8, 31.33, 11704, 1.10262989345602, 0.138709659556391, 0, 0, 0, -0.06834573164587, 0.0152130644265272, -0.0835587960723972, 30.9101818181817, 31.2012903225806, 31.7697647058824, 31.7697647058824
3/16/2017, 31.59, 31.72, 31.58, 31.59, 13499, 1.10060540784673, 0.16859575866759, 1.19939394126206, 0, 0, -0.0278714880069657, 0.00659615393982865, -0.0344676419467944, 31.1158181818181, 31.1987096774194, 31.7827450980392, 31.7827450980392
3/17/2017, 31.79, 31.79, 31.52, 31.61, 17804, 1.08762159418489, 0.137386898729405, 1.12320336405318, 0, 0, 0.00575216712900328, 0.00642735657766357, -0.000675189448660291, 31.3721818181817, 31.1955698924731, 31.7961103047896, 31.7961103047896
3/20/2017, 31.58, 31.91, 31.58, 31.9, 5893, 1.07557155682054, 0.111973318387596, 1.0176469429035, 0, 0, 0.0551638380517296, 0.0161746528724768, 0.0389891851792529, 31.6865454545454, 31.2306666666667, 31.82964360587, 31.82964360587
3/21/2017, 31.97, 32, 31.17, 31.17, 9098, 1.17886416520521, -0.41982650493661, 0.690373567903634, 0, 0, 0.0350144196800599, 0.0199426062339934, 0.0150718134460665, 31.6874545454545, 31.1658279569893, 31.8082087542088, 31.8082087542088
3/22/2017, 31.08, 31.35, 30.98, 31.3, 4825, 1.17437495936019, -0.314688075464977, 0.702914704307476, 0, 0, 0.0291991839794008, 0.0217939217830749, 0.00740526219632591, 31.6561818181817, 31.1179569892473, 31.7970779220779, 31.7970779220779
3/23/2017, 31.13, 31.39, 31.13, 31.29, 4517, 1.15755958506153, -0.443186516459992, 0.566131520487481, 0, 0, 0.0235126126016283, 0.0221376599467856, 0.00137495265484272, 31.5445454545454, 31.0818494623656, 31.7857142857143, 31.7857142857143
3/24/2017, 31.26, 31.48, 31.26, 31.42, 1700, 1.13014122997284, -0.321019186645525, 0.440452036050291, 0, 0, 0.0291597420053478, 0.023542076358498, 0.00561766564684976, 31.4843636363636, 31.0673548387097, 31.7837144585602, 31.7837144585602
3/27/2017, 31.06, 31.48, 31.03, 31.48, 6130, 1.1430618034771, -0.112310292900504, 0.540866736733682, 0, 0, 0.0380381511734456, 0.0264412913214875, 0.011596859851958, 31.4854545454544, 31.0825376344086, 31.7856691992986, 31.7856691992986
3/28/2017, 31.55, 31.64, 31.48, 31.57, 6421, 1.10815350949592, -0.420957739343294, 0.640735109262486, 0, 0, 0.0517401737276693, 0.0315010678027239, 0.0202391059249454, 31.4316363636362, 31.1236129032258, 31.7932711864407, 31.7932711864407
3/29/2017, 31.56, 31.8, 31.56, 31.76, 16680, 1.08423129660097, -0.241022819936851, 0.693258460217147, 0, 0, 0.0770424401308034, 0.0406093422683398, 0.0364330978624636, 31.5059999999999, 31.1879139784947, 31.8126120218579, 31.8126120218579
3/30/2017, 31.66, 31.96, 31.65, 31.65, 6186, 1.0825727229398, -0.224120858929938, 0.636076252263395, 0, 0, 0.0872132478240779, 0.0499301233794874, 0.0372831244445905, 31.570909090909, 31.2531612903226, 31.8236488630354, 31.8236488630354
3/31/2017, 31.43, 31.68, 31.41, 31.53, 18286, 1.07517460662837, -0.0569057473444, 0.660802500986823, 0, 0, 0.084615296611414, 0.0568671580258727, 0.0277481385855413, 31.5950909090908, 31.3008172043011, 31.8263440860215, 31.8263440860215
4/3/2017, 31.64, 31.87, 31.63, 31.77, 11513, 1.06720939816313, 0.150167559536743, 0.752371851792982, 0, 0, 0.10076088701048, 0.0656459038227943, 0.0351149831876861, 31.7645454545453, 31.3614838709678, 31.8436061507936, 31.8436061507936
4/4/2017, 31.65, 31.86, 31.6, 31.86, 9551, 1.05178846361144, 0.394559051409894, 0.636511133891502, 0, 0, 0.119441781060907, 0.0764050792704168, 0.04303670179049, 31.8261818181817, 31.4719139784946, 31.8652740384615, 31.8652740384615
