Date,EFV_Open,EFV_High,EFV_Low,EFV_Close,EFV_Volume,EFV_ATRPercentOfClose20,EFV_SQN25,EFV_SQN50,EFV_SQN100,EFV_SQN200,EFV_MACD,EFV_MACD_Avg,EFV_MACD_Diff,EFV_LinReg10,EFV_LinReg30,EFV_LinReg90,EFV_LinReg270
1/3/2017, 47.53, 47.69, 47.5, 47.64, 578929, 0, 0, 0, 0, 0, 0, 0, 0, 47.64, 47.64, 47.64, 47.64
1/4/2017, 47.97, 48.36, 47.97, 48.36, 635801, 0, 0, 0, 0, 0, 0.0574358974358944, 0.0114871794871789, 0.0459487179487155, 48.36, 48.36, 48.36, 48.36
1/5/2017, 48.44, 48.76, 48.37, 48.72, 788493, 0, 0, 0, 0, 0, 0.130498940755345, 0.0352895317408121, 0.0952094090145329, 48.78, 48.78, 48.78, 48.78
1/6/2017, 48.44, 48.55, 48.36, 48.46, 349595, 0, 0, 0, 0, 0, 0.165514157706426, 0.0613344569339348, 0.104179700772491, 48.718, 48.718, 48.718, 48.718
1/9/2017, 48.23, 48.36, 48.14, 48.33, 1029098, 0, 0, 0, 0, 0, 0.180691160642951, 0.085205797675738, 0.0954853629672129, 48.598, 48.598, 48.598, 48.598
1/10/2017, 48.25, 48.46, 48.25, 48.3, 1344521, 0, 0, 0, 0, 0, 0.188129653990451, 0.105790568938681, 0.0823390850517705, 48.5123809523809, 48.5123809523809, 48.5123809523809, 48.5123809523809
1/11/2017, 48.25, 48.63, 48.15, 48.63, 985942, 0, 0, 0, 0, 0, 0.218138392037751, 0.128260133558495, 0.0898782584792565, 48.6121428571429, 48.6121428571429, 48.6121428571429, 48.6121428571429
1/12/2017, 48.7, 48.74, 48.45, 48.66, 694123, 0, 0, 0, 0, 0, 0.241556766382068, 0.150919460123209, 0.0906373062588587, 48.6833333333333, 48.6833333333333, 48.6833333333333, 48.6833333333333
1/13/2017, 48.74, 48.86, 48.7, 48.86, 746460, 0, 0, 0, 0, 0, 0.273106127861155, 0.175356793670799, 0.0977493341903563, 48.8026666666666, 48.8026666666666, 48.8026666666666, 48.8026666666666
1/17/2017, 48.77, 48.77, 48.62, 48.68, 875483, 0, 0, 0, 0, 0, 0.280352993659747, 0.196356033668588, 0.0839969599911588, 48.8196363636363, 48.8196363636363, 48.8196363636363, 48.8196363636363
1/18/2017, 48.52, 48.57, 48.33, 48.44, 3917056, 0, 0, 0, 0, 0, 0.263690532463087, 0.209822933427488, 0.0538675990355993, 48.6465454545455, 48.7527272727273, 48.7527272727273, 48.7527272727273
1/19/2017, 48.45, 48.5, 48.22, 48.39, 801028, 0, 0, 0, 0, 0, 0.24364227332083, 0.216586801406157, 0.0270554719146738, 48.5565454545455, 48.6867948717949, 48.6867948717949, 48.6867948717949
1/20/2017, 48.5, 48.66, 48.47, 48.66, 1883444, 0, 0, 0, 0, 0, 0.246696859197165, 0.222608812964358, 0.0240880462328067, 48.6301818181818, 48.7098901098901, 48.7098901098901, 48.7098901098901
1/23/2017, 48.5, 48.67, 48.41, 48.67, 1320341, 0, 0, 0, 0, 0, 0.247076413838769, 0.22750233313924, 0.0195740806995288, 48.6585454545455, 48.7291428571429, 48.7291428571429, 48.7291428571429
1/24/2017, 48.57, 48.81, 48.52, 48.79, 2465763, 0, 0, 0, 0, 0, 0.254130749653825, 0.232828016442157, 0.0213027332116678, 48.6909090909091, 48.77225, 48.77225, 48.77225
1/25/2017, 49.09, 49.33, 49.09, 49.33, 616971, 0, 0, 0, 0, 0, 0.299838497091216, 0.246230112571969, 0.0536083845192465, 48.8787272727273, 48.92875, 48.92875, 48.92875
1/26/2017, 49.29, 49.31, 49.07, 49.09, 796782, 0, 0, 0, 0, 0, 0.313087148250531, 0.259601519707682, 0.0534856285428498, 48.9934545454546, 49.0023529411765, 49.0023529411765, 49.0023529411765
1/27/2017, 48.99, 49.03, 48.86, 48.96, 665171, 0, 0, 0, 0, 0, 0.309528830517799, 0.269586981869705, 0.0399418486480938, 49.0441818181819, 49.0347953216374, 49.0347953216374, 49.0347953216374
1/30/2017, 48.52, 48.56, 48.31, 48.55, 547171, 0, 0, 0, 0, 0, 0.270507027957763, 0.269770991087317, 0.0007360368704461, 48.9769090909091, 48.9806842105263, 48.9806842105263, 48.9806842105263
1/31/2017, 48.66, 48.68, 48.36, 48.6, 871469, 0, 0, 0, 0, 0, 0.240840293439696, 0.263984851557792, -0.0231445581180964, 48.9078181818182, 48.9438571428572, 48.9438571428572, 48.9438571428572
2/1/2017, 48.9, 48.95, 48.64, 48.77, 1137793, 0, 0, 0, 0, 0, 0.228413760202585, 0.256870633286751, -0.0284568730841659, 48.8538181818182, 48.9422510822511, 48.9422510822511, 48.9422510822511
2/2/2017, 48.78, 48.86, 48.65, 48.79, 1063056, 0.690064562410331, 0, 0, 0, 0, 0.217670308119914, 0.249030568253383, -0.0313602601334699, 48.7787272727273, 48.9436363636364, 48.9436363636364, 48.9436363636364
2/3/2017, 48.88, 49.05, 48.82, 49.01, 625394, 0.679143797184249, 0, 0, 0, 0, 0.224322357820157, 0.244088926166738, -0.0197665683465816, 48.8118181818182, 48.9801086956522, 48.9801086956522, 48.9801086956522
2/6/2017, 48.54, 48.59, 48.41, 48.59, 366137, 0.712504540543322, 0, 0, 0, 0, 0.193473424020397, 0.23396582573747, -0.0404924017170732, 48.6827272727273, 48.9451666666667, 48.9451666666667, 48.9451666666667
2/7/2017, 48.46, 48.49, 48.37, 48.46, 268145, 0.701394260085639, 0, 0, 0, 0, 0.156728835726916, 0.218518427735359, -0.0617895920084428, 48.5370909090909, 48.8948, 48.8948, 48.8948
2/8/2017, 48.37, 48.5, 48.22, 48.47, 2206061, 0.695070921220602, 0.630543388069226, 0, 0, 0, 0.126951977824874, 0.200205137753262, -0.0732531599283885, 48.5209090909091, 48.8519658119658, 48.8519658119658, 48.8519658119658
2/9/2017, 48.49, 48.69, 48.47, 48.62, 609052, 0.68090463130367, 0.235123949865103, 0, 0, 0, 0.114141596530409, 0.182992429508691, -0.0688508329782823, 48.5554545454546, 48.8351587301587, 48.8351587301587, 48.8351587301587
2/10/2017, 48.65, 48.78, 48.6, 48.77, 526826, 0.663323846940439, 0.055969638380983, 0, 0, 0, 0.114770026040091, 0.169347948814971, -0.0545779227748804, 48.6414545454546, 48.8404187192118, 48.8404187192118, 48.8404187192118
2/13/2017, 48.96, 49.08, 48.91, 48.97, 493341, 0.659236038687378, 0.471987243575926, 0, 0, 0, 0.129908880772298, 0.161460135206437, -0.0315512544341386, 48.7249090909091, 48.8710344827586, 48.8710344827586, 48.8710344827586
2/14/2017, 48.92, 49.04, 48.71, 49.04, 471777, 0.659026292287824, 0.658867014124394, 0, 0, 0, 0.145873409342848, 0.158342790033719, -0.0124693806908714, 48.8196363636364, 48.9068602150538, 48.9068602150538, 48.9068602150538
2/15/2017, 48.85, 49.23, 48.85, 49.23, 1308830, 0.662253034838617, 0.851334287374379, 0, 0, 0, 0.171875550993938, 0.161049342225763, 0.0108262087681757, 48.9900000000001, 48.9124086021506, 48.9619153225807, 48.9619153225807
2/16/2017, 49.23, 49.32, 49.13, 49.32, 502499, 0.647254279396793, 0.654667371181196, 0, 0, 0, 0.197468390737733, 0.168333151928157, 0.0291352388095758, 49.1703636363637, 48.9671182795699, 49.0216477272728, 49.0216477272728
2/17/2017, 48.84, 48.97, 48.78, 48.93, 585484, 0.674973472447524, 0.248042642487635, 0, 0, 0, 0.184158297765059, 0.171498181095537, 0.0126601166695217, 49.231090909091, 48.9901505376344, 49.0298039215687, 49.0298039215687
2/21/2017, 48.99, 49.19, 48.97, 49.18, 208715, 0.664398727257309, 0.288432002170177, 0, 0, 0, 0.191574512128184, 0.175513447302067, 0.0160610648261178, 49.2985454545456, 49.0262150537635, 49.0650252100841, 49.0650252100841
2/22/2017, 48.86, 49.15, 48.83, 49.15, 1651068, 0.667169337460605, 0.424529777589192, 0, 0, 0, 0.192808588770198, 0.178972475595693, 0.0138361131745053, 49.2974545454547, 49.0451612903226, 49.0932857142857, 49.0932857142857
2/23/2017, 49.28, 49.33, 49.06, 49.2, 618006, 0.660605778239416, 0.699276618745874, 0, 0, 0, 0.195566813047897, 0.182291343086134, 0.0132754699617632, 49.2780000000001, 49.0631612903226, 49.123948948949, 49.123948948949
2/24/2017, 48.55, 48.82, 48.55, 48.79, 332632, 0.699461243593161, 0.351712980051923, 0, 0, 0, 0.16279258063814, 0.178391590596535, -0.0155990099583951, 49.1070909090911, 49.0453333333334, 49.1089615931721, 49.1089615931721
2/27/2017, 48.64, 48.8, 48.56, 48.77, 440503, 0.689365970292491, 0.107297919814276, 0, 0, 0, 0.133664135523517, 0.169446099581931, -0.0357819640584141, 48.9500000000002, 49.025935483871, 49.093036437247, 49.093036437247
2/28/2017, 48.7, 48.91, 48.7, 48.77, 831488, 0.676427300648073, 0.0986104980029441, 0, 0, 0, 0.10931946615424, 0.157420772896393, -0.0481013067421533, 48.8329090909092, 49.0191612903226, 49.0782692307693, 49.0782692307693
3/1/2017, 49.23, 49.53, 49.2, 49.39, 741781, 0.711477859485244, 0.472447540536591, 0, 0, 0, 0.138458890823266, 0.153628396481768, -0.0151695056585019, 48.9549090909093, 49.0796344086022, 49.1242804878049, 49.1242804878049
3/2/2017, 49.19, 49.28, 49.02, 49.04, 511940, 0.718452220758103, -0.220042501060629, 0, 0, 0, 0.131790817377933, 0.149260880661001, -0.0174700632830678, 48.9749090909093, 49.0751182795699, 49.1333449477352, 49.1333449477352
3/3/2017, 49.25, 49.5, 49.18, 49.47, 273825, 0.723089793019578, 0.305992938682826, 0, 0, 0, 0.159366647956347, 0.15128203412007, 0.00808461383627676, 49.1718181818184, 49.1179569892474, 49.1809966777409, 49.1809966777409
3/6/2017, 49.28, 49.31, 49.15, 49.27, 786994, 0.722197878174236, 0.251207599494254, 0, 0, 0, 0.163201083333092, 0.153665843962674, 0.00953523937041792, 49.2134545454548, 49.1464516129032, 49.2067019027484, 49.2067019027484
3/7/2017, 49.05, 49.22, 49.01, 49.1, 375925, 0.71494002005626, 0.457352129045815, 0, 0, 0, 0.150784175627315, 0.153089510295603, -0.00230533466828742, 49.2278181818184, 49.1501075268818, 49.2152727272727, 49.2152727272727
3/8/2017, 49.2, 49.21, 48.9, 48.92, 601260, 0.713376476605157, 0.268723563943208, 0, 0, 0, 0.124978516591426, 0.147467311554767, -0.0224887949633412, 49.1783636363639, 49.1361505376344, 49.2075169082126, 49.2075169082126
3/9/2017, 49.14, 49.23, 49, 49.14, 1534132, 0.706216084121857, 0.305965352923195, 0, 0, 0, 0.120886008610704, 0.142151050965955, -0.0212650423552508, 49.2274545454548, 49.1852688172043, 49.2186679000925, 49.2186679000925
3/10/2017, 49.47, 49.64, 49.39, 49.62, 419107, 0.714798175232984, 0.629409852666113, 0, 0, 0, 0.154592607672974, 0.144639362307359, 0.0099532453656157, 49.3636363636366, 49.2805161290323, 49.2684042553192, 49.2684042553192
3/13/2017, 49.65, 49.79, 49.65, 49.74, 2743010, 0.694508869768951, 0.557508309339561, 0, 0, 0, 0.188811822235458, 0.153473854292978, 0.0353379679424794, 49.4920000000003, 49.3789032258065, 49.3241156462585, 49.3241156462585
3/14/2017, 49.31, 49.36, 49.16, 49.24, 1422090, 0.725378302664343, 0.493295168918423, 0, 0, 0, 0.173584006610788, 0.15749588475654, 0.016088121854248, 49.3947272727276, 49.3814838709678, 49.3361632653062, 49.3361632653062
3/15/2017, 49.41, 50.06, 49.35, 50.04, 741920, 0.760026903317999, 1.03583896441065, 0, 0, 0, 0.223492880333794, 0.170695283871991, 0.0527975964618027, 49.6721818181822, 49.4844516129033, 49.4093176470589, 49.4093176470589
3/16/2017, 50.3, 50.34, 50.16, 50.31, 378800, 0.747965790696304, 1.19206224564489, 1.30778414801478, 0, 0, 0.281586808403567, 0.192873588778306, 0.0887132196252609, 49.9374545454549, 49.6237204301076, 49.4979411764706, 49.4979411764706
3/17/2017, 50.4, 50.54, 50.27, 50.4, 1816735, 0.736084344909414, 1.15230259768904, 1.05364422539124, 0, 0, 0.331072514915171, 0.220513374005679, 0.110559140909492, 50.2505454545459, 49.765806451613, 49.5872568940494, 49.5872568940494
3/20/2017, 50.38, 50.46, 50.18, 50.26, 681848, 0.729083136376099, 0.960466500997028, 0.806270929409453, 0, 0, 0.354902370274239, 0.247391173259391, 0.107511197014848, 50.4245454545459, 49.8944086021506, 49.6603144654088, 49.6603144654088
3/21/2017, 50.75, 50.76, 50, 50.06, 464036, 0.771305084150012, 0.70143773397275, 0.844458850294506, 0, 0, 0.353573597461263, 0.268627658099766, 0.0849459393614979, 50.441454545455, 49.9615698924731, 49.714101010101, 49.714101010101
3/22/2017, 49.75, 50.02, 49.73, 50, 391054, 0.766619117738443, 0.618497407598127, 0.884347850979616, 0, 0, 0.343716882608234, 0.283645503001459, 0.0600713796067748, 50.3492727272732, 50.0029677419355, 49.7600584415585, 49.7600584415585
3/23/2017, 49.85, 50.2, 49.85, 50.04, 482813, 0.762678019435972, 0.525500840899057, 0.921026288410499, 0, 0, 0.335268266895937, 0.293970055780355, 0.0412982111155825, 50.2560000000005, 50.0401720430108, 49.8057518796993, 49.8057518796993
3/24/2017, 50.17, 50.22, 50.02, 50.16, 1280623, 0.742746963475822, 0.542859064127352, 0.817426680974559, 0, 0, 0.334400909663842, 0.302056226557052, 0.0323446831067893, 50.2510909090914, 50.0924731182796, 49.8566666666667, 49.8566666666667
3/27/2017, 49.99, 50.32, 49.97, 50.29, 252784, 0.73858378014615, 0.903818969893963, 0.867208554756346, 0, 0, 0.340280890069877, 0.309701159259617, 0.0305797308102599, 50.2856363636369, 50.1613333333334, 49.9130742255991, 49.9130742255991
3/28/2017, 50.3, 50.6, 50.3, 50.51, 1305049, 0.729285475913134, 0.882502443080184, 0.873466719145107, 0, 0, 0.3585597249741, 0.319472872402514, 0.0390868525715861, 50.2661818181824, 50.2616344086022, 49.9805084745763, 49.9805084745763
3/29/2017, 50.27, 50.53, 50.21, 50.53, 212675, 0.724211338194217, 0.916357039020315, 0.984645024159536, 0, 0, 0.370390040355183, 0.329656305993048, 0.0407337343621351, 50.3443636363642, 50.3592043010753, 50.0451475409837, 50.0451475409837
3/30/2017, 50.39, 50.52, 50.34, 50.39, 242111, 0.708765210815759, 0.787111721364396, 1.0475554747874, 0, 0, 0.3642697456782, 0.336578993930078, 0.0276907517481221, 50.4014545454551, 50.4420645161291, 50.0969487043893, 50.0969487043893
3/31/2017, 50.18, 50.38, 50.09, 50.3, 571443, 0.704352783784409, 1.04324368787209, 1.02676181180785, 0, 0, 0.348143933658591, 0.338891981875781, 0.00925195178281002, 50.4410909090915, 50.5120215053764, 50.1399692780338, 50.1399692780338
4/3/2017, 50.12, 50.21, 49.73, 50.07, 871175, 0.729129174618294, 0.887681412706493, 0.761661178598232, 0, 0, 0.313194719869344, 0.333752529474493, -0.0205578096051495, 50.3787272727279, 50.5204731182796, 50.1661408730159, 50.1661408730159
4/4/2017, 49.82, 50.09, 49.79, 50.09, 271518, 0.722342241654643, 0.901272878207083, 0.766729171324505, 0, 0, 0.283839128212591, 0.323769849222113, -0.0399307210095218, 50.293636363637, 50.5407741935484, 50.191889423077, 50.191889423077
4/5/2017, 50.06, 50.17, 49.73, 49.78, 256945, 0.734692983934453, 0.290185777710328, 0.53449943977896, 0, 0, 0.232875754370831, 0.305591030251857, -0.0727152758810259, 50.0878181818189, 50.513870967742, 50.1973986013986, 50.1973986013986
