Date,EPP_Open,EPP_High,EPP_Low,EPP_Close,EPP_Volume,EPP_ATRPercentOfClose20,EPP_SQN25,EPP_SQN50,EPP_SQN100,EPP_SQN200,EPP_MACD,EPP_MACD_Avg,EPP_MACD_Diff,EPP_LinReg10,EPP_LinReg30,EPP_LinReg90,EPP_LinReg270
1/3/2017, 40.12, 40.27, 40.12, 40.21, 1057777, 0, 0, 0, 0, 0, 0, 0, 0, 40.21, 40.21, 40.21, 40.21
1/4/2017, 40.42, 40.7, 40.42, 40.66, 702946, 0, 0, 0, 0, 0, 0.0358974358974322, 0.00717948717948644, 0.0287179487179458, 40.66, 40.66, 40.66, 40.66
1/5/2017, 40.92, 41.26, 40.89, 41.18, 717734, 0, 0, 0, 0, 0, 0.105094601504852, 0.0267625100445596, 0.0783320914602928, 41.1683333333333, 41.1683333333333, 41.1683333333333, 41.1683333333333
1/6/2017, 41.03, 41.1, 40.96, 40.99, 677393, 0, 0, 0, 0, 0, 0.142954550610327, 0.0500009181577131, 0.0929536324526136, 41.189, 41.189, 41.189, 41.189
1/9/2017, 41.23, 41.47, 41.23, 41.36, 667388, 0, 0, 0, 0, 0, 0.200503461725901, 0.0801014268713507, 0.120402034854551, 41.406, 41.406, 41.406, 41.406
1/10/2017, 41.6, 41.8, 41.54, 41.64, 1348138, 0, 0, 0, 0, 0, 0.265642882551766, 0.117209718007434, 0.148433164544333, 41.6538095238095, 41.6538095238095, 41.6538095238095, 41.6538095238095
1/11/2017, 41.66, 42.05, 41.65, 42.04, 711669, 0, 0, 0, 0, 0, 0.345559603910466, 0.16287969518804, 0.182679908722426, 41.9717857142857, 41.9717857142857, 41.9717857142857, 41.9717857142857
1/12/2017, 41.99, 42.05, 41.87, 42.02, 456494, 0, 0, 0, 0, 0, 0.402638977010184, 0.210831551552469, 0.191807425457715, 42.1508333333333, 42.1508333333333, 42.1508333333333, 42.1508333333333
1/13/2017, 41.88, 42.02, 41.79, 42, 795705, 0, 0, 0, 0, 0, 0.441175363603861, 0.256900313962748, 0.184275049641114, 42.2517777777778, 42.2517777777778, 42.2517777777778, 42.2517777777778
1/17/2017, 41.99, 41.99, 41.88, 41.98, 386900, 0, 0, 0, 0, 0, 0.464744608215966, 0.298469172813391, 0.166275435402575, 42.3063636363636, 42.3063636363636, 42.3063636363636, 42.3063636363636
1/18/2017, 41.93, 41.98, 41.74, 41.79, 480245, 0, 0, 0, 0, 0, 0.462757610596199, 0.331326860369953, 0.131430750226246, 42.1987272727273, 42.2781818181818, 42.2781818181818, 42.2781818181818
1/19/2017, 41.99, 41.99, 41.8, 41.94, 536964, 0, 0, 0, 0, 0, 0.467893067041153, 0.358640101704193, 0.10925296533696, 42.1467272727273, 42.296282051282, 42.296282051282, 42.296282051282
1/20/2017, 41.78, 41.96, 41.75, 41.96, 495809, 0, 0, 0, 0, 0, 0.468179899674205, 0.380548061298195, 0.0876318383760093, 42.1358181818181, 42.310989010989, 42.310989010989, 42.310989010989
1/23/2017, 41.81, 41.94, 41.71, 41.93, 4179872, 0, 0, 0, 0, 0, 0.460676080230876, 0.396573665084731, 0.0641024151461442, 42.034, 42.3108571428571, 42.3108571428571, 42.3108571428571
1/24/2017, 41.97, 42.27, 41.97, 42.24, 720587, 0, 0, 0, 0, 0, 0.47427649428262, 0.412114230924309, 0.0621622633583107, 42.0619999999999, 42.3825, 42.3825, 42.3825
1/25/2017, 42.16, 42.39, 42.07, 42.38, 470317, 0, 0, 0, 0, 0, 0.490695320171788, 0.427830448773805, 0.0628648713979832, 42.1463636363636, 42.4686764705882, 42.4686764705882, 42.4686764705882
1/26/2017, 42.27, 42.35, 42.17, 42.21, 557733, 0, 0, 0, 0, 0, 0.484405849627159, 0.439145528944476, 0.0452603206826828, 42.2116363636364, 42.4990196078431, 42.4990196078431, 42.4990196078431
1/27/2017, 42.4, 42.43, 42.25, 42.33, 345994, 0, 0, 0, 0, 0, 0.483530556754559, 0.448022534506492, 0.0355080222480665, 42.3050909090909, 42.5460233918128, 42.5460233918128, 42.5460233918128
1/30/2017, 42.09, 42.14, 41.93, 42.1, 455034, 0, 0, 0, 0, 0, 0.458986887902753, 0.450215405185745, 0.00877148271700878, 42.2981818181818, 42.537947368421, 42.537947368421, 42.537947368421
1/31/2017, 42.11, 42.22, 42.06, 42.21, 537690, 0, 0, 0, 0, 0, 0.443301826689492, 0.448832689486494, -0.00553086279700221, 42.3198181818182, 42.5497142857143, 42.5497142857143, 42.5497142857143
2/1/2017, 42.46, 42.49, 42.2, 42.38, 858881, 0, 0, 0, 0, 0, 0.439522341958991, 0.446970619980994, -0.00744827802200243, 42.3496363636364, 42.5880952380952, 42.5880952380952, 42.5880952380952
2/2/2017, 42.5, 42.63, 42.48, 42.6, 469964, 0.683471244131455, 0, 0, 0, 0, 0.449102263130712, 0.447396948610937, 0.00170531451977457, 42.4532727272727, 42.6565217391304, 42.6565217391304, 42.6565217391304
2/3/2017, 42.59, 42.68, 42.52, 42.66, 608404, 0.667137394514767, 0, 0, 0, 0, 0.456276249654074, 0.449172808819565, 0.00710344083450959, 42.5456363636364, 42.7233695652174, 42.7233695652174, 42.7233695652174
2/6/2017, 42.27, 42.36, 42.19, 42.35, 243848, 0.693909732880755, 0, 0, 0, 0, 0.431967820295981, 0.445731811114848, -0.0137639908188671, 42.4867272727273, 42.7309666666667, 42.7309666666667, 42.7309666666667
2/7/2017, 42.28, 42.37, 42.23, 42.31, 312016, 0.676382021463601, 0, 0, 0, 0, 0.4048091611659, 0.437547281125058, -0.032738119959158, 42.4530909090909, 42.7302153846154, 42.7302153846154, 42.7302153846154
2/8/2017, 42.46, 42.58, 42.45, 42.56, 282947, 0.670508391957676, 2.17245753349534, 0, 0, 0, 0.398860819554969, 0.42980998881104, -0.0309491692560717, 42.53, 42.7647008547008, 42.7647008547008, 42.7647008547008
2/9/2017, 42.66, 42.73, 42.58, 42.69, 522905, 0.65495421184429, 1.98339406982101, 0, 0, 0, 0.400025385876262, 0.423853068224085, -0.0238276823478229, 42.608, 42.812037037037, 42.812037037037, 42.812037037037
2/10/2017, 42.87, 43.16, 42.87, 43.12, 446152, 0.670500824175582, 1.95817135870252, 0, 0, 0, 0.430681095833101, 0.425218673745888, 0.00546242208721315, 42.8323636363636, 42.9109113300493, 42.9109113300493, 42.9109113300493
2/13/2017, 43.22, 43.3, 43.17, 43.24, 308386, 0.656022103643121, 2.36346382334393, 0, 0, 0, 0.459363705106028, 0.432047680017916, 0.0273160250881122, 43.0090909090909, 43.0130344827586, 43.0130344827586, 43.0130344827586
2/14/2017, 43.2, 43.27, 42.94, 43.24, 376257, 0.66138011039436, 2.06014922201603, 0, 0, 0, 0.476600920859966, 0.440958328186326, 0.0356425926736394, 43.1456363636363, 43.102688172043, 43.102688172043, 43.102688172043
2/15/2017, 43.29, 43.75, 43.29, 43.75, 444224, 0.679272506852103, 2.12987846883224, 0, 0, 0, 0.525358273136014, 0.457838317176264, 0.0675199559597503, 43.4361818181818, 43.1904301075269, 43.244314516129, 43.244314516129
2/16/2017, 43.73, 43.76, 43.57, 43.61, 379097, 0.669164493603314, 1.63917202717241, 0, 0, 0, 0.546403397874954, 0.475551333316002, 0.0708520645589523, 43.6476363636363, 43.2675698924731, 43.3532954545455, 43.3532954545455
2/17/2017, 43.47, 43.67, 43.47, 43.66, 323943, 0.657882510026077, 1.71760414978404, 0, 0, 0, 0.560653528107743, 0.49257177227435, 0.0680817558333927, 43.8332727272727, 43.366688172043, 43.4559001782531, 43.4559001782531
2/21/2017, 43.57, 43.79, 43.5, 43.78, 399458, 0.65639545153841, 1.86683681965529, 0, 0, 0, 0.57500159563363, 0.509057736946206, 0.0659438586874239, 43.9438181818181, 43.4523655913978, 43.5608067226891, 43.5608067226891
2/22/2017, 43.71, 43.94, 43.71, 43.93, 1015454, 0.647624475869201, 2.04553679994569, 0, 0, 0, 0.591656046309083, 0.525577398818781, 0.0660786474903018, 44.0201818181818, 43.5637419354839, 43.671, 43.671
2/23/2017, 44.15, 44.18, 43.95, 44, 495106, 0.642673546901984, 2.42321880999351, 0, 0, 0, 0.603545931638187, 0.541171105382663, 0.0623748262555248, 44.0823636363636, 43.6860860215054, 43.7772972972973, 43.7772972972973
2/24/2017, 43.43, 43.65, 43.43, 43.55, 521443, 0.682290568553454, 1.55310778616121, 0, 0, 0, 0.57008591664944, 0.546954067636018, 0.0231318490134216, 43.9365454545454, 43.7627741935484, 43.8261450924608, 43.8261450924608
2/27/2017, 43.45, 43.64, 43.43, 43.62, 1237560, 0.671207394485965, 1.60082881407115, 0, 0, 0, 0.542958145172221, 0.546154883143259, -0.00319673797103737, 43.854, 43.8372688172043, 43.8767611336032, 43.8767611336032
