Date,EWH_Open,EWH_High,EWH_Low,EWH_Close,EWH_Volume,EWH_ATRPercentOfClose20,EWH_SQN25,EWH_SQN50,EWH_SQN100,EWH_SQN200,EWH_MACD,EWH_MACD_Avg,EWH_MACD_Diff,EWH_LinReg10,EWH_LinReg30,EWH_LinReg90,EWH_LinReg270
1/3/2017, 19.82, 19.87, 19.74, 19.8, 2407515, 0, 0, 0, 0, 0, 0, 0, 0, 19.8, 19.8, 19.8, 19.8
1/4/2017, 19.83, 19.94, 19.83, 19.93, 5990213, 0, 0, 0, 0, 0, 0.0103703703703673, 0.00207407407407345, 0.0082962962962938, 19.93, 19.93, 19.93, 19.93
1/5/2017, 20.1, 20.38, 20.1, 20.3, 8705457, 0, 0, 0, 0, 0, 0.047892793077974, 0.0112378178748536, 0.0366549752031204, 20.26, 20.26, 20.26, 20.26
1/6/2017, 20.23, 20.27, 20.16, 20.22, 2114058, 0, 0, 0, 0, 0, 0.0703631494092534, 0.0230628841817335, 0.0473002652275198, 20.307, 20.307, 20.307, 20.307
1/9/2017, 20.33, 20.36, 20.3, 20.31, 1300850, 0, 0, 0, 0, 0, 0.0943457573678437, 0.0373194588189556, 0.0570262985488881, 20.374, 20.374, 20.374, 20.374
1/10/2017, 20.59, 20.81, 20.58, 20.69, 4386118, 0, 0, 0, 0, 0, 0.14237377491526, 0.0583303220382165, 0.0840434528770436, 20.6019047619048, 20.6019047619048, 20.6019047619048, 20.6019047619048
1/11/2017, 20.77, 20.86, 20.72, 20.78, 3483827, 0, 0, 0, 0, 0, 0.185559557610066, 0.0837761691525864, 0.10178338845748, 20.7689285714286, 20.7689285714286, 20.7689285714286, 20.7689285714286
1/12/2017, 20.63, 20.63, 20.44, 20.49, 21437875, 0, 0, 0, 0, 0, 0.194146030574828, 0.105850141437035, 0.0882958891377932, 20.7458333333333, 20.7458333333333, 20.7458333333333, 20.7458333333333
1/13/2017, 20.6, 20.61, 20.56, 20.6, 2266926, 0, 0, 0, 0, 0, 0.207435762606195, 0.126167265670867, 0.0812684969353285, 20.7673333333333, 20.7673333333333, 20.7673333333333, 20.7673333333333
1/17/2017, 20.61, 20.65, 20.58, 20.63, 2732366, 0, 0, 0, 0, 0, 0.217877167900216, 0.144509246116737, 0.0733679217834793, 20.7887272727273, 20.7887272727273, 20.7887272727273, 20.7887272727273
1/18/2017, 20.85, 20.85, 20.77, 20.77, 2859129, 0, 0, 0, 0, 0, 0.234742916573307, 0.162555980208051, 0.0721869363652561, 20.8101818181818, 20.8454545454546, 20.8454545454546, 20.8454545454546
1/19/2017, 20.72, 20.8, 20.68, 20.73, 3981939, 0, 0, 0, 0, 0, 0.242090806085578, 0.178462945383556, 0.0636278607020218, 20.7909090909091, 20.8726923076923, 20.8726923076923, 20.8726923076923
1/20/2017, 20.74, 20.74, 20.63, 20.73, 2382906, 0, 0, 0, 0, 0, 0.24508882999308, 0.191788122305461, 0.0533007076876187, 20.802, 20.8908791208791, 20.8908791208791, 20.8908791208791
1/23/2017, 20.68, 20.78, 20.65, 20.77, 2438580, 0, 0, 0, 0, 0, 0.247835557214131, 0.202997609287195, 0.0448379479269362, 20.7874545454545, 20.9131428571429, 20.9131428571429, 20.9131428571429
1/24/2017, 20.76, 20.89, 20.75, 20.87, 2686013, 0, 0, 0, 0, 0, 0.255140422618503, 0.213426171953457, 0.0417142506650463, 20.7954545454546, 20.953, 20.953, 20.953
1/25/2017, 20.88, 20.97, 20.86, 20.97, 7926072, 0, 0, 0, 0, 0, 0.265933232577837, 0.223927584078333, 0.042005648499504, 20.8834545454546, 21.0059558823529, 21.0059558823529, 21.0059558823529
1/26/2017, 20.97, 21.11, 20.95, 21.02, 6765276, 0, 0, 0, 0, 0, 0.275347163656203, 0.234211499993907, 0.0411356636622966, 20.9914545454546, 21.0580392156863, 21.0580392156863, 21.0580392156863
1/27/2017, 21.11, 21.16, 20.98, 21.05, 4275485, 0, 0, 0, 0, 0, 0.281978053661689, 0.243764810727463, 0.0382132429342258, 21.0387272727273, 21.1053801169591, 21.1053801169591, 21.1053801169591
1/30/2017, 21.05, 21.05, 20.94, 21.02, 1598317, 0, 0, 0, 0, 0, 0.281566607897762, 0.251325170161523, 0.0302414377362392, 21.0670909090909, 21.1373684210526, 21.1373684210526, 21.1373684210526
1/31/2017, 21.01, 21.07, 20.99, 21.03, 2553180, 0, 0, 0, 0, 0, 0.278833234630895, 0.256826783055397, 0.0220064515754975, 21.082, 21.1647142857143, 21.1647142857143, 21.1647142857143
2/1/2017, 21.23, 21.23, 21.08, 21.09, 3060552, 0, 0, 0, 0, 0, 0.27830044093599, 0.261121514631516, 0.0171789263044739, 21.1238181818182, 21.1972727272727, 21.1972727272727, 21.1972727272727
2/2/2017, 20.93, 21.01, 20.9, 21.01, 1782681, 0.855045216563543, 0, 0, 0, 0, 0.268329728600254, 0.262563157425263, 0.00576657117499013, 21.1125454545455, 21.2102766798419, 21.2102766798419, 21.2102766798419
2/3/2017, 21, 21.04, 20.93, 21.01, 2282911, 0.83847096620657, 0, 0, 0, 0, 0.257460028296183, 0.261542531599447, -0.00408250330326415, 21.086, 21.2204347826087, 21.2204347826087, 21.2204347826087
2/6/2017, 20.99, 21.02, 20.94, 20.98, 1921314, 0.816752204480459, 0, 0, 0, 0, 0.243616701524662, 0.25795736558449, -0.0143406640598285, 21.0418181818182, 21.2236, 21.2236, 21.2236
2/7/2017, 21.06, 21.09, 20.95, 20.98, 3002631, 0.809279703884654, 0, 0, 0, 0, 0.229994531529602, 0.252364798773513, -0.0223702672439104, 21.0061818181818, 21.2255384615385, 21.2255384615385, 21.2255384615385
2/8/2017, 21.16, 21.2, 21.1, 21.16, 2268314, 0.814260575525757, 2.07302821278269, 0, 0, 0, 0.231059845276725, 0.248103808074155, -0.0170439627974299, 21.0467272727273, 21.2526495726496, 21.2526495726496, 21.2526495726496
2/9/2017, 21.12, 21.18, 21.1, 21.18, 2570800, 0.791702837073596, 1.91145427456254, 0, 0, 0, 0.230856773764906, 0.244654401212305, -0.0137976274473996, 21.0938181818182, 21.2785185185185, 21.2785185185185, 21.2785185185185
2/10/2017, 21.2, 21.31, 21.19, 21.26, 1943798, 0.779861372754366, 1.68486123951078, 0, 0, 0, 0.234448592110176, 0.24261323939188, -0.00816464728170307, 21.1658181818182, 21.3114778325123, 21.3114778325123, 21.3114778325123
2/13/2017, 21.25, 21.29, 21.21, 21.26, 1289621, 0.759682979563496, 1.86520178495185, 0, 0, 0, 0.234590915974877, 0.241008774708479, -0.0064178587336019, 21.2203636363637, 21.34, 21.34, 21.34
2/14/2017, 21.33, 21.41, 21.27, 21.4, 3346716, 0.752024165338501, 1.92471667646672, 0, 0, 0, 0.243197113692517, 0.241446442505287, 0.00175067118723041, 21.3121818181819, 21.3824946236559, 21.3824946236559, 21.3824946236559
2/15/2017, 21.43, 21.53, 21.39, 21.52, 1617259, 0.742967066976381, 1.80833766167906, 0, 0, 0, 0.256741033685628, 0.244505360741355, 0.0122356729442734, 21.4372727272728, 21.4069247311828, 21.4345564516129, 21.4345564516129
2/16/2017, 21.42, 21.42, 21.34, 21.4, 1326531, 0.751832650339493, 1.30230327594467, 0, 0, 0, 0.254853893695206, 0.246575067332125, 0.00827882636308047, 21.4814545454546, 21.4136989247312, 21.46625, 21.46625
2/17/2017, 21.41, 21.48, 21.4, 21.46, 1340102, 0.730883400810899, 2.76828033369014, 0, 0, 0, 0.255257372122141, 0.248311528290128, 0.00694584383201299, 21.5250909090909, 21.4432688172043, 21.5011051693405, 21.5011051693405
2/21/2017, 21.48, 21.55, 21.47, 21.55, 1690481, 0.712321108692891, 2.73207763069731, 0, 0, 0, 0.259844058956666, 0.250618034423436, 0.0092260245332304, 21.5692727272728, 21.4714408602151, 21.5421008403362, 21.5421008403362
2/22/2017, 21.59, 21.6, 21.53, 21.57, 1309066, 0.692303843194956, 2.69704008402237, 0, 0, 0, 0.262071872756287, 0.252908802090006, 0.00916307066628114, 21.5892727272728, 21.4995698924731, 21.5808095238096, 21.5808095238096
2/23/2017, 21.69, 21.73, 21.64, 21.66, 2112782, 0.691890314073382, 2.63486400436275, 0, 0, 0, 0.26801022404937, 0.255929086481879, 0.0120811375674906, 21.6441818181819, 21.5563225806452, 21.62496996997, 21.62496996997
2/24/2017, 21.47, 21.57, 21.47, 21.55, 1135121, 0.70473443121522, 2.29678242547183, 0, 0, 0, 0.260833602138828, 0.256909989613269, 0.00392361252555884, 21.6378181818182, 21.5988602150538, 21.6531721194879, 21.6531721194879
2/27/2017, 21.62, 21.72, 21.61, 21.71, 1278993, 0.703716059099658, 2.6030798485048, 0, 0, 0, 0.265001962725851, 0.258528384235785, 0.00647357849006569, 21.6825454545455, 21.6373978494624, 21.6945748987855, 21.6945748987855
2/28/2017, 21.57, 21.65, 21.53, 21.61, 1577542, 0.713271256867233, 2.10746227573146, 0, 0, 0, 0.257270598938184, 0.258276827176265, -0.00100622823808055, 21.6681818181819, 21.6627096774194, 21.7220384615385, 21.7220384615385
3/1/2017, 21.87, 21.99, 21.84, 21.93, 2570217, 0.754359428538798, 2.19048112990398, 0, 0, 0, 0.273808469487008, 0.261383155638414, 0.0124253138485945, 21.7732727272728, 21.7241075268817, 21.7775487804878, 21.7775487804878
3/2/2017, 21.7, 21.74, 21.65, 21.67, 1796452, 0.789845277086435, 1.2632526001092, 0, 0, 0, 0.262904425392932, 0.261687409589317, 0.00121701580361483, 21.7836363636364, 21.7534623655914, 21.8035540069687, 21.8035540069687
3/3/2017, 21.68, 21.72, 21.63, 21.69, 2124771, 0.770408012758871, 1.20855731798855, 0, 0, 0, 0.252960750670876, 0.259942077805629, -0.0069813271347528, 21.7687272727273, 21.7768817204301, 21.8288593576966, 21.8288593576966
3/6/2017, 21.64, 21.65, 21.57, 21.62, 1290118, 0.762009357396064, 1.01717982030852, 0, 0, 0, 0.236703333145947, 0.255294328873693, -0.018590995727746, 21.7258181818182, 21.7852258064516, 21.8454545454546, 21.8454545454546
3/7/2017, 21.62, 21.67, 21.59, 21.6, 1933831, 0.743097694053601, 1.03762185531906, 0, 0, 0, 0.219673124735863, 0.248170088046127, -0.028496963310264, 21.6852727272728, 21.7879569892473, 21.8586060606061, 21.8586060606061
3/8/2017, 21.76, 21.76, 21.65, 21.66, 2118850, 0.740921730469986, 1.12246557946579, 0, 0, 0, 0.208613296212459, 0.240258729679393, -0.0316454334669345, 21.6667272727273, 21.7996129032258, 21.8755362318841, 21.8755362318841
3/9/2017, 21.56, 21.6, 21.5, 21.57, 1999693, 0.743901087059847, 0.845137845343054, 0, 0, 0, 0.190391341714488, 0.230285252086412, -0.0398939103719243, 21.6301818181818, 21.8014193548387, 21.8832654949122, 21.8832654949122
3/10/2017, 21.77, 21.81, 21.71, 21.78, 1313967, 0.754988481427311, 1.30261515289249, 0, 0, 0, 0.190697316489988, 0.222367664967127, -0.0316703484771392, 21.649090909091, 21.8293333333333, 21.9073936170213, 21.9073936170213
3/13/2017, 21.76, 21.76, 21.71, 21.76, 1864572, 0.733982843254251, 1.266940337482, 0, 0, 0, 0.187168409929598, 0.215327813959621, -0.0281594040300238, 21.6805454545455, 21.8518064516129, 21.9278486394558, 21.9278486394558
3/14/2017, 21.72, 21.72, 21.64, 21.67, 1423113, 0.727867712771199, 1.15386878822171, 0, 0, 0, 0.175091136585365, 0.20728047848477, -0.0321893418994049, 21.6581818181819, 21.8562795698925, 21.9394204081633, 21.9394204081633
3/15/2017, 21.77, 22.01, 21.76, 21.95, 5269715, 0.760102445055321, 1.49580693289784, 0, 0, 0, 0.185969727138055, 0.203018328215427, -0.0170486010773724, 21.7932727272728, 21.8927526881721, 21.9716235294118, 21.9716235294118
3/16/2017, 22.23, 22.23, 22.14, 22.17, 2402603, 0.778080118877586, 1.52558376364786, 2.54769311867892, 0, 0, 0.209923383814512, 0.204399339335244, 0.00552404447926827, 21.9512727272728, 21.9552043010753, 22.0181146304676, 22.0181146304676
3/17/2017, 22.21, 22.22, 22.13, 22.19, 1808161, 0.758789293543951, 1.5241243917847, 2.43168276362522, 0, 0, 0.227893646067415, 0.209098200681678, 0.0187954453857363, 22.0929090909092, 22.0078924731183, 22.0627358490566, 22.0627358490566
