Date,EWJ_Open,EWJ_High,EWJ_Low,EWJ_Close,EWJ_Volume,EWJ_ATRPercentOfClose20,EWJ_SQN25,EWJ_SQN50,EWJ_SQN100,EWJ_SQN200,EWJ_MACD,EWJ_MACD_Avg,EWJ_MACD_Diff,EWJ_LinReg10,EWJ_LinReg30,EWJ_LinReg90,EWJ_LinReg270
1/3/2017, 49.06, 49.29, 48.93, 49.26, 9607298, 0, 0, 0, 0, 0, 0, 0, 0, 49.26, 49.26, 49.26, 49.26
1/4/2017, 49.98, 50.28, 49.98, 50.25, 10819623, 0, 0, 0, 0, 0, 0.0789743589743637, 0.0157948717948727, 0.0631794871794909, 50.25, 50.25, 50.25, 50.25
1/5/2017, 50.51, 50.64, 50.47, 50.54, 7376118, 0, 0, 0, 0, 0, 0.163082767185344, 0.045252450872967, 0.117830316312377, 50.6566666666667, 50.6566666666667, 50.6566666666667, 50.6566666666667
1/6/2017, 50.41, 50.56, 50.37, 50.46, 3625684, 0, 0, 0, 0, 0, 0.220739408750234, 0.0803498424484203, 0.140389566301813, 50.711, 50.711, 50.711, 50.711
1/9/2017, 50.49, 50.52, 50.4, 50.51, 4773207, 0, 0, 0, 0, 0, 0.267385046343811, 0.117756883227499, 0.149628163116313, 50.746, 50.746, 50.746, 50.746
1/10/2017, 50.32, 50.47, 50.28, 50.32, 5181435, 0, 0, 0, 0, 0, 0.28572695561121, 0.151350897704241, 0.134376057906969, 50.6519047619048, 50.6519047619048, 50.6519047619048, 50.6519047619048
1/11/2017, 50.37, 50.67, 50.36, 50.65, 7432332, 0, 0, 0, 0, 0, 0.323166036027416, 0.185713925368876, 0.13745211065854, 50.7428571428572, 50.7428571428572, 50.7428571428572, 50.7428571428572
1/12/2017, 50.56, 50.6, 50.28, 50.57, 8867823, 0, 0, 0, 0, 0, 0.342434078677982, 0.217057956030697, 0.125376122647285, 50.76, 50.76, 50.76, 50.76
1/13/2017, 50.7, 50.92, 50.64, 50.89, 7652700, 0, 0, 0, 0, 0, 0.379154806353746, 0.249477326095307, 0.129677480258439, 50.8873333333334, 50.8873333333334, 50.8873333333334, 50.8873333333334
1/17/2017, 50.33, 50.47, 50.22, 50.32, 8532318, 0, 0, 0, 0, 0, 0.358133669275169, 0.271208594731279, 0.0869250745438896, 50.7738181818182, 50.7738181818182, 50.7738181818182, 50.7738181818182
1/18/2017, 50.29, 50.4, 50.17, 50.31, 5031507, 0, 0, 0, 0, 0, 0.336785101258904, 0.284323896036804, 0.0524612052220998, 50.5272727272727, 50.6863636363637, 50.6863636363637, 50.6863636363637
1/19/2017, 50.28, 50.31, 50.02, 50.17, 5322257, 0, 0, 0, 0, 0, 0.305052917186231, 0.28846970026669, 0.0165832169195411, 50.3730909090909, 50.5785897435898, 50.5785897435898, 50.5785897435898
1/20/2017, 50.56, 50.61, 50.37, 50.49, 5806807, 0, 0, 0, 0, 0, 0.302242198414916, 0.291224199896335, 0.0110179985185812, 50.3918181818182, 50.5838461538462, 50.5838461538462, 50.5838461538462
1/23/2017, 50.37, 50.6, 50.33, 50.52, 9607070, 0, 0, 0, 0, 0, 0.298988875179099, 0.292777134952888, 0.00621174022621079, 50.4076363636364, 50.5945714285714, 50.5945714285714, 50.5945714285714
1/24/2017, 50.41, 50.69, 50.37, 50.65, 5980870, 0, 0, 0, 0, 0, 0.30340306494957, 0.294902320952224, 0.00850074399734613, 50.4750909090909, 50.6335, 50.6335, 50.6335
1/25/2017, 50.89, 51.19, 50.84, 51.18, 14351239, 0, 0, 0, 0, 0, 0.345683093231848, 0.305058475408149, 0.0406246178236991, 50.68, 50.7844852941177, 50.7844852941177, 50.7844852941177
1/26/2017, 51.46, 51.5, 51.25, 51.25, 7892066, 0, 0, 0, 0, 0, 0.380453108629858, 0.320137402052491, 0.0603157065773672, 50.9281818181818, 50.9205882352941, 50.9205882352941, 50.9205882352941
1/27/2017, 50.98, 51.02, 50.76, 50.83, 6429324, 0, 0, 0, 0, 0, 0.369854652219409, 0.330080852085875, 0.0397738001335346, 50.9825454545454, 50.9447953216375, 50.9447953216375, 50.9447953216375
1/30/2017, 50.71, 50.75, 50.41, 50.69, 7351514, 0, 0, 0, 0, 0, 0.346168059279947, 0.333298293524689, 0.0128697657552577, 51.0383636363636, 50.9364210526316, 50.9364210526316, 50.9364210526316
1/31/2017, 50.58, 50.65, 50.32, 50.57, 10312788, 0, 0, 0, 0, 0, 0.314092602597697, 0.329457155339291, -0.015364552741594, 50.9496363636363, 50.9061428571429, 50.9061428571429, 50.9061428571429
2/1/2017, 50.96, 51.02, 50.78, 50.84, 9633265, 0, 0, 0, 0, 0, 0.306921317703079, 0.324949987812048, -0.0180286701089694, 50.9385454545454, 50.9277056277056, 50.9277056277056, 50.9277056277056
2/2/2017, 50.69, 50.85, 50.63, 50.82, 4008403, 0.750969106650926, 0, 0, 0, 0, 0.29620966922208, 0.319201924094055, -0.0229922548719749, 50.8636363636363, 50.9418577075099, 50.9418577075099, 50.9418577075099
2/3/2017, 50.87, 51.12, 50.84, 51.05, 6329503, 0.739589373163566, 0, 0, 0, 0, 0.302789321617631, 0.31591940359877, -0.013130081981139, 50.8967272727272, 50.9907608695652, 50.9907608695652, 50.9907608695652
2/6/2017, 50.8, 50.99, 50.72, 50.97, 3333008, 0.736084669903865, 0, 0, 0, 0, 0.298111962991712, 0.312357915477358, -0.0142459524856466, 50.8776363636363, 51.0196666666667, 51.0196666666667, 51.0196666666667
2/7/2017, 50.92, 50.99, 50.9, 50.94, 3109963, 0.708526184604437, 0, 0, 0, 0, 0.288656916056972, 0.307617715593281, -0.018960799536309, 50.8496363636362, 51.0395384615385, 51.0395384615385, 51.0395384615385
2/8/2017, 51.11, 51.13, 51.01, 51.09, 3059275, 0.689718294217314, 1.2192258842046, 0, 0, 0, 0.289925390212865, 0.304079250517198, -0.0141538603043329, 50.9636363636362, 51.0780341880342, 51.0780341880342, 51.0780341880342
