Date,EWS_Open,EWS_High,EWS_Low,EWS_Close,EWS_Volume,EWS_ATRPercentOfClose20,EWS_SQN25,EWS_SQN50,EWS_SQN100,EWS_SQN200,EWS_MACD,EWS_MACD_Avg,EWS_MACD_Diff,EWS_LinReg10,EWS_LinReg30,EWS_LinReg90,EWS_LinReg270
1/3/2017, 20.07, 20.13, 20.03, 20.13, 824417, 0, 0, 0, 0, 0, 0, 0, 0, 20.13, 20.13, 20.13, 20.13
1/4/2017, 20.37, 20.47, 20.36, 20.45, 735009, 0, 0, 0, 0, 0, 0.025527065527065, 0.00510541310541299, 0.020421652421652, 20.45, 20.45, 20.45, 20.45
1/5/2017, 20.77, 20.9, 20.74, 20.84, 952595, 0, 0, 0, 0, 0, 0.0763471075721789, 0.0193537519987662, 0.0569933555734127, 20.8283333333333, 20.8283333333333, 20.8283333333333, 20.8283333333333
1/6/2017, 20.72, 20.75, 20.7, 20.71, 446394, 0, 0, 0, 0, 0, 0.104922956951434, 0.0364675929892997, 0.0684553639621341, 20.852, 20.852, 20.852, 20.852
1/9/2017, 20.77, 20.9, 20.77, 20.87, 435264, 0, 0, 0, 0, 0, 0.13887927248274, 0.0569499288879877, 0.081929343594752, 20.948, 20.948, 20.948, 20.948
1/10/2017, 21.04, 21.14, 21.04, 21.07, 923946, 0, 0, 0, 0, 0, 0.179854969580113, 0.0815309370264127, 0.0983240325537001, 21.0947619047619, 21.0947619047619, 21.0947619047619, 21.0947619047619
1/11/2017, 21.03, 21.22, 20.96, 21.18, 1400768, 0, 0, 0, 0, 0, 0.21868373545891, 0.108961496712912, 0.109722238745998, 21.2235714285714, 21.2235714285714, 21.2235714285714, 21.2235714285714
1/12/2017, 21.25, 21.25, 21.15, 21.23, 751645, 0, 0, 0, 0, 0, 0.250601614874387, 0.137289520345207, 0.11331209452918, 21.3183333333333, 21.3183333333333, 21.3183333333333, 21.3183333333333
1/13/2017, 21.39, 21.41, 21.32, 21.37, 560708, 0, 0, 0, 0, 0, 0.283920732765438, 0.166615762829253, 0.117304969936184, 21.4282222222222, 21.4282222222222, 21.4282222222222, 21.4282222222222
1/17/2017, 21.38, 21.4, 21.31, 21.32, 650354, 0, 0, 0, 0, 0, 0.30280128686509, 0.193852867636421, 0.10894841922867, 21.4818181818182, 21.4818181818182, 21.4818181818182, 21.4818181818182
