Date,EWW_Open,EWW_High,EWW_Low,EWW_Close,EWW_Volume,EWW_ATRPercentOfClose20,EWW_SQN25,EWW_SQN50,EWW_SQN100,EWW_SQN200,EWW_MACD,EWW_MACD_Avg,EWW_MACD_Diff,EWW_LinReg10,EWW_LinReg30,EWW_LinReg90,EWW_LinReg270
1/3/2017, 44.28, 44.76, 43.49, 43.63, 4291389, 0, 0, 0, 0, 0, 0, 0, 0, 43.63, 43.63, 43.63, 43.63
1/4/2017, 43.56, 43.73, 42.76, 43.1, 5214786, 0, 0, 0, 0, 0, -0.0422792022792038, -0.00845584045584076, -0.033823361823363, 43.1, 43.1, 43.1, 43.1
1/5/2017, 43.59, 43.86, 43.13, 43.43, 4554183, 0, 0, 0, 0, 0, -0.0485973328138627, -0.0164841389274451, -0.0321131938864175, 43.2866666666667, 43.2866666666667, 43.2866666666667, 43.2866666666667
1/6/2017, 43.46, 43.79, 43.1, 43.12, 3309670, 0, 0, 0, 0, 0, -0.0777229640553827, -0.0287319039530327, -0.04899106010235, 43.14, 43.14, 43.14, 43.14
1/9/2017, 43.04, 43.11, 42.14, 42.34, 4227989, 0, 0, 0, 0, 0, -0.161878681249675, -0.0553612594123612, -0.106517421837314, 42.612, 42.612, 42.612, 42.612
1/10/2017, 42.11, 42.46, 41.91, 41.96, 5766284, 0, 0, 0, 0, 0, -0.256281266729538, -0.0955452608757964, -0.160736005853741, 42.1485714285714, 42.1485714285714, 42.1485714285714, 42.1485714285714
1/11/2017, 41.94, 42.13, 41.23, 41.83, 6790083, 0, 0, 0, 0, 0, -0.337693192484657, -0.143974847197569, -0.193718345287089, 41.8332142857143, 41.8332142857143, 41.8332142857143, 41.8332142857143
1/12/2017, 42.12, 42.46, 41.93, 42.03, 3127221, 0, 0, 0, 0, 0, -0.381674693375594, -0.191514816433174, -0.19015987694242, 41.7325, 41.7325, 41.7325, 41.7325
1/13/2017, 42.15, 42.96, 42.15, 42.65, 5271855, 0, 0, 0, 0, 0, -0.362324875630591, -0.225676828272657, -0.136648047357934, 41.9106666666667, 41.9106666666667, 41.9106666666667, 41.9106666666667
1/17/2017, 42.56, 42.7, 42.24, 42.45, 2973753, 0, 0, 0, 0, 0, -0.358990119555379, -0.252339486529202, -0.106650633026178, 41.9716363636364, 41.9716363636364, 41.9716363636364, 41.9716363636364
1/18/2017, 42.19, 42.35, 41.68, 41.97, 3174948, 0, 0, 0, 0, 0, -0.390576961723752, -0.279986981568112, -0.110589980155641, 41.9305454545455, 41.8677272727273, 41.8677272727273, 41.8677272727273
1/19/2017, 42.06, 42.09, 41.55, 41.74, 3033694, 0, 0, 0, 0, 0, -0.429221046479888, -0.309833794550467, -0.119387251929421, 41.7945454545455, 41.7279487179488, 41.7279487179488, 41.7279487179488
1/20/2017, 42.28, 42.81, 41.85, 42.64, 6741792, 0, 0, 0, 0, 0, -0.382811471328942, -0.324429329906162, -0.0583821414227801, 42.1096363636364, 41.8739560439561, 41.8739560439561, 41.8739560439561
1/23/2017, 42.88, 43.92, 42.75, 43.83, 5667707, 0, 0, 0, 0, 0, -0.247159394258226, -0.308975342776575, 0.061815948518349, 42.8169090909092, 42.2957142857143, 42.2957142857143, 42.2957142857143
1/24/2017, 44.05, 44.86, 44.01, 44.46, 4442866, 0, 0, 0, 0, 0, -0.0878062353651075, -0.264741521294281, 0.176935285929174, 43.547090909091, 42.7805833333333, 42.7805833333333, 42.7805833333333
1/25/2017, 44.8, 45.79, 44.62, 45.46, 8789758, 0, 0, 0, 0, 0, 0.117815826278957, -0.188230051779634, 0.30604587805859, 44.431090909091, 43.3952205882353, 43.3952205882353, 43.3952205882353
1/26/2017, 44.79, 45.14, 44.03, 44.41, 11917002, 0, 0, 0, 0, 0, 0.193812417865857, -0.111821557850536, 0.305633975716393, 44.7354545454546, 43.6643137254902, 43.6643137254902, 43.6643137254902
1/27/2017, 44.66, 45.42, 44.53, 45.1, 6837480, 0, 0, 0, 0, 0, 0.30618795352094, -0.0282196555762406, 0.334407609097181, 45.1774545454546, 44.023918128655, 44.023918128655, 44.023918128655
1/30/2017, 45.23, 45.35, 44.71, 45.08, 3082192, 0, 0, 0, 0, 0, 0.389146701358726, 0.0552536158107527, 0.333893085547973, 45.569090909091, 44.3152631578947, 44.3152631578947, 44.3152631578947
