Date,EWY_Open,EWY_High,EWY_Low,EWY_Close,EWY_Volume,EWY_ATRPercentOfClose20,EWY_SQN25,EWY_SQN50,EWY_SQN100,EWY_SQN200,EWY_MACD,EWY_MACD_Avg,EWY_MACD_Diff,EWY_LinReg10,EWY_LinReg30,EWY_LinReg90,EWY_LinReg270
1/3/2017, 53.96, 54.04, 53.8, 54.03, 3059882, 0, 0, 0, 0, 0, 0, 0, 0, 54.03, 54.03, 54.03, 54.03
1/4/2017, 54.28, 54.51, 54.25, 54.4, 2253107, 0, 0, 0, 0, 0, 0.0295156695156678, 0.00590313390313355, 0.0236125356125342, 54.4, 54.4, 54.4, 54.4
1/5/2017, 54.73, 55.07, 54.66, 54.94, 2837613, 0, 0, 0, 0, 0, 0.0953810439850216, 0.0237987159195112, 0.0715823280655104, 54.9116666666667, 54.9116666666667, 54.9116666666667, 54.9116666666667
1/6/2017, 54.56, 54.56, 54.33, 54.34, 1695998, 0, 0, 0, 0, 0, 0.0980347585238661, 0.0386459244403821, 0.059388834083484, 54.648, 54.648, 54.648, 54.648
1/9/2017, 54.05, 54.36, 54.05, 54.24, 1467474, 0, 0, 0, 0, 0, 0.0910194663987625, 0.0491206328320582, 0.0418988335667042, 54.462, 54.462, 54.462, 54.462
1/10/2017, 54.45, 54.7, 54.4, 54.47, 1408602, 0, 0, 0, 0, 0, 0.10283347437597, 0.0598632011408406, 0.0429702732351294, 54.4833333333333, 54.4833333333333, 54.4833333333333, 54.4833333333333
1/11/2017, 55.48, 56.04, 55.23, 55.99, 3974761, 0, 0, 0, 0, 0, 0.232171133339584, 0.0943247875805893, 0.137846345758995, 55.2, 55.2, 55.2, 55.2
1/12/2017, 56.24, 56.75, 56.23, 56.72, 3969075, 0, 0, 0, 0, 0, 0.389091850381284, 0.153278200140728, 0.235813650240556, 55.9441666666667, 55.9441666666667, 55.9441666666667, 55.9441666666667
1/13/2017, 56.23, 56.72, 56.23, 56.69, 1499340, 0, 0, 0, 0, 0, 0.505208174554909, 0.223664195023564, 0.281543979531344, 56.4131111111111, 56.4131111111111, 56.4131111111111, 56.4131111111111
1/17/2017, 56.91, 57.08, 56.9, 57.08, 2399983, 0, 0, 0, 0, 0, 0.62153625560768, 0.303238607140387, 0.318297648467292, 56.8598181818182, 56.8598181818182, 56.8598181818182, 56.8598181818182
