Date,EWZ_Open,EWZ_High,EWZ_Low,EWZ_Close,EWZ_Volume,EWZ_ATRPercentOfClose20,EWZ_SQN25,EWZ_SQN50,EWZ_SQN100,EWZ_SQN200,EWZ_MACD,EWZ_MACD_Avg,EWZ_MACD_Diff,EWZ_LinReg10,EWZ_LinReg30,EWZ_LinReg90,EWZ_LinReg270
1/3/2017, 34.05, 34.61, 34.02, 34.46, 20781143, 0, 0, 0, 0, 0, 0, 0, 0, 34.46, 34.46, 34.46, 34.46
1/4/2017, 34.73, 34.94, 34.6, 34.81, 13846728, 0, 0, 0, 0, 0, 0.0279202279202266, 0.00558404558404533, 0.0223361823361813, 34.81, 34.81, 34.81, 34.81
1/5/2017, 34.97, 35.48, 34.9, 35.22, 13077505, 0, 0, 0, 0, 0, 0.0821834238358434, 0.0209039212344049, 0.0612795026014385, 35.21, 35.21, 35.21, 35.21
1/6/2017, 35.03, 35.09, 34.63, 34.86, 12121425, 0, 0, 0, 0, 0, 0.09504281181718, 0.03573169935096, 0.05931111246622, 35.079, 35.079, 35.079, 35.079
1/9/2017, 35.18, 35.36, 34.81, 34.85, 24442587, 0, 0, 0, 0, 0, 0.103237001126587, 0.0492327597060853, 0.0540042414205015, 35.006, 35.006, 35.006, 35.006
1/10/2017, 35.37, 35.52, 35.03, 35.25, 15983270, 0, 0, 0, 0, 0, 0.140389291883217, 0.0674640661415117, 0.0729252257417053, 35.1733333333333, 35.1733333333333, 35.1733333333333, 35.1733333333333
1/11/2017, 34.75, 36.15, 34.56, 36.03, 21222583, 0, 0, 0, 0, 0, 0.230119556243736, 0.0999951641619565, 0.130124392081779, 35.6278571428572, 35.6278571428572, 35.6278571428572, 35.6278571428572
1/12/2017, 36.35, 36.59, 36.2, 36.42, 19758394, 0, 0, 0, 0, 0, 0.328909711440794, 0.145778073617724, 0.18313163782307, 36.0666666666667, 36.0666666666667, 36.0666666666667, 36.0666666666667
1/13/2017, 35.88, 36.1, 35.58, 35.94, 14507692, 0, 0, 0, 0, 0, 0.364270548573074, 0.189476568608794, 0.17479397996428, 36.1662222222222, 36.1662222222222, 36.1662222222222, 36.1662222222222
1/17/2017, 35.73, 36.4, 35.54, 36.19, 21582781, 0, 0, 0, 0, 0, 0.40776669676989, 0.233134594241013, 0.174632102528877, 36.3136363636363, 36.3136363636363, 36.3136363636363, 36.3136363636363
1/18/2017, 35.99, 36.19, 35.64, 35.66, 15508663, 0, 0, 0, 0, 0, 0.394918759354063, 0.265491427263623, 0.12942733209044, 36.2138181818182, 36.2436363636363, 36.2436363636363, 36.2436363636363
1/19/2017, 36.13, 36.14, 35.76, 36.13, 23827913, 0, 0, 0, 0, 0, 0.41784509033193, 0.295962159877285, 0.121882930454646, 36.2809090909091, 36.3253846153846, 36.3253846153846, 36.3253846153846
1/20/2017, 36.37, 36.72, 36.1, 36.68, 26899867, 0, 0, 0, 0, 0, 0.474920191920496, 0.331753766285927, 0.143166425634569, 36.548, 36.5336263736264, 36.5336263736264, 36.5336263736264
1/23/2017, 36.92, 37.71, 36.76, 37.67, 28922261, 0, 0, 0, 0, 0, 0.593199314909597, 0.384042876010661, 0.209156438898936, 37.0054545454545, 36.9442857142857, 36.9442857142857, 36.9442857142857
1/24/2017, 37.3, 37.6, 37.18, 37.39, 17856254, 0, 0, 0, 0, 0, 0.656771854973314, 0.438588671803192, 0.218183183170123, 37.2109090909091, 37.1940833333333, 37.1940833333333, 37.1940833333333
1/25/2017, 37.69, 37.99, 37.59, 37.96, 12952351, 0, 0, 0, 0, 0, 0.744564906533512, 0.499783918749256, 0.244780987784256, 37.5547272727272, 37.5183088235294, 37.5183088235294, 37.5183088235294
1/26/2017, 37.5, 37.66, 37.29, 37.58, 18921414, 0, 0, 0, 0, 0, 0.774550175915053, 0.554737170182415, 0.219813005732638, 37.7754545454545, 37.6935294117647, 37.6935294117647, 37.6935294117647
1/27/2017, 37.63, 37.81, 37.53, 37.77, 9060050, 0, 0, 0, 0, 0, 0.804372820861666, 0.604664300318265, 0.1997085205434, 38.0552727272727, 37.8711111111111, 37.8711111111111, 37.8711111111111
1/30/2017, 37.33, 37.41, 36.94, 37.06, 11740843, 0, 0, 0, 0, 0, 0.761933322505179, 0.636118104755648, 0.125815217749531, 37.9201818181818, 37.8753157894737, 37.8753157894737, 37.8753157894737
1/31/2017, 37.24, 37.37, 36.81, 36.87, 10519487, 0, 0, 0, 0, 0, 0.704843307297047, 0.649863145263928, 0.0549801620331188, 37.7083636363636, 37.8395714285714, 37.8395714285714, 37.8395714285714
2/1/2017, 37.26, 37.32, 36.92, 37.16, 9357342, 0, 0, 0, 0, 0, 0.675216163674754, 0.654933748946093, 0.0202824147286612, 37.4536363636363, 37.8574458874459, 37.8574458874459, 37.8574458874459
2/2/2017, 37.29, 37.53, 37.09, 37.31, 8173063, 1.75023787188421, 0, 0, 0, 0, 0.656275054982927, 0.65520201015346, 0.00107304482946735, 37.262909090909, 37.8950197628458, 37.8950197628458, 37.8950197628458
2/3/2017, 37.55, 37.92, 37.42, 37.6, 12517955, 1.73101878324468, 0, 0, 0, 0, 0.657090140139104, 0.655579636150589, 0.00151050398851504, 37.2179999999999, 37.9716304347826, 37.9716304347826, 37.9716304347826
2/6/2017, 37.35, 37.47, 36.97, 37.03, 9535060, 1.75484717627599, 0, 0, 0, 0, 0.604770447425125, 0.645417798405496, -0.0406473509803714, 37.1239999999999, 37.9457, 37.9457, 37.9457
2/7/2017, 37.23, 37.34, 36.95, 37.03, 7513005, 1.71976482286322, 0, 0, 0, 0, 0.556887264273989, 0.627711691579195, -0.0708244273052058, 37.008909090909, 37.9208615384615, 37.9208615384615, 37.9208615384615
2/8/2017, 36.93, 37.66, 36.87, 37.58, 11056689, 1.71497463600569, 1.45340878830087, 0, 0, 0, 0.556900300104033, 0.613549413284162, -0.0566491131801296, 37.2174545454545, 37.9770085470085, 37.9770085470085, 37.9770085470085
2/9/2017, 37.53, 37.76, 37.25, 37.44, 11799403, 1.70342706944549, 1.22564676357622, 0, 0, 0, 0.539395980026669, 0.598718726632664, -0.0593227466059951, 37.3223636363636, 38.0046031746032, 38.0046031746032, 38.0046031746032
2/10/2017, 37.84, 38.35, 37.8, 38.27, 16044658, 1.70205105842794, 1.34517182462814, 0, 0, 0, 0.585745632615321, 0.596124107829195, -0.010378475213874, 37.7596363636363, 38.1395073891625, 38.1395073891625, 38.1395073891625
2/13/2017, 38.36, 38.69, 38.23, 38.5, 11784905, 1.66702907287624, 1.64070380271259, 0, 0, 0, 0.633731877434172, 0.603645661750191, 0.0300862156839817, 38.1070909090909, 38.2871724137931, 38.2871724137931, 38.2871724137931
2/14/2017, 38.55, 39.01, 38.05, 38.98, 14993230, 1.68731627348508, 1.8361661627905, 0, 0, 0, 0.702396520783033, 0.623395833556759, 0.0790006872262737, 38.5038181818181, 38.4774623655914, 38.4774623655914, 38.4774623655914
2/15/2017, 39.2, 40.1, 39.06, 40.04, 29230971, 1.70037484823741, 1.9760365260981, 0, 0, 0, 0.832747491830908, 0.665266165211589, 0.167481326619319, 39.2096363636363, 38.7473978494624, 38.7757258064516, 38.7757258064516
2/16/2017, 40.29, 40.31, 39.34, 39.38, 19482852, 1.76558807712684, 1.36918955638278, 0, 0, 0, 0.87273474844298, 0.706759881857867, 0.165974866585113, 39.5603636363636, 38.9209247311828, 38.9620454545454, 38.9620454545454
2/17/2017, 39.09, 39.39, 38.88, 39.24, 10992630, 1.74827766445953, 1.15451257587847, 0, 0, 0, 0.88295000933914, 0.741997907354122, 0.140952101985018, 39.8078181818181, 39.0745376344086, 39.1113012477718, 39.1113012477718
