Date,EXI_Open,EXI_High,EXI_Low,EXI_Close,EXI_Volume,EXI_ATRPercentOfClose20,EXI_SQN25,EXI_SQN50,EXI_SQN100,EXI_SQN200,EXI_MACD,EXI_MACD_Avg,EXI_MACD_Diff,EXI_LinReg10,EXI_LinReg30,EXI_LinReg90,EXI_LinReg270
1/3/2017, 75.59, 76.09, 75.47, 75.87, 126788, 0, 0, 0, 0, 0, 0, 0, 0, 75.87, 75.87, 75.87, 75.87
1/4/2017, 76.05, 76.47, 76.05, 76.44, 5712, 0, 0, 0, 0, 0, 0.045470085470086, 0.0090940170940172, 0.0363760683760688, 76.44, 76.44, 76.44, 76.44
1/5/2017, 76.64, 76.64, 76.37, 76.6, 16051, 0, 0, 0, 0, 0, 0.0933401514597989, 0.0259432439671735, 0.0673969074926254, 76.6683333333333, 76.6683333333333, 76.6683333333333, 76.6683333333333
1/6/2017, 76.31, 76.88, 76.17, 76.64, 18731, 0, 0, 0, 0, 0, 0.132972366677265, 0.0473490685091919, 0.0856232981680732, 76.758, 76.758, 76.758, 76.758
1/9/2017, 76.58, 76.6, 76.28, 76.47, 3609, 0, 0, 0, 0, 0, 0.148946639378394, 0.0676685826830323, 0.0812780566953619, 76.684, 76.684, 76.684, 76.684
1/10/2017, 76.48, 76.83, 76.48, 76.51, 5210, 0, 0, 0, 0, 0, 0.1629555807895, 0.0867259823043259, 0.0762295984851743, 76.6595238095238, 76.6595238095238, 76.6595238095238, 76.6595238095238
1/11/2017, 76.59, 76.98, 76.43, 76.9, 9917, 0, 0, 0, 0, 0, 0.203185314592631, 0.110017848761987, 0.0931674658306437, 76.8221428571429, 76.8221428571429, 76.8221428571429, 76.8221428571429
1/12/2017, 77, 77.05, 76.53, 77.03, 7718, 0, 0, 0, 0, 0, 0.242759205012831, 0.136566120012156, 0.106193085000675, 76.9733333333334, 76.9733333333334, 76.9733333333334, 76.9733333333334
1/13/2017, 77, 77.31, 77, 77.31, 3717, 0, 0, 0, 0, 0, 0.293334085484346, 0.167919713106594, 0.125414372377753, 77.1744444444444, 77.1744444444444, 77.1744444444444, 77.1744444444444
1/17/2017, 76.98, 77.06, 76.7, 76.94, 10626, 0, 0, 0, 0, 0, 0.300099771489258, 0.194355724783127, 0.105744046706131, 77.1807272727272, 77.1807272727272, 77.1807272727272, 77.1807272727272
1/18/2017, 76.69, 76.98, 76.69, 76.86, 6018, 0, 0, 0, 0, 0, 0.29559881583512, 0.214604342993525, 0.080994472841595, 77.0858181818182, 77.1559090909091, 77.1559090909091, 77.1559090909091
