Date,EZA_Open,EZA_High,EZA_Low,EZA_Close,EZA_Volume,EZA_ATRPercentOfClose20,EZA_SQN25,EZA_SQN50,EZA_SQN100,EZA_SQN200,EZA_MACD,EZA_MACD_Avg,EZA_MACD_Diff,EZA_LinReg10,EZA_LinReg30,EZA_LinReg90,EZA_LinReg270
1/3/2017, 52.85, 53.4, 52.47, 52.86, 686307, 0, 0, 0, 0, 0, 0, 0, 0, 52.86, 52.86, 52.86, 52.86
1/4/2017, 53.34, 53.74, 53.31, 53.5, 610816, 0, 0, 0, 0, 0, 0.051054131054137, 0.0102108262108274, 0.0408433048433096, 53.5, 53.5, 53.5, 53.5
1/5/2017, 52.89, 53.43, 52.83, 53.28, 397666, 0, 0, 0, 0, 0, 0.0729221353722878, 0.0227530880431195, 0.0501690473291683, 53.4233333333334, 53.4233333333334, 53.4233333333334, 53.4233333333334
1/6/2017, 53.75, 54.02, 53.51, 53.87, 476436, 0, 0, 0, 0, 0, 0.136289692768301, 0.0454604089881558, 0.0908292837801453, 53.799, 53.799, 53.799, 53.799
1/9/2017, 53.63, 54, 53.6, 53.77, 187019, 0, 0, 0, 0, 0, 0.176406272576934, 0.0716495817059113, 0.104756690871022, 53.894, 53.894, 53.894, 53.894
1/10/2017, 53.99, 54.35, 53.67, 53.76, 356014, 0, 0, 0, 0, 0, 0.205028592682538, 0.0983253839012367, 0.106703208781301, 53.9280952380953, 53.9280952380953, 53.9280952380953, 53.9280952380953
1/11/2017, 53.78, 54.59, 53.3, 54.45, 621777, 0, 0, 0, 0, 0, 0.280159714216182, 0.134692249964226, 0.145467464251957, 54.2607142857143, 54.2607142857143, 54.2607142857143, 54.2607142857143
1/12/2017, 54.97, 55.15, 54.66, 54.94, 707748, 0, 0, 0, 0, 0, 0.374918744315579, 0.182737548834497, 0.192181195481083, 54.6641666666667, 54.6641666666667, 54.6641666666667, 54.6641666666667
1/13/2017, 55.13, 55.62, 55.01, 55.49, 418184, 0, 0, 0, 0, 0, 0.488762215255953, 0.243942482118788, 0.244819733137165, 55.1291111111111, 55.1291111111111, 55.1291111111111, 55.1291111111111
1/17/2017, 55.48, 55.62, 55.16, 55.43, 353438, 0, 0, 0, 0, 0, 0.567599553283245, 0.308673896351679, 0.258925656931565, 55.4192727272728, 55.4192727272728, 55.4192727272728, 55.4192727272728
1/18/2017, 55.31, 55.57, 54.78, 54.86, 611360, 0, 0, 0, 0, 0, 0.577428242013653, 0.362424765484074, 0.215003476529579, 55.4147272727273, 55.4359090909091, 55.4359090909091, 55.4359090909091
1/19/2017, 54.75, 54.82, 54.14, 54.5, 1062280, 0, 0, 0, 0, 0, 0.549830454072932, 0.399905903201846, 0.149924550871087, 55.3047272727273, 55.3341025641026, 55.3341025641026, 55.3341025641026
1/20/2017, 54.37, 54.56, 53.92, 54.44, 569332, 0, 0, 0, 0, 0, 0.517156056637063, 0.423355933888889, 0.0938001227481738, 55.0754545454546, 55.2346153846154, 55.2346153846154, 55.2346153846154
1/23/2017, 54.94, 55.69, 54.94, 55.55, 450410, 0, 0, 0, 0, 0, 0.574209949738453, 0.453526737058802, 0.120683212679651, 55.2843636363637, 55.4385714285715, 55.4385714285715, 55.4385714285715
1/24/2017, 56.07, 56.63, 56.07, 56.4, 555129, 0, 0, 0, 0, 0, 0.680172858011751, 0.498855961249392, 0.181316896762359, 55.6752727272728, 55.7995833333334, 55.7995833333334, 55.7995833333334
1/25/2017, 56.14, 56.82, 56.13, 56.75, 327149, 0, 0, 0, 0, 0, 0.783361200869621, 0.555757009173438, 0.227604191696183, 56.0416363636364, 56.1625, 56.1625, 56.1625
1/26/2017, 56.22, 56.47, 55.93, 56.21, 410103, 0, 0, 0, 0, 0, 0.812202652386532, 0.607046137816056, 0.205156514570475, 56.1963636363637, 56.3345098039216, 56.3345098039216, 56.3345098039216
1/27/2017, 54.83, 55.16, 54.7, 55.1, 403060, 0, 0, 0, 0, 0, 0.736996351980842, 0.633036180649014, 0.103960171331829, 55.9696363636364, 56.2433918128655, 56.2433918128655, 56.2433918128655
1/30/2017, 54.05, 54.55, 53.93, 54.33, 507767, 0, 0, 0, 0, 0, 0.608250716597688, 0.628079087838749, -0.0198283712410607, 55.5781818181818, 56.014052631579, 56.014052631579, 56.014052631579
1/31/2017, 54.68, 55.17, 54.48, 54.86, 492221, 0, 0, 0, 0, 0, 0.542729199228006, 0.6110091101166, -0.0682799108885941, 55.4210909090909, 55.9177142857143, 55.9177142857143, 55.9177142857143
2/1/2017, 55.15, 55.34, 54.61, 54.79, 437830, 0, 0, 0, 0, 0, 0.479625683348878, 0.584732424763056, -0.105106741414178, 55.1569090909091, 55.8214718614719, 55.8214718614719, 55.8214718614719
2/2/2017, 55.09, 55.26, 54.88, 54.94, 233330, 1.49725609756098, 0, 0, 0, 0, 0.436685599017949, 0.555123059614034, -0.118437460596086, 54.8763636363636, 55.7630039525692, 55.7630039525692, 55.7630039525692
2/3/2017, 55.25, 55.71, 55.06, 55.51, 322151, 1.47714443343542, 0, 0, 0, 0, 0.44353669421146, 0.53280578653352, -0.0892690923220597, 54.7567272727273, 55.8040217391305, 55.8040217391305, 55.8040217391305
2/6/2017, 55.12, 55.12, 54.6, 54.95, 321128, 1.50039077570519, 0, 0, 0, 0, 0.399177447491716, 0.506080118725159, -0.106902671233442, 54.6072727272727, 55.7499, 55.7499, 55.7499
2/7/2017, 54.4, 54.51, 53.98, 54.09, 345491, 1.53769919520706, 0, 0, 0, 0, 0.291270032568939, 0.463118101493915, -0.171848068924976, 54.3634545454545, 55.5718153846154, 55.5718153846154, 55.5718153846154
2/8/2017, 53.83, 54.34, 53.75, 54.13, 335155, 1.51423317929637, 0.484322052688111, 0, 0, 0, 0.206598752699875, 0.411814231735107, -0.205215479035232, 54.3294545454545, 55.4211965811966, 55.4211965811966, 55.4211965811966
2/9/2017, 54.52, 54.7, 54.21, 54.62, 362987, 1.47779512807666, 0.430102788784604, 0, 0, 0, 0.176994772714714, 0.364850339931028, -0.187855567216314, 54.4996363636363, 55.3569841269842, 55.3569841269842, 55.3569841269842
2/10/2017, 55.16, 55.82, 55.1, 55.81, 369204, 1.4814784339862, 0.873611972490948, 0, 0, 0, 0.246712511783727, 0.341222774301568, -0.0945102625178412, 54.9456363636363, 55.4608620689656, 55.4608620689656, 55.4608620689656
2/13/2017, 55.8, 56.01, 55.78, 55.89, 164586, 1.42596610897712, 0.708281759653454, 0, 0, 0, 0.304904899808925, 0.33395919940304, -0.0290542995941148, 55.2265454545454, 55.5624137931035, 55.5624137931035, 55.5624137931035
2/14/2017, 56.18, 56.59, 55.63, 56.48, 418222, 1.42550254141633, 0.927768259174066, 0, 0, 0, 0.394088053961887, 0.345984970314809, 0.0481030836470783, 55.7321818181817, 55.7266451612904, 55.7266451612904, 55.7266451612904
2/15/2017, 56.44, 57.54, 56.44, 57.45, 315884, 1.42709772606153, 1.20332502535974, 0, 0, 0, 0.536848780959666, 0.38415773244378, 0.152691048515885, 56.4705454545454, 55.9234838709678, 55.9914919354839, 55.9914919354839
2/16/2017, 57.45, 57.52, 56.65, 56.73, 451228, 1.4496285236052, 0.742841886541341, 0, 0, 0, 0.585144521132165, 0.424355090181457, 0.160789430950707, 56.8450909090908, 56.0420215053764, 56.141590909091, 56.141590909091
2/17/2017, 56.55, 56.68, 55.96, 56.38, 634241, 1.45398288110885, 0.479008061551318, 0, 0, 0, 0.588394522451004, 0.457162976635367, 0.131231545815638, 57.1150909090909, 56.0806451612904, 56.2347950089127, 56.2347950089127
2/21/2017, 56.37, 56.76, 56.16, 56.57, 321929, 1.42967610208717, 0.367738194948178, 0, 0, 0, 0.59939216425407, 0.485608814159107, 0.113783350094962, 57.2912727272727, 56.1627096774194, 56.3391428571429, 56.3391428571429
2/22/2017, 55.94, 56.87, 55.94, 56.87, 443426, 1.43279300580829, 0.479013117070755, 0, 0, 0, 0.625109494279215, 0.513508950183129, 0.111600544096086, 57.3107272727272, 56.2587526881721, 56.4652857142858, 56.4652857142858
2/23/2017, 57.68, 57.75, 57.06, 57.51, 423385, 1.42251419454533, 0.863150593730777, 0, 0, 0, 0.689188775703144, 0.548644915287132, 0.140543860416012, 57.4076363636363, 56.4153333333334, 56.6468168168169, 56.6468168168169
