Date,FXY_Open,FXY_High,FXY_Low,FXY_Close,FXY_Volume,FXY_ATRPercentOfClose20,FXY_SQN25,FXY_SQN50,FXY_SQN100,FXY_SQN200,FXY_MACD,FXY_MACD_Avg,FXY_MACD_Diff,FXY_LinReg10,FXY_LinReg30,FXY_LinReg90,FXY_LinReg270
1/3/2017, 81.7, 82.26, 81.33, 81.87, 139258, 0, 0, 0, 0, 0, 0, 0, 0, 81.87, 81.87, 81.87, 81.87
1/4/2017, 82.21, 82.36, 81.96, 82.2, 173301, 0, 0, 0, 0, 0, 0.0263247863247926, 0.00526495726495853, 0.0210598290598341, 82.2, 82.2, 82.2, 82.2
1/5/2017, 83.08, 83.69, 83.07, 83.5, 312684, 0, 0, 0, 0, 0, 0.150353325054184, 0.0342826308228035, 0.11607069423138, 83.3383333333333, 83.3383333333333, 83.3383333333333, 83.3383333333333
1/6/2017, 82.69, 82.95, 82.32, 82.39, 195702, 0, 0, 0, 0, 0, 0.157266244855791, 0.058879353629401, 0.0983868912263897, 82.919, 82.919, 82.919, 82.919
1/9/2017, 82.9, 83.15, 82.8, 83.14, 95489, 0, 0, 0, 0, 0, 0.220719202023943, 0.0912473233083094, 0.129471878715634, 83.166, 83.166, 83.166, 83.166
1/10/2017, 83.15, 83.59, 83.13, 83.43, 87831, 0, 0, 0, 0, 0, 0.291051641947419, 0.131208187036131, 0.159843454911288, 83.4342857142857, 83.4342857142857, 83.4342857142857, 83.4342857142857
1/11/2017, 82.97, 84.39, 82.53, 83.59, 300398, 0, 0, 0, 0, 0, 0.355602110355306, 0.176086971699966, 0.17951513865534, 83.6521428571429, 83.6521428571429, 83.6521428571429, 83.6521428571429
1/12/2017, 84.35, 84.72, 84.06, 84.21, 177586, 0, 0, 0, 0, 0, 0.451582082921547, 0.231185993944283, 0.220396088977265, 84.0358333333333, 84.0358333333333, 84.0358333333333, 84.0358333333333
1/13/2017, 83.9, 84.31, 83.55, 84.17, 72087, 0, 0, 0, 0, 0, 0.518442949371774, 0.288637385029781, 0.229805564341993, 84.2633333333333, 84.2633333333333, 84.2633333333333, 84.2633333333333
1/17/2017, 85.36, 85.61, 85.15, 85.61, 348165, 0, 0, 0, 0, 0, 0.679790432210325, 0.36686799446589, 0.312922437744435, 84.908, 84.908, 84.908, 84.908
1/18/2017, 85.07, 85.18, 84.31, 84.34, 144673, 0, 0, 0, 0, 0, 0.697144836916166, 0.432923362955945, 0.264221473960221, 84.9207272727273, 84.9540909090909, 84.9540909090909, 84.9540909090909
1/19/2017, 83.79, 84.08, 83.39, 83.98, 132840, 0, 0, 0, 0, 0, 0.674078973515719, 0.4811544850679, 0.192924488447819, 84.7403636363637, 84.8725641025641, 84.8725641025641, 84.8725641025641
1/20/2017, 83.82, 84.34, 83.67, 84.21, 314531, 0, 0, 0, 0, 0, 0.666673194800097, 0.518258227014339, 0.148414967785758, 84.8023636363636, 84.8668131868132, 84.8668131868132, 84.8668131868132
1/23/2017, 84.9, 85.5, 84.56, 85.23, 520379, 0, 0, 0, 0, 0, 0.734641052560804, 0.561534792123632, 0.173106260437171, 84.956, 85.1185714285714, 85.1185714285714, 85.1185714285714
1/24/2017, 85.08, 85.38, 84.66, 84.74, 249252, 0, 0, 0, 0, 0, 0.740431926275761, 0.597314218954058, 0.143117707321703, 84.9354545454545, 85.192, 85.192, 85.192
1/25/2017, 84.69, 85.18, 84.63, 85.18, 156439, 0, 0, 0, 0, 0, 0.771630680026504, 0.632177511168547, 0.139453168857957, 85.0376363636364, 85.3456617647059, 85.3456617647059, 85.3456617647059
1/26/2017, 84.38, 84.43, 83.97, 84.2, 224999, 0, 0, 0, 0, 0, 0.709103997865085, 0.647562808507855, 0.0615411893572305, 84.7378181818182, 85.253725490196, 85.253725490196, 85.253725490196
1/27/2017, 83.78, 83.87, 83.66, 83.72, 73038, 0, 0, 0, 0, 0, 0.613744301039304, 0.640799107014145, -0.0270548059748406, 84.362909090909, 85.0761988304093, 85.0761988304093, 85.0761988304093
1/30/2017, 84.27, 84.96, 84.27, 84.79, 248129, 0, 0, 0, 0, 0, 0.617394176163955, 0.636118120844107, -0.0187239446801516, 84.3763636363636, 85.1344736842105, 85.1344736842105, 85.1344736842105
1/31/2017, 85.44, 86, 85.09, 85.41, 348607, 0, 0, 0, 0, 0, 0.662676623328124, 0.641429821340911, 0.021246801987214, 84.8581818181818, 85.2954285714285, 85.2954285714285, 85.2954285714285
2/1/2017, 84.76, 85.4, 84.58, 85.18, 356671, 0, 0, 0, 0, 0, 0.672254875398878, 0.647594832152504, 0.0246600432463735, 85.0174545454545, 85.3874891774891, 85.3874891774891, 85.3874891774891
2/2/2017, 85.76, 85.9, 85.47, 85.49, 207465, 1.15340683120833, 0, 0, 0, 0, 0.696827524452615, 0.657441370612526, 0.039386153840089, 85.166, 85.5157707509881, 85.5157707509881, 85.5157707509881
2/3/2017, 85.4, 85.81, 85.29, 85.55, 242575, 1.12535958503799, 0, 0, 0, 0, 0.712924870298679, 0.668538070549757, 0.0443867997489218, 85.2989090909092, 85.6328260869565, 85.6328260869565, 85.6328260869565
2/6/2017, 85.88, 86.32, 85.63, 86.29, 422606, 1.10454035085178, 0, 0, 0, 0, 0.776443590032216, 0.690119174446248, 0.086324415585967, 85.8183636363637, 85.8472, 85.8472, 85.8472
2/7/2017, 85.79, 86.19, 85.71, 85.77, 157880, 1.08948638837881, 0, 0, 0, 0, 0.775879127258975, 0.707271165008794, 0.0686079622501808, 86.0023636363637, 85.9522153846153, 85.9522153846153, 85.9522153846153
2/8/2017, 86.17, 86.29, 85.92, 86.01, 109262, 1.06235304214263, 1.19707556590061, 0, 0, 0, 0.785740256114607, 0.722964983229957, 0.0627752728846508, 86.301090909091, 86.0763247863247, 86.0763247863247, 86.0763247863247
2/9/2017, 85.8, 85.87, 85.04, 85.11, 248532, 1.07689267885035, 0.819241326138078, 0, 0, 0, 0.712717035062866, 0.720915393596538, -0.00819835853367246, 86.0476363636365, 86.0566666666666, 86.0566666666666, 86.0566666666666
