Date,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,GLD_ATRPercentOfClose20,GLD_SQN25,GLD_SQN50,GLD_SQN100,GLD_SQN200,GLD_MACD,GLD_MACD_Avg,GLD_MACD_Diff,GLD_LinReg10,GLD_LinReg30,GLD_LinReg90,GLD_LinReg270
1/3/2017, 109.62, 111, 109.37, 110.47, 7527353, 0, 0, 0, 0, 0, 0, 0, 0, 110.47, 110.47, 110.47, 110.47
1/4/2017, 111.06, 111.22, 110.61, 110.86, 4904119, 0, 0, 0, 0, 0, 0.0311111111111018, 0.00622222222222035, 0.0248888888888814, 110.86, 110.86, 110.86, 110.86
1/5/2017, 112.16, 112.94, 112.07, 112.58, 9606761, 0, 0, 0, 0, 0, 0.192339347894887, 0.0434456473567536, 0.148893700538133, 112.358333333333, 112.358333333333, 112.358333333333, 112.358333333333
1/6/2017, 111.81, 112.38, 111.57, 111.75, 7686070, 0, 0, 0, 0, 0, 0.25025503941616, 0.084807525768635, 0.165447513647525, 112.249, 112.249, 112.249, 112.249
1/9/2017, 112.39, 113.04, 112.18, 112.67, 5674636, 0, 0, 0, 0, 0, 0.366168985315539, 0.141079817678016, 0.225089167637524, 112.724, 112.724, 112.724, 112.724
1/10/2017, 112.94, 113.45, 112.64, 113.15, 6093404, 0, 0, 0, 0, 0, 0.491102487255887, 0.21108435159359, 0.280018135662297, 113.199047619048, 113.199047619048, 113.199047619048, 113.199047619048
1/11/2017, 112.87, 114.19, 112.17, 113.5, 9918689, 0, 0, 0, 0, 0, 0.611308478949837, 0.29112917706484, 0.320179301884998, 113.614285714286, 113.614285714286, 113.614285714286, 113.614285714286
1/12/2017, 114.52, 114.93, 113.81, 113.91, 8457319, 0, 0, 0, 0, 0, 0.731227036784702, 0.379148749008812, 0.35207828777589, 114.024166666667, 114.024166666667, 114.024166666667, 114.024166666667
1/13/2017, 113.65, 114.31, 113.19, 114.21, 7261454, 0, 0, 0, 0, 0, 0.840778875125011, 0.471474774232052, 0.369304100892959, 114.39, 114.39, 114.39, 114.39
1/17/2017, 115.89, 115.96, 115.5, 115.85, 9142370, 0, 0, 0, 0, 0, 1.04785477268366, 0.586750773922374, 0.461103998761289, 115.192727272727, 115.192727272727, 115.192727272727, 115.192727272727
1/18/2017, 115.74, 115.92, 114.56, 114.87, 6498109, 0, 0, 0, 0, 0, 1.11997572065486, 0.693395763268872, 0.426579957385992, 115.39, 115.438181818182, 115.438181818182, 115.438181818182
1/19/2017, 114.32, 114.96, 113.94, 114.77, 6437008, 0, 0, 0, 0, 0, 1.15574027281858, 0.785864665178813, 0.369875607639763, 115.390727272727, 115.574487179487, 115.574487179487, 115.574487179487
1/20/2017, 114.65, 115.76, 114.32, 115.05, 12261510, 0, 0, 0, 0, 0, 1.19292628636201, 0.867276989415452, 0.325649296946557, 115.618909090909, 115.741428571429, 115.741428571429, 115.741428571429
1/23/2017, 115.51, 116.17, 115.2, 115.79, 6373102, 0, 0, 0, 0, 0, 1.26749736493467, 0.947321064519296, 0.320176300415374, 115.802, 116.049142857143, 116.049142857143, 116.049142857143
1/24/2017, 115.69, 116.02, 114.94, 115.27, 5798840, 0, 0, 0, 0, 0, 1.26999610324732, 1.0118560722649, 0.258140030982421, 115.769090909091, 116.154666666667, 116.154666666667, 116.154666666667
1/25/2017, 114.14, 114.44, 113.68, 114.32, 6697523, 0, 0, 0, 0, 0, 1.18169743835556, 1.04582434548303, 0.135873092872524, 115.362181818182, 116.013088235294, 116.013088235294, 116.013088235294
1/26/2017, 113.24, 113.51, 112.83, 113.26, 5390463, 0, 0, 0, 0, 0, 1.01449253066707, 1.03955798251984, -0.02506545185277, 114.595272727273, 115.662352941177, 115.662352941177, 115.662352941177
1/27/2017, 112.93, 113.55, 112.81, 113.49, 6706570, 0, 0, 0, 0, 0, 0.89027794452177, 1.00970197492023, -0.119424030398456, 114.002909090909, 115.416432748538, 115.416432748538, 115.416432748538
1/30/2017, 113.61, 114.3, 113.54, 113.97, 7687782, 0, 0, 0, 0, 0, 0.82110380501166, 0.971982340938513, -0.150878535926853, 113.659272727273, 115.301736842105, 115.301736842105, 115.301736842105
1/31/2017, 115.27, 115.82, 115.18, 115.55, 10421882, 0, 0, 0, 0, 0, 0.883590119583388, 0.954303896667488, -0.0707137770840996, 114.202545454546, 115.495428571429, 115.495428571429, 115.495428571429
2/1/2017, 114.66, 115.45, 114.14, 115.2, 6932889, 0, 0, 0, 0, 0, 0.894557002856573, 0.942354517905305, -0.0477975150487324, 114.445272727273, 115.592857142857, 115.592857142857, 115.592857142857
2/2/2017, 116.26, 116.57, 115.63, 115.84, 7189461, 1.14496180075967, 0, 0, 0, 0, 0.944009039576528, 0.94268542223955, 0.0013236173369785, 114.871090909091, 115.780948616601, 115.780948616601, 115.780948616601
2/3/2017, 115.73, 116.37, 115.71, 116.13, 9455464, 1.11341390037028, 0, 0, 0, 0, 0.995129478151114, 0.953174233421863, 0.0419552447292512, 115.394727272728, 115.985869565217, 115.985869565217, 115.985869565217
2/6/2017, 117.07, 117.74, 116.74, 117.7, 8547843, 1.11202819403144, 0, 0, 0, 0, 1.1490827621836, 0.992355939174209, 0.156726823009387, 116.549818181819, 116.405133333333, 116.405133333333, 116.405133333333
2/7/2017, 117.31, 117.74, 117.2, 117.46, 8621039, 1.08157187566512, 0, 0, 0, 0, 1.23746117261152, 1.04137698586167, 0.196084186749847, 117.413818181819, 116.728984615385, 116.728984615385, 116.728984615385
2/8/2017, 118.09, 118.59, 117.81, 118.19, 9633443, 1.06895135705088, 1.95188245855749, 0, 0, 0, 1.35083501357229, 1.1032685914038, 0.247566422168498, 118.220545454546, 117.113931623932, 117.113931623932, 117.113931623932
2/9/2017, 118.32, 118.58, 117.2, 117.29, 8177210, 1.08212458730797, 1.56935669065764, 0, 0, 0, 1.35247166944103, 1.15310920701124, 0.199362462429788, 118.293272727273, 117.321560846561, 117.321560846561, 117.321560846561
2/10/2017, 116.68, 117.86, 116.67, 117.6, 9072146, 1.07590368369969, 1.30863511786849, 0, 0, 0, 1.36307051185169, 1.19510146797933, 0.167969043872357, 118.299272727273, 117.542980295567, 117.542980295567, 117.542980295567
2/13/2017, 116.73, 116.95, 116.15, 116.8, 7354924, 1.09118116047029, 1.33139488287167, 0, 0, 0, 1.29202321730901, 1.21448581784527, 0.0775373994637414, 117.900727272728, 117.630689655172, 117.630689655172, 117.630689655172
2/14/2017, 117.51, 117.56, 116.38, 116.93, 6927842, 1.08592714928404, 1.14173377069491, 0, 0, 0, 1.23200584161535, 1.21798982259928, 0.0140160190160641, 117.708727272728, 117.721978494624, 117.721978494624, 117.721978494624
2/15/2017, 116.33, 117.48, 116.25, 117.45, 7088419, 1.07942604076198, 1.14683665877676, 0, 0, 0, 1.21242521004208, 1.21687690008784, -0.00445169004575874, 117.551090909091, 117.766774193548, 117.86439516129, 117.86439516129
2/16/2017, 117.93, 118.35, 117.83, 118.08, 6378650, 1.05809331862398, 1.20890338932733, 0, 0, 0, 1.23352385812522, 1.22020629169532, 0.0133175664299046, 117.616363636364, 117.87247311828, 118.064204545455, 118.064204545455
2/17/2017, 118.19, 118.4, 117.62, 117.68, 7338065, 1.04174605803844, 0.989625766947542, 0, 0, 0, 1.20408805410918, 1.21698264417809, -0.0128945900689132, 117.479272727273, 117.995505376344, 118.194545454546, 118.194545454546
2/21/2017, 117.04, 118, 116.77, 117.75, 6166875, 1.04129972233092, 0.929301024481454, 0, 0, 0, 1.17288805889308, 1.20816372712109, -0.0352756682280098, 117.595818181819, 118.039182795699, 118.317226890756, 118.317226890756
2/22/2017, 117.86, 118.02, 117.24, 117.91, 6057179, 1.02096845211807, 0.589976163283892, 0, 0, 0, 1.14784090527483, 1.19609916275184, -0.0482582574770047, 117.71690909091, 118.125784946237, 118.443095238095, 118.443095238095
2/23/2017, 118.76, 119.16, 118.68, 118.94, 7523304, 1.01406819135514, 1.17044627101549, 0, 0, 0, 1.19730150109788, 1.19633963042105, 0.00096187067683573, 118.315272727273, 118.341268817204, 118.66454954955, 118.66454954955
