Date,GNR_Open,GNR_High,GNR_Low,GNR_Close,GNR_Volume,GNR_ATRPercentOfClose20,GNR_SQN25,GNR_SQN50,GNR_SQN100,GNR_SQN200,GNR_MACD,GNR_MACD_Avg,GNR_MACD_Diff,GNR_LinReg10,GNR_LinReg30,GNR_LinReg90,GNR_LinReg270
1/3/2017, 41.49, 41.78, 41.43, 41.69, 71018, 0, 0, 0, 0, 0, 0, 0, 0, 41.69, 41.69, 41.69, 41.69
1/4/2017, 41.84, 42.09, 41.76, 42.08, 48022, 0, 0, 0, 0, 0, 0.031111111111116, 0.0062222222222232, 0.0248888888888928, 42.08, 42.08, 42.08, 42.08
1/5/2017, 42.11, 42.53, 42.11, 42.36, 78314, 0, 0, 0, 0, 0, 0.0774675530231121, 0.020471288382401, 0.0569962646407112, 42.3783333333333, 42.3783333333333, 42.3783333333333, 42.3783333333333
1/6/2017, 42.15, 42.31, 41.97, 42.06, 181231, 0, 0, 0, 0, 0, 0.0889722576205685, 0.0341714822300345, 0.054800775390534, 42.256, 42.256, 42.256, 42.256
1/9/2017, 42.02, 42.03, 41.8, 41.86, 225902, 0, 0, 0, 0, 0, 0.0810175702525271, 0.043540699834533, 0.0374768704179941, 42.074, 42.074, 42.074, 42.074
1/10/2017, 42.17, 42.38, 42.17, 42.22, 135969, 0, 0, 0, 0, 0, 0.102579936898621, 0.0553485472473507, 0.0472313896512706, 42.1657142857143, 42.1657142857143, 42.1657142857143, 42.1657142857143
1/11/2017, 42.39, 42.85, 42.35, 42.85, 108921, 0, 0, 0, 0, 0, 0.168560937126777, 0.077991025223236, 0.0905699119035413, 42.5092857142857, 42.5092857142857, 42.5092857142857, 42.5092857142857
1/12/2017, 42.98, 43.05, 42.74, 42.89, 60601, 0, 0, 0, 0, 0, 0.221525413805502, 0.106697902939689, 0.114827510865812, 42.7358333333333, 42.7358333333333, 42.7358333333333, 42.7358333333333
1/13/2017, 42.78, 42.94, 42.74, 42.91, 73729, 0, 0, 0, 0, 0, 0.262092734122966, 0.137776869176345, 0.124315864946621, 42.8877777777778, 42.8877777777778, 42.8877777777778, 42.8877777777778
1/17/2017, 42.85, 43.13, 42.84, 43.03, 89111, 0, 0, 0, 0, 0, 0.300462084979976, 0.170313912337071, 0.130148172642906, 43.0290909090909, 43.0290909090909, 43.0290909090909, 43.0290909090909
1/18/2017, 42.96, 43.16, 42.88, 42.96, 38783, 0, 0, 0, 0, 0, 0.321515427275578, 0.200554215324772, 0.120961211950806, 43.0832727272728, 43.1031818181818, 43.1031818181818, 43.1031818181818
1/19/2017, 42.87, 42.98, 42.67, 42.8, 117260, 0, 0, 0, 0, 0, 0.321582684888654, 0.224759909237549, 0.096822775651105, 43.0909090909092, 43.1064102564103, 43.1064102564103, 43.1064102564103
1/20/2017, 42.88, 43.16, 42.88, 43.16, 88272, 0, 0, 0, 0, 0, 0.346688568375953, 0.24914564106523, 0.0975429273107233, 43.2396363636364, 43.2042857142857, 43.2042857142857, 43.2042857142857
1/23/2017, 43.17, 43.32, 43.03, 43.31, 52090, 0, 0, 0, 0, 0, 0.374373365200746, 0.274191185892333, 0.100182179308413, 43.3365454545455, 43.3151428571429, 43.3151428571429, 43.3151428571429
1/24/2017, 43.58, 44.12, 43.58, 44.05, 212589, 0, 0, 0, 0, 0, 0.450828708978563, 0.309518690509579, 0.141310018468984, 43.5809090909092, 43.578, 43.578, 43.578
1/25/2017, 44.13, 44.2, 43.99, 44.19, 181354, 0, 0, 0, 0, 0, 0.516760061408725, 0.350966964689408, 0.165793096719317, 43.8261818181819, 43.8163235294118, 43.8163235294118, 43.8163235294118
1/26/2017, 43.95, 43.95, 43.65, 43.71, 155292, 0, 0, 0, 0, 0, 0.524236077570144, 0.385620787265555, 0.138615290304589, 43.9241818181819, 43.9021568627451, 43.9021568627451, 43.9021568627451
1/27/2017, 43.67, 43.75, 43.52, 43.62, 74182, 0, 0, 0, 0, 0, 0.516939667695816, 0.411884563351607, 0.105055104344208, 43.9521818181819, 43.9508771929825, 43.9508771929825, 43.9508771929825
1/30/2017, 43.37, 43.37, 43, 43.17, 47768, 0, 0, 0, 0, 0, 0.469434621011416, 0.423394574883569, 0.046040046127847, 43.7889090909092, 43.9007368421053, 43.9007368421053, 43.9007368421053
1/31/2017, 43.18, 43.33, 42.98, 43.29, 260325, 0, 0, 0, 0, 0, 0.436438534623235, 0.426003366831502, 0.0104351677917329, 43.6769090909092, 43.8787142857143, 43.8787142857143, 43.8787142857143
2/1/2017, 43.44, 43.56, 43.13, 43.4, 37794, 0, 0, 0, 0, 0, 0.414388170249318, 0.423680327515065, -0.00929215726574795, 43.5747272727274, 43.8775757575758, 43.8775757575758, 43.8775757575758
2/2/2017, 43.47, 43.51, 43.35, 43.48, 104523, 0.874885004599815, 0, 0, 0, 0, 0.398771637816772, 0.418698589575407, -0.019926951758635, 43.444181818182, 43.8883399209486, 43.8883399209486, 43.8883399209486
2/3/2017, 43.37, 43.42, 43.16, 43.24, 173836, 0.872756706753005, 0, 0, 0, 0, 0.362846757559744, 0.407528223172274, -0.0446814656125302, 43.2656363636365, 43.8567391304348, 43.8567391304348, 43.8567391304348
2/6/2017, 43.23, 43.23, 42.85, 43.06, 154825, 0.877870413376682, 0, 0, 0, 0, 0.316206503710958, 0.389263879280011, -0.0730573755690527, 43.0505454545456, 43.7998333333333, 43.7998333333333, 43.7998333333333
2/7/2017, 43, 43.02, 42.8, 42.88, 133853, 0.86779489272388, 0, 0, 0, 0, 0.26170252700652, 0.363751608825313, -0.102049081818793, 42.9349090909093, 43.7220923076923, 43.7220923076923, 43.7220923076923
2/8/2017, 42.85, 42.93, 42.59, 42.86, 487624, 0.864453867242183, 0.819585056854987, 0, 0, 0, 0.21442217457988, 0.333885721976226, -0.119463547396346, 42.904181818182, 43.6503418803419, 43.6503418803419, 43.6503418803419
2/9/2017, 42.9, 42.93, 42.75, 42.9, 173102, 0.841444478146852, 0.59338691593251, 0, 0, 0, 0.178126489065228, 0.302733875394027, -0.124607386328799, 42.8638181818183, 43.5921693121693, 43.5921693121693, 43.5921693121693
2/10/2017, 43.16, 43.43, 43.16, 43.35, 81751, 0.852204606848327, 0.690005736785971, 0, 0, 0, 0.183557202817973, 0.278898540878816, -0.0953413380608433, 43.0050909090911, 43.6011330049261, 43.6011330049261, 43.6011330049261
2/13/2017, 43.65, 43.85, 43.65, 43.74, 54295, 0.859531692307527, 1.16306921915532, 0, 0, 0, 0.216831326666203, 0.266485098036293, -0.0496537713700907, 43.2058181818183, 43.6594482758621, 43.6594482758621, 43.6594482758621
2/14/2017, 43.7, 43.77, 43.39, 43.76, 75784, 0.859600557825747, 1.33859715640318, 0, 0, 0, 0.242025226243413, 0.261593123677717, -0.019567897434304, 43.4063636363638, 43.7130752688172, 43.7130752688172, 43.7130752688172
2/15/2017, 43.58, 43.83, 43.57, 43.79, 119770, 0.845748216257865, 1.12707826103259, 0, 0, 0, 0.261399076610246, 0.261554314264223, -0.000155237653977014, 43.6136363636365, 43.7203010752688, 43.7638911290323, 43.7638911290323
2/16/2017, 43.82, 43.87, 43.65, 43.71, 76890, 0.830097201336887, 0.677116686181728, 0, 0, 0, 0.267217345967609, 0.2626869206049, 0.00453042536270859, 43.7880000000001, 43.7298279569892, 43.7991477272727, 43.7991477272727
2/17/2017, 43.34, 43.49, 43.23, 43.38, 92627, 0.849916349398653, 0.380648873989924, 0, 0, 0, 0.242405820866203, 0.258630700657161, -0.0162248797909577, 43.7878181818184, 43.7056344086021, 43.7919251336898, 43.7919251336898
