Date,GXC_Open,GXC_High,GXC_Low,GXC_Close,GXC_Volume,GXC_ATRPercentOfClose20,GXC_SQN25,GXC_SQN50,GXC_SQN100,GXC_SQN200,GXC_MACD,GXC_MACD_Avg,GXC_MACD_Diff,GXC_LinReg10,GXC_LinReg30,GXC_LinReg90,GXC_LinReg270
1/3/2017, 72.48, 73.08, 72.38, 72.63, 112803, 0, 0, 0, 0, 0, 0, 0, 0, 72.63, 72.63, 72.63, 72.63
1/4/2017, 72.93, 73.82, 72.93, 73.56, 84383, 0, 0, 0, 0, 0, 0.0741880341880261, 0.0148376068376052, 0.0593504273504209, 73.56, 73.56, 73.56, 73.56
1/5/2017, 74.18, 74.98, 74.18, 74.78, 97957, 0, 0, 0, 0, 0, 0.228789052036916, 0.0576278958774674, 0.171161156159449, 74.7316666666667, 74.7316666666667, 74.7316666666667, 74.7316666666667
1/6/2017, 74.7, 74.7, 74.09, 74.36, 69987, 0, 0, 0, 0, 0, 0.313803649473641, 0.108863046596702, 0.204940602876939, 74.794, 74.794, 74.794, 74.794
1/9/2017, 74.5, 74.84, 74.43, 74.7, 76143, 0, 0, 0, 0, 0, 0.403956924964277, 0.167881822270217, 0.23607510269406, 74.994, 74.994, 74.994, 74.994
1/10/2017, 75.29, 76.17, 75.29, 75.7, 63383, 0, 0, 0, 0, 0, 0.549758415163893, 0.244257140848952, 0.305501274314941, 75.5990476190476, 75.5990476190476, 75.5990476190476, 75.5990476190476
1/11/2017, 75.79, 76.21, 75.57, 76.15, 58773, 0, 0, 0, 0, 0, 0.693622734663137, 0.334130259611789, 0.359492475051348, 76.1357142857143, 76.1357142857143, 76.1357142857143, 76.1357142857143
1/12/2017, 75.86, 75.88, 75.33, 75.84, 22017, 0, 0, 0, 0, 0, 0.773703067778939, 0.422044821245219, 0.35165824653372, 76.32, 76.32, 76.32, 76.32
1/13/2017, 75.84, 76.18, 75.84, 76.02, 39020, 0, 0, 0, 0, 0, 0.841985914889264, 0.506033039974028, 0.335952874915236, 76.492, 76.492, 76.492, 76.492
1/17/2017, 75.82, 75.92, 75.64, 75.82, 66668, 0, 0, 0, 0, 0, 0.869934174991215, 0.578813266977466, 0.291120908013749, 76.5269090909091, 76.5269090909091, 76.5269090909091, 76.5269090909091
1/18/2017, 76.42, 76.42, 76.06, 76.34, 120161, 0, 0, 0, 0, 0, 0.923398661680878, 0.647730345918148, 0.27566831576273, 76.5398181818182, 76.7054545454545, 76.7054545454545, 76.7054545454545
1/19/2017, 76.44, 76.44, 75.77, 75.98, 47968, 0, 0, 0, 0, 0, 0.926045781888675, 0.703393433112254, 0.222652348776421, 76.412, 76.7205128205128, 76.7205128205128, 76.7205128205128
1/20/2017, 76.01, 76.09, 75.64, 75.86, 46861, 0, 0, 0, 0, 0, 0.90799385861115, 0.744313518212033, 0.163680340399117, 76.3547272727272, 76.6903296703297, 76.6903296703297, 76.6903296703297
1/23/2017, 76.13, 76.5, 76.05, 76.47, 34256, 0, 0, 0, 0, 0, 0.932164074178772, 0.781883629405381, 0.150280444773391, 76.3652727272727, 76.8168571428571, 76.8168571428571, 76.8168571428571
1/24/2017, 76.72, 77.26, 76.71, 77.11, 86787, 0, 0, 0, 0, 0, 0.991532031399231, 0.823813309804151, 0.16771872159508, 76.5498181818182, 77.0645833333334, 77.0645833333334, 77.0645833333334
1/25/2017, 77.19, 77.62, 77.19, 77.56, 32345, 0, 0, 0, 0, 0, 1.06264331376399, 0.871579310596118, 0.191064003167867, 76.9583636363636, 77.35875, 77.35875, 77.35875
1/26/2017, 77.82, 77.89, 77.53, 77.66, 55474, 0, 0, 0, 0, 0, 1.11422459409233, 0.920108367295361, 0.194116226796973, 77.39, 77.6123529411765, 77.6123529411765, 77.6123529411765
1/27/2017, 77.53, 77.62, 77.22, 77.38, 35541, 0, 0, 0, 0, 0, 1.1196033796021, 0.960007369756708, 0.159596009845389, 77.5805454545455, 77.7570175438596, 77.7570175438596, 77.7570175438596
1/30/2017, 76.97, 77.14, 76.72, 77.09, 77314, 0, 0, 0, 0, 0, 1.08792461178665, 0.985590818162696, 0.102333793623951, 77.6229090909092, 77.815052631579, 77.815052631579, 77.815052631579
1/31/2017, 76.99, 77.36, 76.96, 77.28, 91846, 0, 0, 0, 0, 0, 1.06586375823565, 1.00164540617729, 0.0642183520583632, 77.6325454545455, 77.8941428571429, 77.8941428571429, 77.8941428571429
2/1/2017, 77.67, 77.8, 77.1, 77.3, 22249, 0, 0, 0, 0, 0, 1.03802845977565, 1.00892201689696, 0.0291064428786867, 77.6734545454546, 77.9600865800866, 77.9600865800866, 77.9600865800866
2/2/2017, 77.03, 77.47, 77, 77.39, 56156, 0.869241827109448, 0, 0, 0, 0, 1.0115702805289, 1.00945166962335, 0.0021186109055531, 77.621090909091, 78.0275098814229, 78.0275098814229, 78.0275098814229
2/3/2017, 77.38, 77.55, 77.14, 77.37, 56050, 0.852489256171645, 0, 0, 0, 0, 0.977717629774006, 1.00310486165348, -0.0253872318794734, 77.4609090909092, 78.0783695652174, 78.0783695652174, 78.0783695652174
2/6/2017, 77.57, 77.8, 77.51, 77.57, 27221, 0.835493606581154, 0, 0, 0, 0, 0.956007232404502, 0.993685335803684, -0.0376781033991813, 77.4094545454547, 78.1502333333334, 78.1502333333334, 78.1502333333334
2/7/2017, 77.91, 78.01, 77.51, 77.72, 58773, 0.824353797084085, 0, 0, 0, 0, 0.940068804466534, 0.982962029536254, -0.0428932250697195, 77.4778181818183, 78.2320923076923, 78.2320923076923, 78.2320923076923
2/8/2017, 78.39, 78.95, 78.25, 78.85, 30693, 0.849909172528933, 2.6722484099753, 0, 0, 0, 1.00701084748418, 0.98777179312584, 0.0192390543583422, 77.9932727272728, 78.4647863247864, 78.4647863247864, 78.4647863247864
2/9/2017, 79.22, 79.6, 79.22, 79.42, 25509, 0.848836204245921, 2.59725425384221, 0, 0, 0, 1.09345249546115, 1.0089079335929, 0.0845445618682488, 78.6552727272728, 78.7457936507936, 78.7457936507936, 78.7457936507936
2/10/2017, 79.32, 79.88, 79.29, 79.74, 35031, 0.84015353366128, 2.45046896334865, 0, 0, 0, 1.17424350176262, 1.04197504722685, 0.132268454535773, 79.2758181818183, 79.0337438423646, 79.0337438423646, 79.0337438423646
2/13/2017, 80.18, 80.58, 80, 80.25, 51502, 0.845409976765644, 3.03625568935161, 0, 0, 0, 1.26484336707846, 1.08654871119717, 0.178294655881288, 79.8858181818183, 79.3524137931035, 79.3524137931035, 79.3524137931035
2/14/2017, 80.2, 80.25, 79.63, 80.15, 45151, 0.842819003164951, 2.77342402879834, 0, 0, 0, 1.31343479013697, 1.13192592698513, 0.181508863151839, 80.3269090909093, 79.6198924731183, 79.6198924731183, 79.6198924731183
2/15/2017, 80.58, 81.09, 80.51, 80.97, 55227, 0.850615610083824, 2.77391147908123, 0, 0, 0, 1.40195018096473, 1.18593077778105, 0.216019403183684, 80.8987272727274, 79.8706666666667, 79.9563911290323, 79.9563911290323
2/16/2017, 81.2, 81.29, 80.96, 81.1, 18561, 0.827134755253551, 2.61821190706513, 0, 0, 0, 1.46569357627462, 1.24188333747976, 0.223810238794855, 81.3332727272729, 80.1461290322581, 80.2701704545455, 80.2701704545455
2/17/2017, 80.21, 80.65, 80.19, 80.65, 29891, 0.846579010768875, 2.51118959906464, 0, 0, 0, 1.46303448626074, 1.28611356723596, 0.176920919024781, 81.4060000000002, 80.397182795699, 80.4969340463458, 80.4969340463458
2/21/2017, 80.85, 81.36, 80.85, 81.3, 50956, 0.84148545335282, 2.67687319343967, 0, 0, 0, 1.49613024780244, 1.32811690334925, 0.168013344453186, 81.5643636363639, 80.6648387096774, 80.7716134453782, 80.7716134453782
2/22/2017, 81.7, 82.05, 81.7, 82.02, 38904, 0.838114228111498, 3.12188087683864, 0, 0, 0, 1.56244595558806, 1.37498271379702, 0.187463241791045, 81.7980000000003, 81.0017419354839, 81.0959047619047, 81.0959047619047
2/23/2017, 82.29, 82.29, 81.55, 81.78, 27964, 0.843788487897039, 2.6946227974819, 0, 0, 0, 1.57745175564132, 1.41547652216588, 0.161975233475443, 81.9401818181821, 81.3276344086022, 81.3614264264264, 81.3614264264264
2/24/2017, 80.69, 80.82, 80.62, 80.82, 97323, 0.882885070690533, 2.18254220926533, 0, 0, 0, 1.49465058182959, 1.43131133409862, 0.0633392477309696, 81.7049090909094, 81.5224946236559, 81.5002844950213, 81.5002844950213
2/27/2017, 80.44, 80.63, 80.23, 80.61, 16156, 0.877521806755345, 2.13464903172447, 0, 0, 0, 1.39599267548901, 1.4242476023767, -0.0282549268876859, 81.3847272727275, 81.6399139784947, 81.602914979757, 81.602914979757
2/28/2017, 80.46, 80.56, 80.19, 80.28, 40187, 0.863230956656962, 1.70566878151225, 0, 0, 0, 1.27646306025933, 1.39469069395322, -0.118227633693893, 81.0050909090912, 81.6966881720431, 81.6615641025641, 81.6615641025641
3/1/2017, 80.8, 81.44, 80.8, 81.32, 45852, 0.880904723812099, 1.78201589116148, 0, 0, 0, 1.25123087670036, 1.36599873050265, -0.11476785380229, 80.9630909090913, 81.8446021505376, 81.8130731707317, 81.8130731707317
3/2/2017, 80.4, 80.4, 79.91, 79.95, 39474, 0.939379781530705, 0.882208302664511, 0, 0, 0, 1.10791528130004, 1.31438204066213, -0.206466759362092, 80.5480000000004, 81.8178709677419, 81.8208710801393, 81.8208710801393
3/3/2017, 80.25, 80.41, 80, 80.17, 38070, 0.918650902540986, 0.923023231879335, 0, 0, 0, 1.00055502528781, 1.25161663758727, -0.251061612299456, 80.2905454545458, 81.7717634408602, 81.8461018826135, 81.8461018826135
3/6/2017, 80.07, 80.17, 79.83, 80.01, 209703, 0.895710920058434, 0.974069050391773, 0, 0, 0, 0.892274995360424, 1.1797483091419, -0.287473313781473, 79.9385454545458, 81.6703225806452, 81.8529175475687, 81.8529175475687
3/7/2017, 80.31, 80.52, 80.19, 80.27, 783685, 0.879936952512539, 1.18614988755091, 0, 0, 0, 0.818012578803518, 1.10740116307422, -0.289388584270703, 79.8412727272731, 81.6157634408602, 81.8801212121212, 81.8801212121212
3/8/2017, 80.79, 80.88, 80.35, 80.44, 75381, 0.872089908245555, 1.17635356721852, 0, 0, 0, 0.764068946699922, 1.03873471979936, -0.27466577309944, 80.0029090909095, 81.6009247311827, 81.9180483091787, 81.9180483091787
3/9/2017, 79.75, 79.86, 79.22, 79.67, 78817, 0.913058448704767, 0.850746529239729, 0, 0, 0, 0.651673577425598, 0.961322491324609, -0.309648913899011, 79.9367272727277, 81.4969032258064, 81.8865957446808, 81.8865957446808
3/10/2017, 79.96, 80.11, 79.76, 80.03, 34182, 0.89099335596518, 0.939493561339117, 0, 0, 0, 0.584905996627469, 0.886039192385181, -0.301133195757712, 79.9180000000004, 81.4316129032257, 81.8854521276596, 81.8854521276596
3/13/2017, 81.19, 81.54, 81.19, 81.43, 55379, 0.924608723615359, 1.31097487421643, 0, 0, 0, 0.637610530228628, 0.836353459953871, -0.198742929725243, 80.3840000000004, 81.5099999999999, 81.9959183673469, 81.9959183673469
3/14/2017, 81.19, 81.26, 80.89, 81.07, 57186, 0.915583371725654, 1.12011800254268, 0, 0, 0, 0.642919090397868, 0.79766658604267, -0.154747495644802, 80.6149090909095, 81.4972473118279, 82.0686693877551, 82.0686693877551
3/15/2017, 81.36, 82.5, 81.05, 82.25, 193254, 0.945471449829895, 1.36958767018177, 0, 0, 0, 0.733882559585751, 0.784909780751286, -0.0510272211655349, 81.4183636363641, 81.6212043010753, 82.2266117647059, 82.2266117647059
3/16/2017, 83, 83.27, 83, 83.14, 36025, 0.949925131237472, 1.31027747061548, 2.64612910074791, 0, 0, 0.86778405186017, 0.801484634973063, 0.0662994168871067, 82.2045454545459, 81.8273548387096, 82.4403318250377, 82.4403318250377
3/17/2017, 83.06, 83.1, 82.74, 82.82, 25003, 0.930064436615905, 1.03922293427902, 2.351905561258, 0, 0, 0.937276285957111, 0.828642965169873, 0.108633320787238, 82.7501818181822, 81.9612258064516, 82.6146661828737, 82.6146661828737
3/20/2017, 83.51, 83.94, 83.5, 83.85, 61409, 0.93949361727493, 1.20596241931327, 2.31588820769203, 0, 0, 1.06320579944098, 0.875555532024094, 0.187650267416885, 83.4750909090913, 82.1894193548387, 82.851928721174, 82.851928721174
3/21/2017, 84.12, 84.29, 82.48, 82.6, 78297, 1.01558974356026, 0.659933739901606, 2.03780607891787, 0, 0, 1.05003711855865, 0.910451849331005, 0.139585269227644, 83.6107272727277, 82.2305376344085, 82.9827003367003, 82.9827003367003
3/22/2017, 82.38, 83.11, 82.15, 83.01, 135438, 1.01786925885043, 0.795670659244866, 2.04451904482084, 0, 0, 1.06046009372423, 0.94045349820965, 0.120006595514581, 83.7949090909095, 82.3012258064516, 83.132987012987, 83.132987012987
3/23/2017, 82.69, 83.4, 82.65, 83.24, 40174, 1.00935440675535, 0.643563396964622, 1.88636139071433, 0, 0, 1.07488880539273, 0.967340559646267, 0.107548245746465, 83.764363636364, 82.4423010752688, 83.2887406015037, 83.2887406015037
3/24/2017, 83.15, 83.45, 83.01, 83.25, 59428, 0.985197931260052, 0.610087639345779, 1.77694572136225, 0, 0, 1.07474162729376, 0.988820773175766, 0.0859208541179957, 83.6145454545458, 82.5943225806451, 83.434500907441, 83.434500907441
3/27/2017, 82.22, 82.92, 82.02, 82.78, 44230, 1.01554531757102, 0.607712474861225, 1.73902594412653, 0, 0, 1.02488567149209, 0.99603375283903, 0.0288519186530564, 83.4067272727276, 82.6833333333332, 83.5387668030391, 83.5387668030391
3/28/2017, 82.79, 83.35, 82.79, 83.17, 34640, 0.994511233847576, 0.537445725568448, 1.78196649385829, 0, 0, 1.00525623977862, 0.997878250226947, 0.00737798955167013, 83.1880000000004, 82.8362150537633, 83.6614915254237, 83.6614915254237
3/29/2017, 82.72, 83.09, 82.7, 83.05, 40614, 0.974447012078841, 0.309022581692804, 1.80833407365175, 0, 0, 0.968848494250636, 0.992072299031685, -0.0232238047810489, 83.0492727272731, 82.9483655913977, 83.7681639344262, 83.7681639344262
3/30/2017, 82.45, 82.61, 82.35, 82.54, 28732, 0.97384823280216, 0.233051725036454, 1.54371603515987, 0, 0, 0.888599138133273, 0.971377666852003, -0.0827785287187299, 82.8687272727277, 83.03176344086, 83.8349973558963, 83.8349973558963
3/31/2017, 82.09, 82.26, 81.98, 82.05, 52103, 0.964806355621156, 0.37627723706238, 1.51519221600353, 0, 0, 0.776510905982803, 0.932404314678163, -0.15589340869536, 82.4876363636368, 83.0515268817202, 83.8660983102918, 83.8660983102918
4/3/2017, 82.58, 82.93, 82.26, 82.91, 314862, 0.960128372992161, 0.669087034972834, 1.72726323619197, 0, 0, 0.748447351950588, 0.895612922132648, -0.14716557018206, 82.6516363636368, 83.1442795698923, 83.9476934523809, 83.9476934523809
4/4/2017, 82.86, 83.07, 82.6, 82.94, 87222, 0.940125768441537, 0.777290687411754, 1.59148132719432, 0, 0, 0.720324084809107, 0.86055515466794, -0.140231069858833, 82.6272727272732, 83.2695913978493, 84.0256394230769, 84.0256394230769
4/5/2017, 83.41, 83.45, 82.86, 83.11, 174700, 0.926787747236362, 0.545394219336103, 1.48239970998744, 0, 0, 0.703642618133486, 0.829172647361049, -0.125530029227563, 82.7250909090913, 83.4538924731181, 84.1086153846154, 84.1086153846154
4/6/2017, 82.81, 83.04, 82.7, 82.97, 89930, 0.906641716152505, 1.00820718226494, 1.33868858467547, 0, 0, 0.67138628249721, 0.797615374388281, -0.126229091891072, 82.8150909090913, 83.5973978494622, 84.1779285391225, 84.1779285391225
4/7/2017, 82.88, 83.2, 82.76, 83.04, 27655, 0.887076830800995, 0.957745197922658, 1.32994788597514, 0, 0, 0.644047144520115, 0.766901728414648, -0.122854583894533, 82.9460000000004, 83.6781075268816, 84.2467515364354, 84.2467515364354
4/10/2017, 82.72, 82.86, 82.45, 82.75, 111965, 0.88132588553751, 0.913788286381055, 1.33243076572223, 0, 0, 0.592154120241517, 0.731952206780022, -0.139798086538505, 82.8941818181822, 83.693698924731, 84.2944117647058, 84.2944117647058
4/11/2017, 82.44, 82.62, 81.9, 82.36, 21043, 0.892826993404777, 0.694722280586542, 1.3109671449492, 0, 0, 0.513637886174337, 0.688289342658885, -0.174651456484548, 82.7872727272732, 83.6239999999998, 84.3166045548654, 84.3166045548654
4/12/2017, 82.62, 82.81, 82.37, 82.58, 35652, 0.873172313126382, 0.708902998944994, 1.31485443430098, 0, 0, 0.463818752518577, 0.643395224630824, -0.179576472112246, 82.7765454545459, 83.6381290322579, 84.34907444668, 84.34907444668
4/13/2017, 82.82, 83.02, 82.32, 82.37, 180121, 0.87411971758016, 0.926814507396098, 1.25716435992719, 0, 0, 0.402748847204023, 0.595265949145463, -0.19251710194144, 82.6169090909095, 83.5261505376343, 84.3674765258215, 84.3674765258215
4/17/2017, 82.44, 82.96, 82.4, 82.84, 46222, 0.861313122648767, 0.956023984247999, 1.34037197921316, 0, 0, 0.387805202331322, 0.553773799782635, -0.165968597451313, 82.5309090909095, 83.4728602150536, 84.4096917808219, 84.4096917808219
4/18/2017, 81.73, 81.92, 81.46, 81.66, 85245, 0.914567966277403, 0.0962014883938487, 1.02593080886497, 0, 0, 0.277546731820451, 0.498528386190198, -0.220981654369748, 82.1661818181822, 83.2419569892471, 84.3857126990003, 84.3857126990003
4/19/2017, 81.96, 82.19, 81.45, 81.55, 76148, 0.915382453953428, 0.182714248032903, 0.952609013934159, 0, 0, 0.179224035758409, 0.43466751610384, -0.255443480345431, 81.8376363636366, 83.0037849462364, 84.3561945945946, 84.3561945945946
4/20/2017, 82.35, 82.81, 82.31, 82.75, 16901, 0.933135554850839, 0.186835084385754, 1.15335846621501, 0, 0, 0.195874641000316, 0.386908941083136, -0.19103430008282, 82.0334545454548, 82.9209462365589, 84.3899719298245, 84.3899719298245
4/21/2017, 82.39, 82.76, 82.37, 82.71, 52680, 0.910483844827852, -0.134326831739061, 0.910207763033959, 0, 0, 0.20349691415565, 0.350226535697639, -0.146729621541988, 82.2070909090912, 82.7667956989246, 84.4193814080656, 84.4193814080656
4/24/2017, 83.27, 83.27, 83.02, 83.09, 46258, 0.89470228505748, 0.11198216880954, 0.865408660022547, 0, 0, 0.237463117748518, 0.327673852107815, -0.0902107343592961, 82.540181818182, 82.6652473118278, 84.4660839160838, 84.4660839160838
4/25/2017, 84.06, 84.39, 84.06, 84.15, 40989, 0.91650353205175, 0.120913381212902, 1.00530975910464, 0, 0, 0.345927087882544, 0.33132449926276, 0.0146025886197833, 83.1787272727275, 82.7717849462364, 84.5633171048361, 84.5633171048361
4/26/2017, 84.06, 84.25, 84, 84.01, 103529, 0.887008494358374, 0.563130019462614, 0.862063905490127, 0, 0, 0.415795701658411, 0.34821873974189, 0.0675769619165202, 83.6145454545457, 82.8190107526881, 84.6486329113924, 84.6486329113924
4/27/2017, 83.8, 83.91, 83.61, 83.85, 45357, 0.868118120816872, 0.3433670565627, 0.849600625764648, 0, 0, 0.453034123258789, 0.36918181644527, 0.0838523068135186, 83.9490909090912, 82.905634408602, 84.7217129629629, 84.7217129629629
4/28/2017, 83.91, 83.91, 83.54, 83.78, 34396, 0.847482922045475, 0.226451797413278, 0.657516459198339, 0, 0, 0.471462697182034, 0.389637992592623, 0.0818247045894109, 84.1481818181821, 83.0323870967741, 84.7875940981632, 84.7875940981632
5/1/2017, 84.13, 84.45, 83.95, 84.21, 89354, 0.840779162195956, 0.385511981679318, 0.720404342616087, 0, 0, 0.514830238607018, 0.414676441795502, 0.100153796811517, 84.5129090909093, 83.1882365591397, 84.8706200411401, 84.8706200411401
5/2/2017, 84, 84.27, 83.9, 84.05, 70802, 0.822271416848248, 0.515136557625322, 0.792065285444495, 0, 0, 0.530177113072668, 0.437776576050935, 0.0924005370217326, 84.5116363636366, 83.3834838709676, 84.9419535283993, 84.9419535283993
5/3/2017, 83.98, 83.98, 83.44, 83.68, 51342, 0.82106019307828, 0.215370211347411, 0.563919930290589, 0, 0, 0.506643443630409, 0.45154994956683, 0.0550934940635792, 84.230181818182, 83.4471612903225, 84.9923921568627, 84.9923921568627
5/4/2017, 83.19, 83.24, 82.45, 82.72, 73237, 0.863406686520201, -0.105748148503911, 0.183449306273626, 0, 0, 0.405850472487543, 0.442410054150973, -0.0365595816634294, 83.7409090909092, 83.4093978494623, 84.9957510259918, 84.9957510259918
5/5/2017, 82.43, 82.83, 82.23, 82.83, 23794, 0.855365822208179, 0.125409313045061, 0.262099822858068, 0, 0, 0.331031472617923, 0.420134337844363, -0.0891028652264399, 83.2832727272729, 83.4027956989246, 85.0033761026463, 85.0033761026463
