Date,IAI_Open,IAI_High,IAI_Low,IAI_Close,IAI_Volume,IAI_ATRPercentOfClose20,IAI_SQN25,IAI_SQN50,IAI_SQN100,IAI_SQN200,IAI_MACD,IAI_MACD_Avg,IAI_MACD_Diff,IAI_LinReg10,IAI_LinReg30,IAI_LinReg90,IAI_LinReg270
1/3/2017, 50.16, 50.38, 49.43, 49.89, 49579, 0, 0, 0, 0, 0, 0, 0, 0, 49.89, 49.89, 49.89, 49.89
1/4/2017, 50.07, 50.98, 50.06, 50.94, 22866, 0, 0, 0, 0, 0, 0.083760683760687, 0.0167521367521374, 0.0670085470085496, 50.94, 50.94, 50.94, 50.94
1/5/2017, 50.77, 51.01, 50.15, 50.64, 269364, 0, 0, 0, 0, 0, 0.124498989456256, 0.0383015072929612, 0.0861974821632953, 50.865, 50.865, 50.865, 50.865
1/6/2017, 50.87, 51.31, 50.7, 51.15, 25718, 0, 0, 0, 0, 0, 0.195681434209689, 0.0697774926763068, 0.125903941533382, 51.177, 51.177, 51.177, 51.177
1/9/2017, 50.96, 50.96, 50.49, 50.69, 15693, 0, 0, 0, 0, 0, 0.21252601133321, 0.0983271964076875, 0.114198814925523, 51.024, 51.024, 51.024, 51.024
1/10/2017, 50.71, 51.03, 50.57, 50.75, 12167, 0, 0, 0, 0, 0, 0.2280877055316, 0.12427929823247, 0.10380840729913, 50.9666666666667, 50.9666666666667, 50.9666666666667, 50.9666666666667
1/11/2017, 50.75, 51.03, 50.55, 51.03, 19873, 0, 0, 0, 0, 0, 0.260016808330555, 0.151426800252087, 0.108590008078468, 51.0582142857143, 51.0582142857143, 51.0582142857143, 51.0582142857143
1/12/2017, 50.89, 50.89, 50.1, 50.76, 20801, 0, 0, 0, 0, 0, 0.260530871112294, 0.173247614424128, 0.087283256688166, 50.9983333333333, 50.9983333333333, 50.9983333333333, 50.9983333333333
1/13/2017, 50.99, 51.51, 50.96, 51.04, 21649, 0, 0, 0, 0, 0, 0.280300796412945, 0.194658250821892, 0.0856425455910532, 51.0615555555555, 51.0615555555555, 51.0615555555555, 51.0615555555555
1/17/2017, 50.97, 50.97, 49.89, 49.92, 22531, 0, 0, 0, 0, 0, 0.203251013712162, 0.196376803399946, 0.00687421031221611, 50.7156363636364, 50.7156363636364, 50.7156363636364, 50.7156363636364
1/18/2017, 50.02, 50.43, 49.49, 50.37, 27513, 0, 0, 0, 0, 0, 0.176465559872952, 0.192394554694547, -0.0159289948215952, 50.45, 50.6109090909091, 50.6109090909091, 50.6109090909091
