Date,IEI_Open,IEI_High,IEI_Low,IEI_Close,IEI_Volume,IEI_ATRPercentOfClose20,IEI_SQN25,IEI_SQN50,IEI_SQN100,IEI_SQN200,IEI_MACD,IEI_MACD_Avg,IEI_MACD_Diff,IEI_LinReg10,IEI_LinReg30,IEI_LinReg90,IEI_LinReg270
1/3/2017, 122.21, 122.53, 122.14, 122.48, 739637, 0, 0, 0, 0, 0, 0, 0, 0, 122.48, 122.48, 122.48, 122.48
1/4/2017, 122.39, 122.56, 122.35, 122.56, 334763, 0, 0, 0, 0, 0, 0.00638176638176446, 0.00127635327635289, 0.00510541310541157, 122.56, 122.56, 122.56, 122.56
1/5/2017, 122.66, 123.03, 122.63, 122.93, 498672, 0, 0, 0, 0, 0, 0.0408246686309326, 0.00918601634726883, 0.0316386522836638, 122.881666666667, 122.881666666667, 122.881666666667, 122.881666666667
1/6/2017, 122.66, 122.78, 122.54, 122.59, 346858, 0, 0, 0, 0, 0, 0.0402221029443126, 0.0153932336666776, 0.024828869277635, 122.745, 122.745, 122.745, 122.745
1/9/2017, 122.77, 122.88, 122.73, 122.83, 356013, 0, 0, 0, 0, 0, 0.0584369349226677, 0.0240019739178756, 0.0344349610047921, 122.824, 122.824, 122.824, 122.824
1/10/2017, 122.84, 122.93, 122.81, 122.85, 703852, 0, 0, 0, 0, 0, 0.0736373082969095, 0.0339290407936824, 0.0397082675032271, 122.872380952381, 122.872380952381, 122.872380952381, 122.872380952381
1/11/2017, 122.91, 123.13, 122.73, 122.85, 367664, 0, 0, 0, 0, 0, 0.0847072611309017, 0.0440846848611262, 0.0406225762697754, 122.8975, 122.8975, 122.8975, 122.8975
1/12/2017, 123.02, 123.18, 122.93, 122.97, 360360, 0, 0, 0, 0, 0, 0.101987625760017, 0.0556652730409045, 0.0463223527191129, 122.960833333333, 122.960833333333, 122.960833333333, 122.960833333333
1/13/2017, 122.79, 122.9, 122.6, 122.78, 360248, 0, 0, 0, 0, 0, 0.0992074256744786, 0.0643737035676193, 0.0348337221068593, 122.928666666667, 122.928666666667, 122.928666666667, 122.928666666667
1/17/2017, 123.25, 123.26, 123.06, 123.2, 285965, 0, 0, 0, 0, 0, 0.129402910784947, 0.0773795450110848, 0.052023365773862, 123.05, 123.05, 123.05, 123.05
1/18/2017, 123.01, 123.04, 122.62, 122.66, 251817, 0, 0, 0, 0, 0, 0.108508742016397, 0.0836053844121473, 0.02490335760425, 122.935454545454, 122.963181818182, 122.963181818182, 122.963181818182
1/19/2017, 122.39, 122.54, 122.32, 122.47, 1483743, 0, 0, 0, 0, 0, 0.075745404753107, 0.0820333884803392, -0.00628798372723226, 122.761454545454, 122.842051282051, 122.842051282051, 122.842051282051
1/20/2017, 122.41, 122.65, 122.35, 122.61, 254572, 0, 0, 0, 0, 0, 0.0603810190937963, 0.0777029146030307, -0.0173218955092343, 122.714727272727, 122.788571428571, 122.788571428571, 122.788571428571
1/23/2017, 122.76, 123.09, 122.64, 122.99, 1105631, 0, 0, 0, 0, 0, 0.077968682533438, 0.0777560681891121, 0.000212614344325887, 122.748727272727, 122.844857142857, 122.844857142857, 122.844857142857
1/24/2017, 122.84, 122.9, 122.61, 122.73, 275617, 0, 0, 0, 0, 0, 0.0701189181908717, 0.076228638189464, -0.00610971999859236, 122.719090909091, 122.825916666667, 122.825916666667, 122.825916666667
1/25/2017, 122.48, 122.52, 122.33, 122.43, 429696, 0, 0, 0, 0, 0, 0.0392381180000854, 0.0688305341515883, -0.0295924161515029, 122.595272727272, 122.742205882353, 122.742205882353, 122.742205882353
1/26/2017, 122.43, 122.58, 122.27, 122.54, 548851, 0, 0, 0, 0, 0, 0.0233715296112962, 0.0597387332435299, -0.0363672036322337, 122.532363636363, 122.698235294118, 122.698235294118, 122.698235294118
1/27/2017, 122.73, 122.73, 122.56, 122.6, 369271, 0, 0, 0, 0, 0, 0.0154604244108327, 0.0508830714769905, -0.0354226470661577, 122.531090909091, 122.674619883041, 122.674619883041, 122.674619883041
1/30/2017, 122.65, 122.82, 122.63, 122.63, 794424, 0, 0, 0, 0, 0, 0.0114792402861355, 0.0430023052388195, -0.031523064952684, 122.522363636363, 122.661052631579, 122.661052631579, 122.661052631579
1/31/2017, 122.72, 122.98, 122.72, 122.87, 924118, 0, 0, 0, 0, 0, 0.0273745605270506, 0.0398767562964657, -0.0125021957694151, 122.688727272727, 122.694428571429, 122.694428571429, 122.694428571429
2/1/2017, 122.43, 122.69, 122.33, 122.57, 1265925, 0, 0, 0, 0, 0, 0.0155845742710596, 0.0350183198913845, -0.0194337456203248, 122.661454545454, 122.669393939394, 122.669393939394, 122.669393939394
2/2/2017, 122.76, 122.84, 122.61, 122.62, 326012, 0.289532702658622, 0, 0, 0, 0, 0.0101584075545844, 0.0300463374240245, -0.0198879298694401, 122.618363636363, 122.656719367589, 122.656719367589, 122.656719367589
2/3/2017, 122.83, 122.97, 122.57, 122.67, 176989, 0.291247860112499, 0, 0, 0, 0, 0.00977997599545688, 0.025993065138311, -0.0162130891428541, 122.612363636363, 122.654130434783, 122.654130434783, 122.654130434783
2/6/2017, 122.94, 123.11, 122.84, 123.04, 389196, 0.293733795920028, 0, 0, 0, 0, 0.0388877008309692, 0.0285719922768426, 0.0103157085541266, 122.806909090909, 122.709966666667, 122.709966666667, 122.709966666667
2/7/2017, 123.04, 123.25, 122.94, 123.09, 331247, 0.29152616733691, 0, 0, 0, 0, 0.0652383376584282, 0.0359052613531597, 0.0293330763052685, 122.963999999999, 122.765938461538, 122.765938461538, 122.765938461538
2/8/2017, 123.18, 123.42, 123.18, 123.37, 1065684, 0.289695697014065, 0.719955191468929, 0, 0, 0, 0.107476148988681, 0.050219438880264, 0.0572567101084171, 123.138181818181, 122.855384615385, 122.855384615385, 122.855384615385
2/9/2017, 123.25, 123.27, 122.96, 123, 254376, 0.29270544905361, 0.342805900875555, 0, 0, 0, 0.109827982378604, 0.0621411475799321, 0.0476868347986723, 123.155272727272, 122.881772486773, 122.881772486773, 122.881772486773
2/10/2017, 122.83, 123, 122.83, 122.94, 316476, 0.285119828549816, 0.0130713903072919, 0, 0, 0, 0.105632661161266, 0.0708394502961989, 0.0347932108650672, 123.138545454545, 122.896748768473, 122.896748768473, 122.896748768473
2/13/2017, 122.77, 122.83, 122.71, 122.83, 360168, 0.28046894191825, 0.203109757456932, 0, 0, 0, 0.0923670087982629, 0.0751449619966117, 0.0172220468016512, 123.071272727272, 122.895448275862, 122.895448275862, 122.895448275862
2/14/2017, 122.82, 122.82, 122.38, 122.48, 411590, 0.285577238153394, -0.278119932463957, 0, 0, 0, 0.053000848014733, 0.070716139200236, -0.0177152911855029, 122.920181818181, 122.84976344086, 122.84976344086, 122.84976344086
2/15/2017, 122.34, 122.42, 122.27, 122.36, 755933, 0.280145677693498, -0.390306591112291, 0, 0, 0, 0.0119817665117949, 0.0589692646625478, -0.0469874981507528, 122.688909090908, 122.777892473118, 122.794193548387, 122.794193548387
2/16/2017, 122.46, 122.73, 122.46, 122.7, 803842, 0.280478352619785, -0.11098841820192, 0, 0, 0, 0.00683027226862976, 0.0485414661837642, -0.0417111939151344, 122.596545454545, 122.755268817204, 122.785, 122.785
2/17/2017, 122.87, 122.95, 122.82, 122.91, 429499, 0.276169222790051, -0.0407128578181771, 0, 0, 0, 0.019468500171925, 0.0427268729813963, -0.0232583728094713, 122.582363636363, 122.783053763441, 122.801051693405, 122.801051693405
2/21/2017, 122.75, 122.93, 122.7, 122.85, 326600, 0.271849908135685, 0.0595178115495096, 0, 0, 0, 0.0243620576440549, 0.039053909913928, -0.0146918522698732, 122.608363636363, 122.780688172043, 122.808722689076, 122.808722689076
2/22/2017, 123.02, 123.02, 122.7, 122.96, 404234, 0.271038737424736, -0.190694924855335, 0, 0, 0, 0.036693339906904, 0.0385817959125232, -0.0018884560056192, 122.692727272726, 122.806602150538, 122.827666666667, 122.827666666667
2/23/2017, 123.03, 123.16, 123.03, 123.16, 282965, 0.265188186067378, 0.453268802784596, 0, 0, 0, 0.0618908591737295, 0.0432436085647645, 0.018647250608965, 122.909272727272, 122.858387096774, 122.866111111111, 122.866111111111
2/24/2017, 123.39, 123.51, 123.33, 123.46, 409548, 0.265491237212501, 0.884288913329444, 0, 0, 0, 0.104858820318128, 0.0555666509154372, 0.049292169402691, 123.166909090908, 122.94623655914, 122.93213371266, 122.93213371266
2/27/2017, 123.37, 123.38, 123.11, 123.16, 888693, 0.267040197620514, 0.476086021313459, 0, 0, 0, 0.113396581097149, 0.0671326369517796, 0.0462639441453693, 123.283818181817, 123.000086021506, 122.961821862348, 122.961821862348
2/28/2017, 123.17, 123.27, 123.01, 123.05, 214835, 0.264479782218573, 0.0583333212038027, 0, 0, 0, 0.110018512407223, 0.0757098120428682, 0.0343087003643544, 123.328727272726, 123.026086021506, 122.977974358974, 122.977974358974
3/1/2017, 122.34, 122.43, 122.32, 122.37, 529367, 0.282479572950034, -0.277538646601291, 0, 0, 0, 0.0518730909275718, 0.0709424678198089, -0.0190693768922372, 123.056727272726, 122.992064516129, 122.927146341463, 122.927146341463
3/2/2017, 122.22, 122.27, 122.06, 122.17, 466217, 0.281482148439067, -0.202543349169325, 0, 0, 0, -0.0102280010114981, 0.0547083740535475, -0.0649363750650456, 122.697636363635, 122.902021505377, 122.861637630662, 122.861637630662
3/3/2017, 122.16, 122.3, 122.04, 122.27, 223935, 0.277821545522702, -0.210504064306543, 0, 0, 0, -0.0507889362798579, 0.0336089119868664, -0.0843978482667243, 122.451454545453, 122.815161290323, 122.81057585825, 122.81057585825
3/6/2017, 122.28, 122.3, 122.19, 122.29, 180101, 0.268384809489801, -0.242696543325636, 0, 0, 0, -0.0803932139256602, 0.0108084868043611, -0.0912017007300213, 122.277636363635, 122.741462365592, 122.76532769556, 122.76532769556
3/7/2017, 122.2, 122.21, 122.1, 122.13, 209914, 0.263078190738413, -0.392381153009194, 0, 0, 0, -0.115434819329934, -0.014440174422498, -0.100994644907436, 122.070363636362, 122.674860215054, 122.709515151515, 122.709515151515
3/8/2017, 121.84, 121.95, 121.77, 121.93, 365477, 0.265096797040419, -0.752296646378325, 0, 0, 0, -0.157527988016128, -0.0430577371412239, -0.114470250874904, 121.855272727272, 122.571096774194, 122.640743961353, 122.640743961353
3/9/2017, 121.74, 121.85, 121.68, 121.7, 401244, 0.262589070172402, -0.704682435591354, 0, 0, 0, -0.207059353932465, -0.0758580604994721, -0.131201293432993, 121.656909090908, 122.423311827957, 122.557742830712, 122.557742830712
3/10/2017, 121.91, 121.93, 121.75, 121.89, 219843, 0.258505499614261, -0.581533985035862, 0, 0, 0, -0.228349633736642, -0.106356375146906, -0.121993258589736, 121.663818181817, 122.311677419355, 122.496489361702, 122.496489361702
3/13/2017, 121.79, 121.87, 121.71, 121.74, 417887, 0.253275616728957, -0.740852668157632, 0, 0, 0, -0.25439358932411, -0.135963817982347, -0.118429771341763, 121.644545454544, 122.189204301075, 122.427551020408, 122.427551020408
3/14/2017, 121.75, 121.86, 121.74, 121.8, 377096, 0.245419416268917, -1.0429709777549, 0, 0, 0, -0.267113000803491, -0.162193654546576, -0.104919346256915, 121.701454545453, 122.081892473118, 122.36826122449, 122.36826122449
