Date,IGN_Open,IGN_High,IGN_Low,IGN_Close,IGN_Volume,IGN_ATRPercentOfClose20,IGN_SQN25,IGN_SQN50,IGN_SQN100,IGN_SQN200,IGN_MACD,IGN_MACD_Avg,IGN_MACD_Diff,IGN_LinReg10,IGN_LinReg30,IGN_LinReg90,IGN_LinReg270
1/3/2017, 43.95, 44.13, 43.52, 43.72, 12444, 0, 0, 0, 0, 0, 0, 0, 0, 43.72, 43.72, 43.72, 43.72
1/4/2017, 43.81, 44.25, 43.71, 44.18, 35364, 0, 0, 0, 0, 0, 0.0366951566951528, 0.00733903133903056, 0.0293561253561222, 44.18, 44.18, 44.18, 44.18
1/5/2017, 44.25, 44.47, 43.85, 44.08, 6182, 0, 0, 0, 0, 0, 0.0570495369355726, 0.017281132458339, 0.0397684044772336, 44.1733333333333, 44.1733333333333, 44.1733333333333, 44.1733333333333
1/6/2017, 44.14, 44.14, 43.93, 44.07, 8783, 0, 0, 0, 0, 0, 0.0715488429708273, 0.0281346745608366, 0.0434141684099907, 44.155, 44.155, 44.155, 44.155
1/9/2017, 44.05, 44.05, 43.73, 43.75, 134077, 0, 0, 0, 0, 0, 0.0565662611697206, 0.0338209918826134, 0.0227452692871072, 43.95, 43.95, 43.95, 43.95
1/10/2017, 43.76, 44.04, 43.76, 43.95, 14639, 0, 0, 0, 0, 0, 0.0601375573521068, 0.0390843049765121, 0.0210532523755947, 43.9476190476191, 43.9476190476191, 43.9476190476191, 43.9476190476191
1/11/2017, 43.91, 44.08, 43.76, 43.95, 5818, 0, 0, 0, 0, 0, 0.0622502531377123, 0.0437174946087521, 0.0185327585289601, 43.9464285714286, 43.9464285714286, 43.9464285714286, 43.9464285714286
1/12/2017, 43.95, 43.95, 43.28, 43.72, 322587, 0, 0, 0, 0, 0, 0.0448485161818439, 0.0439436989233705, 0.000904817258473432, 43.85, 43.85, 43.85, 43.85
1/13/2017, 43.84, 44.07, 43.84, 43.96, 7299, 0, 0, 0, 0, 0, 0.0498488816302967, 0.0451247354647557, 0.00472414616554093, 43.8777777777778, 43.8777777777778, 43.8777777777778, 43.8777777777778
1/17/2017, 43.53, 43.53, 42.99, 43.15, 12031, 0, 0, 0, 0, 0, -0.0114169161708304, 0.0338164051376385, -0.0452333213084689, 43.6176363636364, 43.6176363636364, 43.6176363636364, 43.6176363636364
1/18/2017, 43.31, 43.31, 43.13, 43.21, 19837, 0, 0, 0, 0, 0, -0.0545007530102239, 0.016152973508066, -0.07065372651829, 43.3689090909091, 43.4522727272727, 43.4522727272727, 43.4522727272727
1/19/2017, 43.41, 43.63, 43.39, 43.5, 114393, 0, 0, 0, 0, 0, -0.0645009014968068, 2.21985070914619E-05, -0.0645231000038982, 43.3401818181818, 43.4180769230769, 43.4180769230769, 43.4180769230769
1/20/2017, 43.57, 43.64, 43.48, 43.53, 4657, 0, 0, 0, 0, 0, -0.0692075602655322, -0.0138237532474333, -0.0553838070180989, 43.3389090909091, 43.4024175824176, 43.4024175824176, 43.4024175824176
1/23/2017, 43.46, 43.6, 43.12, 43.47, 13543, 0, 0, 0, 0, 0, -0.0768927480727655, -0.0264375522124997, -0.0504551958602658, 43.3449090909091, 43.3765714285714, 43.3765714285714, 43.3765714285714
1/24/2017, 43.61, 44.54, 43.61, 44.45, 19102, 0, 0, 0, 0, 0, -0.00386099780124738, -0.0219222413302493, 0.0180612435290019, 43.6581818181819, 43.5945833333333, 43.5945833333333, 43.5945833333333
1/25/2017, 44.95, 44.98, 44.57, 44.74, 26068, 0, 0, 0, 0, 0, 0.0765355130701835, -0.00223069045016271, 0.0787662035203462, 44.0734545454546, 43.835294117647, 43.835294117647, 43.835294117647
1/26/2017, 44.77, 44.78, 44.21, 44.36, 9422, 0, 0, 0, 0, 0, 0.10833864252136, 0.0198831761441419, 0.0884554663772185, 44.3143636363637, 43.9480392156863, 43.9480392156863, 43.9480392156863
1/27/2017, 44, 44.25, 43.89, 44.24, 10675, 0, 0, 0, 0, 0, 0.12244834630765, 0.0403962101768434, 0.0820521361308061, 44.4454545454546, 44.0155555555556, 44.0155555555556, 44.0155555555556
1/30/2017, 44.16, 44.16, 43.59, 43.87, 10823, 0, 0, 0, 0, 0, 0.102591865270611, 0.052835341195597, 0.0497565240750141, 44.4683636363637, 43.9990526315789, 43.9990526315789, 43.9990526315789
1/31/2017, 43.81, 44.21, 43.68, 44.2, 29715, 0, 0, 0, 0, 0, 0.112190441492068, 0.0647063612548911, 0.0474840802371767, 44.4481818181818, 44.0462857142857, 44.0462857142857, 44.0462857142857
2/1/2017, 44.39, 44.39, 43.94, 44.12, 6886, 0, 0, 0, 0, 0, 0.112050403585897, 0.0741751697210923, 0.0378752338648048, 44.3550909090909, 44.0716017316017, 44.0716017316017, 44.0716017316017
2/2/2017, 44.12, 44.48, 44.12, 44.45, 9741, 1.10173790776153, 0, 0, 0, 0, 0.136988545926236, 0.0867378449621211, 0.0502507009641152, 44.3843636363637, 44.1488932806324, 44.1488932806324, 44.1488932806324
2/3/2017, 44.69, 44.93, 44.68, 44.92, 11758, 1.08912817230632, 0, 0, 0, 0, 0.192458730997139, 0.107882022169125, 0.084576708828014, 44.5301818181818, 44.2913043478261, 44.2913043478261, 44.2913043478261
2/6/2017, 44.8, 44.96, 44.76, 44.85, 5891, 1.05858318004459, 0, 0, 0, 0, 0.228140970229354, 0.131933811781171, 0.0962071584481838, 44.564, 44.4025333333333, 44.4025333333333, 44.4025333333333
2/7/2017, 44.98, 45.1, 44.72, 44.77, 17185, 1.04989016850011, 0, 0, 0, 0, 0.247115477089594, 0.154970144842855, 0.0921453322467384, 44.6909090909091, 44.4863076923077, 44.4863076923077, 44.4863076923077
2/8/2017, 44.98, 45.18, 44.85, 44.96, 17491, 1.03877677272159, 0.72947619888843, 0, 0, 0, 0.274322108081641, 0.178840537490612, 0.0954815705910287, 44.9240000000001, 44.5863247863248, 44.5863247863248, 44.5863247863248
2/9/2017, 45.2, 45.63, 45.2, 45.44, 12495, 1.05013718126066, 0.732710772402368, 0, 0, 0, 0.330802265034585, 0.209232882999407, 0.121569382035178, 45.2349090909092, 44.7406084656085, 44.7406084656085, 44.7406084656085
2/10/2017, 45.6, 45.86, 45.34, 45.76, 19979, 1.04747206819624, 0.962529581899357, 0, 0, 0, 0.396810339399039, 0.246748374279333, 0.150061965119706, 45.5734545454546, 44.9190640394088, 44.9190640394088, 44.9190640394088
2/13/2017, 45.9, 46.4, 45.9, 46.33, 14599, 1.05192544244824, 1.23947907218393, 0, 0, 0, 0.489474097497691, 0.295293518923005, 0.194180578574686, 45.9520000000001, 45.1507586206896, 45.1507586206896, 45.1507586206896
2/14/2017, 46.25, 46.66, 45.97, 46.62, 97937, 1.06711541100806, 1.6052519596617, 0, 0, 0, 0.57962975871461, 0.352160766881326, 0.227468991833284, 46.3625454545456, 45.3923870967742, 45.3923870967742, 45.3923870967742
2/15/2017, 46.55, 46.77, 46.46, 46.66, 184682, 1.04610961076159, 1.51346318228439, 0, 0, 0, 0.646849951876426, 0.411098603880346, 0.23575134799608, 46.6389090909092, 45.6446451612903, 45.6116935483871, 45.6116935483871
2/16/2017, 46.7, 47.02, 46.49, 46.71, 19252, 1.04947336151208, 1.54214426892648, 0, 0, 0, 0.696132439944776, 0.468105371093232, 0.228027068851544, 46.8600000000001, 45.9149462365591, 45.8127840909091, 45.8127840909091
2/17/2017, 46.58, 47.26, 46.58, 47.22, 9929, 1.05823497840783, 1.94436706054366, 0, 0, 0, 0.767494703360775, 0.527983237546741, 0.239511465814034, 47.2280000000001, 46.2269677419354, 46.0512655971479, 46.0512655971479
2/21/2017, 47.35, 47.85, 47.35, 47.81, 16750, 1.05880282151008, 2.06805913185815, 0, 0, 0, 0.861724457280879, 0.594731481493568, 0.26699297578731, 47.6603636363637, 46.5929247311827, 46.331294117647, 46.331294117647
2/22/2017, 47.7, 47.91, 47.39, 47.45, 25350, 1.06828861436411, 2.63251040925458, 0, 0, 0, 0.897013017106822, 0.655187788616219, 0.241825228490603, 47.7909090909092, 46.8677419354838, 46.5435714285714, 46.5435714285714
2/23/2017, 47.18, 47.18, 46.16, 46.46, 11457, 1.17532888536371, 1.68385098482369, 0, 0, 0, 0.83546401962451, 0.691243034817877, 0.144220984806633, 47.4712727272728, 47.0064086021505, 46.629039039039, 46.629039039039
2/24/2017, 46.16, 46.63, 45.99, 46.63, 16482, 1.18111711373147, 1.61997380414224, 0, 0, 0, 0.791282166672566, 0.711250861188815, 0.0800313054837511, 47.2245454545455, 47.1504516129031, 46.7230440967283, 46.7230440967283
2/27/2017, 46.64, 46.83, 46.5, 46.62, 6079, 1.15769447581796, 1.59725345611467, 0, 0, 0, 0.746851573429041, 0.71837100363686, 0.0284805697921804, 46.9734545454547, 47.2606021505376, 46.8063967611336, 46.8063967611336
2/28/2017, 46.54, 46.54, 46.1, 46.12, 79780, 1.1681077762251, 1.32749599230499, 0, 0, 0, 0.663644110649315, 0.707425625039351, -0.0437815143900361, 46.6167272727274, 47.3046021505376, 46.8319230769231, 46.8319230769231
3/1/2017, 45.39, 45.69, 45.39, 45.6, 37600, 1.20240074797207, 0.623961247586632, 0, 0, 0, 0.549408701227598, 0.675822240277001, -0.126413539049402, 46.1498181818183, 47.214688172043, 46.8040243902439, 46.8040243902439
3/2/2017, 45.51, 45.51, 45.08, 45.23, 12433, 1.20910900734358, 0.275260275751202, 0, 0, 0, 0.424131286994317, 0.625484049620464, -0.201352762626147, 45.6187272727274, 47.0660215053763, 46.7425435540069, 46.7425435540069
3/3/2017, 45.23, 45.36, 45.03, 45.36, 2731, 1.18173722182634, 0.552092647448279, 0, 0, 0, 0.331516432116452, 0.566690526119662, -0.23517409400321, 45.2205454545456, 46.9401505376344, 46.6969878183832, 46.6969878183832
3/6/2017, 45.25, 45.27, 44.98, 45.25, 16664, 1.16736840581084, 0.559072616080394, 0, 0, 0, 0.24640204231622, 0.502632829358973, -0.256230787042754, 44.9600000000001, 46.7903225806451, 46.6442283298097, 46.6442283298097
3/7/2017, 45.11, 45.31, 44.89, 45.08, 38627, 1.15976595707173, 0.681575702653732, 0, 0, 0, 0.163347725038939, 0.434775808494966, -0.271428083456027, 44.866181818182, 46.6038279569892, 46.5797575757576, 46.5797575757576
3/8/2017, 45.07, 45.07, 44.78, 44.87, 21226, 1.14036409354923, 0.387389467333958, 0, 0, 0, 0.0796630294508773, 0.363753252686149, -0.284090223235271, 44.7767272727274, 46.4456344086022, 46.5013236714976, 46.5013236714976
3/9/2017, 44.93, 45.07, 44.71, 44.98, 8196, 1.12071431822313, 0.491763061127485, 0, 0, 0, 0.0219651849935545, 0.29539563914763, -0.273430454154075, 44.6680000000001, 46.3180215053764, 46.437243293247, 46.437243293247
3/10/2017, 44.7, 44.98, 44.63, 44.85, 14191, 1.10678357930864, 0.241279354110887, 0, 0, 0, -0.0338603647663831, 0.229544438364827, -0.26340480313121, 44.629090909091, 46.1470322580645, 46.3664361702128, 46.3664361702128
3/13/2017, 44.89, 45.06, 44.67, 44.81, 12483, 1.095900052564, -0.0428791878939444, 0, 0, 0, -0.080403341190646, 0.167554882453733, -0.247958223644379, 44.6714545454546, 45.9598064516129, 46.2968282312925, 46.2968282312925
3/14/2017, 44.72, 44.84, 44.53, 44.82, 65274, 1.07545553966138, 0.00256089352791538, 0, 0, 0, -0.115154637919737, 0.111012978379039, -0.226167616298776, 44.7160000000001, 45.7455053763441, 46.2323102040816, 46.2323102040816
3/15/2017, 44.97, 45.43, 44.85, 45.37, 16526, 1.07652240298087, 0.345942487361349, 0, 0, 0, -0.0971944899106774, 0.0693714847210955, -0.166565974631773, 44.9174545454546, 45.6168602150537, 46.2144, 46.2144
3/16/2017, 45.49, 45.79, 45.48, 45.6, 13929, 1.06359057789649, 0.365384048085808, 0.768538055645591, 0, 0, -0.0636679410157086, 0.0427635995737347, -0.106431540589443, 45.1369090909092, 45.5045161290322, 46.2147360482655, 46.2147360482655
3/17/2017, 45.63, 45.81, 45.63, 45.73, 5599, 1.03049953716326, 0.179898770774558, 0.642785945548446, 0, 0, -0.0263047709012412, 0.0289499254787395, -0.0552546963799807, 45.407090909091, 45.4211182795699, 46.2243178519594, 46.2243178519594
