Date,IHE_Open,IHE_High,IHE_Low,IHE_Close,IHE_Volume,IHE_ATRPercentOfClose20,IHE_SQN25,IHE_SQN50,IHE_SQN100,IHE_SQN200,IHE_MACD,IHE_MACD_Avg,IHE_MACD_Diff,IHE_LinReg10,IHE_LinReg30,IHE_LinReg90,IHE_LinReg270
1/3/2017, 142.55, 143.78, 141.71, 143.72, 14608, 0, 0, 0, 0, 0, 0, 0, 0, 143.72, 143.72, 143.72, 143.72
1/4/2017, 144.09, 146.89, 144.09, 146.53, 284653, 0, 0, 0, 0, 0, 0.224159544159534, 0.0448319088319067, 0.179327635327627, 146.53, 146.53, 146.53, 146.53
1/5/2017, 146.5, 147.1, 145.7, 146.91, 258380, 0, 0, 0, 0, 0, 0.427541984237138, 0.121373923912953, 0.306168060324185, 147.315, 147.315, 147.315, 147.315
1/6/2017, 147.02, 147.25, 146.44, 146.45, 10294, 0, 0, 0, 0, 0, 0.545319770802365, 0.206163093290835, 0.33915667751153, 147.188, 147.188, 147.188, 147.188
1/9/2017, 148.02, 148.81, 147.73, 147.95, 24731, 0, 0, 0, 0, 0, 0.751039463743155, 0.315138367381299, 0.435901096361855, 147.988, 147.988, 147.988, 147.988
1/10/2017, 148, 148.06, 146.87, 147.28, 33460, 0, 0, 0, 0, 0, 0.850209713611406, 0.422152636627321, 0.428057076984085, 148.01619047619, 148.01619047619, 148.01619047619, 148.01619047619
1/11/2017, 147.45, 147.45, 142.4, 144.08, 37405, 0, 0, 0, 0, 0, 0.662947547968457, 0.470311618895548, 0.192635929072909, 146.519285714286, 146.519285714286, 146.519285714286, 146.519285714286
1/12/2017, 143, 144.74, 142.86, 144.31, 205403, 0, 0, 0, 0, 0, 0.527024796561932, 0.481654254428825, 0.0453705421331071, 145.674166666667, 145.674166666667, 145.674166666667, 145.674166666667
1/13/2017, 144.65, 146.04, 144.65, 144.96, 29056, 0, 0, 0, 0, 0, 0.466378483675754, 0.478599100278211, -0.0122206166024564, 145.363555555556, 145.363555555556, 145.363555555556, 145.363555555556
1/17/2017, 144.13, 144.13, 142.23, 142.52, 22938, 0, 0, 0, 0, 0, 0.218904837013639, 0.426660247625296, -0.207755410611657, 144.31, 144.31, 144.31, 144.31
1/18/2017, 143.09, 143.29, 142.04, 143.19, 45576, 0, 0, 0, 0, 0, 0.0759678792354919, 0.356521773947336, -0.280553894711844, 143.171818181818, 143.777727272727, 143.777727272727, 143.777727272727
1/19/2017, 143.1, 143.1, 141.66, 141.77, 18414, 0, 0, 0, 0, 0, -0.150161849841226, 0.255185049189623, -0.405346899030849, 142.134, 142.976153846154, 142.976153846154, 142.976153846154
1/20/2017, 141.6, 141.6, 140.34, 140.38, 37380, 0, 0, 0, 0, 0, -0.436500961227949, 0.116847847106109, -0.553348808334058, 140.951636363636, 141.99967032967, 141.99967032967, 141.99967032967
1/23/2017, 140.2, 140.45, 139.34, 139.46, 42152, 0, 0, 0, 0, 0, -0.729256664323202, -0.0523730551797534, -0.676883609143449, 139.715636363636, 141.022285714286, 141.022285714286, 141.022285714286
1/24/2017, 139.6, 139.6, 137.34, 138.26, 88276, 0, 0, 0, 0, 0, -1.04603954664202, -0.251106353472207, -0.794933193169814, 138.746363636364, 139.978083333333, 139.978083333333, 139.978083333333
1/25/2017, 138.52, 139.41, 138.17, 139.2, 40476, 0, 0, 0, 0, 0, -1.20732482997849, -0.442350048773463, -0.764974781205026, 138.496363636364, 139.373529411765, 139.373529411765, 139.373529411765
1/26/2017, 138.88, 139.37, 138.13, 138.14, 54943, 0, 0, 0, 0, 0, -1.40448766074095, -0.634777571166962, -0.769710089573993, 137.680909090909, 138.669607843137, 138.669607843137, 138.669607843137
1/27/2017, 138.65, 139.77, 138.57, 139.28, 67461, 0, 0, 0, 0, 0, -1.45201423571734, -0.798224904077038, -0.653789331640305, 137.629272727273, 138.34, 138.34, 138.34
