Date,IJS_Open,IJS_High,IJS_Low,IJS_Close,IJS_Volume,IJS_ATRPercentOfClose20,IJS_SQN25,IJS_SQN50,IJS_SQN100,IJS_SQN200,IJS_MACD,IJS_MACD_Avg,IJS_MACD_Diff,IJS_LinReg10,IJS_LinReg30,IJS_LinReg90,IJS_LinReg270
1/3/2017, 141.59, 142.05, 139.93, 141.08, 1244244, 0, 0, 0, 0, 0, 0, 0, 0, 141.08, 141.08, 141.08, 141.08
1/4/2017, 141.83, 143.81, 141.81, 143.67, 455837, 0, 0, 0, 0, 0, 0.206609686609681, 0.0413219373219363, 0.165287749287745, 143.67, 143.67, 143.67, 143.67
1/5/2017, 143.3, 143.3, 140.54, 141.2, 447163, 0, 0, 0, 0, 0, 0.169091809319724, 0.0668759117214938, 0.10221589759823, 142.043333333333, 142.043333333333, 142.043333333333, 142.043333333333
1/6/2017, 141.56, 141.6, 140.37, 140.45, 311549, 0, 0, 0, 0, 0, 0.0779414290005604, 0.0690890151773071, 0.0088524138232533, 140.946, 140.946, 140.946, 140.946
1/9/2017, 140.02, 140.4, 138.9, 138.97, 316054, 0, 0, 0, 0, 0, -0.112423586109884, 0.0327864949198689, -0.145210081029753, 139.586, 139.586, 139.586, 139.586
1/10/2017, 139.1, 140.64, 138.92, 140.26, 176122, 0, 0, 0, 0, 0, -0.157382802095469, -0.00524736448319871, -0.152135437612271, 139.584761904762, 139.584761904762, 139.584761904762, 139.584761904762
1/11/2017, 140.34, 140.9, 139.5, 140.75, 205849, 0, 0, 0, 0, 0, -0.15172540376966, -0.034542972340491, -0.117182431429169, 139.835714285714, 139.835714285714, 139.835714285714, 139.835714285714
1/12/2017, 140.63, 140.63, 137.54, 139.11, 272735, 0, 0, 0, 0, 0, -0.276390115579687, -0.0829124009883303, -0.193477714591357, 139.324166666667, 139.324166666667, 139.324166666667, 139.324166666667
1/13/2017, 139.4, 140.64, 139.4, 140.12, 146683, 0, 0, 0, 0, 0, -0.290342352860193, -0.124398391362703, -0.16594396149749, 139.382666666667, 139.382666666667, 139.382666666667, 139.382666666667
1/17/2017, 139.59, 139.74, 138.23, 138.43, 169097, 0, 0, 0, 0, 0, -0.432779662947638, -0.18607464567969, -0.246705017267948, 138.850545454545, 138.850545454545, 138.850545454545, 138.850545454545
1/18/2017, 138.66, 138.87, 137.88, 138.82, 144014, 0, 0, 0, 0, 0, -0.508332772982556, -0.250526271140263, -0.257806501842292, 138.438545454545, 138.605454545454, 138.605454545454, 138.605454545454
1/19/2017, 138.97, 139.21, 136.78, 137.3, 174725, 0, 0, 0, 0, 0, -0.682987400240847, -0.33701849696038, -0.345968903280467, 138.142727272727, 137.987179487179, 137.987179487179, 137.987179487179
