Date,IJT_Open,IJT_High,IJT_Low,IJT_Close,IJT_Volume,IJT_ATRPercentOfClose20,IJT_SQN25,IJT_SQN50,IJT_SQN100,IJT_SQN200,IJT_MACD,IJT_MACD_Avg,IJT_MACD_Diff,IJT_LinReg10,IJT_LinReg30,IJT_LinReg90,IJT_LinReg270
1/3/2017, 151.75, 151.91, 149.47, 150.56, 1077719, 0, 0, 0, 0, 0, 0, 0, 0, 150.56, 150.56, 150.56, 150.56
1/4/2017, 151.08, 153.08, 151.01, 152.96, 376573, 0, 0, 0, 0, 0, 0.191452991452991, 0.0382905982905982, 0.153162393162393, 152.96, 152.96, 152.96, 152.96
1/5/2017, 152.81, 152.96, 150.47, 151.07, 494292, 0, 0, 0, 0, 0, 0.188500742688774, 0.0683326271702333, 0.120168115518541, 151.785, 151.785, 151.785, 151.785
1/6/2017, 151.18, 151.77, 150.15, 150.18, 306849, 0, 0, 0, 0, 0, 0.113042419666243, 0.0772745856694353, 0.0357678339968079, 150.738, 150.738, 150.738, 150.738
1/9/2017, 149.95, 150.02, 148.7, 149.01, 248650, 0, 0, 0, 0, 0, -0.040698915119691, 0.05367988551161, -0.0943788006313011, 149.58, 149.58, 149.58, 149.58
1/10/2017, 149.16, 150.55, 148.83, 150.3, 142910, 0, 0, 0, 0, 0, -0.0577817396372211, 0.0313875604818438, -0.0891693001190649, 149.677142857143, 149.677142857143, 149.677142857143, 149.677142857143
1/11/2017, 150.46, 150.92, 149.64, 150.79, 144567, 0, 0, 0, 0, 0, -0.0314189185083933, 0.0188262646837964, -0.0502451831921897, 149.978928571429, 149.978928571429, 149.978928571429, 149.978928571429
1/12/2017, 150.64, 150.64, 147.76, 149.35, 137202, 0, 0, 0, 0, 0, -0.125278031088271, -0.00999459447061715, -0.115283436617654, 149.5775, 149.5775, 149.5775, 149.5775
1/13/2017, 149.84, 151.1, 149.84, 150.56, 113680, 0, 0, 0, 0, 0, -0.100862486458965, -0.0281681728682867, -0.0726943135906782, 149.779777777778, 149.779777777778, 149.779777777778, 149.779777777778
1/17/2017, 149.98, 149.98, 148.19, 148.35, 129997, 0, 0, 0, 0, 0, -0.256880364752675, -0.0739106112451643, -0.182969753507511, 149.162909090909, 149.162909090909, 149.162909090909, 149.162909090909
1/18/2017, 148.78, 149.23, 148.1, 149.13, 132313, 0, 0, 0, 0, 0, -0.313966960398744, -0.12192188107588, -0.192045079322864, 148.803636363636, 148.978181818182, 148.978181818182, 148.978181818182
1/19/2017, 149.37, 149.72, 147.37, 147.84, 126634, 0, 0, 0, 0, 0, -0.458020937495803, -0.189141692359865, -0.268879245135938, 148.556727272728, 148.469487179487, 148.469487179487, 148.469487179487
1/20/2017, 148.29, 149.01, 148.06, 148.47, 137754, 0, 0, 0, 0, 0, -0.515407717985028, -0.254394897484897, -0.26101282050013, 148.428727272728, 148.266703296703, 148.266703296703, 148.266703296703
1/23/2017, 148.2, 148.8, 147.4, 148.21, 128071, 0, 0, 0, 0, 0, -0.575236019302935, -0.318563121848505, -0.25667289745443, 148.174727272728, 148.051142857143, 148.051142857143, 148.051142857143
1/24/2017, 148.71, 150.76, 148.52, 150.4, 161479, 0, 0, 0, 0, 0, -0.440853793619794, -0.343021256202763, -0.0978325374170317, 148.550727272728, 148.41825, 148.41825, 148.41825
1/25/2017, 151.49, 152.24, 151.24, 151.99, 196547, 0, 0, 0, 0, 0, -0.20370699237381, -0.315158403436972, 0.111451411063162, 149.658181818182, 149.078676470588, 149.078676470588, 149.078676470588
1/26/2017, 152.14, 152.3, 150.92, 151.39, 233413, 0, 0, 0, 0, 0, -0.0634500171255468, -0.264816726174687, 0.20136670904914, 150.564181818182, 149.486274509804, 149.486274509804, 149.486274509804
1/27/2017, 151.48, 151.56, 150.26, 150.85, 163669, 0, 0, 0, 0, 0, 0.00408408048636488, -0.211036564842477, 0.215120645328842, 150.962909090909, 149.711052631579, 149.711052631579, 149.711052631579
1/30/2017, 149.98, 149.98, 147.69, 149.02, 276929, 0, 0, 0, 0, 0, -0.0890340376864742, -0.186636059411276, 0.0976020217248021, 150.889636363636, 149.541684210526, 149.541684210526, 149.541684210526
1/31/2017, 148.59, 150.55, 148.54, 150.24, 179846, 0, 0, 0, 0, 0, -0.0636532580477081, -0.162039499138563, 0.0983862410908546, 150.879818181818, 149.627857142857, 149.627857142857, 149.627857142857
2/1/2017, 151.29, 151.8, 149.41, 149.97, 194641, 0, 0, 0, 0, 0, -0.0645811001193408, -0.142547819334718, 0.0779667192153775, 150.829636363636, 149.653463203463, 149.653463203463, 149.653463203463
2/2/2017, 149.8, 150.05, 148.72, 148.97, 104158, 1.30190558501712, 0, 0, 0, 0, -0.144344154732522, -0.142907086414279, -0.00143706831824308, 150.130181818182, 149.506007905138, 149.506007905138, 149.506007905138
2/3/2017, 150.49, 151.53, 149.91, 151.43, 164676, 1.30124566631447, 0, 0, 0, 0, -0.00895231256640727, -0.116116131644705, 0.107163819078297, 150.344909090909, 149.781739130435, 149.781739130435, 149.781739130435
2/6/2017, 150.96, 151.16, 149.75, 150.12, 104789, 1.30292599045764, 0, 0, 0, 0, -0.00727548679449797, -0.0943480026746634, 0.0870725158801654, 149.893636363636, 149.814533333333, 149.814533333333, 149.814533333333
2/7/2017, 150.05, 150.77, 149.06, 149.63, 108319, 1.29897405067918, 0, 0, 0, 0, -0.0449671419669642, -0.0844718305331235, 0.0395046885661594, 149.606909090909, 149.769446153846, 149.769446153846, 149.769446153846
2/8/2017, 149.21, 149.69, 148.21, 149.4, 140362, 1.28545657860086, -0.147599044999899, 0, 0, 0, -0.0923327733189865, -0.0860440190902961, -0.00628875422869035, 149.600727272727, 149.697094017094, 149.697094017094, 149.697094017094
2/9/2017, 149.65, 152.26, 149.61, 151.85, 121329, 1.29565263220824, -0.13700589638884, 0, 0, 0, 0.0670512223262278, -0.0554249708069913, 0.122476193133219, 150.462181818182, 149.977619047619, 149.977619047619, 149.977619047619
2/10/2017, 152.74, 153.34, 151.99, 152.99, 227092, 1.270394206097, 0.306385268824119, 0, 0, 0, 0.28210077763427, 0.0120801788812609, 0.270020598753009, 151.584363636364, 150.379187192118, 150.379187192118, 150.379187192118
2/13/2017, 153.93, 154.29, 153.31, 153.58, 157072, 1.24456133032452, 0.53030732811954, 0, 0, 0, 0.494437599854166, 0.108551663075842, 0.385885936778324, 152.427636363636, 150.811448275862, 150.811448275862, 150.811448275862
2/14/2017, 153.19, 153.92, 152.75, 153.66, 164688, 1.21978877167564, 0.733977515197249, 0, 0, 0, 0.661545507862826, 0.219150432033239, 0.442395075829587, 153.293818181818, 151.204967741935, 151.204967741935, 151.204967741935
2/15/2017, 153.3, 154.89, 153.3, 154.64, 151238, 1.20286540043258, 0.686472402956284, 0, 0, 0, 0.863108165044963, 0.347941978635584, 0.51516618640938, 154.258, 151.751870967742, 151.675564516129, 151.675564516129
2/16/2017, 154.71, 154.97, 153.54, 154.73, 136681, 1.18826698278776, 0.624664563849687, 0, 0, 0, 1.01837112249484, 0.482027807407435, 0.536343315087406, 154.798545454545, 152.443870967742, 152.106363636364, 152.106363636364
2/17/2017, 154.31, 154.53, 153.78, 154.53, 143265, 1.16105301711261, 0.843422936530718, 0, 0, 0, 1.11245610485594, 0.608113466897136, 0.504342637958802, 155.447818181818, 152.973075268817, 152.468752228164, 152.468752228164
2/21/2017, 154.8, 155.83, 154.8, 155.68, 115482, 1.13660487280121, 0.829546590046775, 0, 0, 0, 1.265229739414, 0.739536721400508, 0.525693018013489, 156.063272727273, 153.566537634408, 152.923294117647, 152.923294117647
2/22/2017, 155.44, 155.54, 154.86, 155.27, 104786, 1.10903145660982, 1.21170347416963, 0, 0, 0, 1.33779905720831, 0.859189188562069, 0.478609868646246, 156.135818181818, 153.994494623656, 153.287523809524, 153.287523809524
2/23/2017, 155.73, 155.75, 153.09, 154.13, 102511, 1.14766332676583, 0.862975532319681, 0, 0, 0, 1.28846961608184, 0.945045274066024, 0.343424342015817, 155.460909090909, 154.323419354839, 153.494369369369, 153.494369369369
2/24/2017, 152.75, 154.02, 152.71, 154.01, 91905, 1.13723057675927, 1.09995544671701, 0, 0, 0, 1.22556512954594, 1.00114924516201, 0.224415884383934, 154.976545454545, 154.645075268817, 153.668179231863, 153.668179231863
2/27/2017, 153.89, 155.16, 153.62, 155.16, 112847, 1.12198786459372, 1.17383815437021, 0, 0, 0, 1.25405232522809, 1.05172986117522, 0.202322464052864, 154.999636363636, 154.995870967742, 153.941255060729, 153.941255060729
2/28/2017, 154.69, 154.71, 152.8, 152.84, 321883, 1.15927280304137, 0.762859235571337, 0, 0, 0, 1.07700893352347, 1.05678567564487, 0.0202232578785995, 154.220909090909, 155.095483870968, 153.95991025641, 153.95991025641
3/1/2017, 154.67, 155.92, 154.38, 155.54, 336483, 1.18120157166003, 0.812440718069674, 0, 0, 0, 1.14141073280308, 1.07371068707652, 0.067700045726566, 154.431272727273, 155.375634408602, 154.235524390244, 154.235524390244
3/2/2017, 155.45, 155.49, 153.64, 153.76, 132874, 1.19691654418055, 0.2895880897528, 0, 0, 0, 1.03686615123806, 1.06634177990882, -0.0294756286707654, 154.120181818182, 155.435548387097, 154.319268292683, 154.319268292683
3/3/2017, 153.71, 154.27, 152.79, 153.59, 149103, 1.18650949568032, 0.357046055291782, 0, 0, 0, 0.929580611251339, 1.03898954617733, -0.109408934925988, 153.816363636363, 155.358021505376, 154.379069767442, 154.379069767442
