Date,INR_Open,INR_High,INR_Low,INR_Close,INR_Volume,INR_ATRPercentOfClose20,INR_SQN25,INR_SQN50,INR_SQN100,INR_SQN200,INR_MACD,INR_MACD_Avg,INR_MACD_Diff,INR_LinReg10,INR_LinReg30,INR_LinReg90,INR_LinReg270
1/17/2017, 37.97, 37.97, 37.97, 37.97, 460, 0, 0, 0, 0, 0, 0, 0, 0, 37.97, 37.97, 37.97, 37.97
1/26/2017, 38.25, 38.25, 38.25, 38.25, 102, 0, 0, 0, 0, 0, 0.0223361823361827, 0.00446723646723655, 0.0178689458689462, 38.25, 38.25, 38.25, 38.25
1/30/2017, 38.4, 38.7, 38.3, 38.3, 3600, 0, 0, 0, 0, 0, 0.0435701008920404, 0.0122878093521973, 0.0312822915398431, 38.3383333333333, 38.3383333333333, 38.3383333333333, 38.3383333333333
1/31/2017, 38.3, 38.54, 38.17, 38.42, 1900, 0, 0, 0, 0, 0, 0.0692824860752097, 0.0236867446967998, 0.0455957413784099, 38.445, 38.445, 38.445, 38.445
2/1/2017, 38.46, 38.51, 38.46, 38.51, 404, 0, 0, 0, 0, 0, 0.0958174603802533, 0.0381128878334905, 0.0577045725467628, 38.54, 38.54, 38.54, 38.54
2/2/2017, 38.44, 38.55, 38.44, 38.55, 400, 0, 0, 0, 0, 0, 0.118705916483854, 0.0542314935635633, 0.0644744229202911, 38.6047619047619, 38.6047619047619, 38.6047619047619, 38.6047619047619
2/6/2017, 38.61, 38.65, 38.61, 38.65, 600, 0, 0, 0, 0, 0, 0.143262901562366, 0.0720377751633239, 0.0712251263990422, 38.6839285714286, 38.6839285714286, 38.6839285714286, 38.6839285714286
2/7/2017, 39.37, 39.37, 39.37, 39.37, 402, 0, 0, 0, 0, 0, 0.218305976463625, 0.101291415423384, 0.117014561040241, 39.0291666666667, 39.0291666666667, 39.0291666666667, 39.0291666666667
2/14/2017, 39.34, 39.34, 39.34, 39.34, 299, 0, 0, 0, 0, 0, 0.272219428577557, 0.135477018054219, 0.136742410523338, 39.2402222222222, 39.2402222222222, 39.2402222222222, 39.2402222222222
3/8/2017, 39.07, 39.07, 39.07, 39.07, 200, 0, 0, 0, 0, 0, 0.289818635463661, 0.166345341536107, 0.123473293927554, 39.2869090909091, 39.2869090909091, 39.2869090909091, 39.2869090909091
3/13/2017, 40, 40, 40, 40, 120, 0, 0, 0, 0, 0, 0.374492445582817, 0.207974762345449, 0.166517683237368, 39.6210909090909, 39.6113636363636, 39.6113636363636, 39.6113636363636
3/14/2017, 40.14, 40.14, 40.14, 40.14, 102, 0, 0, 0, 0, 0, 0.447732696296306, 0.255926349135621, 0.191806347160686, 39.9489090909091, 39.8864102564103, 39.8864102564103, 39.8864102564103
3/17/2017, 39.96, 40.68, 39.96, 40.28, 5301, 0, 0, 0, 0, 0, 0.51118038336476, 0.306977155981448, 0.204203227383311, 40.232, 40.1271428571429, 40.1271428571429, 40.1271428571429
3/20/2017, 39.98, 40.67, 39.94, 40.28, 8614, 0, 0, 0, 0, 0, 0.555064692226196, 0.356594663230398, 0.198470028995798, 40.431090909091, 40.3074285714286, 40.3074285714286, 40.3074285714286
3/24/2017, 40, 40, 40, 40, 102, 0, 0, 0, 0, 0, 0.560785279599386, 0.397432786504196, 0.163352493095191, 40.45, 40.37625, 40.37625, 40.37625
