Date,ITA_Open,ITA_High,ITA_Low,ITA_Close,ITA_Volume,ITA_ATRPercentOfClose20,ITA_SQN25,ITA_SQN50,ITA_SQN100,ITA_SQN200,ITA_MACD,ITA_MACD_Avg,ITA_MACD_Diff,ITA_LinReg10,ITA_LinReg30,ITA_LinReg90,ITA_LinReg270
1/3/2017, 141.63, 142.63, 140.87, 142.39, 287789, 0, 0, 0, 0, 0, 0, 0, 0, 142.39, 142.39, 142.39, 142.39
1/4/2017, 143, 143.43, 142.69, 143.36, 209637, 0, 0, 0, 0, 0, 0.0773789173789226, 0.0154757834757845, 0.061903133903138, 143.36, 143.36, 143.36, 143.36
1/5/2017, 143.31, 144.54, 142.42, 143.24, 248660, 0, 0, 0, 0, 0, 0.127548964699997, 0.0378904197206271, 0.0896585449793702, 143.421666666667, 143.421666666667, 143.421666666667, 143.421666666667
1/6/2017, 143.39, 144.07, 142.96, 143.66, 211874, 0, 0, 0, 0, 0, 0.198906705880859, 0.0700936769526734, 0.128813028928185, 143.716, 143.716, 143.716, 143.716
1/9/2017, 143.65, 143.65, 142.29, 142.5, 195524, 0, 0, 0, 0, 0, 0.160011412437058, 0.0880772240495503, 0.0719341883875075, 143.134, 143.134, 143.134, 143.134
1/10/2017, 142.49, 143.46, 142.26, 142.74, 285114, 0, 0, 0, 0, 0, 0.146859699198302, 0.0998337190793006, 0.0470259801190014, 142.952380952381, 142.952380952381, 142.952380952381, 142.952380952381
1/11/2017, 142.94, 142.95, 141.77, 142.62, 254127, 0, 0, 0, 0, 0, 0.125309385986213, 0.104928852460683, 0.0203805335255302, 142.791785714286, 142.791785714286, 142.791785714286, 142.791785714286
1/12/2017, 142.52, 142.88, 140.2, 141.86, 245159, 0, 0, 0, 0, 0, 0.0463704296407172, 0.09321716789669, -0.0468467382559727, 142.376666666667, 142.376666666667, 142.376666666667, 142.376666666667
1/13/2017, 142.15, 142.76, 141.93, 142.44, 235244, 0, 0, 0, 0, 0, 0.0302630372943611, 0.0806263417762242, -0.0503633044818631, 142.326, 142.326, 142.326, 142.326
1/17/2017, 142.23, 142.23, 140.48, 140.72, 234013, 0, 0, 0, 0, 0, -0.119909569669858, 0.0405191594870078, -0.160428729156866, 141.700727272727, 141.700727272727, 141.700727272727, 141.700727272727
1/18/2017, 140.93, 141.67, 140.3, 141.38, 128224, 0, 0, 0, 0, 0, -0.183550107095726, -0.00429469382953903, -0.179255413266187, 141.262909090909, 141.469545454546, 141.469545454546, 141.469545454546
1/19/2017, 141.99, 142.91, 141.2, 142.56, 1300720, 0, 0, 0, 0, 0, -0.137188133773009, -0.030873381818233, -0.106314751954776, 141.481818181818, 141.653333333333, 141.653333333333, 141.653333333333
1/20/2017, 143, 143.12, 141.48, 141.99, 245415, 0, 0, 0, 0, 0, -0.144771338334721, -0.0536529731215305, -0.0911183652131902, 141.523454545455, 141.64, 141.64, 141.64
