Date,ITB_Open,ITB_High,ITB_Low,ITB_Close,ITB_Volume,ITB_ATRPercentOfClose20,ITB_SQN25,ITB_SQN50,ITB_SQN100,ITB_SQN200,ITB_MACD,ITB_MACD_Avg,ITB_MACD_Diff,ITB_LinReg10,ITB_LinReg30,ITB_LinReg90,ITB_LinReg270
1/3/2017, 27.71, 27.84, 27.32, 27.68, 3181823, 0, 0, 0, 0, 0, 0, 0, 0, 27.68, 27.68, 27.68, 27.68
1/4/2017, 27.82, 28.3, 27.82, 28.24, 2259119, 0, 0, 0, 0, 0, 0.0446723646723619, 0.00893447293447238, 0.0357378917378895, 28.24, 28.24, 28.24, 28.24
1/5/2017, 28.17, 28.34, 27.98, 28.19, 1656544, 0, 0, 0, 0, 0, 0.0751743898182653, 0.022182456311231, 0.0529919335070343, 28.2916666666667, 28.2916666666667, 28.2916666666667, 28.2916666666667
1/6/2017, 28.16, 28.25, 27.71, 27.74, 1677407, 0, 0, 0, 0, 0, 0.0623178637665518, 0.0302095378022951, 0.0321083259642567, 27.982, 27.982, 27.982, 27.982
1/9/2017, 27.67, 27.72, 27.47, 27.62, 1782045, 0, 0, 0, 0, 0, 0.0419622622871039, 0.0325600826992569, 0.00940217958784698, 27.77, 27.77, 27.77, 27.77
1/10/2017, 27.68, 27.97, 27.63, 27.83, 1795323, 0, 0, 0, 0, 0, 0.0422880758027802, 0.0345056813199615, 0.00778239448281862, 27.7719047619048, 27.7719047619048, 27.7719047619048, 27.7719047619048
1/11/2017, 27.84, 28.06, 27.67, 28, 1848027, 0, 0, 0, 0, 0, 0.0556226809697371, 0.0387290812499167, 0.0168935997198204, 27.8539285714286, 27.8539285714286, 27.8539285714286, 27.8539285714286
1/12/2017, 27.94, 27.99, 27.45, 27.97, 2844492, 0, 0, 0, 0, 0, 0.0630429821008818, 0.0435918614201097, 0.0194511206807721, 27.8933333333333, 27.8933333333333, 27.8933333333333, 27.8933333333333
1/13/2017, 27.95, 28.21, 27.95, 28.06, 1289489, 0, 0, 0, 0, 0, 0.0753176569802605, 0.0499370205321398, 0.0253806364481207, 27.9535555555556, 27.9535555555556, 27.9535555555556, 27.9535555555556
1/17/2017, 27.93, 28.14, 27.79, 27.94, 2079668, 0, 0, 0, 0, 0, 0.0745035970483734, 0.0548503358353866, 0.0196532612129868, 27.9534545454545, 27.9534545454545, 27.9534545454545, 27.9534545454545
1/18/2017, 27.96, 28.05, 27.78, 27.95, 3341967, 0, 0, 0, 0, 0, 0.0738144777621592, 0.0586431642207411, 0.0151713135414181, 27.912, 27.9563636363636, 27.9563636363636, 27.9563636363636
1/19/2017, 28.01, 28.16, 27.62, 27.63, 2224229, 0, 0, 0, 0, 0, 0.0469063133326486, 0.0562957940431226, -0.00938948071047398, 27.8572727272727, 27.8639743589744, 27.8639743589744, 27.8639743589744
1/20/2017, 27.79, 27.86, 27.65, 27.79, 1875880, 0, 0, 0, 0, 0, 0.0380534060065898, 0.052647316435816, -0.0145939104292262, 27.8810909090909, 27.8383516483517, 27.8383516483517, 27.8383516483517
1/23/2017, 27.84, 27.99, 27.77, 27.91, 2256822, 0, 0, 0, 0, 0, 0.04025636002741, 0.0501691251541348, -0.00991276512672487, 27.8781818181818, 27.8497142857143, 27.8497142857143, 27.8497142857143
1/24/2017, 28.43, 29.11, 28.34, 29.03, 5811745, 0, 0, 0, 0, 0, 0.130868288561931, 0.0663089578356941, 0.0645593307262371, 28.2289090909091, 28.1295, 28.1295, 28.1295
1/25/2017, 29.2, 29.81, 29.2, 29.65, 4026435, 0, 0, 0, 0, 0, 0.249827853213624, 0.10301273691128, 0.146815116302344, 28.7589090909091, 28.4934558823529, 28.4934558823529, 28.4934558823529
1/26/2017, 29.73, 30.14, 29.68, 29.72, 4407774, 0, 0, 0, 0, 0, 0.345766795852832, 0.15156354869959, 0.194203247153241, 29.2478181818182, 28.801568627451, 28.801568627451, 28.801568627451
1/27/2017, 29.81, 29.81, 29.26, 29.34, 2795646, 0, 0, 0, 0, 0, 0.386678881443633, 0.198586615248399, 0.188092266195234, 29.5056363636364, 28.9742105263158, 28.9742105263158, 28.9742105263158
1/30/2017, 29.29, 29.29, 28.76, 29.2, 3015091, 0, 0, 0, 0, 0, 0.403157821647895, 0.239500856528298, 0.163656965119597, 29.6583636363636, 29.0878947368421, 29.0878947368421, 29.0878947368421
1/31/2017, 29.12, 29.13, 28.71, 28.92, 2319615, 0, 0, 0, 0, 0, 0.389138098769202, 0.269428304976479, 0.119709793792723, 29.6281818181818, 29.129, 29.129, 29.129
2/1/2017, 28.95, 29.09, 28.69, 28.89, 2896612, 0, 0, 0, 0, 0, 0.371326200801349, 0.289807884141453, 0.0815183166598959, 29.5361818181818, 29.1565800865801, 29.1565800865801, 29.1565800865801
2/2/2017, 28.91, 29.13, 28.75, 28.9, 1639487, 1.62420415224913, 0, 0, 0, 0, 0.353937093267543, 0.302633725966671, 0.0513033673008723, 29.3323636363636, 29.1801185770751, 29.1801185770751, 29.1801185770751
2/3/2017, 29.13, 29.14, 28.93, 29.1, 1049229, 1.57362628865979, 0, 0, 0, 0, 0.35223409342462, 0.312553799458261, 0.0396802939663595, 29.1603636363637, 29.2314130434783, 29.2314130434783, 29.2314130434783
2/6/2017, 28.99, 29.13, 28.85, 28.88, 2505786, 1.55480951350415, 0, 0, 0, 0, 0.329335912995838, 0.315910222165776, 0.0134256908300614, 28.8649090909091, 29.2397666666667, 29.2397666666667, 29.2397666666667
2/7/2017, 28.98, 29.02, 28.7, 28.86, 974674, 1.53353270313583, 0, 0, 0, 0, 0.30604718573117, 0.313937614878855, -0.00789042914768456, 28.7336363636364, 29.2427384615385, 29.2427384615385, 29.2427384615385
2/8/2017, 28.75, 29.02, 28.7, 29, 1913784, 1.50499538351293, 0.830587370037987, 0, 0, 0, 0.295481405843113, 0.310246373071706, -0.0147649672285939, 28.784, 29.2645299145299, 29.2645299145299, 29.2645299145299
2/9/2017, 28.99, 29.19, 28.74, 29.14, 1694594, 1.50009000740498, 0.596080673278695, 0, 0, 0, 0.295004154867076, 0.30719792943078, -0.0121937745637044, 28.9321818181819, 29.3021957671958, 29.3021957671958, 29.3021957671958
2/10/2017, 29.25, 29.7, 29.19, 29.65, 1748460, 1.49500815092722, 0.910455935550418, 0, 0, 0, 0.331952130257736, 0.312148769596172, 0.0198033606615647, 29.2121818181819, 29.4034482758621, 29.4034482758621, 29.4034482758621
2/13/2017, 29.75, 29.83, 29.56, 29.6, 1764384, 1.46826493551495, 1.22057459155837, 0, 0, 0, 0.353128439976828, 0.320344703672303, 0.0327837363045252, 29.43, 29.4854482758621, 29.4854482758621, 29.4854482758621
2/14/2017, 29.5, 29.57, 29.27, 29.41, 1018119, 1.45996633752739, 1.17551192967932, 0, 0, 0, 0.350538614942188, 0.32638348592628, 0.0241551290159081, 29.5043636363637, 29.5331827956989, 29.5331827956989, 29.5331827956989
2/15/2017, 29.39, 29.83, 29.21, 29.74, 1224967, 1.47581471040169, 1.23157577135424, 0, 0, 0, 0.370839594018275, 0.335274707544679, 0.0355648864735958, 29.66, 29.6175268817204, 29.6153830645161, 29.6153830645161
2/16/2017, 29.7, 29.9, 29.49, 29.58, 1588991, 1.47891119043202, 1.01530302388512, 0, 0, 0, 0.369755294502177, 0.342170824936179, 0.0275844695659984, 29.716, 29.7056129032258, 29.6689204545455, 29.6689204545455
2/17/2017, 29.5, 29.57, 29.33, 29.55, 1174972, 1.44869317639019, 1.0163938912176, 0, 0, 0, 0.362298874146237, 0.34619643477819, 0.0161024393680469, 29.7645454545455, 29.7779139784946, 29.7126203208556, 29.7126203208556
2/21/2017, 29.76, 29.95, 29.62, 29.92, 1311765, 1.42608419766757, 1.16480812980027, 0, 0, 0, 0.381843856783082, 0.353325919179169, 0.0285179376039131, 29.8723636363637, 29.8583870967742, 29.7927899159664, 29.7927899159664
2/22/2017, 30.27, 30.31, 29.97, 30.03, 2869040, 1.41475248866144, 1.31567471246911, 0, 0, 0, 0.401580309199037, 0.362976797183142, 0.0386035120158947, 29.9574545454546, 29.9307526881721, 29.8764285714286, 29.8764285714286
2/23/2017, 30.18, 30.22, 29.74, 29.91, 1715298, 1.42964782256027, 1.23010045771145, 0, 0, 0, 0.402894278365963, 0.370960293419706, 0.0319339849462565, 29.9652727272727, 29.9863440860215, 29.9385885885886, 29.9385885885886
2/24/2017, 29.76, 30.07, 29.6, 30.07, 2058850, 1.42908972577781, 1.57986887172489, 0, 0, 0, 0.412095886364366, 0.379187412008638, 0.0329084743557274, 30.0067272727273, 30.0601505376344, 30.0108677098151, 30.0108677098151
2/27/2017, 30.03, 30.65, 29.99, 30.6, 4469577, 1.44196377945856, 1.74203047694381, 0, 0, 0, 0.4568880762621, 0.394727544859331, 0.0621605314027692, 30.2825454545455, 30.1858494623656, 30.1295546558704, 30.1295546558704
2/28/2017, 30.57, 30.67, 30.36, 30.47, 1496328, 1.42657981847261, 1.57413367368173, 0, 0, 0, 0.476404600241668, 0.411062955935798, 0.0653416443058702, 30.4516363636364, 30.2840860215054, 30.2242948717949, 30.2242948717949
3/1/2017, 30.75, 31.46, 30.75, 31.26, 4318492, 1.47935037477343, 1.54079478801042, 0, 0, 0, 0.549286154923763, 0.438707595733391, 0.110578559190372, 30.8081818181818, 30.4590107526882, 30.3863170731707, 30.3863170731707
3/2/2017, 31.3, 31.34, 31.05, 31.12, 1138139, 1.4582991028164, 1.08427889969423, 0, 0, 0, 0.588959325629975, 0.468757941712708, 0.120201383917267, 31.0814545454545, 30.5954193548387, 30.5209407665505, 30.5209407665505
3/3/2017, 31.03, 31.21, 30.89, 31.2, 1828445, 1.43311393191231, 1.08882475142705, 0, 0, 0, 0.619712273327096, 0.498948808035586, 0.12076346529151, 31.2750909090909, 30.7001935483871, 30.6512070874862, 30.6512070874862
3/6/2017, 31.05, 31.17, 30.86, 31.06, 1433091, 1.4223276542782, 1.32916919490161, 0, 0, 0, 0.625576123821112, 0.524274271192691, 0.101301852628421, 31.326, 30.7748387096774, 30.7577695560254, 30.7577695560254
3/7/2017, 31.08, 31.35, 31.03, 31.22, 3274587, 1.39553562122956, 1.57590713889333, 0, 0, 0, 0.635804768808484, 0.54658037071585, 0.0892243980926342, 31.4238181818182, 30.856688172043, 30.8693333333333, 30.8693333333333
3/8/2017, 31.26, 31.72, 31.26, 31.61, 3726673, 1.38849069883099, 2.13210191917696, 0, 0, 0, 0.667684137174, 0.57080112400748, 0.0968830131665199, 31.6074545454545, 31.0413333333333, 31.0051787439614, 31.0051787439614
3/9/2017, 31.62, 31.85, 31.21, 31.44, 2287722, 1.42797968958477, 1.99681053476127, 0, 0, 0, 0.67149066068346, 0.590939031342676, 0.0805516293407844, 31.6221818181818, 31.2290967741936, 31.1158371877891, 31.1158371877891
3/10/2017, 31.68, 32.09, 31.67, 31.91, 2743751, 1.43844867967778, 2.26761806578585, 0, 0, 0, 0.704313541943769, 0.613613933462895, 0.0906996084808744, 31.7478181818182, 31.4696129032258, 31.2564095744681, 31.2564095744681
3/13/2017, 31.92, 31.96, 31.63, 31.72, 2691283, 1.42672927175574, 1.93514144339401, 0, 0, 0, 0.706846414248066, 0.632260429619929, 0.0745859846281369, 31.8134545454546, 31.646559139785, 31.3708333333333, 31.3708333333333
3/14/2017, 31.65, 31.69, 31.29, 31.54, 2122352, 1.43129549382015, 1.99572848991396, 0, 0, 0, 0.686416654210145, 0.643091674537972, 0.043324979672173, 31.7298181818182, 31.7759784946237, 31.4622285714286, 31.4622285714286
3/15/2017, 31.63, 32.04, 31.5, 31.93, 3733372, 1.42768264582941, 2.25832931097575, 0, 0, 0, 0.693699131055531, 0.653213165841484, 0.0404859652140475, 31.8805454545455, 31.9211182795699, 31.5768705882353, 31.5768705882353
3/16/2017, 32.04, 32.65, 31.98, 32.52, 3282474, 1.44239272869823, 2.44343799684828, 2.1707493048709, 0, 0, 0.738564899170232, 0.670283512507234, 0.0682813866629982, 32.1705454545455, 32.1196989247312, 31.7279864253394, 31.7279864253394
3/17/2017, 32.58, 32.58, 32.2, 32.36, 3415914, 1.43576269964163, 2.19573896544727, 1.87683535561525, 0, 0, 0.752535915223966, 0.68673399305058, 0.0658019221733859, 32.3449090909091, 32.2752258064516, 31.8564223512337, 31.8564223512337
3/20/2017, 32.33, 32.34, 32.08, 32.22, 1453904, 1.41335248021052, 1.79143592656744, 1.83739091494311, 0, 0, 0.74373786893873, 0.69813476822821, 0.0456031007105201, 32.3796363636364, 32.404, 31.9655136268344, 31.9655136268344
3/21/2017, 32.29, 32.29, 31.58, 31.67, 5706147, 1.47809618145765, 1.3526420662137, 1.81550436350987, 0, 0, 0.684494523627631, 0.695406719308094, -0.0109121956804633, 32.1930909090909, 32.4281935483871, 32.0272861952862, 32.0272861952862
3/22/2017, 31.61, 31.62, 31.19, 31.56, 6477229, 1.48513120289688, 1.42297220506002, 1.82878890525551, 0, 0, 0.621503361077597, 0.680626047661995, -0.0591226865843979, 32.022, 32.4190967741936, 32.0766688311689, 32.0766688311689
3/23/2017, 31.56, 31.95, 31.47, 31.71, 2684125, 1.4798865886236, 1.31253828375827, 1.7937463576468, 0, 0, 0.577034463226969, 0.65990773077499, -0.0828732675480206, 31.8714545454545, 32.4209462365592, 32.1327255639098, 32.1327255639098
3/24/2017, 31.79, 31.9, 31.53, 31.69, 2284816, 1.4651575745974, 1.42339776523489, 1.70343197295065, 0, 0, 0.534022825728876, 0.634730749765767, -0.100707924036891, 31.7932727272727, 32.4121075268817, 32.1833272837266, 32.1833272837266
3/27/2017, 31.35, 31.71, 31.19, 31.64, 1418159, 1.47627374722004, 1.41063454425666, 1.69602535412269, 0, 0, 0.490249915145142, 0.605834582841642, -0.1155846676965, 31.6718181818182, 32.4144731182796, 32.2268790181181, 32.2268790181181
