Date,IWC_Open,IWC_High,IWC_Low,IWC_Close,IWC_Volume,IWC_ATRPercentOfClose20,IWC_SQN25,IWC_SQN50,IWC_SQN100,IWC_SQN200,IWC_MACD,IWC_MACD_Avg,IWC_MACD_Diff,IWC_LinReg10,IWC_LinReg30,IWC_LinReg90,IWC_LinReg270
1/3/2017, 86.86, 86.86, 85.59, 86.26, 72497, 0, 0, 0, 0, 0, 0, 0, 0, 86.26, 86.26, 86.26, 86.26
1/4/2017, 86.53, 87.78, 86.53, 87.72, 42005, 0, 0, 0, 0, 0, 0.11646723646723, 0.023293447293446, 0.0931737891737839, 87.72, 87.72, 87.72, 87.72
1/5/2017, 87.6, 87.71, 86.22, 86.57, 36027, 0, 0, 0, 0, 0, 0.114651342115721, 0.041565026257901, 0.07308631585782, 87.005, 87.005, 87.005, 87.005
1/6/2017, 86.72, 86.72, 86.03, 86.03, 58696, 0, 0, 0, 0, 0, 0.0688451417877189, 0.0470210493638646, 0.0218240924238544, 86.369, 86.369, 86.369, 86.369
1/9/2017, 86.01, 86.01, 85.22, 85.26, 25942, 0, 0, 0, 0, 0, -0.0292519683471824, 0.0317664458216552, -0.0610184141688375, 85.63, 85.63, 85.63, 85.63
1/10/2017, 85.53, 86.22, 85.37, 86.15, 39928, 0, 0, 0, 0, 0, -0.0347781718050442, 0.0184575222963153, -0.0532356941013595, 85.7266666666667, 85.7266666666667, 85.7266666666667, 85.7266666666667
1/11/2017, 86.34, 86.43, 85.56, 86.17, 44779, 0, 0, 0, 0, 0, -0.0371160443511798, 0.0073428089668163, -0.0444588533179961, 85.8028571428572, 85.8028571428572, 85.8028571428572, 85.8028571428572
1/12/2017, 86.07, 86.13, 84.38, 85.15, 41744, 0, 0, 0, 0, 0, -0.11989225737905, -0.0181042043023569, -0.101788053076693, 85.4325, 85.4325, 85.4325, 85.4325
1/13/2017, 85.4, 86.23, 85.4, 85.83, 44469, 0, 0, 0, 0, 0, -0.12913410795781, -0.0403101850334476, -0.0888239229243627, 85.4526666666667, 85.4526666666667, 85.4526666666667, 85.4526666666667
1/17/2017, 85.58, 85.64, 84.46, 84.6, 225642, 0, 0, 0, 0, 0, -0.233022918434528, -0.0788527317136638, -0.154170186720865, 85.0478181818181, 85.0478181818181, 85.0478181818181, 85.0478181818181
1/18/2017, 84.71, 84.76, 84.26, 84.68, 116257, 0, 0, 0, 0, 0, -0.305379987401366, -0.124158182851204, -0.181221804550162, 84.658, 84.7904545454545, 84.7904545454545, 84.7904545454545
1/19/2017, 84.78, 84.94, 83.62, 83.84, 35460, 0, 0, 0, 0, 0, -0.425598431892169, -0.184446232659397, -0.241152199232772, 84.3561818181819, 84.3598717948718, 84.3598717948718, 84.3598717948718
1/20/2017, 84.12, 84.44, 83.93, 84.19, 26373, 0, 0, 0, 0, 0, -0.487016319377645, -0.244960250003047, -0.242056069374598, 84.1569090909091, 84.138021978022, 84.138021978022, 84.138021978022
1/23/2017, 83.89, 84.24, 83.41, 83.77, 33143, 0, 0, 0, 0, 0, -0.563089976873371, -0.308586195377112, -0.25450378149626, 83.8343636363637, 83.8657142857143, 83.8657142857143, 83.8657142857143
1/24/2017, 84.1, 85.15, 83.66, 84.98, 59003, 0, 0, 0, 0, 0, -0.519750648964035, -0.350819086094496, -0.168931562869538, 83.899090909091, 83.9508333333333, 83.9508333333333, 83.9508333333333
1/25/2017, 85.68, 86.18, 85.57, 86.02, 43680, 0, 0, 0, 0, 0, -0.396909287793306, -0.360037126434258, -0.0368721613590481, 84.5163636363637, 84.2611764705882, 84.2611764705882, 84.2611764705882
1/26/2017, 86.1, 86.22, 85.43, 85.6, 40354, 0, 0, 0, 0, 0, -0.329647146844266, -0.35395913051626, 0.0243119836719938, 84.9996363636364, 84.4254901960784, 84.4254901960784, 84.4254901960784
1/27/2017, 85.63, 85.65, 85.05, 85.49, 22477, 0, 0, 0, 0, 0, -0.281967154398771, -0.339560735292762, 0.0575935808939911, 85.2720000000001, 84.5405263157895, 84.5405263157895, 84.5405263157895
1/30/2017, 84.94, 85, 83.61, 83.97, 47280, 0, 0, 0, 0, 0, -0.362651295310158, -0.344178847296241, -0.0184724480139168, 85.1367272727273, 84.3421578947368, 84.3421578947368, 84.3421578947368
1/31/2017, 83.61, 84.45, 83.4, 84.15, 92193, 0, 0, 0, 0, 0, -0.407373613171671, -0.356817800471327, -0.050555812700344, 84.9190909090909, 84.2122857142857, 84.2122857142857, 84.2122857142857
2/1/2017, 84.87, 85.22, 84.06, 84.39, 63542, 0, 0, 0, 0, 0, -0.418624732713639, -0.36917918691979, -0.0494455457938489, 84.8249090909091, 84.1477922077922, 84.1477922077922, 84.1477922077922
2/2/2017, 84.27, 84.5, 83.78, 84.02, 59812, 1.29643537253035, 0, 0, 0, 0, -0.452184729702765, -0.385780295476385, -0.0664044342263801, 84.4507272727273, 84.0323320158102, 84.0323320158102, 84.0323320158102
2/3/2017, 84.47, 85.33, 84.38, 85.27, 35678, 1.29037381259528, 0, 0, 0, 0, -0.373609972589378, -0.383346230898983, 0.00973625830960534, 84.5685454545455, 84.1394565217391, 84.1394565217391, 84.1394565217391
2/6/2017, 84.95, 85.25, 84.46, 84.58, 38502, 1.28373925573422, 0, 0, 0, 0, -0.362833624735998, -0.379243709666386, 0.0164100849303881, 84.305090909091, 84.1254666666666, 84.1254666666666, 84.1254666666666
2/7/2017, 84.66, 84.91, 84.03, 84.2, 43685, 1.27731274272565, 0, 0, 0, 0, -0.380569151349604, -0.37950879800303, -0.00106035334657439, 84.1081818181818, 84.0576923076923, 84.0576923076923, 84.0576923076923
2/8/2017, 83.85, 83.94, 83.09, 83.66, 170018, 1.28761948709808, -0.616315648567118, 0, 0, 0, -0.43320445964973, -0.39024793033237, -0.0429565293173598, 83.9752727272728, 83.9217094017094, 83.9217094017094, 83.9217094017094
2/9/2017, 83.85, 84.89, 83.85, 84.58, 28109, 1.28264523499756, -0.77161394817144, 0, 0, 0, -0.39611583270937, -0.39142151080777, -0.00469432190159991, 84.2049090909091, 83.9330952380953, 83.9330952380953, 83.9330952380953
2/10/2017, 85.03, 85.54, 84.97, 85.36, 30760, 1.26361090999636, -0.287491250299835, 0, 0, 0, -0.300321428893312, -0.373201494424878, 0.0728800655315662, 84.7376363636364, 84.050197044335, 84.050197044335, 84.050197044335
2/13/2017, 85.9, 86.23, 85.49, 85.68, 62938, 1.24671727256565, -0.0676679209766533, 0, 0, 0, -0.196319301357718, -0.337825055811446, 0.141505754453728, 85.084, 84.1968965517242, 84.1968965517242, 84.1968965517242
2/14/2017, 85.64, 86.09, 85.5, 86.02, 29670, 1.21399440964605, 0.222098422085342, 0, 0, 0, -0.0854763888855956, -0.287355322426276, 0.201878933540681, 85.4905454545455, 84.371311827957, 84.371311827957, 84.371311827957
2/15/2017, 85.86, 86.48, 85.6, 86.46, 92677, 1.19831609023671, 0.10434560888225, 0, 0, 0, 0.0374401538077933, -0.222396227179462, 0.259836380987256, 85.9950909090909, 84.6135268817205, 84.5817137096775, 84.5817137096775
2/16/2017, 86.45, 86.53, 85.72, 86.2, 26749, 1.18881773438251, 0.0297997801059086, 0, 0, 0, 0.112574879236433, -0.155402005896283, 0.267976885132717, 86.2229090909091, 84.9187956989248, 84.7395454545455, 84.7395454545455
2/17/2017, 85.88, 86.34, 85.87, 86.25, 31963, 1.15596851325894, 0.327456411329434, 0, 0, 0, 0.174146816489795, -0.0894922414190675, 0.263639057908863, 86.5990909090909, 85.1635483870968, 84.8874866310161, 84.8874866310161
2/21/2017, 86.44, 86.75, 86.15, 86.37, 30246, 1.13137860432042, 0.172821921811134, 0, 0, 0, 0.229975008736844, -0.0255987913878853, 0.255573800124729, 86.8252727272727, 85.3895913978495, 85.0345714285715, 85.0345714285715
2/22/2017, 86.33, 86.33, 85.77, 86.06, 46532, 1.11354068733903, 0.461990641978285, 0, 0, 0, 0.246364902847915, 0.0287939474592748, 0.217570955388641, 86.7707272727273, 85.5227741935484, 85.1337142857143, 85.1337142857143
2/23/2017, 86.39, 86.39, 85.02, 85.57, 37075, 1.14397272379078, 0.286546156332231, 0, 0, 0, 0.21731009164894, 0.0664971762972079, 0.150812915351732, 86.3374545454545, 85.6479569892474, 85.1714414414415, 85.1714414414415
2/24/2017, 84.95, 85.52, 84.93, 85.49, 46274, 1.12522234970217, 0.535251783937476, 0, 0, 0, 0.185688116018412, 0.0903353642414487, 0.0953527517769629, 85.9563636363636, 85.7680645161291, 85.1975106685633, 85.1975106685633
2/27/2017, 85.49, 86.34, 85.38, 86.25, 51371, 1.11519415353318, 0.648180805904427, 0, 0, 0, 0.219423740626766, 0.116153039518512, 0.103270701108254, 85.9441818181818, 85.9209892473119, 85.2982591093117, 85.2982591093117
2/28/2017, 86.21, 86.21, 85.02, 85.02, 64220, 1.1470974000838, 0.382769424053664, 0, 0, 0, 0.145234571979429, 0.121969346010696, 0.0232652259687338, 85.5225454545455, 85.9560860215054, 85.268858974359, 85.268858974359
3/1/2017, 86.14, 87.09, 86.14, 86.8, 119093, 1.18663490676692, 0.509090771317084, 0, 0, 0, 0.22744836210498, 0.143065149229552, 0.0843832128754272, 85.8198181818182, 86.1402580645162, 85.4134756097561, 85.4134756097561
3/2/2017, 86.78, 86.78, 85.76, 85.82, 82917, 1.20076805420648, -0.0318503682845189, 0, 0, 0, 0.211092233432922, 0.156670566070226, 0.0544216673626954, 85.824, 86.1912258064516, 85.4539024390244, 85.4539024390244
3/3/2017, 85.84, 86.15, 85.32, 85.61, 50650, 1.19200348897792, 0.0242997296772818, 0, 0, 0, 0.179119856456992, 0.16116042414758, 0.0179594323094129, 85.7385454545455, 86.1521935483872, 85.4717165005537, 85.4717165005537
3/6/2017, 85.37, 85.37, 84.6, 84.9, 91233, 1.20135509725359, -0.135348562072898, 0, 0, 0, 0.0953908447925755, 0.148006508276579, -0.0526156634840032, 85.45, 86.0349892473119, 85.4242811839323, 85.4242811839323
3/7/2017, 84.82, 84.9, 84.33, 84.41, 50560, 1.18167628680238, 0.148774883973433, 0, 0, 0, -0.0103842024634986, 0.116328366128563, -0.126712568592062, 85.0898181818182, 85.8230322580646, 85.3374242424242, 85.3374242424242
3/8/2017, 84.51, 84.79, 83.7, 83.7, 30763, 1.19722856153571, -0.108559170910059, 0, 0, 0, -0.149776228633215, 0.0631074471762077, -0.212883675809422, 84.5292727272728, 85.5975268817205, 85.1960869565217, 85.1960869565217
3/9/2017, 83.71, 84.03, 83.27, 83.28, 103757, 1.18873233754217, -0.297246719051217, 0, 0, 0, -0.290783927442718, -0.00767082774757733, -0.28311309969514, 83.8543636363637, 85.3963225806452, 85.0299074930619, 85.0299074930619
3/10/2017, 83.88, 83.94, 83.09, 83.72, 47864, 1.1741250312588, -0.0647324921355829, 0, 0, 0, -0.362846552692986, -0.078705972736659, -0.284140579956327, 83.4403636363637, 85.2406236559141, 84.9121542553191, 84.9121542553191
