Date,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Volume,IWM_ATRPercentOfClose20,IWM_SQN25,IWM_SQN50,IWM_SQN100,IWM_SQN200,IWM_MACD,IWM_MACD_Avg,IWM_MACD_Diff,IWM_LinReg10,IWM_LinReg30,IWM_LinReg90,IWM_LinReg270
1/3/2017, 136.49, 136.83, 134.5, 135.52, 29792446, 0, 0, 0, 0, 0, 0, 0, 0, 135.52, 135.52, 135.52, 135.52
1/4/2017, 136.05, 137.96, 136.01, 137.78, 34499365, 0, 0, 0, 0, 0, 0.180284900284903, 0.0360569800569806, 0.144227920227922, 137.78, 137.78, 137.78, 137.78
1/5/2017, 137.49, 137.76, 135.51, 136.19, 30286876, 0, 0, 0, 0, 0, 0.192641618168693, 0.0673739076793231, 0.12526771048937, 136.831666666667, 136.831666666667, 136.831666666667, 136.831666666667
1/6/2017, 136.41, 136.71, 135.68, 135.69, 23435995, 0, 0, 0, 0, 0, 0.160241421431863, 0.0859474104298311, 0.0742940110020318, 136.133, 136.133, 136.133, 136.133
1/9/2017, 135.54, 135.72, 134.5, 134.8, 24077865, 0, 0, 0, 0, 0, 0.0620333878467818, 0.0811646059132212, -0.0191312180664394, 135.29, 135.29, 135.29, 135.29
1/10/2017, 135, 136.38, 134.76, 136.09, 21684855, 0, 0, 0, 0, 0, 0.0872888215012324, 0.0823894490308234, 0.00489937247040896, 135.540952380952, 135.540952380952, 135.540952380952, 135.540952380952
1/11/2017, 136.23, 136.79, 135.42, 136.33, 27428753, 0, 0, 0, 0, 0, 0.125226396911415, 0.0909568386069418, 0.0342695583044735, 135.806428571429, 135.806428571429, 135.806428571429, 135.806428571429
1/12/2017, 136.16, 136.22, 133.59, 135.28, 41844214, 0, 0, 0, 0, 0, 0.069761803322109, 0.0867178315499753, -0.0169560282278663, 135.538333333333, 135.538333333333, 135.538333333333, 135.538333333333
1/13/2017, 135.65, 136.97, 135.65, 136.26, 27784455, 0, 0, 0, 0, 0, 0.103688269275523, 0.0901119190950848, 0.013576350180438, 135.736, 135.736, 135.736, 135.736
1/17/2017, 135.6, 135.69, 134.13, 134.41, 28197779, 0, 0, 0, 0, 0, -0.0184911465076993, 0.0683913059745279, -0.0868824524822273, 135.235818181818, 135.235818181818, 135.235818181818, 135.235818181818
1/18/2017, 134.76, 134.94, 133.95, 134.85, 21289660, 0, 0, 0, 0, 0, -0.0789053195969984, 0.0389319808602227, -0.117837300457221, 134.832545454546, 135.022272727273, 135.022272727273, 135.022272727273
1/19/2017, 135.14, 135.44, 133.17, 133.75, 34105880, 0, 0, 0, 0, 0, -0.21308844301916, -0.0114721039156539, -0.201616339103506, 134.537818181818, 134.545128205128, 134.545128205128, 134.545128205128
1/20/2017, 134.21, 134.88, 133.82, 134.44, 29286081, 0, 0, 0, 0, 0, -0.260746577403836, -0.0613269986132903, -0.199419578790546, 134.383272727273, 134.37989010989, 134.37989010989, 134.37989010989
1/23/2017, 134.03, 134.68, 133.12, 133.88, 20537008, 0, 0, 0, 0, 0, -0.339786465284647, -0.117018891947562, -0.222767573337085, 134.030727272727, 134.113714285714, 134.113714285714, 134.113714285714
1/24/2017, 134.34, 136.28, 134.22, 135.93, 34313842, 0, 0, 0, 0, 0, -0.234307329404544, -0.140476579438958, -0.0938307499655859, 134.307090909091, 134.405333333333, 134.405333333333, 134.405333333333
1/25/2017, 137.06, 137.55, 136.95, 137.21, 29127322, 0, 0, 0, 0, 0, -0.0468885496762255, -0.121758973486412, 0.074870423810186, 135.222, 134.933455882353, 134.933455882353, 134.933455882353
1/26/2017, 137.34, 137.5, 136.42, 136.66, 22255562, 0, 0, 0, 0, 0, 0.056609224181301, -0.086085333952869, 0.14269455813417, 135.933818181818, 135.243921568627, 135.243921568627, 135.243921568627
1/27/2017, 136.77, 137.04, 135.65, 136.19, 19467824, 0, 0, 0, 0, 0, 0.0995592267855727, -0.0489564218051807, 0.148515648590753, 136.255272727273, 135.402923976608, 135.402923976608, 135.402923976608
1/30/2017, 135.23, 135.24, 133.24, 134.29, 40464369, 0, 0, 0, 0, 0, -0.0194920159237313, -0.0430635406288908, 0.0235715247051595, 136.066727272727, 135.165105263158, 135.165105263158, 135.165105263158
1/31/2017, 133.87, 135.56, 133.48, 135.23, 32944993, 0, 0, 0, 0, 0, -0.0375578953578213, -0.0419624115746769, 0.00440451621685562, 135.940363636363, 135.141857142857, 135.141857142857, 135.141857142857
2/1/2017, 136.22, 136.87, 134.7, 135.15, 30010459, 0, 0, 0, 0, 0, -0.0576658305798787, -0.0451030953757173, -0.0125627352041615, 135.829636363636, 135.108917748918, 135.108917748918, 135.108917748918
2/2/2017, 135.3, 135.67, 134.49, 134.81, 19935725, 1.33563070247015, 0, 0, 0, 0, -0.0998852575420983, -0.0560595278089935, -0.0438257297331048, 135.365090909091, 135.02395256917, 135.02395256917, 135.02395256917
2/3/2017, 135.99, 136.98, 135.51, 136.87, 24534082, 1.32902430225762, 0, 0, 0, 0, 0.0325056217044732, -0.0383464979063001, 0.0708521196107734, 135.692363636363, 135.287934782609, 135.287934782609, 135.287934782609
2/6/2017, 136.4, 136.78, 135.43, 135.84, 23691510, 1.32515001794391, 0, 0, 0, 0, 0.0536949929465891, -0.0199381997357223, 0.0736331926823114, 135.419272727272, 135.354466666667, 135.354466666667, 135.354466666667
2/7/2017, 135.82, 136.47, 134.77, 135.24, 30342153, 1.32732889319451, 0, 0, 0, 0, 0.0218211955671279, -0.0115863206751523, 0.0334075162422802, 135.242, 135.322, 135.322, 135.322
2/8/2017, 134.6, 135.22, 133.89, 135, 32956872, 1.3132041595544, -0.0666256510423739, 0, 0, 0, -0.022545126545765, -0.0137780818492748, -0.00876704469649021, 135.275454545454, 135.259145299145, 135.259145299145, 135.259145299145
2/9/2017, 135.25, 137.25, 135.25, 136.9, 28267608, 1.31240638029841, -0.129220444787608, 0, 0, 0, 0.0945188105629029, 0.00788129663316074, 0.0866375139297422, 135.975818181818, 135.47082010582, 135.47082010582, 135.47082010582
2/10/2017, 137.79, 138.37, 137.2, 137.94, 27287550, 1.29066994192917, 0.327725229505957, 0, 0, 0, 0.268121395926528, 0.0599293164918342, 0.208192079434694, 136.928363636363, 135.798226600985, 135.798226600985, 135.798226600985
2/13/2017, 138.77, 139.21, 138.09, 138.3, 23245053, 1.26885944468708, 0.480795622170646, 0, 0, 0, 0.429797251742173, 0.133902903541902, 0.295894348200271, 137.529818181818, 136.134827586207, 136.134827586207, 136.134827586207
2/14/2017, 137.94, 138.94, 137.61, 138.76, 27144980, 1.2493448986755, 0.730501553548778, 0, 0, 0, 0.588263551862781, 0.224775033206078, 0.363488518656703, 138.259454545454, 136.491741935484, 136.491741935484, 136.491741935484
2/15/2017, 138.19, 139.77, 138.07, 139.59, 20253540, 1.24071311149224, 0.651970315006235, 0, 0, 0, 0.771925028574231, 0.334205032279708, 0.437719996294522, 139.067272727272, 136.943698924731, 136.911411290322, 136.911411290322
2/16/2017, 139.46, 139.84, 138.21, 139.2, 24613563, 1.24052863557142, 0.536397108100414, 0, 0, 0, 0.87591137040144, 0.442546299904055, 0.433365070497385, 139.430181818181, 137.470580645161, 137.239545454545, 137.239545454545
2/17/2017, 138.45, 139.16, 138.25, 139.11, 26703217, 1.21341029953249, 0.727658765517054, 0, 0, 0, 0.940220767896818, 0.542081193502607, 0.398139574394211, 139.934545454545, 137.87088172043, 137.522727272727, 137.522727272727
2/21/2017, 139.38, 140.32, 139.38, 140.2, 21353474, 1.186930324034, 0.740851573223909, 0, 0, 0, 1.06684242385018, 0.647033439572121, 0.419808984278055, 140.487272727272, 138.357311827957, 137.899428571429, 137.899428571429
2/22/2017, 140, 140.02, 139.25, 139.58, 14890829, 1.16662308251962, 1.03718647631616, 0, 0, 0, 1.10443098707461, 0.738512949072618, 0.365918038001989, 140.467999999999, 138.67664516129, 138.170619047619, 138.170619047619
2/23/2017, 139.96, 140.01, 137.69, 138.75, 24596201, 1.19852531434366, 0.774672593125131, 0, 0, 0, 1.05508378177097, 0.80182711561229, 0.253256666158685, 139.877272727272, 138.945827956989, 138.326531531532, 138.326531531532
