Date,IXC_Open,IXC_High,IXC_Low,IXC_Close,IXC_Volume,IXC_ATRPercentOfClose20,IXC_SQN25,IXC_SQN50,IXC_SQN100,IXC_SQN200,IXC_MACD,IXC_MACD_Avg,IXC_MACD_Diff,IXC_LinReg10,IXC_LinReg30,IXC_LinReg90,IXC_LinReg270
1/3/2017, 35.05, 35.38, 34.88, 35.22, 261143, 0, 0, 0, 0, 0, 0, 0, 0, 35.22, 35.22, 35.22, 35.22
1/4/2017, 35.27, 35.31, 35.09, 35.23, 256376, 0, 0, 0, 0, 0, 0.000797720797720558, 0.000159544159544112, 0.000638176638176446, 35.23, 35.23, 35.23, 35.23
1/5/2017, 35.26, 35.43, 35.16, 35.28, 276789, 0, 0, 0, 0, 0, 0.00540222887801889, 0.00120808110323907, 0.00419414777477982, 35.2733333333333, 35.2733333333333, 35.2733333333333, 35.2733333333333
1/6/2017, 35.23, 35.26, 35.04, 35.18, 67718, 0, 0, 0, 0, 0, 0.000970977614677793, 0.00116066040552681, -0.00018968279084902, 35.217, 35.217, 35.217, 35.217
1/9/2017, 34.86, 34.89, 34.67, 34.71, 2052110, 0, 0, 0, 0, 0, -0.0400047432054791, -0.00707242031667437, -0.0329323228888047, 34.91, 34.91, 34.91, 34.91
1/10/2017, 34.65, 34.77, 34.43, 34.43, 175841, 0, 0, 0, 0, 0, -0.0939885160052611, -0.0244556394543917, -0.0695328765508694, 34.607619047619, 34.607619047619, 34.607619047619, 34.607619047619
1/11/2017, 34.48, 34.88, 34.48, 34.86, 135561, 0, 0, 0, 0, 0, -0.100910406193066, -0.0397465928021265, -0.0611638133909392, 34.6389285714285, 34.6389285714285, 34.6389285714285, 34.6389285714285
1/12/2017, 35.1, 35.1, 34.72, 34.8, 149752, 0, 0, 0, 0, 0, -0.109969888178455, -0.0537912518773922, -0.0561786363010626, 34.6383333333333, 34.6383333333333, 34.6383333333333, 34.6383333333333
1/13/2017, 34.81, 34.86, 34.71, 34.8, 235888, 0, 0, 0, 0, 0, -0.115814554825938, -0.0661959124671014, -0.049618642358837, 34.6415555555555, 34.6415555555555, 34.6415555555555, 34.6415555555555
1/17/2017, 34.75, 35.01, 34.75, 34.91, 112734, 0, 0, 0, 0, 0, -0.110298956845192, -0.0750165213427195, -0.0352824355024723, 34.6845454545454, 34.6845454545454, 34.6845454545454, 34.6845454545454
1/18/2017, 34.8, 34.87, 34.63, 34.72, 80216, 0, 0, 0, 0, 0, -0.119877346383412, -0.0839886863508579, -0.0358886600325536, 34.6634545454545, 34.6568181818182, 34.6568181818182, 34.6568181818182
1/19/2017, 34.66, 34.66, 34.32, 34.46, 72715, 0, 0, 0, 0, 0, -0.146756399766538, -0.0965422290339939, -0.0502141707325441, 34.5818181818182, 34.5614102564102, 34.5614102564102, 34.5614102564102
1/20/2017, 34.65, 34.83, 34.54, 34.63, 214975, 0, 0, 0, 0, 0, -0.152581796009535, -0.107750142429102, -0.044831653580433, 34.6109090909091, 34.5378021978022, 34.5378021978022, 34.5378021978022
1/23/2017, 34.56, 34.56, 34.21, 34.39, 146916, 0, 0, 0, 0, 0, -0.174552328154221, -0.121110579574126, -0.0534417485800946, 34.5725454545454, 34.4594285714286, 34.4594285714286, 34.4594285714286
1/24/2017, 34.42, 34.83, 34.42, 34.72, 122650, 0, 0, 0, 0, 0, -0.163451721394033, -0.129578807938107, -0.0338729134559255, 34.5972727272727, 34.4791666666667, 34.4791666666667, 34.4791666666667
1/25/2017, 34.74, 35.02, 34.74, 34.88, 338070, 0, 0, 0, 0, 0, -0.140128434372301, -0.131688733224946, -0.00843970114735468, 34.6207272727272, 34.5326470588235, 34.5326470588235, 34.5326470588235
1/26/2017, 34.91, 34.97, 34.71, 34.78, 84218, 0, 0, 0, 0, 0, -0.128235506541913, -0.130998087888339, 0.00276258134642673, 34.6710909090909, 34.5552941176471, 34.5552941176471, 34.5552941176471
1/27/2017, 34.6, 34.61, 34.38, 34.46, 54059, 0, 0, 0, 0, 0, -0.142983377825317, -0.133395145875735, -0.00958823194958211, 34.6032727272727, 34.5091228070175, 34.5091228070175, 34.5091228070175
1/30/2017, 34.26, 34.26, 33.69, 33.84, 119011, 0, 0, 0, 0, 0, -0.202367227089233, -0.147189562118435, -0.0551776649707989, 34.3398181818182, 34.350947368421, 34.350947368421, 34.350947368421
1/31/2017, 33.91, 33.99, 33.68, 33.89, 237276, 0, 0, 0, 0, 0, -0.24259825170239, -0.166271300035226, -0.0763269516671641, 34.168, 34.229, 34.229, 34.229
2/1/2017, 34.1, 34.1, 33.52, 33.72, 143581, 0, 0, 0, 0, 0, -0.284914886351423, -0.190000017298465, -0.094914869052958, 33.9550909090909, 34.0970562770563, 34.0970562770563, 34.0970562770563
2/2/2017, 33.79, 33.91, 33.61, 33.87, 202965, 1.09420947741364, 0, 0, 0, 0, -0.302856239579576, -0.212571261754687, -0.0902849778248887, 33.7965454545455, 34.0115415019763, 34.0115415019763, 34.0115415019763
2/3/2017, 34, 34.24, 33.89, 34.14, 102961, 1.0854666446983, 0, 0, 0, 0, -0.291923040660542, -0.228441617535858, -0.0634814231246839, 33.7974545454546, 33.9834782608695, 33.9834782608695, 33.9834782608695
2/6/2017, 34.11, 34.11, 33.74, 33.79, 1263868, 1.1010636190441, 0, 0, 0, 0, -0.307950613693663, -0.244343416767419, -0.0636071969262437, 33.6561818181819, 33.9055, 33.9055, 33.9055
2/7/2017, 33.65, 33.65, 33.2, 33.31, 113955, 1.14964553296683, 0, 0, 0, 0, -0.355289018620539, -0.266532537138043, -0.0887564814824957, 33.4478181818182, 33.7665538461538, 33.7665538461538, 33.7665538461538
2/8/2017, 33.18, 33.36, 32.83, 33.35, 243322, 1.17031358524644, -1.43046952548697, 0, 0, 0, -0.385137751613158, -0.290253580033066, -0.0948841715800917, 33.3621818181818, 33.6523076923077, 33.6523076923077, 33.6523076923077
2/9/2017, 33.52, 33.74, 33.52, 33.64, 450255, 1.16018014757938, -1.16281221279241, 0, 0, 0, -0.381000573739982, -0.308402978774449, -0.0725975949655326, 33.4401818181818, 33.5939417989418, 33.5939417989418, 33.5939417989418
2/10/2017, 33.86, 34.06, 33.86, 33.92, 111883, 1.15498340673177, -0.957856816142785, 0, 0, 0, -0.351081125848012, -0.316938608189162, -0.0341425176588499, 33.6130909090909, 33.5815270935961, 33.5815270935961, 33.5815270935961
2/13/2017, 33.97, 34.06, 33.89, 34.05, 192782, 1.1180083788113, -0.785704242267731, 0, 0, 0, -0.313268668088227, -0.316204620168975, 0.00293595208074771, 33.7363636363636, 33.5885517241379, 33.5885517241379, 33.5885517241379
2/14/2017, 34.1, 34.1, 33.76, 34.1, 168690, 1.11040398925509, -0.439627006947762, 0, 0, 0, -0.276084905819587, -0.308180677299097, 0.0320957714795101, 33.8754545454546, 33.6020215053764, 33.6020215053764, 33.6020215053764
2/15/2017, 34, 34.08, 33.89, 34, 269134, 1.08886874211525, -0.312003963590582, 0, 0, 0, -0.251783269787808, -0.29690119579684, 0.0451179260090318, 33.9345454545455, 33.6054193548387, 33.6025403225806, 33.6025403225806
2/16/2017, 34.07, 34.1, 33.66, 33.7, 151684, 1.10891573799177, -0.911127560104265, 0, 0, 0, -0.253805825377853, -0.288282121713042, 0.0344762963351892, 33.9047272727273, 33.5792903225806, 33.5679545454546, 33.5679545454546
2/17/2017, 33.44, 33.49, 33.35, 33.44, 497083, 1.11399334186024, -1.06025747163905, 0, 0, 0, -0.273238815365758, -0.285273460443585, 0.0120346450778273, 33.8483636363636, 33.533376344086, 33.507486631016, 33.507486631016
2/21/2017, 33.67, 33.84, 33.65, 33.72, 372911, 1.10881792657818, -0.806291088094265, 0, 0, 0, -0.263014077431883, -0.280821583841245, 0.0178075064093618, 33.8569090909091, 33.5281935483871, 33.485243697479, 33.485243697479
2/22/2017, 33.51, 33.52, 33.25, 33.27, 119645, 1.138258895702, -1.19196692369542, 0, 0, 0, -0.287903367342011, -0.282237940541398, -0.00566542680061283, 33.6178181818182, 33.444, 33.4165238095238, 33.4165238095238
2/23/2017, 33.65, 33.65, 33.3, 33.42, 149045, 1.13334469739692, -0.933891947787466, 0, 0, 0, -0.292156761233521, -0.284221704679823, -0.00793505655369819, 33.4407272727273, 33.3694623655914, 33.3709009009009, 33.3709009009009
2/24/2017, 33.17, 33.24, 32.93, 33.03, 89562, 1.16356526786724, -1.01740567897818, 0, 0, 0, -0.323270881675775, -0.292031540079013, -0.0312393415967618, 33.1830909090909, 33.280623655914, 33.2895874822191, 33.2895874822191
2/27/2017, 33.02, 33.29, 33.02, 33.23, 328893, 1.13935999872922, -0.985186961423159, 0, 0, 0, -0.32800962696043, -0.299227157455297, -0.0287824695051334, 33.0838181818181, 33.2249677419355, 33.2363967611336, 33.2363967611336
2/28/2017, 33.11, 33.25, 33.05, 33.11, 223167, 1.11651724916592, -0.91094501108096, 0, 0, 0, -0.337556967260831, -0.306893119416403, -0.0306638478444273, 33.0067272727272, 33.1642150537634, 33.1766025641026, 33.1766025641026
3/1/2017, 33.37, 33.73, 33.37, 33.62, 675847, 1.13680820386345, -0.733405188436568, 0, 0, 0, -0.300506513453328, -0.305615798223788, 0.00510928477046019, 33.1670909090909, 33.1864086021505, 33.1716219512195, 33.1716219512195
3/2/2017, 33.45, 33.61, 33.37, 33.38, 124453, 1.12518026432579, -1.01041428061673, 0, 0, 0, -0.287199103621766, -0.301932459303384, 0.0147333556816176, 33.2507272727272, 33.1738064516129, 33.1450522648084, 33.1450522648084
3/3/2017, 33.39, 33.54, 33.36, 33.41, 164684, 1.09489947207528, -0.92068494735623, 0, 0, 0, -0.271106983626993, -0.295767364168106, 0.024660380541113, 33.3185454545454, 33.1563225806452, 33.123942414175, 33.123942414175
3/6/2017, 33.29, 33.48, 33.24, 33.45, 172791, 1.07478510594719, -0.687209615212842, 0, 0, 0, -0.252218775840468, -0.287057646502578, 0.03483887066211, 33.364, 33.1620215053763, 33.1086257928118, 33.1086257928118
3/7/2017, 33.52, 33.57, 33.24, 33.27, 147659, 1.07616422315109, -0.420612823019732, 0, 0, 0, -0.248905008761675, -0.279427118954398, 0.030522110192723, 33.4027272727272, 33.1364946236559, 33.0791818181818, 33.0791818181818
3/8/2017, 33.14, 33.22, 32.46, 32.47, 313654, 1.17227547025023, -0.93217519037571, 0, 0, 0, -0.307289892004647, -0.284999673564448, -0.0222902184401994, 33.0996363636363, 33.038688172043, 32.9836618357488, 32.9836618357488
3/9/2017, 32.31, 32.65, 32.19, 32.62, 328679, 1.17904951848785, -0.712712446770178, 0, 0, 0, -0.337565343069606, -0.295512807465479, -0.0420525356041269, 32.9219999999999, 32.9850967741936, 32.9083348751156, 32.9083348751156
3/10/2017, 32.92, 32.97, 32.58, 32.78, 184950, 1.17411731325259, -0.70164466726136, 0, 0, 0, -0.344674994552754, -0.305345244882934, -0.0393297496698199, 32.7652727272726, 32.9597204301075, 32.8521542553192, 32.8521542553192
3/13/2017, 32.75, 32.89, 32.7, 32.8, 111882, 1.14369473329265, -0.883154961057756, 0, 0, 0, -0.344721872557471, -0.313220570417842, -0.0315013021396297, 32.6690909090908, 32.9284516129032, 32.8020663265306, 32.8020663265306
3/14/2017, 32.46, 32.48, 32.14, 32.32, 203277, 1.20475024410269, -0.959356486375443, 0, 0, 0, -0.379120744241419, -0.326400605182557, -0.0527201390588618, 32.4065454545454, 32.8056559139785, 32.7179346938776, 32.7179346938776
3/15/2017, 32.57, 33.11, 32.49, 33.08, 266704, 1.23762549863752, -0.114431266705177, 0, 0, 0, -0.341124182236065, -0.329345320593259, -0.0117788616428063, 32.5516363636363, 32.7924301075269, 32.6990352941177, 32.6990352941177
3/16/2017, 33.22, 33.23, 32.94, 33.05, 394162, 1.22068438487693, -0.156873118231528, -0.982743743233885, 0, 0, -0.309860503374473, -0.325448357149502, 0.0155878537750285, 32.6678181818181, 32.7692903225806, 32.6795776772248, 32.6795776772248
3/17/2017, 33.12, 33.19, 33.01, 33.02, 88170, 1.18795996287624, -0.356204977370035, -1.00204250464807, 0, 0, -0.28422815664959, -0.317204317049519, 0.0329761603999295, 32.7976363636363, 32.7566666666667, 32.6596008708273, 32.6596008708273
3/20/2017, 32.89, 32.97, 32.75, 32.93, 141708, 1.17264245598132, -0.592662895063106, -1.06892900807779, 0, 0, -0.268086253584237, -0.307380704356463, 0.0392944507722263, 32.9256363636362, 32.7561075268817, 32.6347379454927, 32.6347379454927
3/21/2017, 33.06, 33.16, 32.66, 32.75, 151222, 1.19646901592951, -0.787981870051011, -1.10889188224328, 0, 0, -0.266743323791331, -0.299253228243437, 0.0325099044521051, 32.983818181818, 32.7171827956989, 32.5988956228957, 32.5988956228957
3/22/2017, 32.61, 32.86, 32.53, 32.79, 179833, 1.18557920884742, -0.793383215879023, -0.892527433693714, 0, 0, -0.259460477671055, -0.29129467812896, 0.031834200457905, 32.9241818181817, 32.6580430107527, 32.5685194805195, 32.5685194805195
3/23/2017, 32.6, 32.89, 32.6, 32.67, 176329, 1.17482048194679, -0.808114316161478, -0.825597585290083, 0, 0, -0.26037037911334, -0.285109818325836, 0.0247394392124964, 32.8356363636362, 32.5896989247312, 32.5320488721805, 32.5320488721805
3/24/2017, 32.66, 32.71, 32.54, 32.56, 180485, 1.14595564766405, -0.702052795955078, -1.11174954045122, 0, 0, -0.266891009826089, -0.281466056625887, 0.0145750467997974, 32.7383636363635, 32.5311182795699, 32.4906352087115, 32.4906352087115
3/27/2017, 32.28, 32.59, 32.28, 32.55, 187160, 1.13661137000137, -0.550881548622185, -1.08795228576353, 0, 0, -0.269755993890762, -0.279124044078862, 0.00936805018810022, 32.6536363636362, 32.4969032258065, 32.4513734658095, 32.4513734658095
3/28/2017, 32.63, 32.96, 32.55, 32.91, 89598, 1.13026025794188, -0.487329986683726, -0.884630626705681, 0, 0, -0.240208548427013, -0.271340944948492, 0.031132396521479, 32.6109090909089, 32.5258709677419, 32.4385593220339, 32.4385593220339
3/29/2017, 32.82, 33.29, 32.81, 33.25, 111329, 1.13494802509546, 0.0107255163644914, -0.755837525840448, 0, 0, -0.187198913964792, -0.254512538751752, 0.0673136247869599, 32.8054545454543, 32.6086666666667, 32.4489453551913, 32.4489453551913
3/30/2017, 33.42, 33.51, 33.25, 33.3, 185035, 1.11562074302411, -0.0533988717674265, -0.644889561581581, 0, 0, -0.139545224127268, -0.231519075826855, 0.0919738516995874, 33.0019999999998, 32.696623655914, 32.4622897937599, 32.4622897937599
3/31/2017, 33.19, 33.32, 33.08, 33.2, 227741, 1.09917657245685, 0.135716269982938, -0.575315222906413, 0, 0, -0.108596661159105, -0.206934592893305, 0.0983379317342005, 33.1443636363634, 32.7564086021505, 32.4689247311828, 32.4689247311828
4/3/2017, 33.22, 33.25, 32.82, 33.1, 253046, 1.11232716299967, -0.064262117425813, -0.707244901393777, 0, 0, -0.0910888507292356, -0.183765444460491, 0.0926765937312558, 33.2243636363634, 32.7893978494624, 32.469310515873, 32.469310515873
4/4/2017, 33.12, 33.37, 32.92, 33.37, 213465, 1.11558668386349, 0.194030069558859, -0.458315638085507, 0, 0, -0.0547953941163257, -0.157971434391658, 0.103176040275332, 33.3523636363634, 32.8775053763441, 32.4864615384615, 32.4864615384615
4/5/2017, 33.6, 33.87, 33.22, 33.23, 76193, 1.16207557202824, -0.248328934901982, -0.691042660484568, 0, 0, -0.0369039919937748, -0.133757945912082, 0.0968539539183067, 33.4061818181815, 32.9201075268817, 32.4945734265734, 32.4945734265734
4/6/2017, 33.37, 33.6, 33.37, 33.49, 72107, 1.15064146597711, 0.097553303883466, -0.634254799256128, 0, 0, -0.00172521264427417, -0.10735139925852, 0.105626186614246, 33.5018181818179, 33.0059569892474, 32.5179421076436, 32.5179421076436
4/7/2017, 33.58, 33.67, 33.46, 33.51, 52592, 1.12379091497448, 0.0906100373168185, -0.577806840816353, 0, 0, 0.0274516112066934, -0.0803907971654774, 0.107842408372171, 33.537636363636, 33.0678924731183, 32.5415408252853, 32.5415408252853
4/10/2017, 33.57, 33.8, 33.57, 33.68, 47077, 1.10526490150698, 0.178904883614923, -0.346253847531119, 0, 0, 0.0635593608197667, -0.0516007655684286, 0.115160126388195, 33.5783636363633, 33.1616344086022, 32.5739769820972, 32.5739769820972
4/11/2017, 33.73, 33.73, 33.39, 33.72, 144777, 1.09917128673242, 0.332382843400446, -0.0320190615921198, 0, 0, 0.0943154682280749, -0.0224175188091279, 0.116732987037203, 33.6432727272724, 33.2495483870968, 32.6073002070393, 32.6073002070393
