Date,IXG_Open,IXG_High,IXG_Low,IXG_Close,IXG_Volume,IXG_ATRPercentOfClose20,IXG_SQN25,IXG_SQN50,IXG_SQN100,IXG_SQN200,IXG_MACD,IXG_MACD_Avg,IXG_MACD_Diff,IXG_LinReg10,IXG_LinReg30,IXG_LinReg90,IXG_LinReg270
1/3/2017, 58.43, 58.76, 58.23, 58.56, 157301, 0, 0, 0, 0, 0, 0, 0, 0, 58.56, 58.56, 58.56, 58.56
1/4/2017, 58.82, 59.32, 58.82, 59.32, 94741, 0, 0, 0, 0, 0, 0.0606267806267837, 0.0121253561253567, 0.048501424501427, 59.32, 59.32, 59.32, 59.32
1/5/2017, 59.21, 59.32, 58.91, 59.15, 47266, 0, 0, 0, 0, 0, 0.0938742380337843, 0.0284751325070422, 0.065399105526742, 59.305, 59.305, 59.305, 59.305
1/6/2017, 59.18, 59.32, 59.11, 59.21, 14085, 0, 0, 0, 0, 0, 0.123639348674217, 0.0475079757404773, 0.0761313729337401, 59.327, 59.327, 59.327, 59.327
1/9/2017, 58.95, 59, 58.66, 58.77, 68358, 0, 0, 0, 0, 0, 0.110450881527271, 0.060096556897836, 0.0503543246294349, 59.064, 59.064, 59.064, 59.064
1/10/2017, 58.76, 59.11, 58.76, 58.81, 61724, 0, 0, 0, 0, 0, 0.102050220582775, 0.0684872896348239, 0.0335629309479515, 58.9457142857143, 58.9457142857143, 58.9457142857143, 58.9457142857143
1/11/2017, 58.82, 59.21, 58.61, 59.21, 22946, 0, 0, 0, 0, 0, 0.126214372599669, 0.080032706227793, 0.0461816663718764, 59.0632142857143, 59.0632142857143, 59.0632142857143, 59.0632142857143
1/12/2017, 59.21, 59.21, 58.63, 59.03, 20502, 0, 0, 0, 0, 0, 0.12934908574568, 0.0898959821313704, 0.0394531036143098, 59.0608333333333, 59.0608333333333, 59.0608333333333, 59.0608333333333
1/13/2017, 59.21, 59.62, 59.14, 59.25, 27424, 0, 0, 0, 0, 0, 0.147880851478355, 0.101492956000767, 0.0463878954775878, 59.1417777777778, 59.1417777777778, 59.1417777777778, 59.1417777777778
1/17/2017, 59.06, 59.06, 58.4, 58.44, 78700, 0, 0, 0, 0, 0, 0.0960994046708663, 0.100414245734787, -0.00431484106392087, 58.9169090909091, 58.9169090909091, 58.9169090909091, 58.9169090909091
1/18/2017, 58.36, 58.5, 58.12, 58.43, 942687, 0, 0, 0, 0, 0, 0.0536370243553606, 0.0910588014589019, -0.0374217771035413, 58.6456363636364, 58.7531818181818, 58.7531818181818, 58.7531818181818
1/19/2017, 58.63, 58.63, 58.16, 58.32, 48547, 0, 0, 0, 0, 0, 0.0109826007536924, 0.07504356131786, -0.0640609605641676, 58.4954545454545, 58.6011538461538, 58.6011538461538, 58.6011538461538
1/20/2017, 58.48, 58.69, 58.39, 58.56, 41368, 0, 0, 0, 0, 0, -0.00341596589439064, 0.0593516558754099, -0.0627676217698005, 58.4487272727273, 58.5537362637363, 58.5537362637363, 58.5537362637363
1/23/2017, 58.5, 58.61, 58.22, 58.53, 30498, 0, 0, 0, 0, 0, -0.0170511281868215, 0.0440710990629636, -0.0611222272497851, 58.4358181818182, 58.5108571428572, 58.5108571428572, 58.5108571428572
1/24/2017, 58.54, 59.15, 58.54, 58.95, 66458, 0, 0, 0, 0, 0, 0.00596464070870439, 0.0364498073921117, -0.0304851666834074, 58.5170909090909, 58.58, 58.58, 58.58
1/25/2017, 59.46, 60, 59.46, 59.96, 26032, 0, 0, 0, 0, 0, 0.104498765732728, 0.0500595990602351, 0.0544391666724933, 58.9454545454546, 58.8663235294118, 58.8663235294118, 58.8663235294118
1/26/2017, 60, 60.18, 59.89, 60.04, 54863, 0, 0, 0, 0, 0, 0.186888763791636, 0.0774254320065152, 0.109463331785121, 59.4187272727273, 59.1152941176471, 59.1152941176471, 59.1152941176471
1/27/2017, 60.03, 60.03, 59.74, 59.83, 30614, 0, 0, 0, 0, 0, 0.232557408837316, 0.108451827372675, 0.124105581464641, 59.7381818181819, 59.2757309941521, 59.2757309941521, 59.2757309941521
1/30/2017, 59.43, 59.43, 58.95, 59.33, 115669, 0, 0, 0, 0, 0, 0.225801419527379, 0.131921745803616, 0.0938796737237627, 59.8852727272727, 59.3104736842105, 59.3104736842105, 59.3104736842105
1/31/2017, 59.29, 59.49, 58.91, 59.12, 22125, 0, 0, 0, 0, 0, 0.201182893207317, 0.145773975284356, 0.0554089179229609, 59.7934545454545, 59.2998571428572, 59.2998571428572, 59.2998571428572
2/1/2017, 59.52, 59.7, 59.19, 59.29, 21428, 0, 0, 0, 0, 0, 0.193163445028269, 0.155251869233139, 0.0379115757951299, 59.7212727272727, 59.3205194805195, 59.3205194805195, 59.3205194805195
2/2/2017, 59.2, 59.34, 59, 59.18, 72846, 0.895733355863468, 0, 0, 0, 0, 0.175904179987384, 0.159382331383988, 0.0165218486033963, 59.5421818181819, 59.3188537549407, 59.3188537549407, 59.3188537549407
