Date,IXN_Open,IXN_High,IXN_Low,IXN_Close,IXN_Volume,IXN_ATRPercentOfClose20,IXN_SQN25,IXN_SQN50,IXN_SQN100,IXN_SQN200,IXN_MACD,IXN_MACD_Avg,IXN_MACD_Diff,IXN_LinReg10,IXN_LinReg30,IXN_LinReg90,IXN_LinReg270
1/3/2017, 110.6, 111.25, 110.18, 110.76, 80558, 0, 0, 0, 0, 0, 0, 0, 0, 110.76, 110.76, 110.76, 110.76
1/4/2017, 110.88, 111.36, 110.88, 111.21, 20009, 0, 0, 0, 0, 0, 0.0358974358974393, 0.00717948717948786, 0.0287179487179515, 111.21, 111.21, 111.21, 111.21
1/5/2017, 111.4, 111.8, 111.39, 111.77, 41994, 0, 0, 0, 0, 0, 0.108285484695742, 0.0274006866827386, 0.0808847980130031, 111.751666666667, 111.751666666667, 111.751666666667, 111.751666666667
1/6/2017, 111.83, 112.78, 111.49, 112.58, 38068, 0, 0, 0, 0, 0, 0.228381129940061, 0.0675967753342031, 0.160784354605858, 112.483, 112.483, 112.483, 112.483
1/9/2017, 112.59, 113.12, 112.59, 112.93, 33283, 0, 0, 0, 0, 0, 0.347790753650671, 0.123635570997497, 0.224155182653174, 112.992, 112.992, 112.992, 112.992
1/10/2017, 112.98, 113.28, 112.76, 112.9, 12106, 0, 0, 0, 0, 0, 0.434988712356684, 0.185906199269334, 0.24908251308735, 113.215714285714, 113.215714285714, 113.215714285714, 113.215714285714
1/11/2017, 112.97, 113.66, 112.91, 113.65, 19769, 0, 0, 0, 0, 0, 0.558178124877287, 0.260360584390925, 0.297817540486362, 113.6725, 113.6725, 113.6725, 113.6725
1/12/2017, 113.42, 113.54, 112.54, 113.5, 21430, 0, 0, 0, 0, 0, 0.636367230129878, 0.335561913538715, 0.300805316591162, 113.875833333333, 113.875833333333, 113.875833333333, 113.875833333333
1/13/2017, 113.5, 113.76, 113.42, 113.67, 10627, 0, 0, 0, 0, 0, 0.70393570598155, 0.409236672027282, 0.294699033954268, 114.058222222222, 114.058222222222, 114.058222222222, 114.058222222222
1/17/2017, 113.26, 113.46, 112.96, 113.19, 25896, 0, 0, 0, 0, 0, 0.71056131291968, 0.469501600205762, 0.241059712713918, 114.004727272727, 114.004727272727, 114.004727272727, 114.004727272727
1/18/2017, 113.34, 113.59, 113.13, 113.4, 13058, 0, 0, 0, 0, 0, 0.724406887439073, 0.520482657652424, 0.203924229786649, 113.904363636364, 114.022727272727, 114.022727272727, 114.022727272727
1/19/2017, 113.4, 113.79, 113.02, 113.15, 1474038, 0, 0, 0, 0, 0, 0.707056190695695, 0.557797364261079, 0.149258826434617, 113.663636363636, 113.953717948718, 113.953717948718, 113.953717948718
1/20/2017, 113.52, 113.98, 113.44, 113.74, 17003, 0, 0, 0, 0, 0, 0.732470246629575, 0.592731940734778, 0.139738305894797, 113.632909090909, 114.056923076923, 114.056923076923, 114.056923076923
1/23/2017, 113.67, 114.16, 113.45, 114.02, 24553, 0, 0, 0, 0, 0, 0.766370487072024, 0.627459650002227, 0.138910837069797, 113.753454545455, 114.202571428571, 114.202571428571, 114.202571428571
1/24/2017, 114.18, 115.27, 114.18, 115.12, 21016, 0, 0, 0, 0, 0, 0.871946225457734, 0.676356965093328, 0.195589260364405, 114.245454545455, 114.577333333333, 114.577333333333, 114.577333333333
1/25/2017, 116.16, 116.7, 116.02, 116.6, 286885, 0, 0, 0, 0, 0, 1.06278822874617, 0.753643217823897, 0.309145010922275, 115.123272727273, 115.208014705882, 115.208014705882, 115.208014705882
1/26/2017, 116.8, 116.89, 116.24, 116.51, 25672, 0, 0, 0, 0, 0, 1.19301728284685, 0.841518030828488, 0.351499252018365, 115.918181818182, 115.692352941177, 115.692352941177, 115.692352941177
1/27/2017, 116.51, 116.88, 116.41, 116.58, 26787, 0, 0, 0, 0, 0, 1.28703700007277, 0.930621824677345, 0.356415175395427, 116.551272727273, 116.096666666667, 116.096666666667, 116.096666666667
1/30/2017, 116.06, 116.06, 115.25, 115.85, 28840, 0, 0, 0, 0, 0, 1.287798465135, 1.00205715276888, 0.285741312366122, 116.798181818182, 116.282631578947, 116.282631578947, 116.282631578947
1/31/2017, 115.49, 115.5, 114.88, 115.31, 23870, 0, 0, 0, 0, 0, 1.23064236550982, 1.04777419531706, 0.182868170192758, 116.643636363637, 116.331714285714, 116.331714285714, 116.331714285714
2/1/2017, 116.22, 116.36, 115.58, 116.05, 30298, 0, 0, 0, 0, 0, 1.23086887018516, 1.08439313029068, 0.146475739894478, 116.671090909091, 116.499004329004, 116.499004329004, 116.499004329004
2/2/2017, 116.03, 116.45, 115.78, 116.27, 12163, 0.714022318740862, 0, 0, 0, 0, 1.23456919299134, 1.11442834283082, 0.120140850160528, 116.58, 116.67347826087, 116.67347826087, 116.67347826087
2/3/2017, 116.78, 117.15, 116.78, 117.05, 24265, 0.711391766339172, 0, 0, 0, 0, 1.28562136393077, 1.14866694705081, 0.136954416879965, 116.706181818182, 116.945217391304, 116.945217391304, 116.945217391304
2/6/2017, 116.65, 117.11, 116.65, 117.11, 11627, 0.695115583105628, 0, 0, 0, 0, 1.31575487262769, 1.18208453216618, 0.133670340461508, 116.728545454546, 117.184133333333, 117.184133333333, 117.184133333333
2/7/2017, 117.18, 117.54, 117.02, 117.37, 27280, 0.68104913215153, 0, 0, 0, 0, 1.34511013018079, 1.21468965176911, 0.13042047841168, 116.892181818182, 117.426, 117.426, 117.426
2/8/2017, 117.34, 117.64, 117.17, 117.57, 10561, 0.665884152492931, 2.72130074126465, 0, 0, 0, 1.36873478917333, 1.24549867924995, 0.123236109923381, 117.298181818182, 117.661623931624, 117.661623931624, 117.661623931624
2/9/2017, 117.54, 118.04, 117.49, 117.8, 38860, 0.654699489118542, 2.63318824024217, 0, 0, 0, 1.38999359847891, 1.27439766309574, 0.115595935383167, 117.712727272728, 117.896216931217, 117.896216931217, 117.896216931217
2/10/2017, 117.97, 118.18, 117.83, 117.94, 10039, 0.637336101638596, 2.47544387337669, 0, 0, 0, 1.40197706903481, 1.29991354428356, 0.102063524751257, 118.119272727273, 118.11775862069, 118.11775862069, 118.11775862069
2/13/2017, 118.33, 118.86, 118.33, 118.68, 21185, 0.640453731343893, 2.45413533923847, 0, 0, 0, 1.45442022039302, 1.33081487950545, 0.123605340887569, 118.561272727273, 118.406827586207, 118.406827586207, 118.406827586207
2/14/2017, 118.51, 118.97, 118.29, 118.97, 15789, 0.635526573036047, 2.42566409949822, 0, 0, 0, 1.50206747321903, 1.36506539824817, 0.137002074970864, 118.841090909092, 118.696602150538, 118.696602150538, 118.696602150538
2/15/2017, 118.92, 119.58, 118.9, 119.58, 18824, 0.629103249493173, 2.66835492421405, 0, 0, 0, 1.57094133257596, 1.40624058511372, 0.164700747462232, 119.280000000001, 118.986989247312, 119.026310483871, 119.026310483871
2/16/2017, 119.73, 120, 119.57, 119.92, 19973, 0.613882240207421, 2.54514222959517, 0, 0, 0, 1.63412237529062, 1.4518169431491, 0.182305432141514, 119.687818181819, 119.293612903226, 119.358295454545, 119.358295454545
2/17/2017, 119.51, 119.95, 119.51, 119.95, 14212, 0.601383245797334, 2.64443745253307, 0, 0, 0, 1.6673938774142, 1.49493233000212, 0.172461547412077, 120.06290909091, 119.585182795699, 119.656292335116, 119.656292335116
