Date,IYR_Open,IYR_High,IYR_Low,IYR_Close,IYR_Volume,IYR_ATRPercentOfClose20,IYR_SQN25,IYR_SQN50,IYR_SQN100,IYR_SQN200,IYR_MACD,IYR_MACD_Avg,IYR_MACD_Diff,IYR_LinReg10,IYR_LinReg30,IYR_LinReg90,IYR_LinReg270
1/3/2017, 77.14, 77.32, 76.68, 77.25, 6305079, 0, 0, 0, 0, 0, 0, 0, 0, 77.25, 77.25, 77.25, 77.25
1/4/2017, 77.23, 78.45, 77.23, 78.31, 10804582, 0, 0, 0, 0, 0, 0.0845584045584076, 0.0169116809116815, 0.0676467236467261, 78.31, 78.31, 78.31, 78.31
1/5/2017, 77.81, 78.63, 77.42, 78.58, 9419615, 0, 0, 0, 0, 0, 0.171382699815737, 0.0478058846924927, 0.123576815123245, 78.7116666666667, 78.7116666666667, 78.7116666666667, 78.7116666666667
1/6/2017, 78.09, 78.83, 78.09, 78.41, 6768288, 0, 0, 0, 0, 0, 0.223893099805778, 0.0830233277151498, 0.140869772090628, 78.7, 78.7, 78.7, 78.7
1/9/2017, 78.61, 78.72, 77.81, 77.89, 6589372, 0, 0, 0, 0, 0, 0.221000756780242, 0.110618813528168, 0.110381943252074, 78.364, 78.364, 78.364, 78.364
1/10/2017, 77.86, 77.97, 77.13, 77.16, 7720815, 0, 0, 0, 0, 0, 0.157982530685828, 0.1200915569597, 0.037890973726128, 77.7990476190477, 77.7990476190477, 77.7990476190477, 77.7990476190477
1/11/2017, 77.15, 77.38, 76.77, 76.83, 8190600, 0, 0, 0, 0, 0, 0.0804841195783865, 0.112170069483438, -0.031685949905051, 77.3203571428572, 77.3203571428572, 77.3203571428572, 77.3203571428572
1/12/2017, 76.85, 77.2, 76.21, 77.18, 9531732, 0, 0, 0, 0, 0, 0.04676902119418, 0.099089859825586, -0.052320838631406, 77.1733333333334, 77.1733333333334, 77.1733333333334, 77.1733333333334
1/13/2017, 77.13, 77.47, 76.82, 77.1, 5200072, 0, 0, 0, 0, 0, 0.013439311392375, 0.0819597501389438, -0.0685204387465688, 77.0517777777778, 77.0517777777778, 77.0517777777778, 77.0517777777778
1/17/2017, 77.36, 77.69, 77.21, 77.62, 6829212, 0, 0, 0, 0, 0, 0.0286546178280815, 0.0712987236767714, -0.0426441058486898, 77.1527272727273, 77.1527272727273, 77.1527272727273, 77.1527272727273
1/18/2017, 77.62, 78.01, 77.49, 77.75, 5592230, 0, 0, 0, 0, 0, 0.0506192639776799, 0.0671628317369531, -0.0165435677592732, 77.1165454545455, 77.27, 77.27, 77.27
1/19/2017, 77.33, 77.52, 76.79, 76.94, 9277873, 0, 0, 0, 0, 0, 0.00263579000396419, 0.0542574233903553, -0.0516216333863911, 76.9852727272727, 77.12, 77.12, 77.12
1/20/2017, 76.95, 77.49, 76.85, 77.43, 7716596, 0, 0, 0, 0, 0, 0.00410018173393212, 0.0442259750590707, -0.0401257933251385, 77.152, 77.1438461538461, 77.1438461538461, 77.1438461538461
1/23/2017, 77.45, 78.16, 77.35, 78.02, 5135921, 0, 0, 0, 0, 0, 0.0522662985396209, 0.0458340397551807, 0.00643225878444022, 77.5512727272727, 77.316, 77.316, 77.316
1/24/2017, 77.99, 78.38, 77.73, 78.2, 6270243, 0, 0, 0, 0, 0, 0.103766631666147, 0.057420558137374, 0.0463460735287732, 77.93, 77.4959166666666, 77.4959166666666, 77.4959166666666
1/25/2017, 78.05, 78.43, 77.56, 77.78, 7830023, 0, 0, 0, 0, 0, 0.109429096290441, 0.0678222657679874, 0.0416068305224535, 78.0007272727272, 77.5442647058823, 77.5442647058823, 77.5442647058823
