Date,JXI_Open,JXI_High,JXI_Low,JXI_Close,JXI_Volume,JXI_ATRPercentOfClose20,JXI_SQN25,JXI_SQN50,JXI_SQN100,JXI_SQN200,JXI_MACD,JXI_MACD_Avg,JXI_MACD_Diff,JXI_LinReg10,JXI_LinReg30,JXI_LinReg90,JXI_LinReg270
1/3/2017, 44.74, 44.74, 44.49, 44.58, 7150, 0, 0, 0, 0, 0, 0, 0, 0, 44.58, 44.58, 44.58, 44.58
1/4/2017, 44.71, 44.85, 44.68, 44.74, 24303, 0, 0, 0, 0, 0, 0.012763532763536, 0.00255270655270721, 0.0102108262108288, 44.74, 44.74, 44.74, 44.74
1/5/2017, 44.79, 44.98, 44.63, 44.95, 6681, 0, 0, 0, 0, 0, 0.0393701349826756, 0.00991619223870089, 0.0294539427439747, 44.9416666666667, 44.9416666666667, 44.9416666666667, 44.9416666666667
1/6/2017, 44.79, 45.01, 44.75, 44.97, 6768, 0, 0, 0, 0, 0, 0.0613625425904587, 0.0202054623090525, 0.0411570802814063, 45.017, 45.017, 45.017, 45.017
1/9/2017, 44.94, 44.94, 44.52, 44.6, 12179, 0, 0, 0, 0, 0, 0.0483781036211752, 0.025839990571477, 0.0225381130496982, 44.822, 44.822, 44.822, 44.822
1/10/2017, 44.41, 44.53, 44.29, 44.43, 8127, 0, 0, 0, 0, 0, 0.0240925391452791, 0.0254905002862374, -0.00139796114095834, 44.6295238095238, 44.6295238095238, 44.6295238095238, 44.6295238095238
1/11/2017, 44.4, 44.75, 44.32, 44.74, 22665, 0, 0, 0, 0, 0, 0.0295201733690647, 0.0262964349028029, 0.00322373846626178, 44.6632142857143, 44.6632142857143, 44.6632142857143, 44.6632142857143
1/12/2017, 44.86, 44.93, 44.78, 44.91, 12684, 0, 0, 0, 0, 0, 0.0469974346740827, 0.0304366348570588, 0.0165607998170238, 44.7558333333333, 44.7558333333333, 44.7558333333333, 44.7558333333333
1/13/2017, 44.91, 44.98, 44.76, 44.89, 16614, 0, 0, 0, 0, 0, 0.0585594207714806, 0.0360611920399432, 0.0224982287315374, 44.8093333333333, 44.8093333333333, 44.8093333333333, 44.8093333333333
1/17/2017, 45.05, 45.46, 45.05, 45.45, 37629, 0, 0, 0, 0, 0, 0.111622977733575, 0.0511735491786695, 0.0604494285549052, 45.0392727272727, 45.0392727272727, 45.0392727272727, 45.0392727272727
1/18/2017, 45.38, 45.47, 45.23, 45.24, 12091, 0, 0, 0, 0, 0, 0.135172796120024, 0.0679733985669404, 0.0671993975530836, 45.1330909090909, 45.1354545454546, 45.1354545454546, 45.1354545454546
1/19/2017, 44.98, 45.15, 44.89, 44.94, 5571, 0, 0, 0, 0, 0, 0.128151453874416, 0.0800090096284355, 0.0481424442459806, 45.1192727272728, 45.1161538461539, 45.1161538461539, 45.1161538461539
1/20/2017, 45.07, 45.18, 44.92, 45.1, 25153, 0, 0, 0, 0, 0, 0.133953519592254, 0.0907979116211992, 0.0431556079710545, 45.1918181818182, 45.1441758241758, 45.1441758241758, 45.1441758241758
1/23/2017, 45.06, 45.16, 44.98, 44.98, 7772, 0, 0, 0, 0, 0, 0.127400112167855, 0.0981183517305304, 0.0292817604373248, 45.2187272727273, 45.1337142857143, 45.1337142857143, 45.1337142857143
1/24/2017, 45, 45.1, 44.91, 45, 6581, 0, 0, 0, 0, 0, 0.122409264616913, 0.102976534307807, 0.0194327303091058, 45.178, 45.1293333333333, 45.1293333333333, 45.1293333333333
1/25/2017, 44.98, 45.03, 44.88, 44.98, 8126, 0, 0, 0, 0, 0, 0.11550863745174, 0.105482954936593, 0.0100256825151462, 45.0745454545455, 45.1204411764706, 45.1204411764706, 45.1204411764706
1/26/2017, 44.82, 44.88, 44.72, 44.86, 14664, 0, 0, 0, 0, 0, 0.0992131758556454, 0.104228999120404, -0.00501582326475843, 44.9616363636364, 45.0866666666667, 45.0866666666667, 45.0866666666667
1/27/2017, 44.82, 44.97, 44.74, 44.78, 11890, 0, 0, 0, 0, 0, 0.078933675450088, 0.0991699343863406, -0.0202362589362526, 44.8485454545454, 45.0421052631579, 45.0421052631579, 45.0421052631579
