Date,KIE_Open,KIE_High,KIE_Low,KIE_Close,KIE_Volume,KIE_ATRPercentOfClose20,KIE_SQN25,KIE_SQN50,KIE_SQN100,KIE_SQN200,KIE_MACD,KIE_MACD_Avg,KIE_MACD_Diff,KIE_LinReg10,KIE_LinReg30,KIE_LinReg90,KIE_LinReg270
1/3/2017, 27.84, 27.87, 27.56, 27.73, 75838, 0, 0, 0, 0, 0, 0, 0, 0, 27.73, 27.73, 27.73, 27.73
1/4/2017, 27.75, 28.03, 27.75, 27.96, 134743, 0, 0, 0, 0, 0, 0.0183475783475799, 0.00366951566951599, 0.014678062678064, 27.96, 27.96, 27.96, 27.96
1/5/2017, 27.92, 27.94, 27.68, 27.81, 132324, 0, 0, 0, 0, 0, 0.0205475604905807, 0.00704512463372893, 0.0135024358568518, 27.8733333333333, 27.8733333333333, 27.8733333333333, 27.8733333333333
1/6/2017, 27.84, 27.99, 27.8, 27.9, 73761, 0, 0, 0, 0, 0, 0.0292165201696761, 0.0114794037409184, 0.0177371164287578, 27.904, 27.904, 27.904, 27.904
1/9/2017, 27.83, 27.83, 27.57, 27.59, 264027, 0, 0, 0, 0, 0, 0.0109461436200284, 0.0113727517167404, -0.000426608096711949, 27.73, 27.73, 27.73, 27.73
1/10/2017, 27.59, 27.84, 27.56, 27.73, 164469, 0, 0, 0, 0, 0, 0.00767509482905382, 0.0106332203392031, -0.00295812551014925, 27.7138095238095, 27.7138095238095, 27.7138095238095, 27.7138095238095
1/11/2017, 27.71, 27.84, 27.64, 27.81, 100730, 0, 0, 0, 0, 0, 0.0114066082283841, 0.0107878979170393, 0.000618710311344845, 27.7428571428571, 27.7428571428571, 27.7428571428571, 27.7428571428571
1/12/2017, 27.72, 27.72, 27.41, 27.61, 178785, 0, 0, 0, 0, 0, -0.00175424717930284, 0.00827946889777086, -0.0100337160770737, 27.6783333333333, 27.6783333333333, 27.6783333333333, 27.6783333333333
1/13/2017, 27.68, 27.91, 27.68, 27.72, 58461, 0, 0, 0, 0, 0, -0.00327053848527825, 0.00596946742116104, -0.00924000590643929, 27.6782222222222, 27.6782222222222, 27.6782222222222, 27.6782222222222
1/17/2017, 27.63, 27.68, 27.48, 27.54, 127416, 0, 0, 0, 0, 0, -0.0187802192693276, 0.00101953008306331, -0.0197997493523909, 27.6167272727273, 27.6167272727273, 27.6167272727273, 27.6167272727273
1/18/2017, 27.63, 27.82, 27.54, 27.81, 89362, 0, 0, 0, 0, 0, -0.00917919744179585, -0.00102021542190852, -0.00815898201988733, 27.6389090909091, 27.6595454545454, 27.6595454545454, 27.6595454545454
1/19/2017, 27.84, 27.88, 27.53, 27.68, 1936460, 0, 0, 0, 0, 0, -0.0119227934750192, -0.00320073103253066, -0.00872206244248857, 27.6578181818182, 27.6533333333333, 27.6533333333333, 27.6533333333333
1/20/2017, 27.75, 27.86, 27.64, 27.7, 122553, 0, 0, 0, 0, 0, -0.0123410206409353, -0.0050287889542116, -0.00731223168672374, 27.6689090909091, 27.6546153846154, 27.6546153846154, 27.6546153846154
1/23/2017, 27.66, 27.75, 27.56, 27.63, 783092, 0, 0, 0, 0, 0, -0.0181120986696079, -0.00764545089729087, -0.0104666477723171, 27.6798181818182, 27.638, 27.638, 27.638
1/24/2017, 27.64, 27.83, 27.64, 27.74, 189817, 0, 0, 0, 0, 0, -0.0136522640918457, -0.00884681353620184, -0.00480545055564388, 27.6814545454545, 27.6519166666667, 27.6519166666667, 27.6519166666667
1/25/2017, 27.88, 28.06, 27.84, 28.03, 163405, 0, 0, 0, 0, 0, 0.0131313927892158, -0.00445117227111831, 0.0175825650603341, 27.8030909090909, 27.7294117647059, 27.7294117647059, 27.7294117647059
1/26/2017, 28.02, 28.14, 28.01, 28.13, 124575, 0, 0, 0, 0, 0, 0.0419433018237854, 0.00482772254786243, 0.0371155792759229, 27.9589090909091, 27.8137254901961, 27.8137254901961, 27.8137254901961
1/27/2017, 28.09, 28.09, 27.96, 28.02, 70952, 0, 0, 0, 0, 0, 0.0552638197075801, 0.014914941979806, 0.0403488777277741, 28.0192727272727, 27.8601169590643, 27.8601169590643, 27.8601169590643
1/30/2017, 27.9, 27.9, 27.64, 27.81, 176711, 0, 0, 0, 0, 0, 0.0483181990215797, 0.0215955933881607, 0.026722605633419, 28.0067272727273, 27.8574210526316, 27.8574210526316, 27.8574210526316
1/31/2017, 27.77, 27.91, 27.62, 27.78, 157617, 0, 0, 0, 0, 0, 0.0399326762730432, 0.0252630099651372, 0.014669666307906, 27.9429090909091, 27.8494285714286, 27.8494285714286, 27.8494285714286
2/1/2017, 27.87, 28.02, 27.73, 27.81, 169352, 0, 0, 0, 0, 0, 0.0353009114270577, 0.0272705902575213, 0.0080303211695364, 27.9303636363636, 27.8478787878788, 27.8478787878788, 27.8478787878788
