Date,MDY_Open,MDY_High,MDY_Low,MDY_Close,MDY_Volume,MDY_ATRPercentOfClose20,MDY_SQN25,MDY_SQN50,MDY_SQN100,MDY_SQN200,MDY_MACD,MDY_MACD_Avg,MDY_MACD_Diff,MDY_LinReg10,MDY_LinReg30,MDY_LinReg90,MDY_LinReg270
1/3/2017, 304.68, 305.47, 301.43, 303.36, 2004909, 0, 0, 0, 0, 0, 0, 0, 0, 303.36, 303.36, 303.36, 303.36
1/4/2017, 304.27, 308.44, 304.14, 308.16, 3109676, 0, 0, 0, 0, 0, 0.382905982905982, 0.0765811965811963, 0.306324786324785, 308.16, 308.16, 308.16, 308.16
1/5/2017, 307.09, 307.96, 304.56, 305.74, 1293117, 0, 0, 0, 0, 0, 0.485491513867544, 0.158363260038466, 0.327128253829078, 306.943333333333, 306.943333333333, 306.943333333333, 306.943333333333
1/6/2017, 306.06, 307.02, 304.95, 305.45, 823139, 0, 0, 0, 0, 0, 0.537198223152359, 0.234130252661244, 0.303067970491114, 306.255, 306.255, 306.255, 306.255
1/9/2017, 304.96, 305.31, 303.01, 303.53, 971082, 0, 0, 0, 0, 0, 0.418424867484873, 0.27098917562597, 0.147435691858903, 304.774, 304.774, 304.774, 304.774
1/10/2017, 303.86, 306.59, 303.57, 305.5, 1055011, 0, 0, 0, 0, 0, 0.477751442190026, 0.312341628938781, 0.165409813251245, 305.041428571428, 305.041428571428, 305.041428571428, 305.041428571428
1/11/2017, 305.77, 306.73, 304.52, 306.73, 1569293, 0, 0, 0, 0, 0, 0.616907574028062, 0.373254817956638, 0.243652756071424, 305.772142857143, 305.772142857143, 305.772142857143, 305.772142857143
1/12/2017, 306.08, 306.08, 301.67, 304.96, 1764632, 0, 0, 0, 0, 0, 0.577706166504811, 0.414145087666272, 0.163561078838539, 305.4875, 305.4875, 305.4875, 305.4875
1/13/2017, 305.7, 307.84, 305.69, 306.65, 1477449, 0, 0, 0, 0, 0, 0.675224081789963, 0.46636088649101, 0.208863195298953, 305.937111111111, 305.937111111111, 305.937111111111, 305.937111111111
1/17/2017, 305.71, 306.19, 303.35, 303.93, 1053553, 0, 0, 0, 0, 0, 0.526952088559938, 0.478479126904796, 0.0484729616551418, 305.304727272727, 305.304727272727, 305.304727272727, 305.304727272727
1/18/2017, 304.35, 305.32, 303, 305.18, 1184863, 0, 0, 0, 0, 0, 0.504494520205299, 0.483682205564896, 0.0208123146404021, 304.820181818182, 305.250454545455, 305.250454545455, 305.250454545455
1/19/2017, 305.39, 306.44, 301.87, 303.03, 1147566, 0, 0, 0, 0, 0, 0.309640362432219, 0.448873836938361, -0.139233474506142, 304.453636363637, 304.577307692308, 304.577307692308, 304.577307692308
1/20/2017, 304.15, 305.39, 303.53, 304.58, 900540, 0, 0, 0, 0, 0, 0.277094907055186, 0.414518050961726, -0.13742314390654, 304.418363636364, 304.497912087912, 304.497912087912, 304.497912087912
1/23/2017, 303.95, 304.8, 302.14, 303.81, 823152, 0, 0, 0, 0, 0, 0.187014052761981, 0.369017251321777, -0.182003198559796, 304.122363636364, 304.241714285714, 304.241714285714, 304.241714285714
