Date,OIH_Open,OIH_High,OIH_Low,OIH_Close,OIH_Volume,OIH_ATRPercentOfClose20,OIH_SQN25,OIH_SQN50,OIH_SQN100,OIH_SQN200,OIH_MACD,OIH_MACD_Avg,OIH_MACD_Diff,OIH_LinReg10,OIH_LinReg30,OIH_LinReg90,OIH_LinReg270
1/3/2017, 33.93, 34.54, 33.64, 34.08, 5301215, 0, 0, 0, 0, 0, 0, 0, 0, 34.08, 34.08, 34.08, 34.08
1/4/2017, 34.08, 34.68, 34.06, 34.49, 3729936, 0, 0, 0, 0, 0, 0.03270655270655, 0.00654131054131, 0.02616524216524, 34.49, 34.49, 34.49, 34.49
1/5/2017, 34.67, 34.94, 34.44, 34.65, 5438962, 0, 0, 0, 0, 0, 0.0707221532292763, 0.0193774790789033, 0.0513446741503731, 34.6916666666667, 34.6916666666667, 34.6916666666667, 34.6916666666667
1/6/2017, 34.68, 35.12, 34.45, 35.01, 5515513, 0, 0, 0, 0, 0, 0.128418453886923, 0.0411856740405071, 0.0872327798464155, 35, 35, 35, 35
1/9/2017, 34.66, 34.86, 34.45, 34.59, 7056295, 0, 0, 0, 0, 0, 0.138654376580092, 0.0606794145484242, 0.0779749620316681, 34.872, 34.872, 34.872, 34.872
1/10/2017, 34.74, 34.75, 34.09, 34.2, 6814341, 0, 0, 0, 0, 0, 0.113982756165001, 0.0713400828717395, 0.0426426732932614, 34.5933333333333, 34.5933333333333, 34.5933333333333, 34.5933333333333
1/11/2017, 34.44, 34.86, 34.18, 34.73, 4676124, 0, 0, 0, 0, 0, 0.135633392521662, 0.084198744801724, 0.0514346477199378, 34.6760714285714, 34.6760714285714, 34.6760714285714, 34.6760714285714
1/12/2017, 35.08, 35.2, 34.25, 34.43, 5317811, 0, 0, 0, 0, 0, 0.127118838185467, 0.0927827634784726, 0.0343360747069945, 34.6008333333334, 34.6008333333334, 34.6008333333334, 34.6008333333334
1/13/2017, 34.25, 34.43, 33.92, 33.96, 10261177, 0, 0, 0, 0, 0, 0.0815063658344855, 0.0905274839496752, -0.00902111811518971, 34.3726666666667, 34.3726666666667, 34.3726666666667, 34.3726666666667
1/17/2017, 34.06, 34.38, 33.89, 34.32, 8758178, 0, 0, 0, 0, 0, 0.0735591995670788, 0.0871338270731559, -0.0135746275060771, 34.3401818181818, 34.3401818181818, 34.3401818181818, 34.3401818181818
