Date,PBS_Open,PBS_High,PBS_Low,PBS_Close,PBS_Volume,PBS_ATRPercentOfClose20,PBS_SQN25,PBS_SQN50,PBS_SQN100,PBS_SQN200,PBS_MACD,PBS_MACD_Avg,PBS_MACD_Diff,PBS_LinReg10,PBS_LinReg30,PBS_LinReg90,PBS_LinReg270
1/3/2017, 26.47, 26.58, 26.32, 26.49, 23415, 0, 0, 0, 0, 0, 0, 0, 0, 26.49, 26.49, 26.49, 26.49
1/4/2017, 26.65, 26.88, 26.62, 26.83, 28712, 0, 0, 0, 0, 0, 0.0271225071225096, 0.00542450142450193, 0.0216980056980077, 26.83, 26.83, 26.83, 26.83
1/5/2017, 26.78, 26.86, 26.66, 26.79, 8881, 0, 0, 0, 0, 0, 0.0448723630490022, 0.013314073749402, 0.0315582892996002, 26.8533333333333, 26.8533333333333, 26.8533333333333, 26.8533333333333
1/6/2017, 26.83, 26.96, 26.79, 26.86, 36780, 0, 0, 0, 0, 0, 0.0638516249509671, 0.023421583989715, 0.0404300409612521, 26.903, 26.903, 26.903, 26.903
1/9/2017, 26.87, 26.9, 26.75, 26.83, 2435, 0, 0, 0, 0, 0, 0.0756006008006445, 0.0338573873519009, 0.0417432134487436, 26.902, 26.902, 26.902, 26.902
1/10/2017, 26.85, 27.04, 26.84, 26.93, 7250, 0, 0, 0, 0, 0, 0.0919213015284441, 0.0454701701872095, 0.0464511313412346, 26.9504761904762, 26.9504761904762, 26.9504761904762, 26.9504761904762
1/11/2017, 26.81, 27.08, 26.81, 27.03, 3466, 0, 0, 0, 0, 0, 0.111637847095484, 0.0587037055688643, 0.0529341415266192, 27.0221428571429, 27.0221428571429, 27.0221428571429, 27.0221428571429
1/12/2017, 26.91, 27.06, 26.78, 27.05, 6805, 0, 0, 0, 0, 0, 0.127408498498777, 0.0724446641548469, 0.0549638343439304, 27.0725, 27.0725, 27.0725, 27.0725
1/13/2017, 27.1, 27.25, 27.1, 27.21, 18605, 0, 0, 0, 0, 0, 0.151076006025587, 0.0881709325289949, 0.062905073496592, 27.1637777777778, 27.1637777777778, 27.1637777777778, 27.1637777777778
1/17/2017, 27.07, 27.12, 26.99, 27.08, 11897, 0, 0, 0, 0, 0, 0.157526890771369, 0.10204212417747, 0.0554847665938988, 27.1794545454545, 27.1794545454545, 27.1794545454545, 27.1794545454545
1/18/2017, 27.13, 27.2, 27.07, 27.16, 764864, 0, 0, 0, 0, 0, 0.16716759089104, 0.115067217520184, 0.0521003733708564, 27.1818181818182, 27.2140909090909, 27.2140909090909, 27.2140909090909
1/19/2017, 27.19, 27.19, 26.95, 27.03, 9340, 0, 0, 0, 0, 0, 0.162445431829347, 0.124542860382016, 0.0379025714473309, 27.1707272727272, 27.1994871794872, 27.1994871794872, 27.1994871794872
1/20/2017, 27.08, 27.1, 26.98, 27.02, 20890, 0, 0, 0, 0, 0, 0.156096783768714, 0.130853645059356, 0.0252431387093578, 27.1372727272727, 27.1842857142857, 27.1842857142857, 27.1842857142857
1/23/2017, 27.09, 27.17, 27.03, 27.16, 6525, 0, 0, 0, 0, 0, 0.16051198219678, 0.136785312486841, 0.0237266697099396, 27.1536363636363, 27.2074285714286, 27.2074285714286, 27.2074285714286
1/24/2017, 27.25, 27.43, 27.15, 27.38, 11934, 0, 0, 0, 0, 0, 0.179691844415956, 0.145366618872664, 0.034325225543292, 27.2236363636363, 27.27775, 27.27775, 27.27775
1/25/2017, 27.51, 27.68, 27.51, 27.61, 38452, 0, 0, 0, 0, 0, 0.211018610035921, 0.158497017105315, 0.0525215929306061, 27.3630909090909, 27.3852205882353, 27.3852205882353, 27.3852205882353
1/26/2017, 27.62, 27.75, 27.61, 27.74, 51674, 0, 0, 0, 0, 0, 0.243527972159416, 0.175503208116136, 0.0680247640432808, 27.5303636363636, 27.4990196078431, 27.4990196078431, 27.4990196078431
1/27/2017, 27.7, 27.75, 27.61, 27.71, 39298, 0, 0, 0, 0, 0, 0.263829860180284, 0.193168538528965, 0.0706613216513185, 27.6525454545454, 27.5847953216374, 27.5847953216374, 27.5847953216374
1/30/2017, 27.59, 27.59, 27.31, 27.54, 18440, 0, 0, 0, 0, 0, 0.263168036148997, 0.207168438052972, 0.0559995980960254, 27.712, 27.6214210526316, 27.6214210526316, 27.6214210526316
1/31/2017, 27.47, 27.57, 27.38, 27.56, 474971, 0, 0, 0, 0, 0, 0.261245888703982, 0.217983928183174, 0.0432619605208084, 27.7343636363636, 27.6545714285714, 27.6545714285714, 27.6545714285714
2/1/2017, 27.73, 27.79, 27.52, 27.68, 80698, 0, 0, 0, 0, 0, 0.266335421176361, 0.227654226781811, 0.0386811943945499, 27.788, 27.7027272727273, 27.7027272727273, 27.7027272727273
2/2/2017, 27.69, 27.72, 27.46, 27.5, 10855, 0.822472727272728, 0, 0, 0, 0, 0.252928810763819, 0.232709143578213, 0.0202196671856066, 27.7250909090909, 27.7120158102767, 27.7120158102767, 27.7120158102767
