Date,PZI_Open,PZI_High,PZI_Low,PZI_Close,PZI_Volume,PZI_ATRPercentOfClose20,PZI_SQN25,PZI_SQN50,PZI_SQN100,PZI_SQN200,PZI_MACD,PZI_MACD_Avg,PZI_MACD_Diff,PZI_LinReg10,PZI_LinReg30,PZI_LinReg90,PZI_LinReg270
1/3/2017, 18.75, 18.86, 18.69, 18.74, 2914, 0, 0, 0, 0, 0, 0, 0, 0, 18.74, 18.74, 18.74, 18.74
1/4/2017, 18.99, 19.2, 18.93, 19.12, 3893, 0, 0, 0, 0, 0, 0.0303133903133919, 0.00606267806267837, 0.0242507122507135, 19.12, 19.12, 19.12, 19.12
1/5/2017, 19.16, 19.19, 18.87, 19.07, 4192, 0, 0, 0, 0, 0, 0.0497291418089176, 0.0147959708119262, 0.0349331709969914, 19.1416666666667, 19.1416666666667, 19.1416666666667, 19.1416666666667
1/6/2017, 18.92, 18.93, 18.83, 18.92, 2520, 0, 0, 0, 0, 0, 0.0524083870910594, 0.0223184540677529, 0.0300899330233066, 19.036, 19.036, 19.036, 19.036
1/9/2017, 18.79, 18.82, 18.71, 18.74, 4112, 0, 0, 0, 0, 0, 0.0395512899521009, 0.0257650212446225, 0.0137862687074784, 18.878, 18.878, 18.878, 18.878
1/10/2017, 18.68, 18.87, 18.68, 18.78, 2523, 0, 0, 0, 0, 0, 0.0322182219377929, 0.0270556613832566, 0.00516256055453633, 18.8171428571429, 18.8171428571429, 18.8171428571429, 18.8171428571429
1/11/2017, 19.02, 19.1, 18.96, 19.01, 1423, 0, 0, 0, 0, 0, 0.0444533598532217, 0.0305352010772496, 0.0139181587759721, 18.89, 18.89, 18.89, 18.89
1/12/2017, 19.1, 19.1, 18.66, 18.85, 3456, 0, 0, 0, 0, 0, 0.0407691703584341, 0.0325819949334865, 0.00818717542494759, 18.8691666666667, 18.8691666666667, 18.8691666666667, 18.8691666666667
1/13/2017, 18.94, 18.98, 18.9, 18.93, 3560, 0, 0, 0, 0, 0, 0.0437998575592857, 0.0348255674586463, 0.00897429010063938, 18.886, 18.886, 18.886, 18.886
1/17/2017, 18.85, 18.85, 18.71, 18.74, 4504, 0, 0, 0, 0, 0, 0.0305184887558596, 0.033964151718089, -0.0034456629622294, 18.8321818181818, 18.8321818181818, 18.8321818181818, 18.8321818181818
1/18/2017, 18.67, 18.82, 18.65, 18.68, 6677, 0, 0, 0, 0, 0, 0.0149787440949893, 0.0301670701934691, -0.0151883260984797, 18.7296363636364, 18.775, 18.775, 18.775
1/19/2017, 18.7, 18.71, 18.61, 18.64, 8467, 0, 0, 0, 0, 0, -0.00055785065748637, 0.024022086023278, -0.0245799366807644, 18.6925454545455, 18.7216666666667, 18.7216666666667, 18.7216666666667
