Date,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,QQQ_ATRPercentOfClose20,QQQ_SQN25,QQQ_SQN50,QQQ_SQN100,QQQ_SQN200,QQQ_MACD,QQQ_MACD_Avg,QQQ_MACD_Diff,QQQ_LinReg10,QQQ_LinReg30,QQQ_LinReg90,QQQ_LinReg270
1/3/2017, 119.31, 119.99, 118.89, 119.54, 22307608, 0, 0, 0, 0, 0, 0, 0, 0, 119.54, 119.54, 119.54, 119.54
1/4/2017, 119.67, 120.41, 119.66, 120.19, 19749074, 0, 0, 0, 0, 0, 0.0518518518518505, 0.0103703703703701, 0.0414814814814804, 120.19, 120.19, 120.19, 120.19
1/5/2017, 120.16, 120.95, 120.1, 120.87, 20644254, 0, 0, 0, 0, 0, 0.146130632056568, 0.0375224227076097, 0.108608209348959, 120.865, 120.865, 120.865, 120.865
1/6/2017, 120.99, 122.25, 120.69, 121.93, 24074305, 0, 0, 0, 0, 0, 0.30288887145278, 0.0905957124566437, 0.212293158996136, 121.81, 121.81, 121.81, 121.81
1/9/2017, 122.03, 122.55, 121.95, 122.33, 18909234, 0, 0, 0, 0, 0, 0.454162262758047, 0.163309022516924, 0.290853240241122, 122.436, 122.436, 122.436, 122.436
1/10/2017, 122.37, 122.97, 122.1, 122.6, 16176631, 0, 0, 0, 0, 0, 0.589044124746394, 0.248456042962818, 0.340588081783576, 122.870476190476, 122.870476190476, 122.870476190476, 122.870476190476
1/11/2017, 122.63, 122.93, 122.02, 122.93, 20685983, 0, 0, 0, 0, 0, 0.714332830010804, 0.341631400372415, 0.372701429638388, 123.246785714286, 123.246785714286, 123.246785714286, 123.246785714286
1/12/2017, 122.49, 122.82, 121.6, 122.74, 19622511, 0, 0, 0, 0, 0, 0.789196256300471, 0.431144371558027, 0.358051884742445, 123.378333333333, 123.378333333333, 123.378333333333, 123.378333333333
1/13/2017, 122.81, 123.37, 122.8, 123.16, 16930803, 0, 0, 0, 0, 0, 0.872360521840235, 0.519387601614468, 0.352972920225767, 123.604666666667, 123.604666666667, 123.604666666667, 123.604666666667
1/17/2017, 122.79, 123.03, 122.43, 122.79, 14538484, 0, 0, 0, 0, 0, 0.898060609977207, 0.595122203287016, 0.302938406690191, 123.616909090909, 123.616909090909, 123.616909090909, 123.616909090909
