Date,SHY_Open,SHY_High,SHY_Low,SHY_Close,SHY_Volume,SHY_ATRPercentOfClose20,SHY_SQN25,SHY_SQN50,SHY_SQN100,SHY_SQN200,SHY_MACD,SHY_MACD_Avg,SHY_MACD_Diff,SHY_LinReg10,SHY_LinReg30,SHY_LinReg90,SHY_LinReg270
1/3/2017, 84.37, 84.41, 84.35, 84.38, 4196266, 0, 0, 0, 0, 0, 0, 0, 0, 84.38, 84.38, 84.38, 84.38
1/4/2017, 84.35, 84.4, 84.35, 84.4, 2182475, 0, 0, 0, 0, 0, 0.00159544159544112, 0.000319088319088223, 0.00127635327635289, 84.4, 84.4, 84.4, 84.4
1/5/2017, 84.41, 84.49, 84.4, 84.46, 1614232, 0, 0, 0, 0, 0, 0.00761357456514133, 0.00177798556829885, 0.00583558899684249, 84.4533333333333, 84.4533333333333, 84.4533333333333, 84.4533333333333
1/6/2017, 84.41, 84.43, 84.38, 84.39, 919028, 0, 0, 0, 0, 0, 0.00665782604207266, 0.00275395366305361, 0.00390387237901905, 84.421, 84.421, 84.421, 84.421
1/9/2017, 84.43, 84.46, 84.42, 84.46, 1014145, 0, 0, 0, 0, 0, 0.011417193141753, 0.0044866015587935, 0.00693059158295955, 84.448, 84.448, 84.448, 84.448
1/10/2017, 84.44, 84.46, 84.43, 84.43, 1125799, 0, 0, 0, 0, 0, 0.0126227691527276, 0.00611383507758033, 0.00650893407514732, 84.4457142857143, 84.4457142857143, 84.4457142857143, 84.4457142857143
1/11/2017, 84.47, 84.5, 84.42, 84.47, 1166785, 0, 0, 0, 0, 0, 0.0166143427322396, 0.00821393660851218, 0.00840040612372742, 84.4625, 84.4625, 84.4625, 84.4625
1/12/2017, 84.5, 84.51, 84.46, 84.5, 820906, 0, 0, 0, 0, 0, 0.0219454691237928, 0.0109602431115683, 0.0109852260122245, 84.485, 84.485, 84.485, 84.485
1/13/2017, 84.46, 84.46, 84.39, 84.46, 1436252, 0, 0, 0, 0, 0, 0.0226813035430951, 0.0133044551978737, 0.0093768483452214, 84.4842222222222, 84.4842222222222, 84.4842222222222, 84.4842222222222
1/17/2017, 84.53, 84.55, 84.5, 84.52, 1326552, 0, 0, 0, 0, 0, 0.027785660383941, 0.0162006962350871, 0.0115849641488539, 84.504, 84.504, 84.504, 84.504
