Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_ATRPercentOfClose20,SPY_SQN25,SPY_SQN50,SPY_SQN100,SPY_SQN200,SPY_MACD,SPY_MACD_Avg,SPY_MACD_Diff,SPY_LinReg10,SPY_LinReg30,SPY_LinReg90,SPY_LinReg270
1/3/2017, 225.04, 225.83, 223.88, 225.24, 91366522, 0, 0, 0, 0, 0, 0, 0, 0, 225.24, 225.24, 225.24, 225.24
1/4/2017, 225.62, 226.75, 225.61, 226.58, 78744433, 0, 0, 0, 0, 0, 0.106894586894583, 0.0213789173789166, 0.0855156695156666, 226.58, 226.58, 226.58, 226.58
1/5/2017, 226.27, 226.58, 225.48, 226.4, 78379012, 0, 0, 0, 0, 0, 0.17506676082175, 0.0521164860674833, 0.122950274754266, 226.653333333333, 226.653333333333, 226.653333333333, 226.653333333333
1/6/2017, 226.53, 227.75, 225.9, 227.21, 71559922, 0, 0, 0, 0, 0, 0.291098330014592, 0.0999128548569049, 0.191185475157687, 227.217, 227.217, 227.217, 227.217
1/9/2017, 226.91, 227.07, 226.42, 226.46, 46939676, 0, 0, 0, 0, 0, 0.318859834880584, 0.143702250861641, 0.175157584018943, 226.992, 226.992, 226.992, 226.992
1/10/2017, 226.48, 227.45, 226.01, 226.46, 63771939, 0, 0, 0, 0, 0, 0.336976571343911, 0.182357114958095, 0.154619456385816, 226.859523809524, 226.859523809524, 226.859523809524, 226.859523809524
1/11/2017, 226.36, 227.1, 225.59, 227.1, 74650016, 0, 0, 0, 0, 0, 0.398384537845459, 0.225562599535568, 0.172821938309891, 227.071428571429, 227.071428571429, 227.071428571429, 227.071428571429
1/12/2017, 226.5, 226.75, 224.96, 226.53, 72113181, 0, 0, 0, 0, 0, 0.396486112308537, 0.259747302090162, 0.136738810218376, 226.958333333333, 226.958333333333, 226.958333333333, 226.958333333333
1/13/2017, 226.73, 227.4, 226.69, 227.05, 62717865, 0, 0, 0, 0, 0, 0.431961863100895, 0.294190214292308, 0.137771648808587, 227.074888888889, 227.074888888889, 227.074888888889, 227.074888888889
1/17/2017, 226.31, 226.78, 225.8, 226.25, 61240814, 0, 0, 0, 0, 0, 0.39101594861512, 0.313555361156871, 0.0774605874582495, 226.874363636364, 226.874363636364, 226.874363636364, 226.874363636364
1/18/2017, 226.54, 226.8, 225.9, 226.75, 54793302, 0, 0, 0, 0, 0, 0.394365833862821, 0.329717455698061, 0.0646483781647603, 226.693454545455, 226.887272727273, 226.887272727273, 226.887272727273
1/19/2017, 226.84, 227, 225.41, 225.91, 66608787, 0, 0, 0, 0, 0, 0.325487643286408, 0.32887149321573, -0.00338384992932228, 226.408, 226.646923076923, 226.646923076923, 226.646923076923
1/20/2017, 226.7, 227.31, 225.97, 226.74, 129168623, 0, 0, 0, 0, 0, 0.33402481427882, 0.329902157428348, 0.00412265685047158, 226.409818181818, 226.692527472527, 226.692527472527, 226.692527472527
1/23/2017, 226.35, 226.81, 225.27, 226.15, 75061645, 0, 0, 0, 0, 0, 0.289841403355183, 0.321890006613715, -0.0320486032585321, 226.351272727273, 226.575142857143, 226.575142857143, 226.575142857143
1/24/2017, 226.4, 228.08, 226.27, 227.6, 95555295, 0, 0, 0, 0, 0, 0.367591250598991, 0.33103025541077, 0.0365609951882209, 226.701454545455, 226.833, 226.833, 226.833
1/25/2017, 228.7, 229.57, 228.51, 229.57, 84437712, 0, 0, 0, 0, 0, 0.581468296153531, 0.381117863559323, 0.200350432594209, 227.67, 227.486764705882, 227.486764705882, 227.486764705882
