Date,THD_Open,THD_High,THD_Low,THD_Close,THD_Volume,THD_ATRPercentOfClose20,THD_SQN25,THD_SQN50,THD_SQN100,THD_SQN200,THD_MACD,THD_MACD_Avg,THD_MACD_Diff,THD_LinReg10,THD_LinReg30,THD_LinReg90,THD_LinReg270
1/3/2017, 72.38, 72.85, 72.06, 72.35, 245682, 0, 0, 0, 0, 0, 0, 0, 0, 72.35, 72.35, 72.35, 72.35
1/4/2017, 73.83, 74.03, 73.58, 73.69, 173131, 0, 0, 0, 0, 0, 0.106894586894583, 0.0213789173789166, 0.0855156695156666, 73.69, 73.69, 73.69, 73.69
1/5/2017, 74.15, 74.48, 74.02, 74.35, 108535, 0, 0, 0, 0, 0, 0.242075307830291, 0.0655181954691915, 0.176557112361099, 74.4633333333333, 74.4633333333333, 74.4633333333333, 74.4633333333333
1/6/2017, 74, 74.2, 73.71, 74, 118792, 0, 0, 0, 0, 0, 0.317307208189249, 0.115875998013203, 0.201431210176046, 74.439, 74.439, 74.439, 74.439
1/9/2017, 73.66, 73.91, 73.56, 73.71, 58933, 0, 0, 0, 0, 0, 0.349499640570912, 0.162600726524745, 0.186898914046167, 74.226, 74.226, 74.226, 74.226
1/10/2017, 74.19, 74.83, 74.19, 74.54, 148136, 0, 0, 0, 0, 0, 0.436949556077082, 0.217470492435212, 0.219479063641869, 74.5347619047619, 74.5347619047619, 74.5347619047619, 74.5347619047619
1/11/2017, 74.34, 74.97, 73.99, 74.88, 249840, 0, 0, 0, 0, 0, 0.527607472145149, 0.2794978883772, 0.24810958376795, 74.8582142857143, 74.8582142857143, 74.8582142857143, 74.8582142857143
1/12/2017, 74.58, 74.73, 74.12, 74.37, 314062, 0, 0, 0, 0, 0, 0.551939372515903, 0.33398618520494, 0.217953187310963, 74.835, 74.835, 74.835, 74.835
1/13/2017, 74.63, 74.84, 74.47, 74.76, 149292, 0, 0, 0, 0, 0, 0.595824030954361, 0.386353754354824, 0.209470276599537, 74.9575555555556, 74.9575555555556, 74.9575555555556, 74.9575555555556
1/17/2017, 74.34, 74.56, 74.1, 74.36, 156757, 0, 0, 0, 0, 0, 0.591507748751383, 0.427384553234136, 0.164123195517247, 74.896, 74.896, 74.896, 74.896
