Date,TICK_Open,TICK_High,TICK_Low,TICK_Close,TICK_Volume,TICK_ATRPercentOfClose20,TICK_SQN25,TICK_SQN50,TICK_SQN100,TICK_SQN200,TICK_MACD,TICK_MACD_Avg,TICK_MACD_Diff,TICK_LinReg10,TICK_LinReg30,TICK_LinReg90,TICK_LinReg270
1/3/2017, 844, 882, -643, 808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 808, 808, 808, 808
1/4/2017, 955, 1014, -535, 504, 0, 0, 0, 0, 0, 0, -24.2507122507122, -4.85014245014245, -19.4005698005698, 504, 504, 504, 504
1/5/2017, 85, 607, -728, 217, 0, 0, 0, 0, 0, 0, -65.8687835326011, -17.0538706666342, -48.8149128659669, 214.166666666667, 214.166666666667, 214.166666666667, 214.166666666667
1/6/2017, 372, 591, -649, 215, 0, 0, 0, 0, 0, 0, -97.8844372886954, -33.2199839910464, -64.6644532976489, 126.1, 126.1, 126.1, 126.1
1/9/2017, -89, 791, -650, -69, 0, 0, 0, 0, 0, 0, -144.507705191177, -55.4775282310726, -89.0301769601047, -73.6, -73.6, -73.6, -73.6
1/10/2017, 328, 751, -774, 424, 0, 0, 0, 0, 0, 0, -140.06145975647, -72.3943145361521, -67.667145220318, 89.7619047619048, 89.7619047619048, 89.7619047619048, 89.7619047619048
1/11/2017, 171, 813, -834, 791, 0, 0, 0, 0, 0, 0, -105.705438863107, -79.0565394015431, -26.6488994615641, 359.607142857143, 359.607142857143, 359.607142857143, 359.607142857143
1/12/2017, -46, 725, -780, -226, 0, 0, 0, 0, 0, 0, -158.71191321887, -94.9876141650086, -63.7242990538616, 105.25, 105.25, 105.25, 105.25
1/13/2017, 445, 634, -697, 634, 0, 0, 0, 0, 0, 0, -129.828530868327, -101.955797505672, -27.8727333626547, 264.511111111111, 264.511111111111, 264.511111111111, 264.511111111111
1/17/2017, -23, 537, -780, -17, 0, 0, 0, 0, 0, 0, -157.651196766126, -113.094877357763, -44.5563194083626, 150.581818181818, 150.581818181818, 150.581818181818, 150.581818181818
1/18/2017, 217, 566, -735, 560, 0, 0, 0, 0, 0, 0, -131.624496865357, -116.800801259282, -14.823695606075, 326.672727272727, 253.954545454545, 253.954545454545, 253.954545454545
1/19/2017, -8, 739, -1000, 261, 0, 0, 0, 0, 0, 0, -133.585065354893, -120.157654078404, -13.4274112764887, 352.2, 242.602564102564, 242.602564102564, 242.602564102564
1/20/2017, 388, 721, -903, -115, 0, 0, 0, 0, 0, 0, -163.59308835547, -128.844740933817, -34.7483474216532, 203.690909090909, 131.274725274725, 131.274725274725, 131.274725274725
1/23/2017, -5, 835, -734, 194, 0, 0, 0, 0, 0, 0, -160.589766337627, -135.193746014579, -25.396020323048, 179.636363636364, 125.685714285714, 125.685714285714, 125.685714285714
1/24/2017, 653, 720, -635, 523, 0, 0, 0, 0, 0, 0, -130.161639214387, -134.187324654541, 4.02568544015398, 213.581818181818, 201.525, 201.525, 201.525
1/25/2017, 650, 690, -592, 608, 0, 0, 0, 0, 0, 0, -98.0579881723677, -126.961457358106, 28.9034691857384, 343.2, 281.816176470588, 281.816176470588, 281.816176470588
1/26/2017, 254, 687, -581, 73, 0, 0, 0, 0, 0, 0, -114.466147747169, -124.462395435919, 9.99624768874961, 351.363636363636, 231.529411764706, 231.529411764706, 231.529411764706
1/27/2017, 274, 571, -590, 492, 0, 0, 0, 0, 0, 0, -92.5925844767467, -118.088433244084, 25.4958487673376, 340.036363636364, 276.368421052632, 276.368421052632, 276.368421052632
1/30/2017, -699, 598, -869, 418, 0, 0, 0, 0, 0, 0, -80.303125111296, -110.531371617527, 30.2282465062306, 435.981818181818, 299.2, 299.2, 299.2
1/31/2017, -258, 895, -691, 596, 0, 0, 0, 0, 0, 0, -55.560065778122, -99.5371104496457, 43.9770446715238, 475, 351.414285714286, 351.414285714286, 351.414285714286
2/1/2017, 598, 692, -844, 341, 0, 0, 0, 0, 0, 0, -55.8831951805853, -90.8063273958336, 34.9231322152483, 507.890909090909, 350.160173160173, 350.160173160173, 350.160173160173
2/2/2017, 32, 767, -674, 551, 0, 263.244328493648, 0, 0, 0, 0, -38.7473769610841, -80.3945373088837, 41.6471603477996, 565.472727272727, 384.774703557312, 384.774703557312, 384.774703557312
2/3/2017, 1067, 1120, -546, 758, 0, 192.777366424802, 0, 0, 0, 0, -8.36749229382724, -65.9891283058724, 57.6216360120452, 603.545454545455, 448.097826086957, 448.097826086957, 448.097826086957
2/6/2017, -198, 671, -625, 546, 0, 266.912054143773, 0, 0, 0, 0, -1.38191322638869, -53.0676852899757, 51.685772063587, 582.563636363636, 469.32, 469.32, 469.32
2/7/2017, 402, 703, -823, 523, 0, 279.306467465344, 0, 0, 0, 0, 2.27210927062316, -41.9997263778559, 44.2718356484791, 600.236363636364, 484.110769230769, 484.110769230769, 484.110769230769
2/8/2017, -263, 839, -674, 745, 0, 196.427407194841, -1.32381588271883, 0, 0, 0, 22.8184561355685, -29.036089875171, 51.8545460107395, 711.6, 529.119658119658, 529.119658119658, 529.119658119658
2/9/2017, 435, 691, -625, 593, 0, 245.989034472426, -1.31852538593511, 0, 0, 0, 26.5306258316302, -17.9227467338108, 44.453372565441, 655.981818181818, 547.07671957672, 547.07671957672, 547.07671957672
2/10/2017, 614, 632, -467, 435, 0, 331.202120850669, -1.3092685063575, 0, 0, 0, 16.532688974338, -11.031659592181, 27.564348566519, 601.218181818182, 541.310344827586, 541.310344827586, 541.310344827586
2/13/2017, 802, 859, -534, 531, 0, 270.874343581053, -1.30212013139307, 0, 0, 0, 16.169260508091, -5.59147557212664, 21.7607360802176, 567.927272727273, 548.634482758621, 548.634482758621, 548.634482758621
2/14/2017, -339, 601, -742, 593, 0, 241.749684012583, -1.25866449972014, 0, 0, 0, 20.6461269746144, -0.343955062778434, 20.9900820373928, 585.490909090909, 562.858064516129, 562.858064516129, 562.858064516129
2/15/2017, -720, 758, -809, 452, 0, 318.638682496657, -1.07173518210782, 0, 0, 0, 12.6704966908408, 2.25893528794542, 10.4115614028954, 503.509090909091, 593.384946236559, 558.052419354839, 558.052419354839
2/16/2017, 44, 641, -735, 318, 0, 451.897642339825, -1.1077534196191, 0, 0, 0, -4.4120683085925, 0.924734568637835, -5.33680287723033, 411.181818181818, 588.939784946237, 537.630681818182, 537.630681818182
2/17/2017, -198, 781, -617, 781, 0, 183.749395327607, -1.0235352212537, 0, 0, 0, 19.1889086098981, 4.57756937688989, 14.6113392330082, 532.909090909091, 625.30752688172, 572.828877005348, 572.828877005348
2/21/2017, 433, 576, -744, 565, 0, 254.792679404103, -0.922285850342706, 0, 0, 0, 20.2302562399418, 7.70810674950028, 12.5221494904415, 536.363636363636, 630.496774193548, 580.090756302521, 580.090756302521
2/22/2017, -209, 652, -649, 640, 0, 223.851516672113, -0.887592351031729, 0, 0, 0, 26.7984886425122, 11.5261831281027, 15.2723055144095, 560.090909090909, 624.010752688172, 594.747619047619, 594.747619047619
2/23/2017, 912, 912, -492, 401, 0, 356.912025278416, 0.464231054700313, 0, 0, 0, 12.5736167226742, 11.735669847017, 0.837946875657194, 539.272727272727, 615.49247311828, 582.430930930931, 582.430930930931
2/24/2017, -541, 756, -580, 704, 0, 202.621642087802, 0.648078506962619, 0, 0, 0, 25.4564251419159, 14.4798209059968, 10.9766042359192, 611.490909090909, 670.034408602151, 602.598862019915, 602.598862019915
2/27/2017, -102, 791, -495, 787, 0, 180.36004349215, 0.894598589476607, 0, 0, 0, 41.8807744716134, 19.9600116191201, 21.9207628524934, 674.727272727273, 667.868817204301, 629.263157894737, 629.263157894737
2/28/2017, -407, 653, -789, 314, 0, 454.54199527677, 1.31849499136307, 0, 0, 0, 16.539386915432, 19.2758866783825, -2.73649976295045, 574.563636363636, 656.486021505376, 606.803846153846, 606.803846153846
3/1/2017, 424, 823, -522, 823, 0, 172.922086501896, 1.30984153176452, 0, 0, 0, 37.1005290077067, 22.8408151442473, 14.2597138634593, 674.472727272727, 668.350537634409, 635.189024390244, 635.189024390244
3/2/2017, -507, 507, -879, 296, 0, 485.50382882266, 1.16721709034327, 0, 0, 0, 10.7470018263525, 20.4220524806684, -9.67505065431584, 551.581818181818, 646.395698924731, 611.543554006969, 611.543554006969
