Date,TLH_Open,TLH_High,TLH_Low,TLH_Close,TLH_Volume,TLH_ATRPercentOfClose20,TLH_SQN25,TLH_SQN50,TLH_SQN100,TLH_SQN200,TLH_MACD,TLH_MACD_Avg,TLH_MACD_Diff,TLH_LinReg10,TLH_LinReg30,TLH_LinReg90,TLH_LinReg270
1/3/2017, 132.29, 133.22, 132.29, 133.1, 27790, 0, 0, 0, 0, 0, 0, 0, 0, 133.1, 133.1, 133.1, 133.1
1/4/2017, 133.04, 133.39, 132.89, 133.39, 67354, 0, 0, 0, 0, 0, 0.0231339031338962, 0.00462678062677924, 0.0185071225071169, 133.39, 133.39, 133.39, 133.39
1/5/2017, 133.68, 134.5, 133.52, 134.5, 156212, 0, 0, 0, 0, 0, 0.129542130339814, 0.0296098505693863, 0.0999322797704281, 134.363333333333, 134.363333333333, 134.363333333333, 134.363333333333
1/6/2017, 133.85, 134.01, 133.68, 133.73, 13791, 0, 0, 0, 0, 0, 0.150009634500151, 0.0536898073555392, 0.0963198271446117, 134.13, 134.13, 134.13, 134.13
1/9/2017, 134.32, 134.54, 134.22, 134.39, 28106, 0, 0, 0, 0, 0, 0.216985489503259, 0.0863489437850831, 0.130636545718176, 134.406, 134.406, 134.406, 134.406
1/10/2017, 134.49, 134.57, 134.23, 134.39, 152694, 0, 0, 0, 0, 0, 0.266986680864619, 0.12247649120099, 0.144510189663629, 134.536666666667, 134.536666666667, 134.536666666667, 134.536666666667
1/11/2017, 134.48, 135.01, 134.18, 134.51, 35093, 0, 0, 0, 0, 0, 0.312691469756089, 0.16051948691201, 0.152171982844079, 134.657142857143, 134.657142857143, 134.657142857143, 134.657142857143
1/12/2017, 134.95, 135.25, 134.58, 134.59, 77628, 0, 0, 0, 0, 0, 0.351318395870436, 0.198679268703695, 0.152639127166741, 134.756666666667, 134.756666666667, 134.756666666667, 134.756666666667
1/13/2017, 134.3, 134.49, 133.77, 134.2, 71392, 0, 0, 0, 0, 0, 0.346466917517063, 0.228236798466369, 0.118230119050694, 134.667555555556, 134.667555555556, 134.667555555556, 134.667555555556
1/17/2017, 135.27, 135.31, 134.72, 135.04, 36081, 0, 0, 0, 0, 0, 0.405726107781334, 0.263734660329362, 0.141991447451972, 134.890909090909, 134.890909090909, 134.890909090909, 134.890909090909
1/18/2017, 134.5, 134.6, 133.86, 133.87, 29187, 0, 0, 0, 0, 0, 0.354197255620505, 0.281827179387591, 0.0723700762329148, 134.565636363636, 134.673181818182, 134.673181818182, 134.673181818182
1/19/2017, 133.54, 133.64, 132.98, 133.31, 14206, 0, 0, 0, 0, 0, 0.265116847168343, 0.278485112943741, -0.0133682657753977, 134.062909090909, 134.344230769231, 134.344230769231, 134.344230769231
1/20/2017, 133.21, 133.29, 132.78, 133.26, 21986, 0, 0, 0, 0, 0, 0.188314625763724, 0.260451015507738, -0.072136389744014, 133.769272727273, 134.080549450549, 134.080549450549, 134.080549450549
1/23/2017, 133.48, 134.46, 133.38, 134.06, 58278, 0, 0, 0, 0, 0, 0.189813573372476, 0.246323527080685, -0.0565099537082095, 133.665636363636, 134.082571428571, 134.082571428571, 134.082571428571
1/24/2017, 133.71, 133.89, 133.21, 133.42, 38792, 0, 0, 0, 0, 0, 0.137770713825233, 0.224612964429595, -0.0868422506043616, 133.454909090909, 133.92925, 133.92925, 133.92925
1/25/2017, 132.75, 132.95, 132.43, 132.59, 19860, 0, 0, 0, 0, 0, 0.0292155308315216, 0.18553347770998, -0.156317946878459, 133.010363636364, 133.617941176471, 133.617941176471, 133.617941176471
1/26/2017, 132.57, 132.89, 132.24, 132.82, 20256, 0, 0, 0, 0, 0, -0.0378201883895599, 0.140862744490072, -0.178682932879632, 132.767454545455, 133.416666666667, 133.416666666667, 133.416666666667
1/27/2017, 133, 133.17, 132.88, 133.11, 15510, 0, 0, 0, 0, 0, -0.066776148595352, 0.0993349658729874, -0.166111114468339, 132.732909090909, 133.312456140351, 133.312456140351, 133.312456140351
1/30/2017, 133.03, 133.34, 132.96, 132.96, 25266, 0, 0, 0, 0, 0, -0.100667272419344, 0.0593345182145212, -0.160001790633865, 132.649272727273, 133.198263157895, 133.198263157895, 133.198263157895
1/31/2017, 133.1, 133.75, 132.99, 133.54, 25067, 0, 0, 0, 0, 0, -0.0798051355586722, 0.0315065874598825, -0.111311723018555, 133.001636363636, 133.211857142857, 133.211857142857, 133.211857142857
2/1/2017, 132.81, 133.25, 132.55, 133.14, 32912, 0, 0, 0, 0, 0, -0.0944595282113596, 0.0063133643256341, -0.100772892536994, 133.063636363636, 133.153463203463, 133.153463203463, 133.153463203463
2/2/2017, 133.57, 133.73, 133.04, 133.04, 42419, 0.597867182802163, 0, 0, 0, 0, -0.11284163609352, -0.0175176357581968, -0.0953240003353237, 133.018909090909, 133.087944664032, 133.087944664032, 133.087944664032
2/3/2017, 133.45, 133.66, 132.8, 133.06, 27441, 0.600204700886816, 0, 0, 0, 0, -0.124362186302136, -0.0388865458669847, -0.0854756404351514, 132.985818181818, 133.036195652174, 133.036195652174, 133.036195652174
2/6/2017, 133.68, 134.02, 133.45, 133.9, 14145, 0.602465090552649, 0, 0, 0, 0, -0.0649624785020251, -0.0441017323939927, -0.0208607461080323, 133.413818181818, 133.124233333333, 133.124233333333, 133.124233333333
2/7/2017, 133.85, 134.42, 133.6, 134.19, 17778, 0.601658632116773, 0, 0, 0, 0, 0.00544997038412021, -0.0341913918383702, 0.0396413622224904, 133.822727272727, 133.245107692308, 133.245107692308, 133.245107692308
2/8/2017, 134.69, 135.15, 134.61, 135.01, 205077, 0.603657086523682, 0.660672035345095, 0, 0, 0, 0.125967416430115, -0.00215963018467321, 0.128127046614788, 134.306909090909, 133.470256410256, 133.470256410256, 133.470256410256
2/9/2017, 134.68, 134.68, 134.05, 134.15, 263521, 0.612931465441551, 0.259662225719596, 0, 0, 0, 0.1503504021764, 0.0283423762875415, 0.122008025888859, 134.408, 133.547328042328, 133.547328042328, 133.547328042328
2/10/2017, 133.61, 134.11, 133.61, 134.04, 51814, 0.602905985411331, -0.149655983227109, 0, 0, 0, 0.158965557365917, 0.0544670125032166, 0.104498544862701, 134.456545454545, 133.600541871921, 133.600541871921, 133.600541871921
2/13/2017, 133.8, 133.8, 133.52, 133.7, 18660, 0.593663742485475, -0.000434515648497831, 0, 0, 0, 0.136781242401952, 0.0709298584829637, 0.0658513839189882, 134.306909090909, 133.60324137931, 133.60324137931, 133.60324137931
2/14/2017, 133.72, 133.72, 132.79, 133.14, 44459, 0.601278355503925, -0.445438601950709, 0, 0, 0, 0.0731692435851414, 0.0713777355033992, 0.00179150808174219, 134.039454545454, 133.534752688172, 133.534752688172, 133.534752688172
2/15/2017, 132.68, 132.94, 132.66, 132.87, 23090, 0.590437948665635, -0.542758304810966, 0, 0, 0, 0.000958483901484897, 0.0572938851830164, -0.0563354012815315, 133.620545454545, 133.382021505376, 133.440685483871, 133.440685483871
2/16/2017, 133.14, 133.61, 133.11, 133.4, 32044, 0.586423656126258, -0.384329796509582, 0, 0, 0, -0.013348618231305, 0.0431653845001521, -0.0565140027314571, 133.379454545454, 133.31735483871, 133.42, 133.42
2/17/2017, 134, 134.06, 133.76, 133.86, 17984, 0.57984065397341, -0.244743934331035, 0, 0, 0, 0.0122893914166013, 0.036990185883442, -0.0247007944668406, 133.281636363636, 133.384989247312, 133.454973262032, 133.454973262032
2/21/2017, 133.48, 134.09, 133.48, 133.85, 7089, 0.573676476980476, -0.113108453561361, 0, 0, 0, 0.0314383802698899, 0.0358798247607315, -0.00444144449084166, 133.304727272727, 133.404150537634, 133.48556302521, 133.48556302521
2/22/2017, 134.28, 134.28, 133.56, 133.94, 20393, 0.571504155753657, -0.396385689637996, 0, 0, 0, 0.0532623643541399, 0.0393563326794132, 0.0139060316747267, 133.419636363636, 133.477956989247, 133.523238095238, 133.523238095238
2/23/2017, 134.17, 134.41, 134.17, 134.37, 56799, 0.558680533531016, 0.210852585459215, 0, 0, 0, 0.104055943173961, 0.0522962547783228, 0.0517596883956382, 133.860727272727, 133.609225806451, 133.603363363363, 133.603363363363
2/24/2017, 134.9, 135.3, 134.85, 135.2, 21830, 0.56188171690854, 0.756686448894565, 0, 0, 0, 0.208876485631919, 0.083612300949042, 0.125264184682877, 134.451454545454, 133.853935483871, 133.762446657184, 133.762446657184
2/27/2017, 135.13, 135.13, 134.62, 134.72, 47829, 0.557215615496829, 0.575617313369218, 0, 0, 0, 0.250329885157328, 0.116955817790699, 0.133374067366629, 134.79709090909, 134.038623655914, 133.858785425101, 133.858785425101
2/28/2017, 134.84, 135.07, 134.72, 134.8, 18134, 0.542022873395742, 0.308325995663056, 0, 0, 0, 0.286336623985989, 0.150831979029757, 0.135504644956232, 135.065272727272, 134.206623655914, 133.954615384615, 133.954615384615
3/1/2017, 133.29, 133.47, 132.84, 133.3, 60314, 0.594234427359781, -0.0323281429183347, 0, 0, 0, 0.191625816812007, 0.158990746586207, 0.0326350702257997, 134.643272727272, 134.236430107527, 133.897731707317, 133.897731707317
3/2/2017, 132.94, 133.16, 132.69, 132.96, 38149, 0.588905510745382, 0.148004365102133, 0, 0, 0, 0.0881159158431046, 0.144815780437587, -0.0566998645944819, 134.04109090909, 134.156322580645, 133.813519163763, 133.813519163763
3/3/2017, 132.96, 133.07, 132.4, 133.02, 89354, 0.584392067909116, 0.084772113156149, 0, 0, 0, 0.0108005698891986, 0.118012738327909, -0.10721216843871, 133.560727272727, 134.052365591398, 133.74161683278, 133.74161683278
3/6/2017, 133.08, 133.08, 132.66, 132.9, 18130, 0.571475103307804, -0.0687027614367059, 0, 0, 0, -0.0594698643469371, 0.0825162177929397, -0.141986082139877, 133.151636363636, 133.931720430107, 133.664630021142, 133.664630021142
3/7/2017, 132.69, 132.79, 132.57, 132.69, 23009, 0.556195562349287, -0.0911754427856916, 0, 0, 0, -0.130599465365577, 0.0398930811612363, -0.170492546526814, 132.720363636363, 133.840086021505, 133.575181818182, 133.575181818182
3/8/2017, 131.79, 132.2, 131.72, 131.99, 21655, 0.567933250319876, -0.56855885784919, 0, 0, 0, -0.240679928096853, -0.0162215206903815, -0.224458407406471, 132.128545454545, 133.625806451613, 133.432376811594, 133.432376811594
3/9/2017, 131.84, 131.86, 131.38, 131.39, 25125, 0.565213747044939, -0.637502531747987, 0, 0, 0, -0.372045761540448, -0.0873863688603949, -0.284659392680054, 131.521818181817, 133.28929032258, 133.249750231267, 133.249750231267
3/10/2017, 131.66, 131.7, 131.37, 131.69, 14366, 0.54825926427992, -0.484612867287157, 0, 0, 0, -0.446796249149656, -0.159268344918247, -0.287527904231409, 131.347272727272, 133.013913978494, 133.105265957447, 133.105265957447
3/13/2017, 131.45, 131.49, 131.16, 131.25, 16661, 0.542782852475212, -0.648102131307027, 0, 0, 0, -0.535369465947184, -0.234488569124035, -0.30088089682315, 131.116181818181, 132.709333333333, 132.935705782313, 132.935705782313
3/14/2017, 131.28, 131.59, 131.23, 131.42, 31346, 0.528673237848144, -0.93916811542866, 0, 0, 0, -0.585102106276338, -0.304611276554495, -0.280490829721843, 131.14909090909, 132.428322580645, 132.791657142857, 132.791657142857
3/15/2017, 131.67, 134.69, 131.65, 132.65, 43141, 0.620839239141372, -0.516192080259277, 0, 0, 0, -0.519278937231917, -0.34754480868998, -0.171734128541937, 131.491272727272, 132.351978494623, 132.753223529412, 132.753223529412
3/16/2017, 132.33, 132.5, 132.2, 132.23, 34432, 0.608686446483384, -0.980875017659304, -0.197831831011548, 0, 0, -0.495294643111862, -0.377094775574356, -0.118199867537506, 131.655818181817, 132.201419354838, 132.685648567119, 132.685648567119
3/17/2017, 132.34, 132.86, 132.34, 132.81, 10643, 0.599444909100016, -0.47260265073841, -0.125073149109034, 0, 0, -0.424591339819926, -0.38659408842347, -0.0379972513964562, 132.072545454544, 132.123655913978, 132.66614658926, 132.66614658926
3/20/2017, 132.8, 133.23, 132.8, 133.23, 55347, 0.583814940018722, -0.277194558897762, -0.301156993732731, 0, 0, -0.330854092627447, -0.375446089264266, 0.0445919966368182, 132.621818181817, 132.102, 132.678993710692, 132.678993710692
3/21/2017, 133.15, 133.86, 133.04, 133.83, 135649, 0.582773527876857, 0.0560896850813481, 0.0399843045546135, 0, 0, -0.205779564569212, -0.341512784325255, 0.135733219756043, 133.318363636363, 132.211376344086, 132.734518518518, 132.734518518518
3/22/2017, 134.13, 134.54, 134.11, 134.23, 62856, 0.578432184861593, 0.396102675825781, -0.0255061015501307, 0, 0, -0.0735328025341744, -0.287916787967039, 0.214383985432865, 133.950909090908, 132.39129032258, 132.815136363636, 132.815136363636
3/23/2017, 134.25, 134.25, 133.86, 134.09, 45540, 0.564626777278492, 0.444519429019289, -0.0607505474333774, 0, 0, 0.0197492224509119, -0.226383585883449, 0.246132808334361, 134.292909090908, 132.607849462365, 132.881296992481, 132.881296992481
3/24/2017, 134.1, 134.45, 134.1, 134.28, 68025, 0.549041289373021, 0.32696655289847, -0.0430043136069358, 0, 0, 0.107765062852877, -0.159553856136184, 0.267318918989061, 134.613272727272, 132.79711827957, 132.956654567453, 132.956654567453
3/27/2017, 134.65, 135.06, 134.64, 134.66, 5746, 0.549079170653192, 0.298431813578041, 0.032363220008742, 0, 0, 0.20580864079912, -0.0864813567491229, 0.292289997548243, 134.835636363635, 133.026430107527, 133.053261250731, 133.053261250731
