Date,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_Volume,TLT_ATRPercentOfClose20,TLT_SQN25,TLT_SQN50,TLT_SQN100,TLT_SQN200,TLT_MACD,TLT_MACD_Avg,TLT_MACD_Diff,TLT_LinReg10,TLT_LinReg30,TLT_LinReg90,TLT_LinReg270
1/3/2017, 118.41, 119.99, 118.18, 119.64, 13217317, 0, 0, 0, 0, 0, 0, 0, 0, 119.64, 119.64, 119.64, 119.64
1/4/2017, 119.76, 120.24, 119.45, 120.1, 6699562, 0, 0, 0, 0, 0, 0.0366951566951599, 0.00733903133903198, 0.0293561253561279, 120.1, 120.1, 120.1, 120.1
1/5/2017, 120.45, 122.03, 120.17, 121.98, 13265820, 0, 0, 0, 0, 0, 0.214998254884293, 0.0488708760480841, 0.166127378836209, 121.743333333333, 121.743333333333, 121.743333333333, 121.743333333333
1/6/2017, 121.13, 121.54, 120.75, 120.86, 8369334, 0, 0, 0, 0, 0, 0.26289956252667, 0.0916766133438013, 0.171222949182868, 121.476, 121.476, 121.476, 121.476
1/9/2017, 121.88, 122, 121.46, 121.83, 8839108, 0, 0, 0, 0, 0, 0.374811988029663, 0.148303688280974, 0.226508299748689, 121.91, 121.91, 121.91, 121.91
1/10/2017, 121.55, 121.91, 121.28, 121.75, 8417941, 0, 0, 0, 0, 0, 0.451839535212585, 0.209010857667296, 0.242828677545289, 122.070952380952, 122.070952380952, 122.070952380952, 122.070952380952
1/11/2017, 121.94, 122.69, 121.41, 122.16, 9402523, 0, 0, 0, 0, 0, 0.539746137305059, 0.275157913594849, 0.26458822371021, 122.336071428571, 122.336071428571, 122.336071428571, 122.336071428571
1/12/2017, 122.8, 123.14, 121.83, 121.89, 9977612, 0, 0, 0, 0, 0, 0.580929416581995, 0.336312214192278, 0.244617202389717, 122.373333333333, 122.373333333333, 122.373333333333, 122.373333333333
1/13/2017, 121.33, 121.75, 120.62, 121.31, 9820003, 0, 0, 0, 0, 0, 0.560307434060135, 0.381111258165849, 0.179196175894286, 122.166666666667, 122.166666666667, 122.166666666667, 122.166666666667
1/17/2017, 122.81, 122.94, 121.99, 122.58, 7853301, 0, 0, 0, 0, 0, 0.639075881553723, 0.432704182843424, 0.206371698710299, 122.454545454545, 122.454545454545, 122.454545454545, 122.454545454545
1/18/2017, 121.77, 121.96, 120.91, 121.01, 9064689, 0, 0, 0, 0, 0, 0.568263971395652, 0.45981614055387, 0.108447830841782, 121.962363636364, 122.153181818182, 122.153181818182, 122.153181818182
1/19/2017, 120.49, 120.58, 119.55, 120.18, 11795591, 0, 0, 0, 0, 0, 0.44009778570036, 0.455872469583168, -0.015774683882808, 121.200727272727, 121.681282051282, 121.681282051282, 121.681282051282
1/20/2017, 119.84, 120.31, 119.29, 119.94, 16953217, 0, 0, 0, 0, 0, 0.315522024421128, 0.42780238055076, -0.112280356129632, 120.727818181818, 121.256593406593, 121.256593406593, 121.256593406593
1/23/2017, 120.34, 121.87, 120.02, 121.14, 13118414, 0, 0, 0, 0, 0, 0.3100507353913, 0.404252051518868, -0.0942013161275675, 120.556727272727, 121.237142857143, 121.237142857143, 121.237142857143
1/24/2017, 120.77, 121.13, 119.8, 120.31, 8394978, 0, 0, 0, 0, 0, 0.236019945007342, 0.370605630216563, -0.13458568520922, 120.277636363636, 121.021, 121.021, 121.021
1/25/2017, 119.28, 119.6, 118.56, 118.8, 11115069, 0, 0, 0, 0, 0, 0.0548730870711012, 0.30745912158747, -0.252586034516369, 119.543818181818, 120.504705882353, 120.504705882353, 120.504705882353
1/26/2017, 118.91, 119.26, 118.33, 119.2, 7827932, 0, 0, 0, 0, 0, -0.0557675917914224, 0.234813778911692, -0.290581370703114, 119.191090909091, 120.174901960784, 120.174901960784, 120.174901960784
1/27/2017, 119.4, 119.83, 119.25, 119.63, 7197762, 0, 0, 0, 0, 0, -0.107514361933966, 0.16634815074256, -0.273862512676526, 119.094363636364, 119.994912280702, 119.994912280702, 119.994912280702
1/30/2017, 119.44, 119.88, 119.2, 119.27, 6569509, 0, 0, 0, 0, 0, -0.175549417037843, 0.0979686371864798, -0.273518054224322, 118.880545454545, 119.777947368421, 119.777947368421, 119.777947368421
1/31/2017, 119.33, 120.4, 119.25, 120.1, 13298521, 0, 0, 0, 0, 0, -0.160641845771224, 0.0462465405949391, -0.206888386366163, 119.318727272727, 119.753, 119.753, 119.753
2/1/2017, 119.1, 119.53, 118.58, 119.1, 10975521, 0, 0, 0, 0, 0, -0.226903528160378, -0.0083834731561243, -0.218520055004253, 119.232727272727, 119.556493506494, 119.556493506494, 119.556493506494
2/2/2017, 119.93, 120.14, 119, 119.05, 6978567, 1.07811633767325, 0, 0, 0, 0, -0.280220760480546, -0.0627509306210086, -0.217469829859537, 119.067636363636, 119.383083003953, 119.383083003953, 119.383083003953
2/3/2017, 119.44, 119.87, 118.47, 119, 10275574, 1.0834643907563, 0, 0, 0, 0, -0.32278872585411, -0.114758489667629, -0.208030236186481, 118.898909090909, 119.228586956522, 119.228586956522, 119.228586956522
2/6/2017, 119.76, 120.13, 119.12, 119.72, 8433772, 1.0702944317992, 0, 0, 0, 0, -0.295025294441899, -0.150811850622483, -0.144213443819416, 119.270181818182, 119.210333333333, 119.210333333333, 119.210333333333
2/7/2017, 119.78, 121.01, 119.47, 120.6, 8418420, 1.07320785162728, 0, 0, 0, 0, -0.199711776447245, -0.160591835787435, -0.0391199406598095, 119.856909090909, 119.329076923077, 119.329076923077, 119.329076923077
2/8/2017, 121.42, 122.27, 121.41, 122.24, 15734201, 1.07417722153908, 0.57750918651961, 0, 0, 0, 0.0080661852459798, -0.126860231580752, 0.134926416826732, 120.692363636364, 119.672478632479, 119.672478632479, 119.672478632479
2/9/2017, 121.41, 121.59, 120.66, 120.83, 16890586, 1.09775761303394, 0.17066706469835, 0, 0, 0, 0.0582846317549581, -0.0898312589136103, 0.148115890668568, 120.933090909091, 119.776825396825, 119.776825396825, 119.776825396825
2/10/2017, 120.11, 120.95, 120.11, 120.76, 7978462, 1.07825397286971, -0.252561864043965, 0, 0, 0, 0.0913813105667742, -0.0535887450175334, 0.144970055584308, 121.146727272727, 119.860147783251, 119.860147783251, 119.860147783251
2/13/2017, 120.25, 120.41, 119.88, 120.38, 11536780, 1.06412570423292, -0.0921860138863702, 0, 0, 0, 0.0859569841593242, -0.0256795991821619, 0.111636583341486, 121.095454545455, 119.884827586207, 119.884827586207, 119.884827586207
2/14/2017, 120.24, 120.3, 118.83, 119.51, 13210451, 1.08312676480446, -0.519880942908419, 0, 0, 0, 0.0113258796046551, -0.0182785034247985, 0.0296043830294536, 120.849090909091, 119.797053763441, 119.797053763441, 119.797053763441
2/15/2017, 118.76, 119.22, 118.65, 118.96, 8481015, 1.06987437524119, -0.626786193645887, 0, 0, 0, -0.0911494972356763, -0.032852702186974, -0.0582967950487023, 120.244909090909, 119.545161290323, 119.65185483871, 119.65185483871
2/16/2017, 119.22, 120.21, 119.12, 119.61, 10005829, 1.06311046647235, -0.563646293558254, 0, 0, 0, -0.118545880831519, -0.049991337915883, -0.0685545429156359, 119.862909090909, 119.410795698925, 119.600227272727, 119.600227272727
2/17/2017, 120.61, 120.7, 120.13, 120.32, 7886448, 1.04929114652609, -0.333725108869042, 0, 0, 0, -0.0820211570866007, -0.0563973017500266, -0.0256238553365742, 119.685636363636, 119.495010752688, 119.636862745098, 119.636862745098
2/21/2017, 119.68, 120.61, 119.6, 120.11, 8703755, 1.04061423039313, -0.253458573678184, 0, 0, 0, -0.0692223432455847, -0.0589623100491382, -0.0102600331964465, 119.507818181818, 119.488623655914, 119.64687394958, 119.64687394958
2/22/2017, 120.8, 120.82, 119.59, 120.31, 8101522, 1.03805807041719, -0.517192896710972, 0, 0, 0, -0.0424515079770345, -0.0556601496347175, 0.013208641657683, 119.553818181818, 119.57711827957, 119.678428571429, 119.678428571429
2/23/2017, 120.57, 120.74, 120.33, 120.67, 5330784, 1.00103031515122, -0.0692231608834565, 0, 0, 0, 0.0077245197459348, -0.042983215758587, 0.0507077355045218, 120.068, 119.71576344086, 119.745945945946, 119.745945945946
2/24/2017, 121.35, 122.14, 121.26, 122.01, 11335989, 1.00077544236401, 0.463539712648322, 0, 0, 0, 0.153842780557426, -0.00361801649538444, 0.15746079705281, 120.848727272727, 120.058731182796, 119.946913229018, 119.946913229018
