Date,UNG_Open,UNG_High,UNG_Low,UNG_Close,UNG_Volume,UNG_ATRPercentOfClose20,UNG_SQN25,UNG_SQN50,UNG_SQN100,UNG_SQN200,UNG_MACD,UNG_MACD_Avg,UNG_MACD_Diff,UNG_LinReg10,UNG_LinReg30,UNG_LinReg90,UNG_LinReg270
1/3/2017, 34.32, 34.52, 32.64, 33.36, 25786301, 0, 0, 0, 0, 0, 0, 0, 0, 33.36, 33.36, 33.36, 33.36
1/4/2017, 32.78, 33.04, 32.4, 32.56, 11086331, 0, 0, 0, 0, 0, -0.063817663817666, -0.0127635327635332, -0.0510541310541328, 32.56, 32.56, 32.56, 32.56
1/5/2017, 32.52, 33.4, 31.68, 33.04, 24121067, 0, 0, 0, 0, 0, -0.0747993928620687, -0.0251707047832403, -0.0496286880788284, 32.8266666666667, 32.8266666666667, 32.8266666666667, 32.8266666666667
1/6/2017, 33.2, 33.32, 32.6, 32.68, 10345090, 0, 0, 0, 0, 0, -0.11126884561353, -0.0423903329492983, -0.068878512664232, 32.676, 32.676, 32.676, 32.676
1/9/2017, 31.48, 31.48, 30.92, 31.16, 15313421, 0, 0, 0, 0, 0, -0.259827318901849, -0.0858777301398083, -0.17394958876204, 31.704, 31.704, 31.704, 31.704
1/10/2017, 32.32, 33.2, 32.24, 32.56, 18194544, 0, 0, 0, 0, 0, -0.261577378385262, -0.121017659788899, -0.140559718596363, 31.9485714285714, 31.9485714285714, 31.9485714285714, 31.9485714285714
1/11/2017, 33.16, 33.16, 32.12, 32.76, 9527620, 0, 0, 0, 0, 0, -0.244013152870728, -0.145616758405265, -0.0983963944654634, 32.1942857142857, 32.1942857142857, 32.1942857142857, 32.1942857142857
1/12/2017, 33.6, 34.44, 33.4, 33.6, 15529851, 0, 0, 0, 0, 0, -0.16046268384514, -0.14858594349324, -0.0118767403518997, 32.7033333333333, 32.7033333333333, 32.7033333333333, 32.7033333333333
1/13/2017, 34.04, 34.24, 33.52, 34.04, 8918922, 0, 0, 0, 0, 0, -0.0580745649921042, -0.130483667793013, 0.0724091028009085, 33.2062222222222, 33.2062222222222, 33.2062222222222, 33.2062222222222
1/17/2017, 34, 34.2, 33.52, 33.8, 6266983, 0, 0, 0, 0, 0, 0.00366056590405606, -0.103654821053599, 0.107315386957655, 33.4676363636364, 33.4676363636364, 33.4676363636364, 33.4676363636364
1/18/2017, 33.12, 33.68, 32.8, 33.16, 9260420, 0, 0, 0, 0, 0, 0.000932699046018115, -0.0827373170336756, 0.0836700160796937, 33.6189090909091, 33.4472727272727, 33.4472727272727, 33.4472727272727
1/19/2017, 32.76, 33.96, 32.54, 33.12, 9075960, 0, 0, 0, 0, 0, -0.00440603081764124, -0.0670710597904687, 0.0626650289728275, 33.6072727272727, 33.4174358974359, 33.4174358974359, 33.4174358974359
1/20/2017, 33.08, 33.44, 32.04, 32.2, 12353546, 0, 0, 0, 0, 0, -0.0819288985932403, -0.070042627551023, -0.0118862710422173, 33.3432727272727, 33.1397802197802, 33.1397802197802, 33.1397802197802
1/23/2017, 32.12, 32.92, 32.06, 32.76, 11866838, 0, 0, 0, 0, 0, -0.0970601608266222, -0.0754461342061428, -0.0216140266204793, 33.2465454545454, 33.0685714285714, 33.0685714285714, 33.0685714285714
1/24/2017, 33.4, 33.44, 32.8, 33.12, 6878071, 0, 0, 0, 0, 0, -0.0790910909430735, -0.076175125553529, -0.00291596538954456, 32.9658181818182, 33.099, 33.099, 33.099
1/25/2017, 33.32, 33.68, 33.04, 33.56, 6112685, 0, 0, 0, 0, 0, -0.0290117217642987, -0.0667424447956829, 0.0377307230313843, 33.0101818181818, 33.2229411764706, 33.2229411764706, 33.2229411764706
1/26/2017, 34.56, 35, 33.7, 33.88, 14034684, 0, 0, 0, 0, 0, 0.0360819346779238, -0.0461775689009616, 0.0822595035788853, 33.1505454545455, 33.3913725490196, 33.3913725490196, 33.3913725490196
1/27/2017, 33.16, 34.16, 32.96, 33.76, 8902581, 0, 0, 0, 0, 0, 0.0770973984468668, -0.0215225754313959, 0.0986199738782627, 33.3563636363637, 33.5036257309941, 33.5036257309941, 33.5036257309941
1/30/2017, 32.38, 32.72, 32.32, 32.4, 11641645, 0, 0, 0, 0, 0, -0.000136610263467674, -0.0172453823978103, 0.0171087721343426, 33.1716363636364, 33.3305263157895, 33.3305263157895, 33.3305263157895
1/31/2017, 31.28, 31.64, 31.18, 31.44, 10374330, 0, 0, 0, 0, 0, -0.137227225517854, -0.0412417510218191, -0.0959854744960353, 32.6967272727273, 33.0068571428572, 33.0068571428572, 33.0068571428572
2/1/2017, 31.6, 31.88, 31.52, 31.6, 8018141, 0, 0, 0, 0, 0, -0.230307026922084, -0.0790548062018721, -0.151252220720212, 32.2778181818182, 32.7622510822511, 32.7622510822511, 32.7622510822511
2/2/2017, 31.4, 32.12, 31.24, 31.8, 7800583, 3.68069968553459, 0, 0, 0, 0, -0.28465379979523, -0.120174604920544, -0.164479194874686, 32.0050909090909, 32.5886166007905, 32.5886166007905, 32.5886166007905
2/3/2017, 30.64, 31, 30.5, 30.68, 9427855, 3.83617788461538, 0, 0, 0, 0, -0.413333991649743, -0.178806482266384, -0.23452750938336, 31.2334545454546, 32.2578260869565, 32.2578260869565, 32.2578260869565
2/6/2017, 30.32, 30.72, 30.28, 30.52, 8619421, 3.73555834288991, 0, 0, 0, 0, -0.522204979665108, -0.247486181746129, -0.27471879791898, 30.6014545454546, 31.9485333333333, 31.9485333333333, 31.9485333333333
2/7/2017, 31.44, 31.5, 31.2, 31.4, 9784101, 3.60537511445063, 0, 0, 0, 0, -0.531352278199478, -0.304259401036798, -0.227092877162679, 30.4676363636364, 31.8141538461539, 31.8141538461539, 31.8141538461539
2/8/2017, 31.08, 31.64, 31.06, 31.4, 8899744, 3.51746304662619, -0.487300207434947, 0, 0, 0, -0.53246366846772, -0.349900254522983, -0.182563413944737, 30.5156363636364, 31.6981196581197, 31.6981196581197, 31.6981196581197
2/9/2017, 31.8, 31.84, 31.12, 31.2, 9421229, 3.47839495771985, -0.335526995831237, 0, 0, 0, -0.543220869749476, -0.388564377568281, -0.154656492181194, 30.6763636363637, 31.5695238095238, 31.5695238095238, 31.5695238095238
2/10/2017, 30.28, 30.6, 30.24, 30.4, 8173831, 3.54932982061896, -0.697909909485864, 0, 0, 0, -0.609275989047152, -0.432706699864056, -0.176569289183096, 30.6829090909092, 31.3490640394089, 31.3490640394089, 31.3490640394089
2/13/2017, 29.78, 29.99, 29.45, 29.48, 12533461, 3.63821727338791, -0.850569409690559, 0, 0, 0, -0.727475572667306, -0.491660474424706, -0.2358150982426, 30.2829090909092, 31.0347586206897, 31.0347586206897, 31.0347586206897
2/14/2017, 29.2, 29.6, 29, 29.36, 11782302, 3.57261283918603, -0.51552243223238, 0, 0, 0, -0.821364413706828, -0.55760126228113, -0.263763151425698, 29.8087272727274, 30.7417634408602, 30.7417634408602, 30.7417634408602
2/15/2017, 29.8, 29.84, 29.32, 29.48, 13327002, 3.46836218828279, -1.01594689907289, 0, 0, 0, -0.875991119208372, -0.621279233666579, -0.254711885541793, 29.5214545454546, 30.4688172043011, 30.4967741935484, 30.4967741935484
2/16/2017, 29.36, 29.44, 28.6, 28.68, 14308254, 3.54027027353723, -1.34200457408147, 0, 0, 0, -0.972624679140257, -0.691548322761314, -0.281076356378942, 29.1134545454546, 30.066064516129, 30.1836363636364, 30.1836363636364
2/17/2017, 28.8, 28.92, 28.56, 28.64, 5655516, 3.430803207849, -1.71859210968513, 0, 0, 0, -1.0404415744813, -0.761326973105312, -0.279114601375991, 28.6378181818183, 29.7152688172043, 29.8994652406417, 29.8994652406417
2/21/2017, 27.04, 27.08, 26, 26.2, 38796803, 4.06661426256319, -2.17077435986425, 0, 0, 0, -1.27636146029572, -0.864333870543394, -0.412027589752327, 27.3985454545456, 29.0592688172043, 29.3704201680672, 29.3704201680672
2/22/2017, 26.12, 26.68, 25.96, 26.28, 19255952, 3.98850947470312, -2.07205865802271, 0, 0, 0, -1.44027178154296, -0.979521452743308, -0.460750328799657, 26.5985454545456, 28.3538924731183, 28.9030476190476, 28.9030476190476
2/23/2017, 26.88, 27.12, 26.36, 26.6, 26776065, 3.90139577238489, -1.78416177725078, 0, 0, 0, -1.52675112973904, -1.08896738814245, -0.437783741596583, 26.1883636363637, 27.813935483871, 28.5156756756756, 28.5156756756756
2/24/2017, 26.72, 27.08, 26.44, 27.04, 18008261, 3.76435914083455, -1.6034424874386, 0, 0, 0, -1.54200701644833, -1.17957531380363, -0.362431702644701, 26.1520000000001, 27.3815913978495, 28.211493598862, 28.211493598862
2/27/2017, 26, 26.16, 25.92, 26.12, 13995367, 3.91649531430926, -1.63901663162142, 0, 0, 0, -1.60977721809865, -1.26561569466263, -0.344161523436019, 25.8647272727274, 26.9254193548387, 27.8434008097166, 27.8434008097166
2/28/2017, 26.36, 27, 26.32, 26.76, 15894231, 3.796110415892, -1.55974951212585, 0, 0, 0, -1.59347435935632, -1.33118742760137, -0.262286931754953, 25.8480000000001, 26.6280430107527, 27.5726153846154, 27.5726153846154
3/1/2017, 26.96, 27.2, 26.8, 27.08, 16023724, 3.64493053887764, -1.55006881299147, 0, 0, 0, -1.53701514684474, -1.37235297145005, -0.164662175394698, 26.0661818181819, 26.4022365591398, 27.357756097561, 27.357756097561
3/2/2017, 26.96, 27.28, 26.48, 27.2, 14961400, 3.59446628835169, -1.63711862618613, 0, 0, 0, -1.46569222938588, -1.39102082303721, -0.0746714063486635, 26.474181818182, 26.1923440860215, 27.1740766550523, 27.1740766550523
3/3/2017, 27.08, 27.48, 26.9, 27.36, 13172783, 3.50076786882338, -1.67320996381304, 0, 0, 0, -1.38034587263735, -1.38888583295724, 0.00853996031988813, 26.9018181818183, 26.0385376344086, 27.022015503876, 27.022015503876
3/6/2017, 28.24, 28.6, 27.64, 27.68, 20071548, 3.51127017508878, -1.53042475026175, 0, 0, 0, -1.27222156609492, -1.36555297958478, 0.0933314134898593, 27.5040000000001, 25.9011612903225, 26.9127272727273, 26.9127272727273
3/7/2017, 27.56, 27.74, 27.32, 27.4, 17226151, 3.44643651547936, -1.33580641892251, 0, 0, 0, -1.19534672118452, -1.33151172790473, 0.136165006720204, 27.5738181818183, 25.794752688172, 26.7892121212121, 26.7892121212121
