Date,USO_Open,USO_High,USO_Low,USO_Close,USO_Volume,USO_ATRPercentOfClose20,USO_SQN25,USO_SQN50,USO_SQN100,USO_SQN200,USO_MACD,USO_MACD_Avg,USO_MACD_Diff,USO_LinReg10,USO_LinReg30,USO_LinReg90,USO_LinReg270
1/3/2017, 11.98, 12, 11.36, 11.44, 36183524, 0, 0, 0, 0, 0, 0, 0, 0, 11.44, 11.44, 11.44, 11.44
1/4/2017, 11.42, 11.63, 11.36, 11.58, 18067816, 0, 0, 0, 0, 0, 0.0111680911680931, 0.00223361823361863, 0.00893447293447451, 11.58, 11.58, 11.58, 11.58
1/5/2017, 11.69, 11.79, 11.51, 11.7, 21346675, 0, 0, 0, 0, 0, 0.0293633980243673, 0.00765957419176836, 0.0217038238325989, 11.7033333333333, 11.7033333333333, 11.7033333333333, 11.7033333333333
1/6/2017, 11.76, 11.81, 11.62, 11.68, 15279643, 0, 0, 0, 0, 0, 0.0416889131052187, 0.0144654419744584, 0.0272234711307603, 11.726, 11.726, 11.726, 11.726
1/9/2017, 11.52, 11.53, 11.3, 11.31, 20807619, 0, 0, 0, 0, 0, 0.0213548988454253, 0.0158433333486518, 0.00551156549677349, 11.51, 11.51, 11.51, 11.51
1/10/2017, 11.37, 11.37, 11.07, 11.07, 23861625, 0, 0, 0, 0, 0, -0.0139649687238776, 0.00988167293414592, -0.0238466416580236, 11.2719047619048, 11.2719047619048, 11.2719047619048, 11.2719047619048
1/11/2017, 11.21, 11.48, 11.06, 11.37, 32067042, 0, 0, 0, 0, 0, -0.0175464607656526, 0.00439604619418622, -0.0219425069598388, 11.2764285714286, 11.2764285714286, 11.2764285714286, 11.2764285714286
1/12/2017, 11.6, 11.63, 11.48, 11.54, 27338619, 0, 0, 0, 0, 0, -0.0065912598209934, 0.00219858499115029, -0.00878984481214369, 11.3525, 11.3525, 11.3525, 11.3525
1/13/2017, 11.45, 11.53, 11.37, 11.41, 15809646, 0, 0, 0, 0, 0, -0.0083033814760789, 9.81916977044555E-05, -0.00840157317378335, 11.3548888888889, 11.3548888888889, 11.3548888888889, 11.3548888888889
1/17/2017, 11.6, 11.62, 11.4, 11.43, 16989710, 0, 0, 0, 0, 0, -0.00795472030583255, -0.00151239070300295, -0.00644232960282961, 11.3643636363636, 11.3643636363636, 11.3643636363636, 11.3643636363636
1/18/2017, 11.19, 11.37, 11.08, 11.16, 30554401, 0, 0, 0, 0, 0, -0.0291293621775122, -0.00703578499790479, -0.0220935771796074, 11.2605454545455, 11.2859090909091, 11.2859090909091, 11.2859090909091
1/19/2017, 11.24, 11.29, 11.1, 11.17, 15742856, 0, 0, 0, 0, 0, -0.0445895019666924, -0.0145465283916623, -0.0300429735750301, 11.2034545454545, 11.2319230769231, 11.2319230769231, 11.2319230769231
1/20/2017, 11.45, 11.5, 11.37, 11.39, 26606904, 0, 0, 0, 0, 0, -0.0386441470782515, -0.0193660521289802, -0.0192780949492713, 11.2687272727273, 11.2525274725275, 11.2525274725275, 11.2525274725275
1/23/2017, 11.21, 11.38, 11.21, 11.32, 14650708, 0, 0, 0, 0, 0, -0.0391297619425437, -0.0233187940916929, -0.0158109678508508, 11.3227272727273, 11.2511428571429, 11.2511428571429, 11.2511428571429
1/24/2017, 11.37, 11.48, 11.36, 11.37, 15367191, 0, 0, 0, 0, 0, -0.0350757022271857, -0.0256701757187914, -0.00940552650839427, 11.3396363636364, 11.26275, 11.26275, 11.26275
1/25/2017, 11.3, 11.46, 11.27, 11.31, 19089760, 0, 0, 0, 0, 0, -0.0362860462994572, -0.0277933498349246, -0.00849269646453261, 11.2845454545455, 11.2588235294118, 11.2588235294118, 11.2588235294118
1/26/2017, 11.44, 11.58, 11.42, 11.53, 21535497, 0, 0, 0, 0, 0, -0.0192709478227542, -0.0260888694324905, 0.00681792160973633, 11.3523636363636, 11.3035294117647, 11.3035294117647, 11.3035294117647
1/27/2017, 11.4, 11.44, 11.27, 11.4, 19895301, 0, 0, 0, 0, 0, -0.0160907886421722, -0.0240892532744268, 0.00799846463225467, 11.4005454545455, 11.3138011695906, 11.3138011695906, 11.3138011695906
1/30/2017, 11.35, 11.35, 11.23, 11.28, 16441631, 0, 0, 0, 0, 0, -0.0229884896985002, -0.0238691005592415, 0.000880610860741315, 11.3889090909091, 11.2991578947368, 11.2991578947368, 11.2991578947368
1/31/2017, 11.4, 11.48, 11.28, 11.32, 19186952, 0, 0, 0, 0, 0, -0.0249398111563259, -0.0240832426786584, -0.000856568477667529, 11.4021818181818, 11.2945714285714, 11.2945714285714, 11.2945714285714
