Date,VEA_Open,VEA_High,VEA_Low,VEA_Close,VEA_Volume,VEA_ATRPercentOfClose20,VEA_SQN25,VEA_SQN50,VEA_SQN100,VEA_SQN200,VEA_MACD,VEA_MACD_Avg,VEA_MACD_Diff,VEA_LinReg10,VEA_LinReg30,VEA_LinReg90,VEA_LinReg270
1/3/2017, 36.72, 36.78, 36.65, 36.77, 10866466, 0, 0, 0, 0, 0, 0, 0, 0, 36.77, 36.77, 36.77, 36.77
1/4/2017, 36.96, 37.23, 36.96, 37.22, 8637058, 0, 0, 0, 0, 0, 0.0358974358974393, 0.00717948717948786, 0.0287179487179515, 37.22, 37.22, 37.22, 37.22
1/5/2017, 37.32, 37.58, 37.29, 37.55, 8102230, 0, 0, 0, 0, 0, 0.0899379063481689, 0.0237311710132241, 0.0662067353349448, 37.57, 37.57, 37.57, 37.57
1/6/2017, 37.4, 37.45, 37.34, 37.4, 8368653, 0, 0, 0, 0, 0, 0.119286560902459, 0.0428422489910711, 0.0764443119113882, 37.568, 37.568, 37.568, 37.568
1/9/2017, 37.29, 37.36, 37.2, 37.31, 9042040, 0, 0, 0, 0, 0, 0.133741642836419, 0.0610221277601408, 0.0727195150762785, 37.502, 37.502, 37.502, 37.502
1/10/2017, 37.35, 37.47, 37.33, 37.35, 5932956, 0, 0, 0, 0, 0, 0.146733611384839, 0.0781644244850804, 0.0685691868997586, 37.482380952381, 37.482380952381, 37.482380952381, 37.482380952381
1/11/2017, 37.3, 37.61, 37.28, 37.61, 10396542, 0, 0, 0, 0, 0, 0.175981066955423, 0.0977277529791489, 0.0782533139762738, 37.5878571428572, 37.5878571428572, 37.5878571428572, 37.5878571428572
1/12/2017, 37.69, 37.69, 37.5, 37.64, 13565634, 0, 0, 0, 0, 0, 0.199283420271918, 0.118038886437703, 0.0812445338342153, 37.6625, 37.6625, 37.6625, 37.6625
1/13/2017, 37.68, 37.79, 37.62, 37.78, 5351424, 0, 0, 0, 0, 0, 0.22643730483302, 0.139718570116766, 0.0867187347162537, 37.7613333333333, 37.7613333333333, 37.7613333333333, 37.7613333333333
1/17/2017, 37.73, 37.74, 37.63, 37.68, 13265486, 0, 0, 0, 0, 0, 0.237154025730376, 0.159205661239488, 0.0779483644908881, 37.7918181818182, 37.7918181818182, 37.7918181818182, 37.7918181818182
1/18/2017, 37.58, 37.63, 37.4, 37.51, 6247673, 0, 0, 0, 0, 0, 0.229286453490637, 0.173221819689718, 0.0560646338009191, 37.6869090909091, 37.7568181818182, 37.7568181818182, 37.7568181818182
1/19/2017, 37.43, 37.5, 37.31, 37.44, 6868836, 0, 0, 0, 0, 0, 0.214925404545077, 0.18156253666079, 0.0333628678842876, 37.6074545454545, 37.7083333333333, 37.7083333333333, 37.7083333333333
1/20/2017, 37.55, 37.62, 37.49, 37.62, 6399463, 0, 0, 0, 0, 0, 0.215583552470413, 0.188366739822715, 0.0272168126476985, 37.6441818181818, 37.7196703296703, 37.7196703296703, 37.7196703296703
1/23/2017, 37.6, 37.72, 37.52, 37.7, 10408104, 0, 0, 0, 0, 0, 0.220024169192875, 0.194698225696747, 0.0253259434961285, 37.6747272727273, 37.7477142857143, 37.7477142857143, 37.7477142857143
1/24/2017, 37.64, 37.87, 37.64, 37.86, 11370936, 0, 0, 0, 0, 0, 0.233759419682642, 0.202510464493926, 0.0312489551887159, 37.7261818181818, 37.80725, 37.80725, 37.80725
1/25/2017, 38.03, 38.26, 38.03, 38.23, 5481858, 0, 0, 0, 0, 0, 0.271372400326385, 0.216282851660418, 0.0550895486659673, 37.8834545454545, 37.9379411764706, 37.9379411764706, 37.9379411764706
