Date,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,VIX_ATRPercentOfClose20,VIX_SQN25,VIX_SQN50,VIX_SQN100,VIX_SQN200,VIX_MACD,VIX_MACD_Avg,VIX_MACD_Diff,VIX_LinReg10,VIX_LinReg30,VIX_LinReg90,VIX_LinReg270
1/3/2017, 14.07, 14.07, 12.85, 12.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.85, 12.85, 12.85, 12.85
1/4/2017, 12.78, 12.8, 11.63, 11.85, 0, 0, 0, 0, 0, 0, -0.0797720797720789, -0.0159544159544158, -0.0638176638176631, 11.85, 11.85, 11.85, 11.85
1/5/2017, 11.96, 12.09, 11.4, 11.67, 0, 0, 0, 0, 0, 0, -0.155721463299813, -0.0439078254234951, -0.111813637876317, 11.5333333333333, 11.5333333333333, 11.5333333333333, 11.5333333333333
1/6/2017, 11.7, 11.74, 10.98, 11.32, 0, 0, 0, 0, 0, 0, -0.241371590413564, -0.083400578421509, -0.157971011992055, 11.207, 11.207, 11.207, 11.207
1/9/2017, 11.71, 12.08, 11.46, 11.56, 0, 0, 0, 0, 0, 0, -0.286580418318486, -0.124036546400904, -0.162543871917582, 11.228, 11.228, 11.228, 11.228
1/10/2017, 11.59, 11.79, 11.31, 11.49, 0, 0, 0, 0, 0, 0, -0.324318612052332, -0.16409295953119, -0.160225652521142, 11.2171428571429, 11.2171428571429, 11.2171428571429, 11.2171428571429
1/11/2017, 11.56, 12.23, 11.21, 11.26, 0, 0, 0, 0, 0, 0, -0.368537212703608, -0.204981810165674, -0.163555402537934, 11.1142857142857, 11.1142857142857, 11.1142857142857, 11.1142857142857
1/12/2017, 11.48, 12.6, 11.32, 11.54, 0, 0, 0, 0, 0, 0, -0.376645378881062, -0.239314523908751, -0.13733085497231, 11.175, 11.175, 11.175, 11.175
1/13/2017, 11.45, 11.62, 10.94, 11.23, 0, 0, 0, 0, 0, 0, -0.403435020428855, -0.272138623212772, -0.131296397216083, 11.1037777777778, 11.1037777777778, 11.1037777777778, 11.1037777777778
1/17/2017, 12.2, 12.75, 11.79, 11.87, 0, 0, 0, 0, 0, 0, -0.368772374685062, -0.29146537350723, -0.0773070011778317, 11.2805454545455, 11.2805454545455, 11.2805454545455, 11.2805454545455
1/18/2017, 11.79, 12.81, 11.69, 12.48, 0, 0, 0, 0, 0, 0, -0.288751528308184, -0.290922604467421, 0.00217107615923645, 11.7996363636364, 11.6040909090909, 11.6040909090909, 11.6040909090909
1/19/2017, 12.58, 13.28, 12.17, 12.78, 0, 0, 0, 0, 0, 0, -0.198834893359825, -0.272505062245902, 0.0736701688860766, 12.2425454545455, 11.9319230769231, 11.9319230769231, 11.9319230769231
1/20/2017, 12.58, 12.59, 11.53, 11.54, 0, 0, 0, 0, 0, 0, -0.225038841552879, -0.263011818107297, 0.0379729765544184, 12.1703636363636, 11.8383516483517, 11.8383516483517, 11.8383516483517
