Date,VNQI_Open,VNQI_High,VNQI_Low,VNQI_Close,VNQI_Volume,VNQI_ATRPercentOfClose20,VNQI_SQN25,VNQI_SQN50,VNQI_SQN100,VNQI_SQN200,VNQI_MACD,VNQI_MACD_Avg,VNQI_MACD_Diff,VNQI_LinReg10,VNQI_LinReg30,VNQI_LinReg90,VNQI_LinReg270
1/3/2017, 49.73, 49.86, 49.62, 49.86, 512706, 0, 0, 0, 0, 0, 0, 0, 0, 49.86, 49.86, 49.86, 49.86
1/4/2017, 50.16, 50.53, 50.16, 50.52, 468586, 0, 0, 0, 0, 0, 0.052649572649571, 0.0105299145299142, 0.0421196581196568, 50.52, 50.52, 50.52, 50.52
1/5/2017, 50.67, 51.16, 50.67, 51.12, 1449652, 0, 0, 0, 0, 0, 0.141162490564192, 0.0366564297367697, 0.104506060827422, 51.13, 51.13, 51.13, 51.13
1/6/2017, 51.12, 51.25, 51.02, 51.07, 2760414, 0, 0, 0, 0, 0, 0.204912924935321, 0.07030772877648, 0.134605196158841, 51.277, 51.277, 51.277, 51.277
1/9/2017, 50.94, 51.04, 50.9, 50.97, 334101, 0, 0, 0, 0, 0, 0.244547448446198, 0.105155672710424, 0.139391775735775, 51.262, 51.262, 51.262, 51.262
1/10/2017, 51.11, 51.21, 51.05, 51.08, 353081, 0, 0, 0, 0, 0, 0.281588201072147, 0.140442178382768, 0.141146022689378, 51.2985714285714, 51.2985714285714, 51.2985714285714, 51.2985714285714
1/11/2017, 50.87, 51.21, 50.68, 51.14, 547448, 0, 0, 0, 0, 0, 0.312186076194223, 0.174790957945059, 0.137395118249164, 51.3382142857143, 51.3382142857143, 51.3382142857143, 51.3382142857143
1/12/2017, 51.04, 51.04, 50.77, 50.85, 6141626, 0, 0, 0, 0, 0, 0.309467191162298, 0.201726204588507, 0.107740986573791, 51.235, 51.235, 51.235, 51.235
1/13/2017, 50.7, 50.94, 50.7, 50.89, 284764, 0, 0, 0, 0, 0, 0.307001202135432, 0.222781204097892, 0.0842199980375397, 51.1773333333333, 51.1773333333333, 51.1773333333333, 51.1773333333333
1/17/2017, 50.85, 50.85, 50.65, 50.84, 253329, 0, 0, 0, 0, 0, 0.297581966263834, 0.23774135653108, 0.059840609732754, 51.1170909090909, 51.1170909090909, 51.1170909090909, 51.1170909090909
1/18/2017, 50.78, 50.95, 50.7, 50.84, 416798, 0, 0, 0, 0, 0, 0.286810975580806, 0.247555280341026, 0.0392556952397808, 50.9243636363636, 51.0718181818182, 51.0718181818182, 51.0718181818182
1/19/2017, 50.51, 50.58, 50.29, 50.49, 262290, 0, 0, 0, 0, 0, 0.247183436150152, 0.247480911502851, -0.000297475352698806, 50.6892727272727, 50.9337179487179, 50.9337179487179, 50.9337179487179
1/20/2017, 50.42, 50.62, 50.42, 50.59, 311393, 0, 0, 0, 0, 0, 0.221296521369446, 0.24224403347617, -0.020947512106724, 50.6103636363636, 50.8561538461538, 50.8561538461538, 50.8561538461538
1/23/2017, 50.73, 51.04, 50.67, 51, 477814, 0, 0, 0, 0, 0, 0.231199405556993, 0.240035107892334, -0.00883570233534189, 50.6919999999999, 50.9014285714286, 50.9014285714286, 50.9014285714286
1/24/2017, 50.91, 51.19, 50.91, 51.13, 444378, 0, 0, 0, 0, 0, 0.24669369481439, 0.241366825276746, 0.00532686953764411, 50.8023636363636, 50.968, 50.968, 50.968
1/25/2017, 51.02, 51.25, 50.92, 51.21, 499880, 0, 0, 0, 0, 0, 0.262403537454055, 0.245574167712208, 0.0168293697418479, 50.9536363636363, 51.0388235294117, 51.0388235294117, 51.0388235294117
1/26/2017, 51.16, 51.19, 50.98, 51.03, 235578, 0, 0, 0, 0, 0, 0.257362490662302, 0.247931832302227, 0.00943065836007592, 51.0476363636363, 51.0566666666667, 51.0566666666667, 51.0566666666667
1/27/2017, 51.1, 51.1, 50.92, 50.94, 362788, 0, 0, 0, 0, 0, 0.243300559521614, 0.247005577746104, -0.00370501822448968, 51.0585454545454, 51.0522807017544, 51.0522807017544, 51.0522807017544
1/30/2017, 50.8, 50.86, 50.59, 50.84, 356612, 0, 0, 0, 0, 0, 0.221533513077809, 0.241911164812445, -0.0203776517346364, 51.0379999999999, 51.0286842105263, 51.0286842105263, 51.0286842105263
1/31/2017, 51.12, 51.27, 51.02, 51.23, 570838, 0, 0, 0, 0, 0, 0.233066071982776, 0.240142146246511, -0.00707607426373513, 51.144909090909, 51.081, 51.081, 51.081
2/1/2017, 51.34, 51.44, 51.23, 51.35, 303528, 0, 0, 0, 0, 0, 0.249018178566629, 0.241917352710535, 0.00710082585609451, 51.2719999999999, 51.145974025974, 51.145974025974, 51.145974025974
2/2/2017, 51.43, 51.46, 51.23, 51.35, 264911, 0.641144109055501, 0, 0, 0, 0, 0.258678453769747, 0.245269572922377, 0.0134088808473695, 51.3012727272726, 51.2007114624506, 51.2007114624506, 51.2007114624506
2/3/2017, 51.54, 51.67, 51.42, 51.62, 331740, 0.636896793878341, 0, 0, 0, 0, 0.284837604384506, 0.253183179214803, 0.0316544251697033, 51.396909090909, 51.2910869565217, 51.2910869565217, 51.2910869565217
2/6/2017, 51.46, 51.46, 51.3, 51.42, 310387, 0.638521623395565, 0, 0, 0, 0, 0.286132236867473, 0.259772990745337, 0.0263592461221362, 51.4492727272726, 51.3370666666667, 51.3370666666667, 51.3370666666667
2/7/2017, 51.48, 51.67, 51.46, 51.6, 228057, 0.628704317466085, 0, 0, 0, 0, 0.298244758193242, 0.267467344234918, 0.0307774139583238, 51.566909090909, 51.4035076923077, 51.4035076923077, 51.4035076923077
2/8/2017, 51.98, 52.11, 51.96, 52.08, 240449, 0.640727450886856, 1.74311888858719, 0, 0, 0, 0.342626422956243, 0.282499159979183, 0.0601272629770602, 51.8407272727271, 51.5305982905983, 51.5305982905983, 51.5305982905983
2/9/2017, 52.25, 52.4, 52.19, 52.36, 222349, 0.635993723454509, 1.59100478999772, 0, 0, 0, 0.395829990243996, 0.305165326032146, 0.0906646642118503, 52.1278181818181, 51.6805820105821, 51.6805820105821, 51.6805820105821
2/10/2017, 52.1, 52.46, 52.1, 52.42, 320362, 0.637840514919386, 1.26596330040121, 0, 0, 0, 0.437789138515093, 0.331690088528735, 0.106099049986358, 52.3450909090907, 51.8200492610838, 51.8200492610838, 51.8200492610838
2/13/2017, 52.3, 52.35, 52.18, 52.25, 229521, 0.630886503396564, 1.13316700929038, 0, 0, 0, 0.452112811507938, 0.355774633124576, 0.096338178383362, 52.4029090909089, 51.9203448275862, 51.9203448275862, 51.9203448275862
2/14/2017, 52.22, 52.4, 52.04, 52.3, 366477, 0.633186019356539, 1.28993344465782, 0, 0, 0, 0.462171383664639, 0.377053983232589, 0.0851174004320507, 52.4790909090907, 52.0149677419355, 52.0149677419355, 52.0149677419355
2/15/2017, 52.2, 52.61, 52.12, 52.58, 1757769, 0.644919120801248, 1.41925882766692, 0, 0, 0, 0.48712130334679, 0.399067447255429, 0.0880538560913608, 52.6176363636362, 52.0982150537635, 52.1329637096774, 52.1329637096774
