Date,XBI_Open,XBI_High,XBI_Low,XBI_Close,XBI_Volume,XBI_ATRPercentOfClose20,XBI_SQN25,XBI_SQN50,XBI_SQN100,XBI_SQN200,XBI_MACD,XBI_MACD_Avg,XBI_MACD_Diff,XBI_LinReg10,XBI_LinReg30,XBI_LinReg90,XBI_LinReg270
1/3/2017, 59.93, 60.34, 58.66, 59.59, 7084568, 0, 0, 0, 0, 0, 0, 0, 0, 59.59, 59.59, 59.59, 59.59
1/4/2017, 59.66, 62.51, 59.65, 62.34, 10308572, 0, 0, 0, 0, 0, 0.219373219373225, 0.0438746438746449, 0.17549857549858, 62.34, 62.34, 62.34, 62.34
1/5/2017, 62.55, 62.97, 61.65, 62.47, 4448506, 0, 0, 0, 0, 0, 0.39911721495767, 0.11492315809125, 0.28419405686642, 62.9066666666667, 62.9066666666667, 62.9066666666667, 62.9066666666667
1/6/2017, 62.69, 63.88, 62.69, 63.35, 7476416, 0, 0, 0, 0, 0, 0.605593368592693, 0.213057200191539, 0.392536168401155, 63.649, 63.649, 63.649, 63.649
1/9/2017, 65.13, 65.68, 64.11, 65.36, 8760027, 0, 0, 0, 0, 0, 0.920802966243009, 0.354606353401833, 0.566196612841177, 65.132, 65.132, 65.132, 65.132
1/10/2017, 65.81, 65.87, 63.96, 65.75, 7156458, 0, 0, 0, 0, 0, 1.1883796827355, 0.521361019268566, 0.667018663466935, 66.0533333333334, 66.0533333333334, 66.0533333333334, 66.0533333333334
1/11/2017, 65.49, 65.95, 62.77, 63.49, 15706574, 0, 0, 0, 0, 0, 1.20419187163719, 0.657927189742292, 0.546264681894901, 65.4867857142857, 65.4867857142857, 65.4867857142857, 65.4867857142857
1/12/2017, 62.64, 64.89, 62.51, 64.48, 6506671, 0, 0, 0, 0, 0, 1.28183171340761, 0.782708094475356, 0.499123618932257, 65.5133333333333, 65.5133333333333, 65.5133333333333, 65.5133333333333
1/13/2017, 64.36, 65.79, 64.36, 65, 6715501, 0, 0, 0, 0, 0, 1.36953436193534, 0.900073347967354, 0.46946101396799, 65.7033333333333, 65.7033333333333, 65.7033333333333, 65.7033333333333
1/17/2017, 64.48, 64.49, 63.16, 63.43, 5812392, 0, 0, 0, 0, 0, 1.2973978687655, 0.979538252126983, 0.317859616638518, 65.2725454545455, 65.2725454545455, 65.2725454545455, 65.2725454545455
1/18/2017, 63.67, 64.32, 63.43, 64.24, 3734284, 0, 0, 0, 0, 0, 1.29071089697984, 1.04177278109755, 0.248938115882285, 64.732, 65.2086363636364, 65.2086363636364, 65.2086363636364
1/19/2017, 64.13, 64.33, 63.28, 63.62, 2330529, 0, 0, 0, 0, 0, 1.22130417097135, 1.07767905907231, 0.143625111899037, 64.2736363636363, 64.9683333333333, 64.9683333333333, 64.9683333333333
1/20/2017, 63.7, 64.01, 62.98, 63.15, 4227975, 0, 0, 0, 0, 0, 1.1155148081901, 1.08524620889587, 0.0302685992942284, 63.6090909090909, 64.6501098901099, 64.6501098901099, 64.6501098901099
1/23/2017, 63.08, 63.43, 61.97, 62.36, 3978072, 0, 0, 0, 0, 0, 0.956899041815156, 1.05957677547973, -0.102677733664572, 62.8105454545454, 64.1962857142857, 64.1962857142857, 64.1962857142857
1/24/2017, 62.46, 62.69, 61.14, 62.44, 4865203, 0, 0, 0, 0, 0, 0.828104363979342, 1.01328229317965, -0.185177929200308, 62.4956363636364, 63.8561666666667, 63.8561666666667, 63.8561666666667
1/25/2017, 62.93, 63.18, 62.27, 62.78, 3874945, 0, 0, 0, 0, 0, 0.744882273207935, 0.959602289185308, -0.214720015977373, 62.5354545454546, 63.6606617647059, 63.6606617647059, 63.6606617647059
1/26/2017, 62.9, 63.52, 62.23, 62.63, 4307726, 0, 0, 0, 0, 0, 0.659225281598331, 0.899526887667912, -0.240301606069581, 62.2334545454546, 63.4692156862745, 63.4692156862745, 63.4692156862745
1/27/2017, 62.72, 63.46, 62.56, 63.42, 2816971, 0, 0, 0, 0, 0, 0.647622507185133, 0.849146011571357, -0.201523504386223, 62.4492727272728, 63.4737426900584, 63.4737426900584, 63.4737426900584
1/30/2017, 62.92, 63.05, 61.68, 62.32, 4074753, 0, 0, 0, 0, 0, 0.543402413189774, 0.78799729189504, -0.244594878705266, 62.4469090909091, 63.262894736842, 63.262894736842, 63.262894736842
1/31/2017, 61.79, 64.99, 61.44, 64.9, 11590739, 0, 0, 0, 0, 0, 0.661367839111477, 0.762671401338328, -0.10130356222685, 63.168, 63.5658571428571, 63.5658571428571, 63.5658571428571
2/1/2017, 65.18, 65.27, 64.34, 64.96, 5150199, 0, 0, 0, 0, 0, 0.751040262963386, 0.760345173663339, -0.00930491069995354, 63.9916363636364, 63.8314718614718, 63.8314718614718, 63.8314718614718
2/2/2017, 64.74, 65.33, 64.3, 65.11, 4447894, 2.55670595914606, 0, 0, 0, 0, 0.824703384067156, 0.773216815744103, 0.0514865683230534, 64.7038181818182, 64.0818972332015, 64.0818972332015, 64.0818972332015
2/3/2017, 65.49, 66.03, 64.71, 65.98, 5932952, 2.49687433692028, 0, 0, 0, 0, 0.942420035825762, 0.807057459760435, 0.135362576065327, 65.5412727272728, 64.4370652173913, 64.4370652173913, 64.4370652173913
2/6/2017, 65.87, 66.13, 65.34, 65.87, 2197090, 2.43595840765903, 0, 0, 0, 0, 1.01513342354744, 0.848672652517836, 0.166460771029604, 66.0283636363637, 64.7245, 64.7245, 64.7245
2/7/2017, 65.99, 66.13, 64.97, 65.32, 4370810, 2.42243954832938, 0, 0, 0, 0, 1.016659486024, 0.882270019219069, 0.134389466804934, 66.15, 64.8892, 64.8892, 64.8892
2/8/2017, 64.89, 66.15, 64.57, 65.89, 5193343, 2.40130617289469, 1.16882684163909, 0, 0, 0, 1.05173934139995, 0.916163883655246, 0.135575457744705, 66.3794545454546, 65.1140170940171, 65.1140170940171, 65.1140170940171
2/9/2017, 65.88, 67.19, 65.85, 67.07, 5173162, 2.34100135001386, 0.954264210885238, 0, 0, 0, 1.16136897918567, 0.965204902761332, 0.196164076424343, 66.8169090909091, 65.4748148148148, 65.4748148148148, 65.4748148148148
2/10/2017, 67.19, 67.38, 66.62, 66.75, 3014119, 2.29154176057166, 0.864739161334839, 0, 0, 0, 1.20849910589317, 1.0138637433877, 0.194635362505469, 67.0596363636364, 65.7473152709359, 65.7473152709359, 65.7473152709359
2/13/2017, 67.14, 67.51, 66.73, 66.98, 3346362, 2.22771561499329, 0.74007374879321, 0, 0, 0, 1.24999992760539, 1.06109098023124, 0.18890894737415, 66.9801818181818, 66.0165517241379, 66.0165517241379, 66.0165517241379
2/14/2017, 66.9, 68.08, 66.64, 67.99, 5346520, 2.19078941458505, 0.563594739987858, 0, 0, 0, 1.34883960356105, 1.1186407048972, 0.230198898663848, 67.5114545454546, 66.3818494623656, 66.3818494623656, 66.3818494623656
2/15/2017, 67.91, 69.21, 67.73, 69.11, 4628769, 2.15459678313928, 0.691674800098867, 0, 0, 0, 1.50025143397005, 1.19496285071177, 0.305288583258281, 68.2730909090909, 66.6778924731182, 66.8432056451613, 66.8432056451613
2/16/2017, 69.17, 69.85, 67.8, 68.69, 5559866, 2.20860350121733, 1.20473936751893, 0, 0, 0, 1.56827778048458, 1.26962583666633, 0.298651943818248, 68.6932727272727, 67.0425591397849, 67.2036931818182, 67.2036931818182
2/17/2017, 68.31, 69.51, 68.09, 69.45, 3790177, 2.17744457557505, 1.14920765083471, 0, 0, 0, 1.66432944478532, 1.34856655829013, 0.315762886495194, 69.3547272727273, 67.4713548387096, 67.61311942959, 67.61311942959
2/21/2017, 69.8, 69.92, 68.83, 69.01, 3554598, 2.16073539320393, 0.927344310821766, 0, 0, 0, 1.68551716530828, 1.41595667969376, 0.269560485614523, 69.6529090909091, 67.8579569892472, 67.9299831932773, 67.9299831932773
2/22/2017, 68.61, 69.11, 67.71, 67.79, 2553872, 2.19290060496759, 1.06052800900104, 0, 0, 0, 1.58558712109911, 1.44988276797483, 0.135704353124279, 69.2483636363636, 68.1872473118279, 68.0802380952381, 68.0802380952381
2/23/2017, 67.96, 67.96, 66.26, 67.14, 3894837, 2.23002525186498, 0.712398587928193, 0, 0, 0, 1.4373731306663, 1.44738084051312, -0.0100077098468228, 68.5985454545454, 68.4443870967742, 68.1447447447448, 68.1447447447448
2/24/2017, 66.43, 67.42, 66.3, 67.24, 4834592, 2.19865705888912, 0.898598760977807, 0, 0, 0, 1.3128479457897, 1.42047426156844, -0.107626315778741, 68.1510909090909, 68.5545806451613, 68.2115078236131, 68.2115078236131
2/27/2017, 67.27, 70.61, 67.13, 70.48, 7748442, 2.23958308183483, 1.46218584037301, 0, 0, 0, 1.45878578731612, 1.42813656671798, 0.0306492205981419, 68.7496363636364, 69.1176774193548, 68.5981376518219, 68.5981376518219
2/28/2017, 70.26, 71.34, 69.5, 70.21, 8570644, 2.26682131928975, 1.60477914781036, 0, 0, 0, 1.53496175104974, 1.44950160358433, 0.0854601474654082, 69.0974545454545, 69.6424731182795, 68.922358974359, 68.922358974359
3/1/2017, 71.2, 71.81, 70.34, 71.47, 6849011, 2.22744995922718, 1.80164443158017, 0, 0, 0, 1.67766415282337, 1.49513411343214, 0.182530039391233, 69.9063636363636, 70.1888602150537, 69.3383048780488, 69.3383048780488
3/2/2017, 71.15, 72.43, 70.5, 70.6, 5820970, 2.27883932233241, 1.53352641995303, 0, 0, 0, 1.70094763965088, 1.53629681867588, 0.164650820974994, 70.4489090909091, 70.6269892473118, 69.6357491289199, 69.6357491289199
3/3/2017, 70.62, 71.48, 70.56, 71.35, 3583155, 2.20661181988556, 1.70230367629373, 0, 0, 0, 1.75963472887869, 1.58096440071645, 0.178670328162248, 71.0852727272727, 71.0779139784946, 69.9758582502769, 69.9758582502769
3/6/2017, 71.02, 71.14, 70.09, 70.73, 2477675, 2.20372777720052, 1.41672483062988, 0, 0, 0, 1.73610313520956, 1.61199214761507, 0.124110987594492, 71.5143636363636, 71.3689677419355, 70.2311522198732, 70.2311522198732
3/7/2017, 69.81, 70.49, 69.19, 69.59, 3888318, 2.2384851616227, 1.43815439469539, 0, 0, 0, 1.60694187936954, 1.61098209396596, -0.00404021459642068, 71.3918181818181, 71.4138064516129, 70.3643333333333, 70.3643333333333
3/8/2017, 69.87, 71.52, 69.7, 70.61, 4427722, 2.23250776486981, 1.23396277401369, 0, 0, 0, 1.56880195665305, 1.60254606650338, -0.0337441098503337, 71.3459999999999, 71.546752688172, 70.5730241545894, 70.5730241545894
3/9/2017, 70.79, 71.56, 70.12, 70.96, 4146904, 2.21188704359617, 1.29185817726073, 0, 0, 0, 1.54896239376517, 1.59182933195574, -0.042866938190572, 71.1372727272726, 71.6940645161289, 70.793644773358, 70.793644773358
3/10/2017, 71.59, 71.59, 70.24, 71.5, 4174196, 2.1798283829777, 1.36537905175145, 0, 0, 0, 1.55884350667336, 1.58523216689926, -0.026388660225906, 70.9267272727272, 71.8471182795698, 71.0407446808511, 71.0407446808511
3/13/2017, 71.54, 71.76, 70.76, 71.63, 3128767, 2.13688179413318, 1.21285948827082, 0, 0, 0, 1.55919089135443, 1.5800239117903, -0.0208330204358627, 71.1767272727271, 72.0121075268816, 71.2787755102041, 71.2787755102041
3/14/2017, 71.34, 71.41, 70.45, 70.84, 3288754, 2.1359627437616, 1.0595666987357, 0, 0, 0, 1.47867455865322, 1.55975404116288, -0.0810794825096568, 71.0370909090908, 71.9505591397848, 71.4356897959184, 71.4356897959184
3/15/2017, 70.95, 72.58, 70.81, 72.32, 3775703, 2.11001134858502, 1.44858346291099, 0, 0, 0, 1.51680364774883, 1.55116396248007, -0.0343603147312415, 71.6263636363634, 72.1938279569891, 71.6948705882353, 71.6948705882353
3/16/2017, 72.24, 72.35, 71.19, 71.46, 3820104, 2.10979876424832, 1.13913728484005, 1.62585179001233, 0, 0, 1.46078736544197, 1.53308864307245, -0.0723012776304786, 71.6981818181816, 72.2841075268816, 71.8692760180996, 71.8692760180996
3/17/2017, 70.84, 71.59, 70.55, 71.02, 5318979, 2.08994520851205, 0.823659417994323, 1.25987833033944, 0, 0, 1.36515310021076, 1.49950153450011, -0.134348434289352, 71.7210909090907, 72.2866236559139, 71.9974600870827, 71.9974600870827
3/20/2017, 70.83, 71.36, 70.47, 71.23, 3434078, 2.04206813523936, 0.934656720062681, 1.26795244636567, 0, 0, 1.29142080579645, 1.45788538875938, -0.166464582962933, 71.7105454545452, 72.3356559139784, 72.130964360587, 72.130964360587
3/21/2017, 71.45, 71.53, 67.62, 67.76, 10267131, 2.32782891985603, 0.175475511271191, 0.625515374641038, 0, 0, 0.942127175633715, 1.35473374613425, -0.412606570500533, 70.2459999999998, 71.9032043010751, 72.0042154882155, 72.0042154882155
3/22/2017, 67.75, 68.69, 67.41, 68.42, 6780126, 2.28364518019544, 0.115860194776733, 0.454642895346548, 0, 0, 0.71037715569841, 1.22586242804708, -0.51548527234867, 69.3132727272724, 71.505634408602, 71.9303961038961, 71.9303961038961
3/23/2017, 68.46, 69.2, 67.93, 68.16, 5993061, 2.27090160016907, -0.118030245171684, 0.369973200591797, 0, 0, 0.499970420356533, 1.08068402650897, -0.580713606152438, 68.4801818181815, 71.093075268817, 71.8414285714286, 71.8414285714286
3/24/2017, 68.39, 69.05, 68.11, 68.72, 2658296, 2.20816968006617, 0.048168630319984, 0.775917495372402, 0, 0, 0.374096534600298, 0.939366528127236, -0.565269993526938, 68.1012727272724, 70.8155913978493, 71.7945977011494, 71.7945977011494
3/27/2017, 67.97, 70, 67.74, 69.75, 3880902, 2.22879067230738, 0.0930964615888348, 0.770938924262061, 0, 0, 0.353379427132012, 0.822169107928191, -0.468789680796179, 68.2558181818179, 70.6368172043009, 71.8183459964933, 71.8183459964933
3/28/2017, 69.79, 70.4, 68.97, 69.31, 3490895, 2.23395241557882, 0.0934129289708766, 0.639513361427729, 0, 0, 0.298021244048513, 0.717339535152256, -0.419318291103742, 68.2029090909087, 70.398193548387, 71.8102711864407, 71.8102711864407
3/29/2017, 69.58, 70.52, 69.42, 69.73, 3825265, 2.19623519041416, 0.375057337855012, 0.940147455934768, 0, 0, 0.284757468196219, 0.630823121761048, -0.34606565356483, 68.6745454545451, 70.2651612903225, 71.8286666666666, 71.8286666666666
3/30/2017, 69.74, 69.83, 68.64, 69.25, 4088313, 2.18680586045055, 0.408387159496759, 0.757732102199603, 0, 0, 0.23282992337522, 0.551224482083883, -0.318394558708662, 68.949636363636, 70.1346666666665, 71.8140613432047, 71.8140613432047
