Date,XLB_Open,XLB_High,XLB_Low,XLB_Close,XLB_Volume,XLB_ATRPercentOfClose20,XLB_SQN25,XLB_SQN50,XLB_SQN100,XLB_SQN200,XLB_MACD,XLB_MACD_Avg,XLB_MACD_Diff,XLB_LinReg10,XLB_LinReg30,XLB_LinReg90,XLB_LinReg270
1/3/2017, 49.83, 50.27, 49.63, 49.99, 7737466, 0, 0, 0, 0, 0, 0, 0, 0, 49.99, 49.99, 49.99, 49.99
1/4/2017, 50.19, 50.81, 50.19, 50.72, 4542345, 0, 0, 0, 0, 0, 0.0582336182336149, 0.011646723646723, 0.046586894586892, 50.72, 50.72, 50.72, 50.72
1/5/2017, 50.66, 50.85, 50.4, 50.57, 3903017, 0, 0, 0, 0, 0, 0.0912288049609913, 0.0275631399095767, 0.0636656650514146, 50.7166666666667, 50.7166666666667, 50.7166666666667, 50.7166666666667
1/6/2017, 50.57, 50.66, 50.33, 50.62, 2947082, 0, 0, 0, 0, 0, 0.120028694220785, 0.0460562507718184, 0.0739724434489669, 50.736, 50.736, 50.736, 50.736
1/9/2017, 50.58, 51.09, 50.53, 50.61, 7100596, 0, 0, 0, 0, 0, 0.140427140857703, 0.0649304287889953, 0.0754967120687078, 50.73, 50.73, 50.73, 50.73
1/10/2017, 50.64, 50.83, 50.42, 50.64, 2844161, 0, 0, 0, 0, 0, 0.157201682913893, 0.0833846796139749, 0.0738170032999182, 50.7371428571429, 50.7371428571429, 50.7371428571429, 50.7371428571429
1/11/2017, 50.55, 51.08, 50.55, 51.05, 6599903, 0, 0, 0, 0, 0, 0.201259210930409, 0.106959585877262, 0.0942996250531476, 50.9278571428572, 50.9278571428572, 50.9278571428572, 50.9278571428572
1/12/2017, 51.05, 51.05, 50.63, 50.95, 3156001, 0, 0, 0, 0, 0, 0.225506456972624, 0.130668960096334, 0.0948374968762901, 51.0008333333333, 51.0008333333333, 51.0008333333333, 51.0008333333333
1/13/2017, 50.96, 51.01, 50.74, 50.87, 2448449, 0, 0, 0, 0, 0, 0.23555194652738, 0.151645557382543, 0.0839063891448366, 51.0148888888889, 51.0148888888889, 51.0148888888889, 51.0148888888889
1/17/2017, 50.74, 50.86, 50.48, 50.64, 3681657, 0, 0, 0, 0, 0, 0.222390413312141, 0.165794528568463, 0.0565958847436779, 50.942, 50.942, 50.942, 50.942
