Date,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Volume,XLE_ATRPercentOfClose20,XLE_SQN25,XLE_SQN50,XLE_SQN100,XLE_SQN200,XLE_MACD,XLE_MACD_Avg,XLE_MACD_Diff,XLE_LinReg10,XLE_LinReg30,XLE_LinReg90,XLE_LinReg270
1/3/2017, 76.11, 76.81, 75.36, 76.17, 24623100, 0, 0, 0, 0, 0, 0, 0, 0, 76.17, 76.17, 76.17, 76.17
1/4/2017, 76.23, 76.37, 75.76, 76.01, 11185512, 0, 0, 0, 0, 0, -0.0127635327635431, -0.00255270655270863, -0.0102108262108345, 76.01, 76.01, 76.01, 76.01
1/5/2017, 76.06, 76.34, 75.46, 75.82, 11141175, 0, 0, 0, 0, 0, -0.0377746933872345, -0.0095971039196138, -0.0281775894676207, 75.825, 75.825, 75.825, 75.825
1/6/2017, 76.06, 76.14, 75.39, 75.89, 7410548, 0, 0, 0, 0, 0, -0.0513558056321699, -0.017948844262125, -0.0334069613700449, 75.818, 75.818, 75.818, 75.818
1/9/2017, 75.39, 75.46, 74.68, 74.79, 10960921, 0, 0, 0, 0, 0, -0.149160314591782, -0.0441911383280564, -0.104969176263726, 75.16, 75.16, 75.16, 75.16
1/10/2017, 74.73, 74.9, 74.05, 74.11, 9660843, 0, 0, 0, 0, 0, -0.278332960476476, -0.0910195027577403, -0.187313457718736, 74.4728571428572, 74.4728571428572, 74.4728571428572, 74.4728571428572
1/11/2017, 74.37, 75.05, 74.06, 74.91, 13127044, 0, 0, 0, 0, 0, -0.312547051007471, -0.135325012407686, -0.177222038599784, 74.4632142857143, 74.4632142857143, 74.4632142857143, 74.4632142857143
1/12/2017, 75.33, 75.41, 74.3, 74.6, 10895604, 0, 0, 0, 0, 0, -0.360520517366453, -0.18036411339944, -0.180156403967013, 74.3408333333333, 74.3408333333333, 74.3408333333333, 74.3408333333333
1/13/2017, 74.5, 74.66, 74.19, 74.38, 9906660, 0, 0, 0, 0, 0, -0.411547928133544, -0.226600876346261, -0.184947051787283, 74.1873333333333, 74.1873333333333, 74.1873333333333, 74.1873333333333
1/17/2017, 74.61, 75.02, 74.55, 74.84, 9782959, 0, 0, 0, 0, 0, -0.410141507188868, -0.263309002514782, -0.146832504674086, 74.2492727272727, 74.2492727272727, 74.2492727272727, 74.2492727272727
1/18/2017, 74.43, 74.87, 74.34, 74.67, 8725161, 0, 0, 0, 0, 0, -0.417926886708685, -0.294232579353563, -0.123694307355122, 74.2863636363636, 74.2463636363636, 74.2463636363636, 74.2463636363636
1/19/2017, 74.67, 74.7, 74.08, 74.26, 9000920, 0, 0, 0, 0, 0, -0.451970396170552, -0.32578014271696, -0.126190253453591, 74.2316363636363, 74.1288461538461, 74.1288461538461, 74.1288461538461
1/20/2017, 74.74, 74.99, 74.29, 74.54, 9182221, 0, 0, 0, 0, 0, -0.451155819296858, -0.35085527803294, -0.100300541263918, 74.3310909090909, 74.121978021978, 74.121978021978, 74.121978021978
1/23/2017, 74.2, 74.35, 73.39, 73.75, 15207044, 0, 0, 0, 0, 0, -0.5083961842044, -0.382363459267232, -0.126032724937168, 74.2414545454545, 73.9177142857143, 73.9177142857143, 73.9177142857143
1/24/2017, 74.04, 74.88, 73.9, 74.56, 11857240, 0, 0, 0, 0, 0, -0.482833550622502, -0.402457477538286, -0.0803760730842157, 74.3283636363636, 73.9571666666667, 73.9571666666667, 73.9571666666667
1/25/2017, 74.58, 75.18, 74.56, 74.95, 9410281, 0, 0, 0, 0, 0, -0.426192358492841, -0.407204453729197, -0.018987904763644, 74.4265454545454, 74.080955882353, 74.080955882353, 74.080955882353
1/26/2017, 75.19, 75.31, 74.85, 75.01, 8651667, 0, 0, 0, 0, 0, -0.372172138351445, -0.400197990653647, 0.0280258523022018, 74.6596363636364, 74.1966666666667, 74.1966666666667, 74.1966666666667
1/27/2017, 74.55, 74.63, 74.01, 74.23, 9950921, 0, 0, 0, 0, 0, -0.387829548344925, -0.397724302191902, 0.00989475384697741, 74.5558181818182, 74.1338011695907, 74.1338011695907, 74.1338011695907
1/30/2017, 73.89, 73.93, 72.36, 72.87, 13286402, 0, 0, 0, 0, 0, -0.504167068444147, -0.419012855442351, -0.0851542130017957, 73.9583636363636, 73.8188421052631, 73.8188421052631, 73.8188421052631
1/31/2017, 72.91, 73.02, 72.13, 72.9, 14007376, 0, 0, 0, 0, 0, -0.587176042100879, -0.452645492774057, -0.134530549326822, 73.5456363636364, 73.5634285714285, 73.5634285714285, 73.5634285714285
2/1/2017, 73.29, 73.39, 71.91, 72.36, 18424308, 0, 0, 0, 0, 0, -0.688597020981774, -0.4998357984156, -0.188761222566174, 73.0181818181818, 73.254632034632, 73.254632034632, 73.254632034632
2/2/2017, 72.48, 72.9, 71.9, 72.77, 12880101, 1.27902294901745, 0, 0, 0, 0, -0.727504089666439, -0.545369456665768, -0.182134633000671, 72.6763636363636, 73.064466403162, 73.064466403162, 73.064466403162
2/3/2017, 73.06, 73.78, 72.63, 73.4, 11828580, 1.28298058583106, 0, 0, 0, 0, -0.699439780634023, -0.576183521459419, -0.123256259174604, 72.6894545454545, 73.0069565217391, 73.0069565217391, 73.0069565217391
2/6/2017, 73.51, 73.65, 72.57, 72.78, 10521672, 1.30341077562517, 0, 0, 0, 0, -0.7189399398749, -0.604734805142515, -0.114205134732385, 72.3925454545454, 72.8626333333333, 72.8626333333333, 72.8626333333333
2/7/2017, 72.46, 72.8, 71.37, 71.75, 14157752, 1.35566723954704, 0, 0, 0, 0, -0.808190036831434, -0.645425851480299, -0.162764185351135, 71.9547272727272, 72.5845230769231, 72.5845230769231, 72.5845230769231
2/8/2017, 71.42, 72.08, 70.65, 71.92, 16148412, 1.38425567596809, -1.43664459243312, 0, 0, 0, -0.855343930038615, -0.687409467191962, -0.167934462846652, 71.806909090909, 72.3691452991453, 72.3691452991453, 72.3691452991453
2/9/2017, 72.35, 72.95, 72.35, 72.73, 9261602, 1.37120699580426, -1.0399156725313, 0, 0, 0, -0.817924969673427, -0.713512567688255, -0.104412401985172, 72.1161818181817, 72.2963492063491, 72.2963492063491, 72.2963492063491
2/10/2017, 73.31, 73.69, 73.06, 73.28, 10405367, 1.35837186905843, -0.779516174432596, 0, 0, 0, -0.735412394234345, -0.717892532997473, -0.0175198612368718, 72.583818181818, 72.3089901477832, 72.3089901477832, 72.3089901477832
2/13/2017, 73.13, 73.45, 72.99, 73.42, 7984938, 1.3193192050718, -0.755175738438393, 0, 0, 0, -0.651216930352049, -0.704557412468388, 0.053340482116339, 72.8796363636362, 72.3405517241379, 72.3405517241379, 72.3405517241379
2/14/2017, 73.63, 73.69, 72.74, 73.66, 10771687, 1.31375502626328, -0.354682839373824, 0, 0, 0, -0.558685248616897, -0.67538297969809, 0.116697731081194, 73.2343636363635, 72.4008817204301, 72.4008817204301, 72.4008817204301
2/15/2017, 73.44, 73.76, 73.13, 73.37, 8926600, 1.29593342609821, -0.23208745754048, 0, 0, 0, -0.502956036446989, -0.64089759104787, 0.137941554600881, 73.3394545454544, 72.4570322580644, 72.4206653225806, 72.4206653225806
