Date,XLF_Open,XLF_High,XLF_Low,XLF_Close,XLF_Volume,XLF_ATRPercentOfClose20,XLF_SQN25,XLF_SQN50,XLF_SQN100,XLF_SQN200,XLF_MACD,XLF_MACD_Avg,XLF_MACD_Diff,XLF_LinReg10,XLF_LinReg30,XLF_LinReg90,XLF_LinReg270
1/3/2017, 23.61, 23.67, 23.26, 23.51, 71259897, 0, 0, 0, 0, 0, 0, 0, 0, 23.51, 23.51, 23.51, 23.51
1/4/2017, 23.58, 23.73, 23.51, 23.7, 45092157, 0, 0, 0, 0, 0, 0.0151566951566977, 0.00303133903133954, 0.0121253561253582, 23.7, 23.7, 23.7, 23.7
1/5/2017, 23.63, 23.66, 23.24, 23.46, 62201101, 0, 0, 0, 0, 0, 0.00771357375345971, 0.00396778597576358, 0.00374578777769614, 23.5316666666667, 23.5316666666667, 23.5316666666667, 23.5316666666667
1/6/2017, 23.55, 23.64, 23.42, 23.54, 38060761, 0, 0, 0, 0, 0, 0.008175930787921, 0.00480941493819506, 0.00336651584972594, 23.53, 23.53, 23.53, 23.53
1/9/2017, 23.48, 23.53, 23.33, 23.38, 34022403, 0, 0, 0, 0, 0, -0.00431852943622246, 0.00298382606331156, -0.00730235549953402, 23.434, 23.434, 23.434, 23.434
1/10/2017, 23.42, 23.63, 23.31, 23.43, 46212104, 0, 0, 0, 0, 0, -0.010069818450166, 0.000373097160616052, -0.010442915610782, 23.4119047619048, 23.4119047619048, 23.4119047619048, 23.4119047619048
1/11/2017, 23.46, 23.58, 23.3, 23.58, 48001233, 0, 0, 0, 0, 0, -0.0024952463847363, -0.000200571548454419, -0.00229467483628189, 23.4703571428571, 23.4703571428571, 23.4703571428571, 23.4703571428571
1/12/2017, 23.47, 23.5, 23.18, 23.38, 57418139, 0, 0, 0, 0, 0, -0.0124867326994575, -0.00265780377865504, -0.0098289289208025, 23.4241666666667, 23.4241666666667, 23.4241666666667, 23.4241666666667
1/13/2017, 23.54, 23.79, 23.41, 23.51, 72479684, 0, 0, 0, 0, 0, -0.00980215094946146, -0.00408667321281633, -0.00571547773664513, 23.4435555555555, 23.4435555555555, 23.4435555555555, 23.4435555555555
1/17/2017, 23.34, 23.35, 22.94, 22.95, 96657836, 0, 0, 0, 0, 0, -0.052259505408017, -0.0137212396518565, -0.0385382657561606, 23.264, 23.264, 23.264, 23.264
1/18/2017, 23.07, 23.17, 22.85, 23.14, 68289123, 0, 0, 0, 0, 0, -0.0697715693808654, -0.0249313055976583, -0.0448402637832071, 23.1721818181818, 23.1972727272727, 23.1972727272727, 23.1972727272727
1/19/2017, 23.19, 23.25, 22.96, 23.04, 56729679, 0, 0, 0, 0, 0, -0.0906739377997035, -0.0380798320380673, -0.0525941057616362, 23.104, 23.12, 23.12, 23.12
1/20/2017, 23.11, 23.23, 23.03, 23.15, 74805151, 0, 0, 0, 0, 0, -0.0972421872697353, -0.0499123030844009, -0.0473298841853344, 23.0618181818182, 23.0932967032967, 23.0932967032967, 23.0932967032967
1/23/2017, 23.05, 23.19, 22.92, 23, 46651232, 0, 0, 0, 0, 0, -0.11324589056084, -0.0625790205796888, -0.0506668699811515, 23.0007272727273, 23.0354285714286, 23.0354285714286, 23.0354285714286
1/24/2017, 23.11, 23.38, 23.01, 23.29, 45229461, 0, 0, 0, 0, 0, -0.101359949942072, -0.0703352064521654, -0.0310247434899067, 23.0372727272727, 23.0613333333333, 23.0613333333333, 23.0613333333333
1/25/2017, 23.54, 23.69, 23.43, 23.68, 92850136, 0, 0, 0, 0, 0, -0.0597813930476825, -0.0682244437712689, 0.00844305072358637, 23.2234545454545, 23.1719117647059, 23.1719117647059, 23.1719117647059
1/26/2017, 23.72, 23.8, 23.61, 23.74, 70704365, 0, 0, 0, 0, 0, -0.0217380063862898, -0.058927156294273, 0.0371891499079833, 23.4467272727272, 23.2749019607843, 23.2749019607843, 23.2749019607843
1/27/2017, 23.74, 23.75, 23.58, 23.65, 43944530, 0, 0, 0, 0, 0, 0.00113630517332908, -0.0469144640007526, 0.0480507691740817, 23.5901818181818, 23.3411111111111, 23.3411111111111, 23.3411111111111
1/30/2017, 23.5, 23.51, 23.25, 23.46, 46168751, 0, 0, 0, 0, 0, 0.00388812984057196, -0.0367539452324877, 0.0406420750730597, 23.6792727272727, 23.3590526315789, 23.3590526315789, 23.3590526315789
1/31/2017, 23.34, 23.52, 23.18, 23.31, 56477262, 0, 0, 0, 0, 0, -0.00596600331005348, -0.0305963568480009, 0.0246303535379474, 23.6072727272727, 23.3462857142857, 23.3462857142857, 23.3462857142857
2/1/2017, 23.49, 23.61, 23.27, 23.34, 72132221, 0, 0, 0, 0, 0, -0.0112253269658424, -0.0267221508715692, 0.0154968239057267, 23.564, 23.3409523809524, 23.3409523809524, 23.3409523809524
2/2/2017, 23.21, 23.36, 23.1, 23.25, 39396487, 1.37917204301075, 0, 0, 0, 0, -0.0223974429130749, -0.0258572092798703, 0.00345976636679544, 23.4587272727272, 23.3212252964427, 23.3212252964427, 23.3212252964427
2/3/2017, 23.65, 23.74, 23.44, 23.72, 86346618, 1.38754057757167, 0, 0, 0, 0, 0.00659759379963987, -0.0193662486639683, 0.0259638424636082, 23.5263636363636, 23.3810869565217, 23.3810869565217, 23.3810869565217
2/6/2017, 23.58, 23.78, 23.56, 23.61, 34952083, 1.37089535684032, 0, 0, 0, 0, 0.020464387875986, -0.0114001213559774, 0.0318645092319635, 23.494909090909, 23.4154666666667, 23.4154666666667, 23.4154666666667
2/7/2017, 23.75, 23.76, 23.52, 23.55, 50838490, 1.35662409368365, 0, 0, 0, 0, 0.0263091480454776, -0.00385826747568642, 0.030167415521164, 23.4674545454545, 23.4362153846154, 23.4362153846154, 23.4362153846154
2/8/2017, 23.48, 23.48, 23.28, 23.39, 54341095, 1.3553258886677, -0.0869249264857939, 0, 0, 0, 0.0178250239840203, 0.000478390816254921, 0.0173466331677654, 23.4485454545454, 23.4310256410256, 23.4310256410256, 23.4310256410256
2/9/2017, 23.46, 23.74, 23.33, 23.71, 76813699, 1.35664356428261, 0.0327035361026524, 0, 0, 0, 0.0365018495884719, 0.00768308257069832, 0.0288187670177736, 23.5679999999999, 23.4713227513228, 23.4713227513228, 23.4713227513228
2/10/2017, 23.85, 23.86, 23.69, 23.78, 55078737, 1.32076189922976, 0.313722359151094, 0, 0, 0, 0.0563027602519206, 0.0174070181069428, 0.0388957421449778, 23.6952727272727, 23.5162315270936, 23.5162315270936, 23.5162315270936
2/13/2017, 23.93, 24.16, 23.89, 24.05, 76687038, 1.31963958692305, 0.472641242971601, 0, 0, 0, 0.092713128888505, 0.0324682402632552, 0.0602448886252498, 23.8707272727272, 23.5912413793104, 23.5912413793104, 23.5912413793104
