Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
1/3/2017, 48.5, 48.63, 48.14, 48.45, 18880685, 0, 0, 0, 0, 0, 0, 0, 0, 48.45, 48.45, 48.45, 48.45
1/4/2017, 48.52, 48.88, 48.43, 48.63, 14550500, 0, 0, 0, 0, 0, 0.01435897435897, 0.00287179487179401, 0.011487179487176, 48.63, 48.63, 48.63, 48.63
1/5/2017, 48.74, 48.76, 48.16, 48.68, 16306401, 0, 0, 0, 0, 0, 0.0294338519979576, 0.00818420629702672, 0.0212496457009308, 48.7016666666667, 48.7016666666667, 48.7016666666667, 48.7016666666667
1/6/2017, 48.44, 48.92, 48.35, 48.83, 10967168, 0, 0, 0, 0, 0, 0.0528750370199731, 0.017122372441616, 0.0357526645783571, 48.826, 48.826, 48.826, 48.826
1/9/2017, 49.01, 49.03, 48.18, 48.19, 13847156, 0, 0, 0, 0, 0, 0.0195839422421216, 0.0176146864017171, 0.00196925584040446, 48.492, 48.492, 48.492, 48.492
1/10/2017, 48.18, 48.2, 47.85, 48.04, 11224177, 0, 0, 0, 0, 0, -0.0186878151165075, 0.0103541860980722, -0.0290420012145797, 48.24, 48.24, 48.24, 48.24
1/11/2017, 48.03, 48.59, 48.02, 48.54, 13397707, 0, 0, 0, 0, 0, -0.0085738037579759, 0.00656858812686257, -0.0151423918848385, 48.33, 48.33, 48.33, 48.33
1/12/2017, 48.57, 48.66, 48.29, 48.58, 9410404, 0, 0, 0, 0, 0, 0.00263886957144877, 0.00578264441577981, -0.00314377484433104, 48.405, 48.405, 48.405, 48.405
1/13/2017, 48.48, 48.65, 48.2, 48.51, 12173599, 0, 0, 0, 0, 0, 0.00580960942132691, 0.00578803741688923, 2.15720044376829E-05, 48.4291111111111, 48.4291111111111, 48.4291111111111, 48.4291111111111
1/17/2017, 48.67, 49.2, 48.63, 49.04, 15325970, 0, 0, 0, 0, 0, 0.0505068032134304, 0.0147317905761975, 0.0357750126372329, 48.6294545454545, 48.6294545454545, 48.6294545454545, 48.6294545454545
1/18/2017, 48.9, 49.22, 48.9, 48.98, 13230909, 0, 0, 0, 0, 0, 0.0801640712475447, 0.0278182467104669, 0.0523458245370778, 48.7585454545454, 48.7531818181818, 48.7531818181818, 48.7531818181818
1/19/2017, 48.7, 48.98, 48.43, 48.55, 13800486, 0, 0, 0, 0, 0, 0.068184277584848, 0.0358914528853431, 0.0322928246995049, 48.7461818181818, 48.7165384615384, 48.7165384615384, 48.7165384615384
