Date,XOP_Open,XOP_High,XOP_Low,XOP_Close,XOP_Volume,XOP_ATRPercentOfClose20,XOP_SQN25,XOP_SQN50,XOP_SQN100,XOP_SQN200,XOP_MACD,XOP_MACD_Avg,XOP_MACD_Diff,XOP_LinReg10,XOP_LinReg30,XOP_LinReg90,XOP_LinReg270
1/3/2017, 42.12, 42.67, 41.16, 42.01, 13870781, 0, 0, 0, 0, 0, 0, 0, 0, 42.01, 42.01, 42.01, 42.01
1/4/2017, 42.02, 42.26, 41.57, 42.21, 10627480, 0, 0, 0, 0, 0, 0.0159544159544183, 0.00319088319088365, 0.0127635327635346, 42.21, 42.21, 42.21, 42.21
1/5/2017, 42.38, 42.52, 41.65, 42.08, 10328993, 0, 0, 0, 0, 0, 0.0179021274177984, 0.0061331320362666, 0.0117689953815318, 42.135, 42.135, 42.135, 42.135
1/6/2017, 42.19, 42.27, 41.58, 41.77, 9601540, 0, 0, 0, 0, 0, -0.00550524539485764, 0.00380545655004175, -0.00931070194489939, 41.89, 41.89, 41.89, 41.89
1/9/2017, 41.33, 41.4, 40.57, 40.6, 10811104, 0, 0, 0, 0, 0, -0.117114950642438, -0.0203786248884543, -0.0967363257539842, 41.082, 41.082, 41.082, 41.082
1/10/2017, 40.78, 41.08, 40.47, 40.6, 10441686, 0, 0, 0, 0, 0, -0.203223808592625, -0.0569476616292885, -0.146276146963337, 40.6742857142857, 40.6742857142857, 40.6742857142857, 40.6742857142857
1/11/2017, 40.63, 41.09, 40.44, 41, 14038315, 0, 0, 0, 0, 0, -0.236463240791856, -0.0928507774618021, -0.143612463330054, 40.6389285714286, 40.6389285714286, 40.6389285714286, 40.6389285714286
1/12/2017, 41.46, 41.47, 40.59, 40.72, 13206998, 0, 0, 0, 0, 0, -0.282146975525826, -0.130710017074607, -0.151436958451219, 40.5116666666667, 40.5116666666667, 40.5116666666667, 40.5116666666667
1/13/2017, 40.42, 40.79, 40.37, 40.47, 13104835, 0, 0, 0, 0, 0, -0.334666745183192, -0.171501362696324, -0.163165382486868, 40.3426666666666, 40.3426666666666, 40.3426666666666, 40.3426666666666
1/17/2017, 41.05, 41.42, 40.9, 41.11, 18222497, 0, 0, 0, 0, 0, -0.320946715767363, -0.201390433310532, -0.119556282456831, 40.4554545454545, 40.4554545454545, 40.4554545454545, 40.4554545454545
1/18/2017, 40.67, 41.37, 40.58, 41.05, 8098239, 0, 0, 0, 0, 0, -0.311326217327412, -0.223377590113908, -0.0879486272135044, 40.5345454545454, 40.5231818181818, 40.5231818181818, 40.5231818181818
1/19/2017, 41.15, 41.26, 40.68, 40.94, 7728676, 0, 0, 0, 0, 0, -0.30901584142913, -0.240505240376952, -0.0685106010521773, 40.668, 40.5452564102564, 40.5452564102564, 40.5452564102564
1/20/2017, 41.33, 41.51, 40.95, 41.13, 10541944, 0, 0, 0, 0, 0, -0.288527474654934, -0.250109687232549, -0.0384177874223856, 40.9103636363636, 40.6178021978022, 40.6178021978022, 40.6178021978022
1/23/2017, 40.86, 41.02, 40.5, 40.7, 10918050, 0, 0, 0, 0, 0, -0.303489267357143, -0.260785603257468, -0.0427036640996759, 40.994, 40.566, 40.566, 40.566
1/24/2017, 40.99, 41.6, 40.92, 41.34, 9845634, 0, 0, 0, 0, 0, -0.26069877141321, -0.260768236888616, 6.94654754058721E-05, 41.1230909090909, 40.6825, 40.6825, 40.6825
1/25/2017, 41.3, 41.94, 41.27, 41.61, 10041090, 0, 0, 0, 0, 0, -0.202664066369806, -0.249147402784854, 0.0464833364150481, 41.3050909090909, 40.8388235294117, 40.8388235294117, 40.8388235294117
1/26/2017, 41.98, 42.13, 41.69, 41.8, 7867182, 0, 0, 0, 0, 0, -0.13972902320053, -0.227263726867989, 0.0875347036674591, 41.5776363636363, 41.0074509803921, 41.0074509803921, 41.0074509803921
1/27/2017, 41.53, 41.75, 41.16, 41.3, 9019140, 0, 0, 0, 0, 0, -0.128714627290691, -0.20755390695253, 0.0788392796618388, 41.5778181818181, 41.0438596491228, 41.0438596491228, 41.0438596491228
1/30/2017, 41.07, 41.07, 39.59, 40.16, 13426432, 0, 0, 0, 0, 0, -0.209558452406455, -0.207954816043315, -0.00160363636314007, 41.1025454545454, 40.8525263157895, 40.8525263157895, 40.8525263157895
1/31/2017, 40.22, 40.25, 39.61, 40.08, 11517770, 0, 0, 0, 0, 0, -0.276891267498215, -0.221742106334295, -0.0551491611639199, 40.7445454545454, 40.6785714285714, 40.6785714285714, 40.6785714285714
2/1/2017, 40.33, 40.55, 39.31, 39.78, 13896741, 0, 0, 0, 0, 0, -0.350421065447627, -0.247477898156961, -0.102943167290666, 40.3270909090909, 40.4796536796537, 40.4796536796537, 40.4796536796537
2/2/2017, 39.81, 40.3, 39.31, 40.05, 10847595, 2.08692883895131, 0, 0, 0, 0, -0.382498017511146, -0.274481922027798, -0.108016095483348, 40.0501818181818, 40.3576679841897, 40.3576679841897, 40.3576679841897
2/3/2017, 40.22, 40.84, 39.95, 40.68, 12517919, 2.06126905113078, 0, 0, 0, 0, -0.353014170637714, -0.290188371749781, -0.0628257988879323, 40.0774545454545, 40.3571739130435, 40.3571739130435, 40.3571739130435
2/6/2017, 40.76, 40.96, 39.92, 40.06, 9173750, 2.11831761732401, 0, 0, 0, 0, -0.375350026555822, -0.307220702710989, -0.0681293238448322, 39.8290909090909, 40.2607, 40.2607, 40.2607
2/7/2017, 39.93, 40.06, 38.77, 39.09, 20531929, 2.22734237816577, 0, 0, 0, 0, -0.465951052969658, -0.338966772762723, -0.126984280206935, 39.4085454545454, 40.0319076923077, 40.0319076923077, 40.0319076923077
2/8/2017, 38.8, 39.45, 38.16, 39.18, 19233836, 2.27573948147971, -1.12203429292877, 0, 0, 0, -0.524445292433832, -0.376062476696945, -0.148382815736887, 39.1958181818181, 39.8467521367521, 39.8467521367521, 39.8467521367521
2/9/2017, 39.65, 40.03, 39.48, 39.9, 11810011, 2.22945612130718, -0.853261154843793, 0, 0, 0, -0.506861630561779, -0.402222307469912, -0.104639323091868, 39.4023636363636, 39.786746031746, 39.786746031746, 39.786746031746
2/10/2017, 40.51, 40.67, 40.18, 40.35, 10000393, 2.18977780119327, -0.614243972504572, 0, 0, 0, -0.451411620484684, -0.412060170072866, -0.039351450411818, 39.768, 39.7961083743842, 39.7961083743842, 39.7961083743842
2/13/2017, 40.15, 40.43, 39.86, 40.03, 6612869, 2.16811535259158, -0.622432465581046, 0, 0, 0, -0.428350653951526, -0.415318266848598, -0.0130323871029276, 39.8469090909091, 39.7635862068965, 39.7635862068965, 39.7635862068965
2/14/2017, 40.21, 40.44, 39.69, 40.35, 7162815, 2.13631164029812, -0.0736359858067168, 0, 0, 0, -0.37987439066827, -0.408229491612533, 0.0283551009442625, 40.0274545454545, 39.7763655913978, 39.7763655913978, 39.7763655913978
2/15/2017, 40.27, 40.48, 39.98, 40.19, 11307275, 2.09978019287702, -0.139865218875575, 0, 0, 0, -0.350328892190859, -0.396649371728198, 0.0463204795373389, 40.078, 39.7915698924731, 39.7690524193548, 39.7690524193548
2/16/2017, 40.26, 40.41, 39.42, 39.52, 14277155, 2.15386279489224, -0.573069087790321, 0, 0, 0, -0.376635651022625, -0.392646627587083, 0.0160109765644588, 39.9287272727273, 39.7468387096774, 39.6834659090909, 39.6834659090909
2/17/2017, 39.41, 39.62, 39.12, 39.32, 12198854, 2.12015831056547, -0.545206614824832, 0, 0, 0, -0.40890863129227, -0.395899028328121, -0.0130096029641495, 39.8652727272727, 39.6854193548387, 39.5843315508022, 39.5843315508022
2/21/2017, 39.81, 40.03, 39.57, 39.81, 10266046, 2.07853286945145, -0.234106174418704, 0, 0, 0, -0.390445483283671, -0.394808319319231, 0.0043628360355602, 39.9212727272727, 39.6833118279569, 39.5510924369748, 39.5510924369748
2/22/2017, 39.47, 39.52, 38.61, 38.66, 12292768, 2.18854303818467, -0.903606799816982, 0, 0, 0, -0.46326842449308, -0.408500340354001, -0.0547680841390794, 39.3996363636364, 39.4699354838709, 39.3959523809524, 39.3959523809524
2/23/2017, 39.37, 39.47, 38.08, 38.63, 18325487, 2.26064251005458, -0.893000135078274, 0, 0, 0, -0.517437185560354, -0.430287709395271, -0.0871494761650825, 38.9090909090909, 39.2652688172043, 39.2530480480481, 39.2530480480481
2/24/2017, 38.35, 38.47, 37.71, 37.87, 16755737, 2.3121782190451, -1.11541350124748, 0, 0, 0, -0.614607158640872, -0.467151599244392, -0.147455559396481, 38.33, 39.0035483870967, 39.0451778093883, 39.0451778093883
2/27/2017, 38.03, 38.39, 37.74, 38.17, 8824315, 2.26445060774105, -1.05997226904877, 0, 0, 0, -0.659801785314876, -0.505681636458489, -0.154120148856387, 38.0552727272727, 38.7814193548386, 38.8871255060728, 38.8871255060728
2/28/2017, 37.84, 38.15, 37.7, 37.86, 10648890, 2.23091325178558, -1.02907610612694, 0, 0, 0, -0.712420916921978, -0.547029492551187, -0.165391424370792, 37.7283636363636, 38.5197419354838, 38.7131538461538, 38.7131538461538
3/1/2017, 38.29, 38.96, 38.24, 38.89, 15306117, 2.20466075924331, -0.812848712843922, 0, 0, 0, -0.663362733230429, -0.570296140687035, -0.0930665925433936, 37.9396363636364, 38.448258064516, 38.6541341463415, 38.6541341463415
3/2/2017, 38.45, 38.74, 37.92, 37.95, 10012758, 2.27410524586623, -1.19887748645064, 0, 0, 0, -0.692352900044966, -0.594707492558621, -0.0976454074863449, 37.8738181818182, 38.2678279569891, 38.5125087108014, 38.5125087108014
3/3/2017, 38.06, 38.27, 37.68, 37.86, 9879236, 2.24345428886932, -1.30005667923365, 0, 0, 0, -0.71435541934359, -0.618637077915615, -0.0957183414279752, 37.7650909090909, 38.0886451612902, 38.3750055370986, 38.3750055370986
3/6/2017, 37.89, 38.15, 37.62, 38.1, 13134278, 2.18740998445571, -1.05005406745314, 0, 0, 0, -0.704307758744584, -0.635771214081409, -0.0685365446631747, 37.7898181818182, 37.9724516129031, 38.2708773784355, 38.2708773784355
3/7/2017, 38.25, 38.32, 37.49, 37.56, 10129392, 2.21840533512712, -0.909849092628011, 0, 0, 0, -0.731486283816643, -0.654914228028456, -0.0765720557881875, 37.7925454545454, 37.7786236559139, 38.1282727272727, 38.1282727272727
3/8/2017, 37.26, 37.56, 35.9, 35.95, 26439887, 2.43274378770531, -1.29934658575971, 0, 0, 0, -0.872877022447845, -0.698506786912334, -0.174370235535511, 37.1318181818181, 37.4434408602149, 37.8589371980676, 37.8589371980676
3/9/2017, 35.77, 36.32, 35.27, 36.2, 27299266, 2.44017354170181, -1.112106435879, 0, 0, 0, -0.95376290573499, -0.749558010676865, -0.204204895058125, 36.6992727272727, 37.1927526881719, 37.6315541165587, 37.6315541165587
3/10/2017, 36.52, 36.57, 35.8, 36.11, 14491941, 2.43056128770771, -1.23603514060529, 0, 0, 0, -1.01344543075216, -0.802335494691924, -0.211109936060233, 36.2161818181818, 36.9782150537633, 37.4142287234043, 37.4142287234043
3/13/2017, 36.04, 36.66, 36.04, 36.36, 12960824, 2.37841555814546, -1.37378656732578, 0, 0, 0, -1.02871298817869, -0.847610993389277, -0.181101994789413, 35.9754545454545, 36.7987741935483, 37.2335459183674, 37.2335459183674
3/14/2017, 35.74, 36, 35, 35.88, 23724829, 2.479242759461, -1.3524054172091, 0, 0, 0, -1.06724212304929, -0.891537219321279, -0.175704903728011, 35.6056363636363, 36.5143010752687, 37.0284489795918, 37.0284489795918
3/15/2017, 36.3, 37.08, 36.02, 36.97, 25657985, 2.44813277519577, -0.627655190754675, 0, 0, 0, -0.998314896830536, -0.912892754823131, -0.0854221420074051, 35.9263636363636, 36.3904086021504, 36.9230117647059, 36.9230117647059
3/16/2017, 37.13, 37.13, 36.54, 36.57, 16291940, 2.4318319733125, -0.782555801952929, -1.29179197060827, 0, 0, -0.964844108233727, -0.92328302550525, -0.041561082728477, 36.0256363636363, 36.2158279569891, 36.795173453997, 36.795173453997
3/17/2017, 36.76, 36.87, 36.34, 36.44, 12223780, 2.39120445940824, -1.08142624249319, -1.37608292088341, 0, 0, -0.937995551831854, -0.926225530770571, -0.011770021061283, 36.1372727272726, 36.0634623655913, 36.6670101596517, 36.6670101596517
3/20/2017, 36.01, 36.56, 35.88, 36.49, 18780511, 2.36170775488612, -1.22295034124332, -1.33169308219843, 0, 0, -0.90228234608302, -0.921436893833061, 0.0191545477500411, 36.3916363636363, 35.9827311827955, 36.5517610062893, 36.5517610062893
3/21/2017, 36.6, 36.62, 35.52, 35.69, 15317017, 2.44801849753445, -1.36683620864169, -1.44992041085963, 0, 0, -0.927837158147803, -0.922716946696009, -0.00512021145179342, 36.3494545454545, 35.7861935483869, 36.3871313131313, 36.3871313131313
3/22/2017, 35.45, 35.76, 35.03, 35.31, 20890086, 2.45401560940681, -1.61197500034487, -1.31879846767031, 0, 0, -0.967598482037324, -0.931693253764272, -0.0359052282730521, 35.9559999999999, 35.5049677419353, 36.2068051948052, 36.2068051948052
3/23/2017, 35.2, 35.62, 35.05, 35.17, 11402202, 2.42162998606047, -1.6119696424389, -1.35814654366709, 0, 0, -0.998891844263731, -0.945132971864164, -0.0537588723995671, 35.5990909090908, 35.2363655913977, 36.0287218045113, 36.0287218045113
3/24/2017, 35.29, 35.48, 35.06, 35.21, 12460037, 2.35757711670717, -1.4021610613895, -1.45406545703499, 0, 0, -1.00883516972016, -0.957873411435364, -0.0509617582848001, 35.2941818181817, 35.0467096774192, 35.8650272232305, 35.8650272232305
3/27/2017, 34.63, 35.47, 34.56, 35.37, 14313379, 2.35820683532079, -1.27421192836238, -1.33896704141021, 0, 0, -0.992365294568131, -0.964771788061918, -0.0275935065062134, 35.1436363636363, 34.9376129032256, 35.7227060198714, 35.7227060198714
3/28/2017, 35.52, 36.41, 35.33, 36.29, 29429699, 2.33230330606315, -1.05571543218695, -0.98393501383018, 0, 0, -0.894762226633432, -0.950769875776221, 0.0560076491427886, 35.268909090909, 34.9560430107525, 35.650406779661, 35.650406779661
3/29/2017, 36.26, 37.37, 36.19, 37.26, 20053662, 2.31635326430971, -0.390719784927757, -0.860479492637317, 0, 0, -0.730716948603295, -0.906759290341635, 0.176042341738341, 35.9249090909089, 35.143010752688, 35.6462349726776, 35.6462349726776
3/30/2017, 37.56, 37.7, 36.94, 36.94, 20043931, 2.32246769076261, -0.480911416805992, -0.925063616021346, 0, 0, -0.619391252726658, -0.84928568281864, 0.229894430091982, 36.3745454545453, 35.2986451612901, 35.6227075621364, 35.6227075621364
3/31/2017, 36.85, 37.54, 36.77, 37.44, 15009599, 2.27971043461358, -0.0927005637658371, -0.766671968504614, 0, 0, -0.485225636268019, -0.776473673508516, 0.291248037240497, 36.9507272727271, 35.4940215053762, 35.6328264208909, 35.6328264208909
4/3/2017, 37.39, 37.55, 36.68, 37.29, 20578579, 2.2910898562171, -0.234796477297302, -0.847489804470407, 0, 0, -0.386546299882845, -0.698488198783382, 0.311941898900537, 37.4305454545453, 35.670451612903, 35.6339136904762, 35.6339136904762
4/4/2017, 37.37, 37.83, 37.03, 37.79, 15687665, 2.25358570260437, 0.0207863519453331, -0.623802454697942, 0, 0, -0.264942303571004, -0.611779019740906, 0.346836716169902, 37.8794545454544, 35.9560860215052, 35.6662596153846, 35.6662596153846
4/5/2017, 38.22, 38.64, 36.87, 36.9, 37799302, 2.43238085410157, -0.588349890445271, -0.976443727831648, 0, 0, -0.237646382773171, -0.536952492347359, 0.299306109574188, 37.8303636363635, 36.0651612903224, 35.6441258741259, 35.6441258741259
4/6/2017, 37.21, 37.65, 37.1, 37.41, 17515958, 2.37950042343038, -0.135067591420843, -0.903533482289892, 0, 0, -0.172868708270329, -0.464135735531953, 0.291267027261624, 37.8427272727271, 36.2483010752686, 35.6540886476707, 35.6540886476707
4/7/2017, 37.56, 37.63, 37.05, 37.22, 17518617, 2.34997999189963, -0.168091191729223, -0.992005251268693, 0, 0, -0.135303650374709, -0.398369318500504, 0.263065668125795, 37.6752727272725, 36.3645376344084, 35.6531474978051, 35.6531474978051
4/10/2017, 37.54, 37.97, 37.38, 37.84, 11054858, 2.29500376674363, -0.0408054330868328, -0.726184813642382, 0, 0, -0.0548717258083471, -0.329669799962073, 0.274798074153726, 37.6443636363635, 36.5836344086019, 35.6886061381074, 35.6886061381074
4/11/2017, 37.84, 37.89, 37.26, 37.89, 14295625, 2.26051188722354, 0.148028338994547, -0.480691729967912, 0, 0, 0.0127586621089861, -0.261184107547861, 0.273942769656847, 37.6799999999998, 36.7905376344084, 35.7257805383023, 35.7257805383023
4/12/2017, 37.88, 38.32, 37.12, 37.21, 20100970, 2.34797784564781, 0.517200483916715, -0.620226344685919, 0, 0, 0.0113550211654854, -0.206676281805192, 0.218031302970677, 37.5874545454544, 36.9796344086019, 35.7237102615694, 35.7237102615694
4/13/2017, 37.31, 37.35, 36.22, 36.33, 20409392, 2.44012779671696, 0.0851324525741937, -0.753248247529721, 0, 0, -0.0600735296724793, -0.177355731378649, 0.11728220170617, 37.1296363636362, 37.0052473118277, 35.6737910798122, 35.6737910798122
4/17/2017, 36.37, 36.49, 36.06, 36.49, 9977524, 2.36687724614938, 0.176365601215128, -0.775609016353201, 0, 0, -0.10258793811051, -0.162402172725021, 0.0598142346145115, 36.8603636363635, 37.0556129032256, 35.6355441400304, 35.6355441400304
4/18/2017, 36.22, 36.6, 35.71, 35.94, 14985786, 2.40676080067867, -0.113257311552062, -1.05726275904562, 0, 0, -0.178602498133351, -0.165642237806687, -0.0129602603266638, 36.4229090909089, 37.0610322580643, 35.5701406886338, 35.5701406886338
4/19/2017, 36.05, 36.14, 34.86, 34.95, 25750064, 2.53430712496629, -0.2868318692166, -1.14655153132246, 0, 0, -0.315097067973092, -0.195533203839968, -0.119563864133124, 35.8170909090907, 36.9187741935481, 35.4558918918919, 35.4558918918919
4/20/2017, 35.12, 35.39, 34.98, 34.99, 21277279, 2.4677145560644, -0.708823641147161, -0.939865809747249, 0, 0, -0.415255525050114, -0.239477668081997, -0.175777856968116, 35.2019999999998, 36.6910967741933, 35.3495298245614, 35.3495298245614
4/21/2017, 35.1, 35.37, 34.73, 35.11, 21830495, 2.42745843636737, -0.518143055308126, -0.929307309335823, 0, 0, -0.47942234441188, -0.287466603347974, -0.191955741063906, 34.8345454545453, 36.5015053763438, 35.2547265892003, 35.2547265892003
4/24/2017, 35.45, 35.67, 35.14, 35.38, 11456857, 2.36762754143063, -0.362336373819275, -1.03913951626997, 0, 0, -0.502693529445608, -0.330511988567501, -0.172181540878107, 34.647818181818, 36.347204301075, 35.1784615384615, 35.1784615384615
4/25/2017, 35.42, 36.12, 35.22, 36.09, 13319841, 2.32968493474716, -0.105245618071464, -0.946783383758656, 0, 0, -0.45855906154388, -0.356121403162777, -0.102437658381104, 34.9307272727271, 36.3043655913976, 35.141817591691, 35.141817591691
