Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
1/3/2017, 44.35, 44.69, 43.94, 44.3, 8374684, 0, 0, 0, 0, 0, 0, 0, 0, 44.3, 44.3, 44.3, 44.3
1/4/2017, 44.49, 45.34, 44.33, 45.17, 8102339, 0, 0, 0, 0, 0, 0.0694017094017028, 0.0138803418803406, 0.0555213675213622, 45.17, 45.17, 45.17, 45.17
1/5/2017, 44.21, 44.41, 43.67, 44.02, 9777885, 0, 0, 0, 0, 0, 0.0312474736406259, 0.0173537682323976, 0.0138937054082282, 44.3566666666667, 44.3566666666667, 44.3566666666667, 44.3566666666667
1/6/2017, 44.1, 44.15, 43.71, 43.71, 5322010, 0, 0, 0, 0, 0, -0.0237308874102524, 0.00913683710386761, -0.03286772451412, 43.862, 43.862, 43.862, 43.862
1/9/2017, 43.74, 44, 43.63, 43.82, 5008774, 0, 0, 0, 0, 0, -0.0577597356705084, -0.00424247745100759, -0.0535172582195008, 43.72, 43.72, 43.72, 43.72
1/10/2017, 43.83, 44.58, 43.76, 44.33, 7495698, 0, 0, 0, 0, 0, -0.0430785229322979, -0.0120096865472656, -0.0310688363850322, 43.9242857142857, 43.9242857142857, 43.9242857142857, 43.9242857142857
1/11/2017, 44.3, 44.45, 43.71, 44.05, 7174183, 0, 0, 0, 0, 0, -0.0534214072777814, -0.0202920306933688, -0.0331293765844126, 43.9182142857143, 43.9182142857143, 43.9182142857143, 43.9182142857143
1/12/2017, 43.94, 44.12, 43.51, 43.97, 6807490, 0, 0, 0, 0, 0, -0.0672977821093923, -0.0296931809765735, -0.0376046011328188, 43.885, 43.885, 43.885, 43.885
1/13/2017, 44.04, 44.36, 43.94, 44.01, 3541308, 0, 0, 0, 0, 0, -0.0742117762696637, -0.0385969000351915, -0.0356148762344721, 43.8813333333333, 43.8813333333333, 43.8813333333333, 43.8813333333333
1/17/2017, 44.55, 45.05, 44.15, 44.36, 12339981, 0, 0, 0, 0, 0, -0.050862777093009, -0.041050075446755, -0.00981270164625397, 44.0021818181818, 44.0021818181818, 44.0021818181818, 44.0021818181818
1/18/2017, 44.04, 44.44, 43.75, 44.32, 6454396, 0, 0, 0, 0, 0, -0.0351806520732083, -0.0398761907720457, 0.00469553869883739, 44.0778181818182, 44.0772727272727, 44.0772727272727, 44.0772727272727
1/19/2017, 44.29, 44.3, 43.35, 43.52, 6840828, 0, 0, 0, 0, 0, -0.0863108315924705, -0.0491631189361307, -0.0371477126563399, 44.05, 43.8974358974359, 43.8974358974359, 43.8974358974359
1/20/2017, 43.75, 43.89, 43.21, 43.43, 3954127, 0, 0, 0, 0, 0, -0.132565977009648, -0.0658436905508341, -0.0667222864588138, 43.8510909090909, 43.7381318681319, 43.7381318681319, 43.7381318681319
1/23/2017, 43.21, 43.42, 42.94, 43.07, 3045088, 0, 0, 0, 0, 0, -0.196012988638373, -0.0918775501683418, -0.104135438470031, 43.498, 43.5242857142857, 43.5242857142857, 43.5242857142857
1/24/2017, 43.09, 43.69, 43.09, 43.64, 2946001, 0, 0, 0, 0, 0, -0.198018334061018, -0.113105706946877, -0.0849126271141411, 43.3987272727273, 43.4960833333333, 43.4960833333333, 43.4960833333333
1/25/2017, 43.87, 44.12, 43.63, 43.82, 3114513, 0, 0, 0, 0, 0, -0.182973880086614, -0.127079341574824, -0.0558945385117894, 43.4734545454546, 43.5163970588235, 43.5163970588235, 43.5163970588235
