Date,SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Volume,SP500_ATRPercentOfClose20,SP500_SQN25,SP500_SQN50,SP500_SQN100,SP500_SQN200,SP500_MACD,SP500_MACD_Avg,SP500_MACD_Diff,SP500_LinReg10,SP500_LinReg30,SP500_LinReg90,SP500_LinReg270
1/3/1950,16.66,16.66,16.66,16.66,0,0,0,0,0,0,0,0,0,16.66,16.66,16.66,16.66
1/4/1950,16.85,16.85,16.85,16.85,0,0,0,0,0,0,0.015156695,0.003031339,0.012125356,16.85,16.85,16.85,16.85
1/5/1950,16.93,16.93,16.93,16.93,0,0,0,0,0,0,0.033240639,0.009073199,0.02416744,16.94833333,16.94833333,16.94833333,16.94833333
1/6/1950,16.98,16.98,16.98,16.98,0,0,0,0,0,0,0.051018765,0.017462312,0.033556453,17.011,17.011,17.011,17.011
1/9/1950,17.08,17.08,17.08,17.08,0,0,0,0,0,0,0.072343293,0.028438508,0.043904785,17.094,17.094,17.094,17.094
1/10/1950,17.03,17.03,17.03,17.03,0,0,0,0,0,0,0.084237516,0.03959831,0.044639206,17.10666667,17.10666667,17.10666667,17.10666667
1/11/1950,17.09,17.09,17.09,17.09,0,0,0,0,0,0,0.097382704,0.051155189,0.046227516,17.13857143,17.13857143,17.13857143,17.13857143
1/12/1950,16.76,16.76,16.76,16.76,0,0,0,0,0,0,0.08024708,0.056973567,0.023273513,17.01833333,17.01833333,17.01833333,17.01833333
1/13/1950,16.67,16.67,16.67,16.67,0,0,0,0,0,0,0.05872775,0.057324404,0.001403347,16.90377778,16.90377778,16.90377778,16.90377778
1/16/1950,16.72,16.72,16.72,16.72,0,0,0,0,0,0,0.045187218,0.054896967,-0.009709749,16.84181818,16.84181818,16.84181818,16.84181818
1/17/1950,16.86,16.86,16.86,16.86,0,0,0,0,0,0,0.045231676,0.052963909,-0.007732232,16.79254545,16.84227273,16.84227273,16.84227273
1/18/1950,16.85,16.85,16.85,16.85,0,0,0,0,0,0,0.043953326,0.051161792,-0.007208466,16.76690909,16.83987179,16.83987179,16.83987179
1/19/1950,16.87,16.87,16.87,16.87,0,0,0,0,0,0,0.044046319,0.049738698,-0.005692378,16.76418182,16.84373626,16.84373626,16.84373626
1/20/1950,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0.046010387,0.048993036,-0.002982648,16.78509091,16.85457143,16.85457143,16.85457143
1/23/1950,16.92,16.92,16.92,16.92,0,0,0,0,0,0,0.048620293,0.048918487,-0.000298194,16.83727273,16.868,16.868,16.868
1/24/1950,16.86,16.86,16.86,16.86,0,0,0,0,0,0,0.04532469,0.048199728,-0.002875038,16.86745455,16.86507353,16.86507353,16.86507353
1/25/1950,16.74,16.74,16.74,16.74,0,0,0,0,0,0,0.032653493,0.045090481,-0.012436987,16.87745455,16.83686275,16.83686275,16.83686275
1/26/1950,16.73,16.73,16.73,16.73,0,0,0,0,0,0,0.021556078,0.0403836,-0.018827522,16.83709091,16.81181287,16.81181287,16.81181287
1/27/1950,16.82,16.82,16.82,16.82,0,0,0,0,0,0,0.019795355,0.036265951,-0.016470596,16.81145455,16.80873684,16.80873684,16.80873684
1/30/1950,17.02,17.02,17.02,17.02,0,0,0,0,0,0,0.0341447,0.035841701,-0.001697001,16.85672727,16.84342857,16.84342857,16.84342857
1/31/1950,17.05,17.05,17.05,17.05,0,0,0,0,0,0,0.047391112,0.038151583,0.009239529,16.924,16.87805195,16.87805195,16.87805195
2/1/1950,17.05,17.05,17.05,17.05,0,0.458284457,0,0,0,0,0.057229287,0.041967124,0.015262163,16.97890909,16.90747036,16.90747036,16.90747036
2/2/1950,17.23,17.23,17.23,17.23,0,0.483056442,0,0,0,0,0.078644046,0.049302508,0.029341538,17.08909091,16.96195652,16.96195652,16.96195652
2/3/1950,17.29,17.29,17.29,17.29,0,0.474662196,0,0,0,0,0.099312088,0.059304424,0.040007664,17.20636364,17.0182,17.0182,17.0182
2/6/1950,17.32,17.32,17.32,17.32,0,0.45880854,0,0,0,0,0.1167664,0.070796819,0.04596958,17.31672727,17.07132308,17.07132308,17.07132308
2/7/1950,17.23,17.23,17.23,17.23,0,0.464262084,1.056132638,0,0,0,0.121931271,0.08102371,0.040907562,17.36218182,17.10435897,17.10435897,17.10435897
2/8/1950,17.21,17.21,17.21,17.21,0,0.447372105,0.702579057,0,0,0,0.122992852,0.089417538,0.033575313,17.35654545,17.13029101,17.13029101,17.13029101
2/9/1950,17.28,17.28,17.28,17.28,0,0.443536472,0.682218297,0,0,0,0.128006992,0.097135429,0.030871563,17.34745455,17.16238916,17.16238916,17.16238916
2/10/1950,17.24,17.24,17.24,17.24,0,0.433938209,0.509440691,0,0,0,0.127285796,0.103165502,0.024120294,17.31254545,17.18531034,17.18531034,17.18531034
2/14/1950,17.06,17.06,17.06,17.06,0,0.469345837,-0.020379127,0,0,0,0.110911233,0.104714648,0.006196584,17.23254545,17.18260215,17.18260215,17.18260215
